date,open,high,low,close,volume
2026-08-18,37.9000,37.9000,34.5000,36.9600,10406
2026-08-19,36.9500,38.3000,35.6200,37.9000,31899
2026-08-20,38.6600,38.9000,35.1100,37.1800,10108
2026-08-21,37.1800,37.2000,36.1000,36.6400,3278
2026-08-24,36.5000,39.9800,36.5000,37.1800,5332
2026-08-25,37.0000,37.0000,35.9000,36.0800,8927
2026-08-26,36.0800,38.9300,36.0000,38.0100,9332
2026-08-27,37.9000,37.9000,36.6500,37.4400,4111
2026-08-28,37.2400,37.2500,36.0600,36.9500,3406
2026-08-31,36.2100,37.5900,35.2000,36.3900,6374
2026-09-01,36.0000,37.8000,35.6600,36.1000,5304
2026-09-02,36.1000,36.1000,34.2000,35.2400,5874
2026-09-03,36.0000,37.6000,35.2200,36.0000,2319
2026-09-04,36.8000,36.8000,34.2100,35.0000,23168
2026-09-07,34.6000,35.7000,34.6000,35.5700,14659
2026-09-08,35.5700,36.3500,34.7600,35.5600,9972
2026-09-09,36.7200,38.0000,35.6000,36.8900,25981
2026-09-10,37.0000,42.9000,36.9600,40.9800,209619
2026-09-11,41.3800,49.1700,40.1100,46.0800,446458
2026-09-15,47.0000,47.7700,42.6700,45.1300,112049
