date,open,high,low,close,volume
2023-09-25,430.2500,430.2500,419.9500,421.1000,607639
2023-09-26,420.0500,422.9500,413.7500,415.5000,920243
2023-09-27,416.0000,420.5000,408.0000,418.7500,724186
2023-09-28,420.0000,424.0000,416.3500,421.7000,592059
2023-09-29,421.7000,421.7000,410.6000,412.7000,1295623
2023-10-03,415.0000,421.9500,410.5500,412.5000,689596
2023-10-04,411.2000,413.9500,406.2000,410.0000,1425429
2023-10-05,412.0000,416.4000,409.0000,410.9500,212462
2023-10-06,412.2000,414.9000,409.6500,411.0000,280100
2023-10-09,408.5500,413.9000,403.0000,409.4000,432979
2023-10-10,410.9500,435.9500,410.9500,433.6000,1860230
2023-10-11,438.9500,449.0000,434.1000,439.1000,2836899
2023-10-12,442.9500,442.9500,427.1000,428.8500,492509
2023-10-13,426.5500,429.9000,423.2500,426.3000,585564
2023-10-16,422.6500,428.6000,422.6500,425.1000,609677
2023-10-17,425.1000,426.6000,424.5000,425.2000,386727
2023-10-18,425.2000,430.0000,421.1000,425.6000,1253119
2023-10-19,422.0000,431.0000,415.0000,429.4000,987653
2023-10-20,429.4000,434.7000,425.3500,429.3000,481152
2023-10-23,426.5500,428.9500,412.6000,415.5000,579783
2023-10-25,415.0000,423.4000,401.5500,420.9500,1358182
2023-10-26,419.0000,419.0000,404.0500,406.4500,595705
2023-10-27,407.0000,422.9000,407.0000,421.1500,394200
2023-10-30,419.0000,427.9500,416.0000,420.1500,557285
2023-10-31,422.0000,430.5000,410.2500,413.3500,894090
2023-11-01,412.0000,412.0000,401.0000,402.6000,613323
2023-11-02,404.5000,409.4000,399.0500,401.2500,570118
2023-11-03,404.0000,407.7000,401.1000,402.2500,380356
2023-11-06,399.0000,409.5000,397.2000,403.1500,980350
2023-11-07,403.0500,411.0000,403.0500,409.0000,321417
2023-11-08,409.0500,412.6000,405.7000,409.6500,371309
2023-11-09,409.0500,411.0000,404.4500,407.0500,215728
2023-11-10,406.9500,410.9000,405.7000,408.1500,214966
2023-11-13,407.1000,408.1500,403.6000,404.4000,181941
2023-11-15,408.0000,412.9500,400.6000,411.3500,926172
2023-11-16,411.3500,419.5500,410.1500,413.8500,1032464
2023-11-17,406.8500,406.8500,398.5000,399.7500,21741125
2023-11-20,400.5500,403.0000,394.3000,396.7000,3012515
2023-11-21,400.7000,400.7000,395.7500,399.7000,959503
2023-11-22,398.9500,399.5500,383.0000,385.7000,4806072
2023-11-23,385.6000,388.8500,380.1000,383.3500,1555776
2023-11-24,385.0000,392.3000,379.9500,383.1000,1167793
2023-11-28,385.0000,387.8000,380.1500,385.1000,898850
2023-11-29,385.1000,391.9500,384.0500,390.4500,1078049
2023-11-30,391.0000,394.9000,385.6500,391.1500,1369474
2023-12-01,393.1500,400.0000,391.2000,397.4500,1439914
2023-12-04,400.0000,400.0000,393.4000,399.6500,1092902
2023-12-05,399.0500,402.5000,391.2500,393.5000,675103
2023-12-06,397.9000,400.0000,379.5500,382.9500,1222192
2023-12-07,383.8000,388.4500,383.1000,386.7500,807152
2023-12-08,390.0000,392.0000,383.1000,384.8500,2819267
2023-12-11,386.9500,390.5000,383.0500,384.9000,819574
2023-12-12,385.0000,386.6500,372.0000,373.9000,809660
2023-12-13,376.9000,379.0500,361.7500,375.1000,1843286
2023-12-14,377.0000,378.4000,368.5000,369.3500,1402988
2023-12-15,373.8000,373.8000,354.2000,358.0500,3367018
2023-12-18,361.2500,364.0000,355.3000,359.9500,3515122
2023-12-19,363.6000,368.0000,360.2000,363.9500,1893547
2023-12-20,368.1500,378.1000,363.2500,365.3500,2889310
2023-12-21,364.0000,389.8000,360.3500,387.9500,3715076
2023-12-22,391.0000,396.0500,384.0500,387.4500,1878970
2023-12-26,390.0000,397.5000,386.1000,387.4000,986342
2023-12-27,388.9500,390.3500,381.2500,383.3500,734369
2023-12-28,387.3000,390.0000,377.5000,384.2000,924279
2023-12-29,384.2000,393.0000,384.2000,389.2500,1181116
2024-01-01,392.4000,393.9000,382.5500,384.3500,644267
2024-01-02,384.9500,389.0000,381.3500,388.5500,1000156
2024-01-03,389.9500,404.4000,389.5000,397.0000,3135290
2024-01-04,403.5000,405.0000,397.9000,404.0000,1886025
2024-01-05,406.9500,407.6500,401.0000,403.2500,1811978
2024-01-08,404.8000,404.8000,400.8500,402.1500,3337920
2024-01-09,403.0000,403.9000,395.1000,398.4500,986752
2024-01-10,400.0000,424.0000,398.6000,422.2000,5903849
2024-01-11,425.5000,426.4000,408.4500,412.0500,2060879
2024-01-12,412.9500,415.6500,406.1000,410.4500,923353
2024-01-15,410.4500,410.4500,410.4500,410.4500,0
2024-01-16,410.1500,411.1500,403.5000,409.7500,752562
2024-01-17,406.0500,410.4500,402.5000,403.9500,432307
2024-01-18,403.0000,405.6000,392.0000,400.4500,1106487
2024-01-19,405.0000,405.0000,395.8500,397.1500,750711
2024-01-23,401.2000,403.5500,388.8000,390.2500,506819
2024-01-24,392.9000,400.7500,382.5000,400.2000,1914439
2024-01-25,399.0500,404.9500,397.0500,401.3000,589068
2024-01-29,410.0000,433.0000,406.0500,427.8500,5996220
2024-01-30,430.0000,434.4500,423.6500,427.9500,3356336
2024-01-31,430.0000,454.9500,430.0000,449.4500,14931414
2024-02-01,453.0000,473.9000,447.5000,468.8500,6065034
2024-02-02,475.0000,477.8000,461.0000,473.1500,6280434
2024-02-05,472.0000,488.0000,451.3500,456.0000,9783058
2024-02-06,460.0000,470.4000,434.2000,465.1000,5212016
2024-02-07,468.7500,476.8000,462.2500,470.2500,3413089
2024-02-08,470.4500,471.0000,453.4000,456.7000,2008463
2024-02-09,460.0000,460.3500,435.0500,440.5000,1960175
2024-02-12,440.5000,447.8000,412.2000,419.4000,1477336
2024-02-13,419.7000,440.0000,418.0000,438.4500,1257606
2024-02-14,434.9000,447.8000,421.0000,444.4000,1072928
2024-02-15,444.5500,464.8000,444.5500,461.9500,3009887
2024-02-16,464.0000,469.9500,451.0000,454.4500,1057576
2024-02-19,459.0000,479.8500,457.2500,467.6000,3965875
2024-02-20,469.9500,476.4500,467.8500,472.0500,2847020
2024-02-21,472.0500,478.0000,462.9500,472.8500,3063023
