date,open,high,low,close,volume
2023-09-25,302.8500,325.7500,299.7500,315.2500,2111677
2023-09-26,316.0000,316.7000,304.6000,306.1000,536623
2023-09-27,306.0000,308.5000,301.1000,306.9000,542705
2023-09-28,306.9000,315.0000,302.2500,304.0000,755904
2023-09-29,305.3000,308.2500,302.2500,305.0500,357788
2023-10-03,305.0000,308.4500,300.0000,301.1000,286578
2023-10-04,301.4500,307.9500,291.9000,297.7500,749142
2023-10-05,299.4000,303.6000,298.5500,300.5500,218727
2023-10-06,301.3500,303.9500,297.8500,301.9000,305846
2023-10-09,302.6500,305.7000,292.5500,294.0500,429460
2023-10-10,295.5000,299.0000,293.1000,297.6500,219599
2023-10-11,299.4500,301.4500,291.2500,291.9000,303566
2023-10-12,293.0000,297.0000,290.8500,293.8500,335905
2023-10-13,289.4500,294.3500,289.4500,290.7000,259396
2023-10-16,291.5000,300.0000,291.0000,293.3500,377899
2023-10-17,294.0000,297.7500,291.9500,293.2000,257905
2023-10-18,293.9000,305.7500,292.0000,293.1000,969460
2023-10-19,293.9000,296.4000,289.6000,294.7000,353063
2023-10-20,294.0000,297.4500,285.0000,287.6500,449678
2023-10-23,288.0000,288.3500,256.0500,260.8500,1131884
2023-10-25,264.0000,274.7000,257.8000,264.0500,963781
2023-10-26,263.0000,263.9500,248.9000,260.4500,811554
2023-10-27,262.4500,268.9000,262.1500,267.0000,498055
2023-10-30,268.0000,277.9000,264.1000,269.4500,736615
2023-10-31,271.0000,272.0000,262.9000,265.1500,292298
2023-11-01,260.0000,260.9000,252.7500,253.5000,542536
2023-11-02,255.6500,260.5500,254.5000,259.7000,331838
2023-11-03,262.3000,266.5000,257.0000,258.0500,355884
2023-11-06,260.0000,270.5000,260.0000,266.1500,490588
2023-11-07,266.2000,268.9000,262.3000,263.9500,259049
2023-11-08,265.0000,267.1500,261.7500,262.6000,181453
2023-11-09,262.5000,264.2000,260.3000,261.5500,188773
2023-11-10,261.5500,265.0500,260.0000,261.4500,218066
2023-11-13,262.6000,263.9000,260.0000,261.3500,164771
2023-11-15,263.7000,264.6000,260.6500,262.1500,222989
2023-11-16,263.2000,264.8500,260.0000,260.2000,183777
2023-11-17,260.2000,261.6000,254.0000,254.4500,519749
2023-11-20,255.9000,261.0000,254.6000,259.3000,465619
2023-11-21,260.9500,263.0500,259.3500,261.1000,237559
2023-11-22,262.0000,263.5000,257.4000,262.1000,289414
2023-11-23,262.1000,278.8500,261.9000,275.2500,2769410
2023-11-24,276.9500,276.9500,268.6500,269.9500,710793
2023-11-28,270.2000,273.0000,268.2500,271.0000,295999
2023-11-29,272.0000,275.0000,268.5500,270.8500,335184
2023-11-30,272.0000,277.0000,270.8500,273.8000,604442
2023-12-01,274.4500,275.9500,271.9000,272.7500,232580
2023-12-04,277.8000,277.8000,270.0000,271.3000,481241
2023-12-05,273.9000,274.2000,267.0000,268.2000,363816
2023-12-06,267.0000,271.9000,258.0000,259.6500,728687
2023-12-07,255.3500,262.4000,244.5000,251.8500,2044244
2023-12-08,247.9000,249.4500,238.3000,240.2500,1435953
2023-12-11,237.5000,247.4500,237.5000,246.6000,691805
2023-12-12,247.9500,249.8000,244.3000,245.5000,307686
2023-12-13,245.0000,248.0000,241.6500,246.7500,285644
2023-12-14,249.0000,251.8500,244.1000,247.5000,538982
2023-12-15,244.5000,249.3000,244.5000,248.0000,218938
2023-12-18,266.3500,285.2000,258.5500,261.4500,2729511
2023-12-19,263.0000,263.6500,258.0000,259.0000,421981
2023-12-20,258.8500,260.5000,246.0000,247.5500,404012
2023-12-21,245.0500,252.0000,242.5500,251.0500,277441
2023-12-22,253.0000,254.4000,248.0000,250.1500,246234
2023-12-26,250.1500,252.5000,248.7500,251.4500,146024
2023-12-27,251.9500,253.9000,249.3000,252.2500,227140
2023-12-28,253.0000,254.4000,245.2000,248.6000,306530
2023-12-29,250.0000,260.5000,249.2500,253.5000,862063
2024-01-01,271.0000,272.7500,263.0000,266.4000,1834544
2024-01-02,268.4000,268.4000,260.8500,265.7000,774898
2024-01-03,268.4000,271.4500,266.4500,269.5000,1029982
2024-01-04,269.5000,270.9500,267.0500,270.1500,1275792
2024-01-05,271.9500,272.9000,268.4000,270.0000,579060
2024-01-08,272.0000,272.0000,267.0000,268.0000,346756
2024-01-09,269.3000,275.0000,267.1500,269.2000,526249
