date,open,high,low,close,volume
2023-09-25,28.9000,29.2000,28.1500,28.3500,2566468
2023-09-26,28.3500,28.9000,28.0000,28.1000,1710255
2023-09-27,28.1000,29.5000,27.8000,29.3500,3306158
2023-09-28,29.5000,30.2500,28.6000,28.9500,4731206
2023-09-29,29.1000,29.5000,29.0000,29.1500,2038827
2023-10-03,29.2500,32.9500,29.1500,32.2000,22048442
2023-10-04,32.2500,34.1000,32.2000,32.8000,25667790
2023-10-05,33.2500,33.4000,31.7000,32.2500,11910496
2023-10-06,32.3500,32.8000,31.4000,31.8500,6377862
2023-10-09,31.0000,31.0000,29.3000,29.6500,5137103
2023-10-10,29.9000,30.9500,29.9000,30.4000,2414025
2023-10-11,30.7000,31.0000,29.9000,30.0000,1725767
2023-10-12,30.3000,30.5000,29.7500,29.8000,1504256
2023-10-13,29.2500,29.8000,29.0000,29.3500,2366974
2023-10-16,29.4500,30.1000,29.3000,29.4000,1525186
2023-10-17,29.7000,30.0500,29.4000,29.5500,1644586
2023-10-18,29.7500,29.9000,28.3500,28.7500,3643588
2023-10-19,28.5000,30.1500,28.4500,29.7500,1986797
2023-10-20,30.0000,30.7000,29.1500,29.7000,2828077
2023-10-23,29.7000,30.0000,26.2500,27.2000,3256545
2023-10-25,27.2000,29.4500,27.2000,27.9500,3904778
2023-10-26,27.9000,29.5000,26.5000,29.1500,3622987
2023-10-27,29.5000,30.0500,29.0000,29.2000,2143269
2023-10-30,29.3000,29.6000,28.5500,28.7000,1202607
2023-10-31,29.0000,29.5000,28.5500,28.7000,1304587
2023-11-01,28.8000,29.1000,27.9000,28.0500,2124126
2023-11-02,28.4500,28.8500,28.1500,28.7500,1446893
2023-11-03,29.0000,29.9500,28.8500,29.5000,2800028
2023-11-06,29.8000,29.9500,29.2000,29.3000,1642233
2023-11-07,29.4000,30.2000,29.2500,29.5500,2729942
2023-11-08,29.5500,29.8500,29.0000,29.3000,1603764
2023-11-09,29.4000,29.6500,29.0000,29.1000,1263962
2023-11-10,28.0000,28.7000,27.8000,28.1500,4720257
2023-11-13,29.6500,31.0000,29.0000,30.7000,8146759
2023-11-15,31.2500,31.5000,30.0000,30.3000,4236543
2023-11-16,30.3500,30.5000,29.7000,29.8500,1905782
2023-11-17,29.4000,29.7000,29.1500,29.4500,2243945
2023-11-20,29.8000,30.2500,29.5500,29.6500,1897833
2023-11-21,29.9500,30.2500,28.0000,28.9000,2010451
2023-11-22,29.1000,29.2000,28.0500,28.4500,1847999
2023-11-23,28.9000,29.2000,28.3500,28.4500,1264930
2023-11-24,28.5000,28.8000,28.0000,28.1500,1580593
2023-11-28,28.3500,28.9000,28.2500,28.8000,1498372
2023-11-29,29.0000,29.2500,28.5000,28.6000,820707
2023-11-30,28.7000,28.9500,28.2000,28.3000,872868
2023-12-01,28.5000,29.3000,28.3000,28.6000,1592323
2023-12-04,29.1000,30.1500,28.8500,29.9500,6374501
2023-12-05,30.1500,30.6500,29.5000,29.7500,3788989
2023-12-06,29.9500,30.0000,29.5000,29.6000,1433240
2023-12-07,29.6500,30.1500,29.5000,29.6500,2332233
2023-12-08,29.8000,30.0500,29.1000,29.3500,1839183
2023-12-11,29.5000,30.2500,29.4000,29.6500,2465823
2023-12-12,29.5000,32.6500,29.4000,30.6000,17094832
2023-12-13,31.0000,31.8500,30.9500,31.2500,4382976
2023-12-14,31.7000,32.0000,31.2500,31.5500,2850800
2023-12-15,31.5500,32.2000,31.0000,31.8000,4090319
2023-12-18,32.0000,32.7500,31.3500,31.4500,6419893
2023-12-19,31.7000,32.3500,31.0000,31.2000,4423153
2023-12-20,31.5000,31.8000,28.7500,29.0000,4451988
2023-12-21,28.6500,30.1000,28.2500,29.9000,3270748
2023-12-22,30.0000,30.4500,29.3000,29.6500,1724049
2023-12-26,29.8000,29.9500,29.2500,29.4500,1286059
2023-12-27,29.6000,30.1000,29.3000,29.5000,1530817
2023-12-28,29.8500,30.4000,29.4000,29.8500,2096691
2023-12-29,29.9000,30.8500,29.7000,30.6500,3898912
2024-01-01,30.8000,31.4000,30.7000,30.9500,2513058
2024-01-02,31.8000,32.9000,31.3000,31.7000,9346729
2024-01-03,31.7000,32.0000,31.1500,31.5500,3485195
2024-01-04,31.6500,31.7500,31.1000,31.3500,2233235
2024-01-05,31.5000,31.7000,30.5500,30.8500,2170223
2024-01-08,31.1000,31.2500,30.3500,30.5500,1623006
2024-01-09,30.7000,30.9500,30.4500,30.5500,1213828
2024-01-10,30.5500,30.7500,29.9000,30.3500,1728211
2024-01-11,30.3500,31.0500,30.0500,30.3000,2258717
2024-01-12,30.6000,36.3500,30.3500,36.3000,42130107
2024-01-15,39.7500,43.5500,39.7500,43.5500,50544540
2024-01-16,44.4500,45.0000,39.2500,40.8500,20845454
2024-01-17,40.5000,42.0000,39.2000,40.0500,4575822
2024-01-18,40.2000,40.8000,37.5000,38.2500,6367448
2024-01-19,39.5000,42.0500,39.5000,42.0500,4393549
2024-01-23,49.0000,50.3500,44.4000,45.7000,21418895
2024-01-24,45.6000,49.3000,44.5500,46.5500,9605191
2024-01-25,48.3000,51.2000,47.5000,51.2000,6587295
2024-01-29,51.5000,53.7500,51.3000,53.7500,2819568
2024-01-30,55.8000,56.4000,54.1500,56.4000,17209146
2024-01-31,58.5000,59.0000,54.0500,54.8000,16060343
2024-02-01,56.1000,56.6500,53.1500,53.9000,7355609
2024-02-02,54.7000,56.0000,51.2000,51.2500,9750396
2024-02-05,48.7000,49.9000,48.7000,48.7000,2718587
2024-02-06,46.3000,48.1000,46.3000,46.3000,13533218
2024-02-07,45.1500,48.6000,45.1500,48.3000,13047710
2024-02-08,48.9000,49.2000,46.1000,46.5000,4755466
2024-02-09,46.7500,48.0000,44.5500,45.7500,3109620
2024-02-12,46.2500,46.8000,43.5000,43.5000,2677687
2024-02-13,41.5500,43.4000,41.3500,41.3500,6129175
2024-02-14,42.1500,43.4000,39.7000,43.4000,7681612
2024-02-15,45.5000,45.5500,44.9000,45.5500,5823662
2024-02-16,46.7500,47.8000,46.0000,47.8000,11998493
2024-02-19,49.5000,50.1500,48.2500,50.1500,4405244
2024-02-20,52.6500,52.6500,51.3500,52.6500,11040098
2024-02-21,54.2000,54.8000,50.0500,50.7000,13250005
2024-02-22,51.7000,52.0000,49.2000,50.8000,3894253
2024-02-23,51.2000,51.3000,50.0000,50.2500,2591439
2024-02-26,50.7500,50.7500,48.1500,48.9500,1402540
2024-02-27,49.0000,49.9500,47.5000,47.7000,1359978
2024-02-28,47.7000,47.9500,45.6000,46.8500,1085274
2024-02-29,47.1000,47.5000,45.0000,45.5000,1258462
2024-03-01,46.0000,47.7500,46.0000,47.7500,1307315
2024-03-04,48.1000,48.1000,46.0000,46.4500,715532
2024-03-05,46.4000,48.2000,44.8000,45.9500,1070879
