date,open,high,low,close,volume
2023-09-25,870.0000,870.0000,845.0500,854.1500,45107
2023-09-26,855.0000,865.0000,845.0000,852.8500,36916
2023-09-27,849.6000,859.8000,843.4000,846.1000,36602
2023-09-28,846.1000,854.4000,829.6000,835.4500,29370
2023-09-29,837.0000,846.7500,833.1000,841.6000,24511
2023-10-03,842.4000,879.0000,826.1000,855.8500,35020
2023-10-04,855.9000,855.9500,835.6500,846.2500,36170
2023-10-05,848.0000,856.6000,836.5500,841.9000,29637
2023-10-06,846.1500,855.5000,836.0000,842.9500,35432
2023-10-09,820.0000,843.9000,811.6000,840.6000,52355
2023-10-10,846.0000,850.7000,835.1500,844.8500,37155
2023-10-11,853.0000,853.9500,837.1500,844.6500,25075
2023-10-12,847.9500,848.9000,834.2000,837.5000,18198
2023-10-13,835.0000,850.8000,832.1000,839.2500,37844
2023-10-16,834.0000,841.4500,823.2500,836.3500,38095
2023-10-17,841.4500,844.2000,834.0000,839.4000,23516
2023-10-18,839.4000,845.8000,832.4500,837.8000,10531
2023-10-19,842.0000,854.0500,831.1500,839.4000,46954
2023-10-20,839.0000,843.6000,835.2500,838.6500,15103
2023-10-23,831.0000,842.4500,798.9500,819.9000,68178
2023-10-25,802.0000,824.0000,802.0000,814.1500,36562
2023-10-26,814.0000,818.2000,786.0000,812.5500,29947
2023-10-27,816.6500,820.0500,799.0500,815.5000,39892
2023-10-30,803.5000,814.9000,801.9500,811.9500,19227
2023-10-31,811.9500,818.5000,785.9500,795.5000,33173
2023-11-01,799.5000,801.9000,773.8500,781.4000,43607
2023-11-02,786.4000,790.0000,764.6000,775.7500,45442
2023-11-03,783.5000,789.0000,773.0000,780.0500,33125
2023-11-06,797.7000,799.9000,783.8500,789.6000,41592
2023-11-07,790.0000,909.9500,789.6000,874.1500,1187097
2023-11-08,884.0000,884.0000,828.2500,843.4000,389951
2023-11-09,844.1000,855.9500,825.0000,832.6000,96153
2023-11-10,835.0000,849.9500,825.0000,829.8500,112141
2023-11-13,833.0000,866.2000,833.0000,857.5000,97980
2023-11-15,878.0000,900.0000,860.3500,884.4500,149824
2023-11-16,889.8000,895.9500,867.1500,870.7000,104083
2023-11-17,877.0000,897.7500,861.8500,866.9500,54942
2023-11-20,870.0000,892.9500,864.0500,876.3500,72676
2023-11-21,878.9500,922.0000,875.0000,913.1000,257767
2023-11-22,924.0000,948.7000,883.0500,894.7500,244193
2023-11-23,895.0000,908.2000,886.0500,889.9000,51928
2023-11-24,890.0000,912.9500,887.6000,903.8000,51061
2023-11-28,910.0000,929.8500,903.9000,912.1500,81095
2023-11-29,920.0000,938.0000,910.5000,931.0000,89086
2023-11-30,938.4000,958.0000,918.4500,944.6500,118704
2023-12-01,948.1500,964.4000,938.9000,955.5500,90830
2023-12-04,969.0000,982.0000,956.9500,964.2500,76519
2023-12-05,971.9000,971.9000,926.5000,936.4500,58456
2023-12-06,940.0000,943.0000,905.5500,914.9000,62756
2023-12-07,919.0000,930.0000,905.1000,913.1000,76219
2023-12-08,950.0000,989.0000,948.7000,968.3000,362492
2023-12-11,971.5500,980.0000,962.7000,974.4000,67053
2023-12-12,974.9000,989.0000,969.1000,985.5500,67503
2023-12-13,982.3500,1019.3500,981.3500,995.1000,199531
2023-12-14,996.1000,1026.9500,991.6000,1019.4500,96739
2023-12-15,1019.4000,1037.0000,1001.4000,1030.3500,100340
2023-12-18,1030.3500,1063.9500,1025.9500,1043.7500,102024
2023-12-19,1043.7500,1068.0000,1033.2000,1061.9500,51573
2023-12-20,1061.0000,1065.5000,995.0000,1010.9500,73724
2023-12-21,1008.0000,1034.1000,991.7000,1020.5000,56824
2023-12-22,1027.0000,1057.4500,1022.2000,1047.0000,40351
2023-12-26,1060.0000,1088.0000,1050.0000,1073.1000,78679
2023-12-27,1081.9000,1097.4000,1068.5500,1081.8500,60322
2023-12-28,1090.8000,1094.7000,1072.6000,1078.9000,43656
2023-12-29,1087.3000,1087.3000,1051.0500,1057.0000,47146
2024-01-01,1050.0000,1090.0000,1047.0000,1082.8500,67758
2024-01-02,1083.0000,1106.6500,1070.1000,1102.2500,64759
2024-01-03,1139.9500,1161.0000,1113.0000,1150.9000,129839
2024-01-04,1142.8000,1158.0000,1131.1500,1148.3500,47849
2024-01-05,1160.0000,1197.0000,1152.9000,1171.6500,107641
2024-01-08,1195.0000,1195.0000,1157.0000,1185.1000,58853
2024-01-09,1182.1000,1192.5000,1155.0000,1185.7500,61739
2024-01-10,1187.0000,1225.0000,1180.5500,1220.9000,83999
2024-01-11,1231.7000,1298.0000,1194.4500,1280.9000,83269
2024-01-12,1287.3500,1294.0000,1245.0500,1248.2000,67614
2024-01-15,1255.0000,1264.4000,1203.6500,1244.1500,50050
2024-01-16,1248.0000,1293.0000,1238.9000,1261.5500,79281
2024-01-17,1237.0000,1272.0000,1219.2000,1261.8500,44947
2024-01-18,1260.0000,1260.0000,1190.0000,1203.3000,98659
2024-01-19,1212.9500,1234.3500,1169.8000,1180.4000,53392
2024-01-23,1184.4000,1214.3500,1150.3500,1175.0500,55020
2024-01-24,1180.9000,1196.2000,1152.3000,1167.8000,77634
2024-01-25,1186.9000,1205.9500,1178.5000,1199.1500,36519
2024-01-29,1210.5000,1227.3500,1198.0500,1217.1500,48456
2024-01-30,1223.0000,1231.4500,1185.0500,1197.4000,43721
2024-01-31,1197.4000,1232.2000,1192.0000,1199.5500,52193
2024-02-01,1246.9500,1247.0000,1195.1000,1209.4500,39023
2024-02-02,1212.2000,1222.1500,1106.3000,1129.7000,122987
2024-02-05,1129.7000,1129.7000,1019.9500,1048.6000,291675
2024-02-06,1049.9500,1113.6000,1043.0000,1051.7500,301526
2024-02-07,1059.1500,1078.1000,1025.6500,1031.3500,67362
2024-02-08,1037.3000,1074.6000,1030.3500,1063.8000,117920
2024-02-09,1074.0000,1111.0000,1051.6000,1067.5000,49986
2024-02-12,1071.1500,1090.0000,1004.0000,1031.7500,55479
2024-02-13,1030.0000,1069.0000,1000.0000,1056.2500,67656
2024-02-14,1053.0000,1076.9000,1035.0000,1046.0500,37118
2024-02-15,1050.0000,1075.0000,1046.0500,1059.2500,44287
2024-02-16,1058.0000,1093.9500,1057.9500,1088.9500,38454
2024-02-19,1091.9500,1143.9000,1090.0500,1133.3000,71619
2024-02-20,1138.9000,1149.3500,1110.7000,1125.1000,38802
2024-02-21,1125.1500,1179.9000,1123.7500,1156.5500,58748
2024-02-22,1175.0000,1190.4000,1140.0000,1148.0500,63348
2024-02-23,1150.0000,1175.0000,1146.2500,1168.6000,38449
2024-02-26,1177.5500,1195.0000,1158.0000,1166.9500,38321
2024-02-27,1168.6000,1186.0000,1160.0500,1174.5000,67151
2024-02-28,1176.8000,1180.8000,1125.1000,1133.2500,58646
2024-02-29,1135.0000,1135.0000,1052.2000,1063.6000,264850
2024-03-01,1063.6000,1068.1000,1022.0000,1028.1000,68211
2024-03-04,1051.0000,1065.0000,1014.0000,1038.3000,59795
2024-03-05,1035.0000,1077.2000,1024.3000,1059.6000,61871
2024-03-06,1047.0000,1059.0000,1018.0500,1027.1500,29838
2024-03-07,1027.1500,1052.0500,1025.5500,1040.8000,27829
2024-03-11,1043.0000,1064.9500,1020.0000,1027.6500,27145
2024-03-12,1031.0000,1050.0000,1016.0000,1038.6500,22481
2024-03-13,1037.1000,1057.4000,963.3500,982.5000,52239
2024-03-14,987.4000,1019.0000,965.0000,1005.7500,63194
2024-03-15,1010.0000,1026.3000,967.2000,990.8000,32041
2024-03-18,992.0000,1010.9000,964.6000,971.3000,33563
2024-03-19,979.0000,988.2500,965.1000,973.8000,27358
2024-03-20,976.0000,1014.9500,933.8000,946.7000,131016
2024-03-21,951.0500,981.1500,945.0000,950.7000,39708
2024-03-22,953.9500,970.0000,946.9000,958.5000,23442
2024-03-26,956.2500,975.0000,948.5000,963.2500,30769
2024-03-27,957.8000,1030.0000,957.8000,1016.3000,98672
2024-03-28,1021.0000,1034.7500,996.0500,1025.8500,57997
2024-04-01,1052.0000,1052.0000,1000.0000,1005.6000,42967
2024-04-02,1048.0000,1060.0000,1018.0500,1051.9000,47172
2024-04-03,1052.0500,1098.9500,1020.0500,1088.6500,69662
2024-04-04,1098.0000,1104.6000,1067.0000,1087.1500,16055
2024-04-05,1088.8000,1100.0000,1068.1000,1096.6000,21226
2024-04-08,1105.6500,1158.9500,1100.0500,1152.7500,77700
2024-04-09,1160.0000,1175.5500,1131.0000,1170.8500,41847
2024-04-10,1177.0000,1184.9000,1147.1500,1178.8500,29731
2024-04-12,1178.0000,1201.0000,1155.0500,1197.6500,36558
2024-04-15,1195.0000,1198.0000,1133.1000,1184.2500,37583
2024-04-16,1177.9000,1233.9000,1141.6500,1223.4500,85666
2024-04-18,1223.4500,1283.0000,1210.7000,1265.4000,141923
2024-04-19,1271.7000,1276.8000,1240.0000,1261.2500,84034
2024-04-22,1263.0000,1395.9000,1254.0500,1323.8500,59405
2024-04-23,1356.9000,1398.7000,1335.9500,1375.2500,103584
2024-04-24,1376.9500,1385.2500,1340.0000,1349.8500,38912
2024-04-25,1346.0500,1360.0000,1290.3500,1349.8000,73465
2024-04-26,1341.0000,1424.6500,1340.9500,1396.6000,106195
2024-04-29,1411.1000,1428.9500,1375.0000,1399.1500,37531
2024-04-30,1398.7000,1415.7000,1361.0500,1397.1000,43964
2024-05-02,1400.0000,1407.9500,1372.0500,1388.9000,38603
2024-05-03,1400.0000,1400.0000,1360.3500,1368.8000,23646
2024-05-06,1375.6500,1409.0000,1342.0000,1390.9000,37752
2024-05-07,1395.0500,1397.9000,1306.7500,1332.2500,57672
2024-05-08,1312.2500,1341.1000,1300.0000,1310.1000,31679
2024-05-09,1320.4000,1325.0000,1261.1500,1270.8500,22373
2024-05-10,1270.8500,1292.9500,1250.2000,1281.0500,19589
2024-05-13,1279.9500,1303.3000,1240.0500,1287.4500,43165
2024-05-14,1301.9000,1345.0000,1278.3000,1334.9500,31544
2024-05-15,1349.9000,1377.9000,1314.7500,1349.9500,37641
2024-05-16,1356.7000,1364.4000,1329.9000,1341.1500,16867
2024-05-17,1347.8500,1363.4000,1287.5500,1323.9500,93362
2024-05-21,1326.5500,1335.4000,1232.8000,1242.3000,87943
2024-05-22,1243.9500,1297.9000,1243.9500,1281.4500,34549
2024-05-23,1281.4500,1293.8000,1267.7500,1283.2500,14886
2024-05-24,1283.2500,1311.2500,1261.0000,1291.9000,32455
2024-05-27,1291.9000,1298.0000,1251.0000,1265.6500,23994
2024-05-28,1270.0000,1278.9500,1226.1000,1260.8500,31412
2024-05-29,1260.8500,1269.7000,1245.0000,1258.6500,16261
2024-05-30,1268.3500,1268.6500,1246.0000,1254.2000,14599
2024-05-31,1230.2000,1285.0000,1230.0000,1275.5000,30758
2024-06-03,1285.0000,1296.1000,1250.0000,1286.0500,48042
2024-06-04,1296.0000,1299.0000,1170.0000,1210.1500,41502
2024-06-05,1210.0000,1330.0000,1175.3000,1314.8000,48673
2024-06-06,1314.0000,1398.9000,1310.0000,1387.0500,59623
2024-06-07,1395.0000,1398.2000,1300.0000,1368.5000,40991
2024-06-10,1382.3500,1544.0500,1359.0500,1521.7000,219863
2024-06-11,1519.0000,1640.0000,1487.5000,1622.3500,217302
2024-06-12,1620.0000,1669.9000,1546.0000,1577.0000,218336
2024-06-13,1604.6500,1632.0000,1551.0000,1613.3000,57538
2024-06-14,1621.8500,1626.6000,1555.0500,1585.3500,38192
2024-06-18,1585.3500,1602.3000,1529.4000,1544.2500,63837
2024-06-19,1547.1500,1616.0000,1526.4000,1575.9500,57125
2024-06-20,1592.4000,1699.8500,1576.0000,1685.6500,104264
2024-06-21,1700.0000,1733.0000,1645.6000,1688.5000,61519
2024-06-24,1689.0000,1702.8000,1606.7000,1687.0000,51401
2024-06-25,1676.5000,1719.0000,1652.3500,1706.1500,87021
2024-06-26,1709.9000,1709.9000,1635.5000,1665.5000,67705
2024-06-27,1648.0000,1695.7000,1622.3500,1668.6500,41637
2024-06-28,1670.0000,1691.0000,1625.0000,1685.9000,32516
2024-07-01,1684.0000,1685.9000,1640.0000,1645.6000,32319
2024-07-02,1645.6000,1672.1500,1603.7000,1655.6500,59128
2024-07-03,1660.0000,1660.0000,1620.3500,1643.7500,20635
2024-07-04,1648.0000,1710.0000,1618.0000,1695.7000,80629
2024-07-05,1693.9000,1800.0000,1674.1500,1790.2000,133347
2024-07-08,1790.0000,1803.9500,1745.0000,1777.6000,79770
2024-07-09,1776.7500,1799.0000,1732.0000,1774.5000,65164
2024-07-10,1769.3500,1769.8000,1701.0500,1723.2000,41559
2024-07-11,1723.2000,1729.1500,1673.0000,1681.2000,30448
2024-07-12,1687.0000,1721.8000,1670.0000,1700.0000,44920
2024-07-15,1713.1500,1729.0000,1652.4500,1720.0500,88094
2024-07-16,1729.9000,1729.9000,1676.0000,1683.5500,38062
2024-07-18,1683.6000,1700.0000,1661.0500,1691.3500,18377
2024-07-19,1695.7500,1707.3500,1648.0000,1684.1000,29208
2024-07-22,1675.0500,1689.9500,1631.7000,1663.2500,26065
2024-07-23,1698.0000,1823.9500,1631.3500,1669.0000,427997
2024-07-24,1680.1500,1735.9000,1680.1500,1724.5500,58009
2024-07-25,1712.0000,1729.0000,1681.0000,1691.2000,24782
2024-07-26,1690.0000,1731.9500,1670.0000,1692.3000,74513
2024-07-29,1694.8500,1745.9500,1686.0000,1707.6000,37900
2024-07-30,1719.7000,1719.7000,1678.6000,1691.7000,25608
2024-07-31,1745.0000,1758.0000,1714.0000,1731.3500,79351
2024-08-01,1755.0000,1755.0000,1715.0000,1735.0000,24496
2024-08-02,1724.5000,1828.0000,1711.1500,1821.4500,436654
2024-08-05,1798.8000,1925.8000,1748.0000,1762.9500,429080
2024-08-06,1790.0500,1843.9000,1725.6500,1744.0500,103673
2024-08-07,1840.0000,1840.0000,1789.1000,1812.8500,84016
2024-08-08,1820.7500,1860.0000,1804.8500,1827.0000,102182
2024-08-09,1836.4500,1852.0000,1815.8000,1846.7500,51275
2024-08-12,1861.3000,1872.9000,1810.1000,1818.5000,59528
2024-08-13,1848.9500,1848.9500,1776.0500,1801.6500,67847
2024-08-14,1848.9500,1848.9500,1791.0000,1820.6000,41643
2024-08-16,1799.0000,1813.9000,1783.1000,1788.5000,33517
2024-08-19,1790.0000,1815.0000,1775.0000,1794.7500,20789
2024-08-20,1808.9500,1808.9500,1735.6500,1747.4000,46038
2024-08-21,1810.4500,1870.0000,1755.0000,1794.8500,65738
2024-08-22,1794.8500,1804.6500,1780.0500,1795.1000,17094
2024-08-23,1795.1000,1803.0000,1783.0500,1796.4500,13248
2024-08-26,1797.7000,1825.0000,1796.4500,1808.9500,19054
2024-08-27,1819.9000,1869.4500,1801.0500,1820.1000,72353
2024-08-28,1850.0000,1850.9500,1740.8500,1763.6000,42273
2024-08-29,1761.0000,1771.6500,1733.6000,1747.2000,18067
2024-08-30,1748.6500,1840.0000,1735.0000,1825.9000,72393
2024-09-02,1840.0000,1849.9500,1752.9500,1771.3500,35826
2024-09-03,1790.0000,1800.0000,1752.1000,1778.8000,28767
2024-09-04,1775.0000,1775.0000,1680.0000,1684.7500,114072
2024-09-05,1715.0000,1720.0000,1653.5000,1659.6000,81954
2024-09-06,1663.9500,1667.6000,1581.4000,1588.8000,102265
2024-09-09,1588.8000,1600.0000,1533.4000,1589.1000,64981
2024-09-10,1598.0000,1690.0000,1598.0000,1678.2000,180991
2024-09-11,1645.6000,1654.6000,1600.9500,1606.0500,53674
2024-09-12,1608.0000,1626.3000,1580.2000,1586.5000,30416
2024-09-13,1588.0000,1609.9000,1565.0000,1593.3500,21086
2024-09-16,1599.0000,1610.0000,1582.5500,1603.1500,17165
2024-09-17,1599.0000,1602.8500,1565.0000,1582.1000,26317
2024-09-18,1590.0000,1590.0000,1549.6000,1553.5500,30442
2024-09-19,1565.0000,1579.3500,1489.6500,1514.4500,36902
2024-09-20,1518.0000,1591.8000,1516.0000,1557.6500,56349
2024-09-23,1550.0000,1550.0000,1489.8000,1493.6500,71659
2024-09-24,1500.0000,1573.0000,1500.0000,1557.9000,108756
2024-09-25,1570.0000,1574.5500,1508.0500,1515.5500,43475
2024-09-26,1519.2500,1530.6500,1502.8000,1505.2500,52161
2024-09-27,1511.7500,1535.0000,1511.7500,1530.5000,16900
2024-09-30,1530.5000,1560.5000,1530.5000,1546.4500,20406
2024-10-01,1571.5000,1580.0000,1553.1500,1571.6000,30995
2024-10-03,1571.6000,1574.2500,1531.1000,1546.6500,17107
2024-10-04,1541.0000,1574.0000,1480.7000,1547.4500,20108
2024-10-07,1547.9500,1550.8000,1453.5000,1460.0500,24284
2024-10-08,1460.0500,1507.0000,1444.5500,1478.8500,31114
2024-10-09,1493.1500,1522.4500,1486.0500,1512.8000,9985
2024-10-10,1512.9000,1523.3000,1492.0000,1495.4500,10220
2024-10-11,1507.6000,1508.9500,1480.0000,1493.3500,11543
2024-10-14,1493.3500,1514.9500,1480.6000,1486.8500,8277
2024-10-15,1489.9000,1505.0000,1485.9000,1496.5500,9123
2024-10-16,1508.0500,1575.7500,1507.0000,1560.6500,68318
2024-10-17,1563.0000,1567.9000,1510.0000,1524.6000,17102
