date,open,high,low,close,volume
2023-09-26,216.9000,221.0000,211.5000,212.2000,105850
2023-09-27,212.9000,214.1500,210.2000,211.9500,51574
2023-09-28,211.9500,213.6500,208.5000,209.2000,83247
2023-09-29,210.1000,212.0000,208.7500,210.0000,86002
2023-10-03,210.5000,211.9000,206.1000,207.8500,110906
2023-10-04,207.5000,211.4500,205.9000,207.4000,84341
2023-10-05,208.9500,211.4500,208.9000,210.6000,56910
2023-10-06,210.9000,233.0000,209.2000,229.4500,894878
2023-10-09,230.9000,238.4000,225.0500,232.8000,901802
2023-10-10,239.0000,239.0000,231.5000,237.3500,361260
2023-10-11,239.4500,240.7000,234.8000,236.3000,254118
2023-10-12,239.4000,239.9500,233.9500,234.7500,147859
2023-10-13,233.0000,241.0000,231.0000,237.3500,223423
2023-10-16,238.5000,245.0000,237.3500,240.8500,334422
2023-10-17,242.0000,252.6500,237.0000,244.5500,500111
2023-10-18,244.5500,255.7000,242.7000,244.6000,436476
2023-10-19,242.0000,254.9000,241.5500,252.3500,415166
2023-10-20,250.0000,257.5000,246.4500,255.0000,427051
2023-10-23,255.0000,261.0000,237.5500,240.5000,437915
2023-10-25,242.0000,246.0000,232.2500,239.9500,191466
2023-10-26,236.9500,244.6500,225.3500,242.2500,177972
2023-10-27,253.9500,263.8000,250.6500,257.1000,990529
2023-10-30,258.6500,265.0000,252.2500,261.7000,209780
2023-10-31,263.5000,265.5000,255.0000,255.9000,145576
2023-11-01,254.5000,259.9500,252.7500,253.8000,103565
2023-11-02,255.0000,258.4500,253.1500,254.8000,109262
2023-11-03,255.0000,258.9000,251.0000,253.2500,127526
2023-11-06,265.0000,276.6500,251.6000,253.6000,1091041
2023-11-07,255.0000,258.0000,250.2500,251.1500,184834
2023-11-08,253.0000,255.0000,245.5000,246.7000,213139
2023-11-09,245.5000,248.1500,242.0500,244.3000,91737
2023-11-10,243.6500,248.5000,242.7500,245.1000,100846
2023-11-13,253.4500,253.4500,244.6500,245.8500,164321
2023-11-15,249.0000,250.6500,244.5500,246.3500,76565
2023-11-16,244.1500,250.0500,244.1500,248.5000,87001
2023-11-17,248.0000,249.4000,242.1000,243.3500,169305
2023-11-20,242.9500,245.1000,234.8000,236.1500,141461
2023-11-21,237.7000,245.9000,237.5000,240.9500,175068
2023-11-22,241.0000,243.9500,237.8000,239.4500,107480
2023-11-23,240.6000,247.7500,239.8500,246.2000,103276
2023-11-24,246.5500,249.7000,242.5500,246.0500,100575
2023-11-28,246.0000,270.4500,244.9500,268.1000,927227
2023-11-29,271.7500,272.8500,260.3000,263.6000,285336
2023-11-30,263.6000,271.8500,262.1500,265.3000,220235
2023-12-01,267.5000,270.0500,258.7000,260.1500,142302
2023-12-04,264.5000,265.0000,258.7000,260.9000,73352
2023-12-05,262.8500,263.0000,253.2500,254.3000,114262
2023-12-06,255.9500,259.9000,251.3000,257.4500,166851
2023-12-07,260.5500,262.1500,253.6500,255.1500,130822
2023-12-08,255.0000,269.0000,255.0000,262.9000,321871
2023-12-11,267.0000,287.8500,266.7000,271.2500,703038
2023-12-12,273.5000,275.3000,261.2000,264.1000,160806
2023-12-13,265.2000,273.0000,255.0000,257.0000,178276
2023-12-14,260.2000,269.0000,257.2000,263.1500,183634
2023-12-15,265.0000,272.8500,265.0000,270.4000,232776
2023-12-18,271.2000,282.0500,268.8000,272.0500,363347
2023-12-19,274.7000,274.7000,266.5000,270.0500,107323
2023-12-20,270.9000,274.6000,250.3000,252.6000,334894
2023-12-21,250.0000,258.9500,247.0500,256.0500,138802
2023-12-22,258.0000,263.2500,255.1000,258.4500,99844
2023-12-26,259.9500,268.9500,257.0000,263.2500,113843
2023-12-27,263.2500,270.1000,263.2500,268.4500,125794
2023-12-28,268.4500,275.0000,260.4000,262.3000,197553
2023-12-29,263.9500,264.8000,258.1000,262.3500,130616
2024-01-01,266.3000,268.2500,257.5500,263.2500,238749
2024-01-02,263.2500,272.0000,263.2500,270.0500,210033
2024-01-03,271.1500,271.1500,264.0000,266.5500,77169
2024-01-04,268.4000,290.0000,266.0000,281.7000,841277
2024-01-05,282.7000,288.5000,275.3000,277.5000,292017
2024-01-08,279.7500,279.7500,260.3500,262.9000,249761
2024-01-09,264.9000,268.1500,263.1500,264.8500,138834
2024-01-10,264.9500,265.1500,260.0000,262.9000,91251
2024-01-11,264.7000,269.5000,260.6000,267.4000,127067
2024-01-12,269.0000,269.0000,261.0000,262.4500,98470
2024-01-15,262.4500,262.4500,262.4500,262.4500,0
2024-01-16,264.6500,264.6500,255.0500,259.9500,129001
2024-01-17,256.0500,266.4500,255.0500,264.5000,129208
2024-01-18,263.5000,265.3500,255.1500,260.9000,105559
2024-01-19,262.8000,264.5500,251.2500,256.2000,133017
2024-01-23,261.4500,267.3000,252.0000,254.2500,169733
2024-01-24,257.0000,257.0000,250.7000,252.4000,110691
2024-01-25,253.4000,256.1500,252.4000,255.0500,77016
2024-01-29,255.3500,264.8000,252.4000,259.7000,151504
2024-01-30,261.9500,261.9500,255.5000,256.4000,65575
2024-01-31,257.1000,262.0500,255.3500,256.3000,61667
2024-02-01,258.2500,258.2500,253.0000,254.1000,76191
2024-02-02,258.6500,264.0500,252.9500,261.7000,176996
2024-02-05,263.0000,263.7000,252.6000,255.4500,135980
2024-02-06,249.2500,249.2500,232.0500,236.3500,599049
2024-02-07,236.3500,241.3000,235.3000,237.5500,109764
2024-02-08,237.5500,242.0000,235.9500,236.8000,95782
2024-02-09,238.5000,239.4500,230.0000,233.5000,76012
2024-02-12,233.5000,234.2000,221.0000,223.6000,167207
2024-02-13,226.8000,235.6500,223.9500,233.4500,116185
2024-02-14,227.2500,236.1500,225.1500,234.3000,107799
2024-02-15,235.9000,237.9500,230.9500,235.4000,72904
2024-02-16,234.4500,242.0000,234.4500,240.1500,57632
2024-02-19,238.0000,247.3500,236.9000,244.4500,67055
2024-02-20,244.4500,252.0000,244.4000,246.2500,74424
2024-02-21,247.4500,250.1000,240.0000,240.8000,46272
2024-02-22,242.0000,250.0000,241.0000,245.0500,81626
2024-02-23,246.3000,246.3000,236.2000,240.1500,113757
2024-02-26,240.9000,250.0000,238.2000,241.3000,104387
2024-02-27,242.9500,248.0000,238.3500,240.3000,85151
2024-02-28,241.5500,248.0000,235.4000,237.0000,67753
2024-02-29,238.2500,245.0000,237.6000,239.8000,58408
2024-03-01,239.2500,247.0000,239.2500,242.0500,63312
2024-03-04,244.9500,248.7000,240.2500,242.1500,77575
2024-03-05,242.5000,248.0000,235.0000,235.1500,97001
2024-03-06,236.0000,242.0000,232.2000,234.8000,127252
2024-03-07,235.0000,242.0000,234.2500,236.0000,66215
2024-03-11,236.2000,241.0000,231.9500,233.4000,65011
2024-03-12,233.4000,240.5000,220.4500,222.6000,141426
2024-03-13,223.0000,231.0000,196.9500,201.6000,298889
2024-03-14,198.6500,226.0000,198.6500,218.3000,126833
2024-03-15,218.0000,226.0000,212.2500,219.4000,77594
2024-03-18,218.6500,227.0000,216.2500,218.1000,83574
2024-03-19,219.2500,226.9500,219.2500,221.8000,81090
2024-03-20,222.0000,237.3500,215.5000,235.0000,105691
2024-03-21,232.6500,236.8500,225.3000,227.4500,64594
2024-03-22,228.6500,243.5500,228.6000,235.5500,104066
2024-03-26,236.7500,240.1000,230.0000,234.2500,51557
2024-03-27,234.6500,238.1500,222.2500,224.5000,86213
2024-03-28,225.6500,234.7000,221.0500,223.9000,96301
2024-04-01,224.1500,238.7500,224.1500,237.0500,62877
2024-04-02,238.0000,240.1500,233.0000,239.6500,41584
2024-04-03,238.5500,244.0000,238.4000,241.9000,58342
2024-04-04,242.9500,244.4500,238.9500,241.2000,33177
2024-04-05,240.0500,243.5000,238.0000,242.5500,54307
2024-04-08,243.7500,249.3500,231.3000,232.5000,168655
2024-04-09,233.7000,234.9500,229.9000,231.0000,29790
2024-04-10,232.2000,234.1000,228.7000,232.1500,53285
2024-04-12,232.6500,234.0000,227.9000,229.2000,79940
2024-04-15,226.9000,229.3000,218.5500,224.4000,77312
2024-04-16,222.5000,234.0000,222.5000,232.0000,218022
2024-04-18,233.1000,240.0000,228.0000,233.4000,64360
2024-04-19,230.0000,239.4500,229.9500,235.4000,66495
2024-04-22,237.6500,243.1500,234.9500,240.8000,61028
2024-04-23,242.0500,242.9500,236.9000,239.7000,46170
2024-04-24,239.7500,245.9500,237.5500,242.1000,61237
2024-04-25,243.0000,244.1500,240.0000,241.5000,23777
2024-04-26,241.5000,242.8000,234.9500,236.8500,71894
2024-04-29,238.1000,245.0000,237.0500,242.8000,64569
2024-04-30,243.8000,243.8000,238.8000,239.9000,36425
2024-05-02,240.9000,242.4500,237.0500,237.7500,33028
2024-05-03,239.4500,239.9500,233.6000,236.2500,45295
2024-05-06,237.9000,242.0000,234.3000,236.3500,28772
2024-05-07,236.6000,236.6000,224.6500,227.5500,108325
2024-05-08,227.5500,230.9500,223.9500,228.2000,43568
2024-05-09,228.7000,229.5500,222.0000,223.1000,50102
2024-05-10,220.8500,226.3000,220.8500,225.2500,20526
2024-05-13,225.2500,226.2500,220.3000,224.2500,32442
2024-05-14,224.4500,235.2000,224.3000,230.3000,30541
2024-05-15,231.3000,233.4000,229.3000,232.2000,24591
2024-05-16,230.2000,233.6500,229.0000,231.2500,23752
2024-05-17,231.9500,232.9500,227.3000,228.6500,54621
2024-05-21,227.8500,228.4000,225.0000,225.8000,36385
2024-05-22,225.0500,227.4500,223.1500,224.4000,36022
2024-05-23,224.7000,231.1500,224.0500,229.4500,42660
2024-05-24,227.8500,229.9500,223.6500,224.2000,41493
2024-05-27,224.2500,228.7000,223.3000,225.4500,30778
2024-05-28,225.0500,231.6500,224.7000,230.3000,64766
2024-05-29,230.3000,234.5500,229.1000,231.5500,35222
2024-05-30,230.5000,232.3000,228.3000,230.4500,31050
2024-05-31,220.5000,231.6000,220.5000,223.2500,160860
2024-06-03,232.0000,232.0000,211.3000,214.3500,114295
2024-06-04,217.0000,221.6000,199.8000,208.2500,145109
2024-06-05,208.0000,230.0000,206.1500,225.8500,76185
2024-06-06,228.7500,232.0000,226.4000,230.1500,49470
2024-06-07,228.9500,235.5000,228.6000,231.8500,49978
2024-06-10,231.5000,250.0000,226.0500,243.2600,236554
2024-06-11,245.0000,254.6000,244.6100,246.1400,336570
2024-06-12,252.0000,280.0000,251.9900,255.4000,419731
2024-06-13,257.9500,266.0000,255.5000,257.0000,187681
2024-06-14,260.0500,265.7800,257.8400,259.8700,128397
2024-06-18,260.0000,268.7000,259.0400,265.3800,182372
2024-06-19,270.0000,271.8000,261.1000,264.1500,157761
2024-06-20,264.1500,275.0000,264.1000,271.1200,342731
2024-06-21,272.2400,280.0000,268.4000,271.8300,172050
2024-06-24,271.5000,271.8600,263.1500,266.4400,139186
2024-06-25,266.5500,269.8500,260.9000,261.3000,52672
2024-06-26,262.2900,263.0000,252.2500,254.8500,83524
2024-06-27,255.0000,258.9400,243.1000,244.7500,142030
2024-06-28,246.4900,250.9000,244.0200,249.2700,80212
2024-07-01,250.3000,262.0000,249.6100,251.4600,96114
2024-07-02,252.0000,301.7500,251.5200,298.4600,1804677
2024-07-03,306.0000,328.4600,294.8100,299.8900,2787071
