date,open,high,low,close,volume
2026-08-18,5.0200,5.0200,4.3300,4.5800,104322
2026-08-19,4.5800,4.7500,4.2300,4.3700,73072
2026-08-20,4.5000,4.7100,3.8500,4.6000,72001
2026-08-21,4.7100,4.7100,4.1500,4.5200,11677
2026-08-24,4.4300,4.5200,4.4000,4.4100,19385
2026-08-25,4.2700,4.3900,4.1600,4.2700,25881
2026-08-26,4.2700,4.4800,4.2100,4.2900,19573
2026-08-27,4.2300,4.5600,4.2100,4.3200,12036
2026-08-28,4.4200,4.4200,4.1500,4.2400,19182
2026-08-31,4.0400,4.5600,4.0400,4.2600,52549
2026-09-01,4.2600,4.5200,4.1700,4.3500,20130
2026-09-02,4.4500,4.4500,4.2000,4.3200,16175
2026-09-03,4.3800,4.5700,4.2000,4.3500,30291
2026-09-04,4.3300,4.5900,4.2100,4.3300,17330
2026-09-07,4.3500,5.1700,4.2100,4.5700,122265
2026-09-08,4.9800,4.9800,4.3200,4.6900,77720
2026-09-09,4.7700,5.0900,4.2500,4.4600,219304
2026-09-10,4.2800,4.7000,3.8000,4.1400,101237
2026-09-11,4.2400,4.4000,4.2000,4.3100,25752
2026-09-14,4.3100,4.3100,4.3100,4.3100,0
2026-09-15,4.4000,4.4000,4.0700,4.2900,12333
2026-09-16,4.4000,4.4000,4.0600,4.1100,31101
2026-09-17,4.2100,4.3000,4.0100,4.1200,26732
2026-09-18,4.4000,4.4000,4.0800,4.1800,31872
2026-09-21,4.4000,4.5500,4.0000,4.2200,40600
