date,open,high,low,close,volume
2023-09-25,18.4500,18.6000,18.1000,18.2000,12966289
2023-09-26,18.3000,19.1500,18.1500,18.4000,25139753
2023-09-27,18.4500,18.7500,18.2500,18.6500,15082775
2023-09-28,18.8000,18.9000,18.3000,18.4000,9596276
2023-09-29,18.5000,18.7000,18.2000,18.3000,15434948
2023-10-03,18.4000,18.5000,18.1000,18.1500,13734907
2023-10-04,18.1500,18.2000,17.6000,17.8000,14493877
2023-10-05,17.9000,18.4500,17.8000,18.0000,19042387
2023-10-06,18.1000,18.1500,17.7500,17.9000,9156612
2023-10-09,17.7500,17.7500,17.1000,17.3000,11168816
2023-10-10,17.3500,17.6500,17.3000,17.5000,12948177
2023-10-11,17.6000,18.8000,17.4500,18.5000,43714000
2023-10-12,18.6000,19.2500,18.3000,18.8000,27609764
2023-10-13,18.6500,18.9500,18.3500,18.4500,12463423
2023-10-16,18.5000,18.6000,18.1500,18.5000,15127314
2023-10-17,18.6000,18.8000,18.2000,18.4500,11883169
2023-10-18,18.4500,18.7000,18.0000,18.2000,14064022
2023-10-19,18.1500,18.2000,17.7000,17.9000,13101078
2023-10-20,17.9000,18.2500,17.4500,17.5500,19339672
2023-10-23,17.6000,17.7000,16.4500,16.6000,14073966
2023-10-25,16.7000,17.1000,15.9000,16.2500,12434200
2023-10-26,16.2500,16.5000,15.5000,16.3500,12058605
2023-10-27,16.4000,17.5000,16.4000,16.9000,15867206
2023-10-30,16.9000,17.2000,16.5500,17.0500,6990824
2023-10-31,17.1500,17.2500,16.8500,16.9500,6702385
2023-11-01,17.0000,17.2500,16.5500,16.8000,9320958
2023-11-02,16.9000,17.1000,16.6000,16.7500,12738631
2023-11-03,16.8500,17.4000,16.8500,17.1000,18853366
2023-11-06,17.2000,18.6000,17.0500,18.2500,48094085
2023-11-07,18.3500,18.4000,17.7500,17.9000,16645385
2023-11-08,18.0000,18.4000,17.8500,18.2000,16717222
2023-11-09,18.0000,18.3000,17.7000,17.8000,14049543
2023-11-10,17.8000,18.2000,17.5000,17.8500,11194741
2023-11-13,17.9000,18.1000,17.7000,17.8000,9957999
2023-11-15,18.1000,18.2000,17.6000,17.6500,20594782
2023-11-16,17.7500,19.4500,17.7000,19.0000,102064816
2023-11-17,19.3500,20.2500,18.8500,19.3500,135238722
2023-11-20,19.5000,20.1000,18.8000,19.1500,42482323
2023-11-21,19.3500,19.5500,18.8000,19.0000,24410430
2023-11-22,19.1000,20.1500,18.9000,19.5000,74680323
2023-11-23,19.6500,20.6500,19.2000,20.4000,106116177
2023-11-24,20.6000,20.6000,19.6000,20.0000,43141378
2023-11-28,20.0000,20.5500,19.6500,19.8500,38718266
2023-11-29,19.9500,20.3500,19.5500,19.6500,30323587
2023-11-30,19.9500,20.0000,18.6000,18.7500,40792925
2023-12-01,18.9000,19.1500,18.6500,18.7500,28333072
2023-12-04,19.1000,19.2500,18.5500,18.7000,30987132
2023-12-05,18.9500,19.2000,18.2000,18.3500,31112788
2023-12-06,18.5000,18.9000,18.2500,18.5500,28768806
2023-12-07,18.5500,19.5000,18.4500,19.1500,55555980
2023-12-08,19.1500,19.6500,18.5500,19.3500,52066959
2023-12-11,19.4000,20.3000,19.0500,20.0500,82831629
2023-12-12,20.2000,21.5000,20.1000,20.9500,132760109
2023-12-13,21.0000,21.9500,20.6500,21.1500,104046179
2023-12-14,21.5000,21.7500,20.7500,21.2000,74693091
2023-12-15,21.2000,21.7500,20.7500,20.8500,48066866
2023-12-18,20.8000,21.5500,20.3500,21.4000,55112509
2023-12-19,21.5000,21.6000,20.8000,20.9000,33223230
2023-12-20,21.0000,21.0500,18.5000,18.8000,65169238
2023-12-21,18.5000,19.8000,18.3000,19.6500,43785476
2023-12-22,19.8000,20.1000,19.2000,19.7500,33713955
2023-12-26,19.8500,19.8500,19.1000,19.3500,18360746
2023-12-27,19.4500,20.5000,19.0500,19.2500,44375642
2023-12-28,19.4000,19.4000,18.3500,18.5000,42659961
2023-12-29,18.6000,18.8000,18.1500,18.3000,36987606
2024-01-01,18.4000,19.5500,18.4000,19.3500,42163867
2024-01-02,19.3000,19.4500,18.6500,19.1000,48394222
2024-01-03,19.2000,19.2500,18.7500,18.8500,22824899
2024-01-04,19.0000,19.8500,18.9000,19.5000,56068684
2024-01-05,19.7000,21.8500,19.6500,21.6500,236293090
2024-01-08,22.0500,23.6500,21.7000,23.0500,243515889
2024-01-09,22.3500,23.1000,21.5000,22.0000,189284481
2024-01-10,22.1000,24.1500,21.7500,23.8000,233768614
2024-01-11,24.0500,24.8000,23.4000,23.8000,153938380
2024-01-12,23.9000,23.9500,22.6000,22.8000,53111916
2024-01-15,22.9500,23.1500,20.8000,21.0000,69263615
2024-01-16,21.2000,21.9000,20.3500,21.2500,52654363
2024-01-17,20.4500,21.7500,20.3500,20.4500,48383122
2024-01-18,20.4500,21.6500,19.3500,21.2000,52769717
2024-01-19,21.4000,21.6000,19.9000,20.3000,50465516
2024-01-23,18.5000,19.8000,18.3500,18.8000,84896927
2024-01-24,19.1000,19.4000,18.8000,19.2500,43946692
2024-01-25,19.3500,19.6500,18.8000,19.0000,29993655
2024-01-29,19.2000,19.7500,18.9500,19.4500,31421332
2024-01-30,19.5500,20.6500,19.2500,20.0000,65437702
2024-01-31,20.1000,20.6000,19.7000,19.8500,39269714
2024-02-01,19.9000,20.3500,19.8500,20.1500,32909067
2024-02-02,20.4500,20.9000,19.8000,19.9000,52368482
2024-02-05,20.1500,20.6000,19.6000,19.7500,44280959
2024-02-06,19.8500,20.0500,19.5500,19.8500,28335284
2024-02-07,20.0000,21.1500,19.9500,20.8500,71921501
2024-02-08,21.3000,22.2000,20.8500,21.8000,127706114
2024-02-09,22.1000,22.7500,20.3000,21.9500,144056788
2024-02-12,21.4000,22.5000,19.2000,19.6500,85380270
2024-02-13,19.9500,20.0500,18.8000,19.5000,49358422
2024-02-14,19.4500,20.4000,19.1500,20.0500,45438416
2024-02-15,20.2500,22.0000,20.1000,21.5000,95299345
2024-02-16,21.5500,24.4000,21.4000,23.5000,268383716
2024-02-19,23.6000,24.4000,23.0000,23.7500,125871675
2024-02-20,24.0000,26.0500,23.7000,24.7500,208357544
2024-02-21,24.0000,24.6500,22.7500,23.1000,118345104
2024-02-22,23.4000,23.9000,22.3500,23.7500,81787474
2024-02-23,24.0000,24.5000,23.3500,23.5000,66846374
2024-02-26,23.7000,23.8500,22.5000,22.6500,41304891
2024-02-27,22.7000,22.7500,21.7500,21.8500,34428659
2024-02-28,22.1000,22.8000,20.7000,21.2500,61378930
2024-02-29,21.4000,21.7500,20.6500,21.4500,48938935
2024-03-01,21.8000,21.9000,20.8500,21.0000,31977586
2024-03-04,21.7000,21.7000,20.6500,20.8000,21422587
2024-03-05,20.7500,21.0000,20.2500,20.4000,27941010
2024-03-06,20.4000,20.4500,19.2500,19.6000,39559613
2024-03-07,19.6000,20.4500,19.6000,20.1500,33567307
2024-03-11,20.2000,20.3500,19.0500,19.2000,30251191
2024-03-12,19.3000,19.5000,18.1500,18.5500,49959883
2024-03-13,18.6500,19.0000,16.1000,16.4000,86353738
2024-03-14,16.5000,18.3000,16.3500,17.7000,69225887
2024-03-15,17.8500,18.2000,16.9500,17.6500,55708887
2024-03-18,17.9000,18.0000,17.1500,17.3500,31561119
2024-03-19,17.3000,17.8500,16.6000,16.7500,44200900
2024-03-20,17.0000,17.1500,16.5000,16.6500,47030313
