date,open,high,low,close,volume
2023-09-18,328.0500,331.1500,322.6000,323.5000,113023
2023-09-20,323.5000,326.9000,315.1000,317.8000,144412
2023-09-21,315.5000,323.8000,315.5000,317.7500,146241
2023-09-22,318.9500,323.2500,312.2500,321.0500,149460
2023-09-25,320.0000,322.7500,317.0000,318.8500,86050
2023-09-26,319.8000,323.3000,318.1500,319.3000,72149
2023-09-27,319.0000,323.1500,317.6500,320.0500,75234
2023-09-28,320.5500,327.8000,320.5500,321.9000,123125
2023-09-29,323.0000,324.4000,320.4500,321.6000,71243
2023-10-03,323.9000,323.9000,317.4500,318.7500,107776
2023-10-04,318.0000,320.4000,313.8500,315.5000,97261
2023-10-05,318.6500,321.9500,316.1000,321.2000,106260
2023-10-06,324.0000,339.5000,321.0500,336.3500,648299
2023-10-09,335.0000,335.0000,323.0000,324.9500,171601
2023-10-10,325.9000,330.5000,316.7500,320.2000,224399
2023-10-11,324.4000,326.0500,320.4500,322.6500,80706
2023-10-12,324.9500,329.8000,322.0000,322.8000,109579
2023-10-13,319.5000,329.6000,318.2000,324.5000,125222
2023-10-16,326.0000,332.5000,320.1000,326.4500,214633
2023-10-17,329.0000,332.1000,325.2000,327.9000,128360
2023-10-18,329.8500,336.9500,326.0000,328.3000,230272
2023-10-19,327.9500,327.9500,321.6000,325.9500,87340
2023-10-20,326.0000,338.9000,324.0000,325.0000,267381
2023-10-23,325.0000,327.4500,300.0500,302.3000,313290
2023-10-25,308.9500,312.3000,285.1000,292.1000,333836
2023-10-26,288.0000,302.2000,280.0500,295.3000,221165
2023-10-27,299.5000,305.7000,296.1000,298.5000,158646
2023-10-30,297.9500,301.3500,290.5000,293.7500,242959
2023-10-31,293.7500,298.7500,291.3000,293.3000,122659
2023-11-01,295.0000,298.4000,292.6500,294.1500,98565
2023-11-02,295.2500,302.0000,294.1500,300.4000,107494
2023-11-03,304.0000,308.1500,297.4000,298.8500,192154
2023-11-06,300.8000,304.6500,299.7500,301.3000,108985
2023-11-07,303.6000,303.6000,298.8500,299.9500,93406
2023-11-08,299.9500,308.0000,298.2500,301.5000,153018
2023-11-09,304.0000,304.0000,296.2500,299.9000,150688
2023-11-10,298.0000,303.8000,298.0000,301.9000,56870
2023-11-13,306.0000,310.4000,305.0000,307.4500,101776
2023-11-15,309.9000,321.0000,309.0000,316.1000,290406
