date,open,high,low,close,volume
2023-09-25,35.5850,35.5850,35.5000,35.5850,220
2023-09-26,36.2950,36.2950,36.2950,36.2950,30
2023-09-27,37.0200,37.0200,37.0200,37.0200,80
2023-09-28,37.7600,37.7600,37.7600,37.7600,510
2023-09-29,38.5150,38.5150,38.5150,38.5150,880
2023-10-03,39.2850,39.2850,39.2800,39.2850,180
2023-10-04,40.0700,40.0700,40.0700,40.0700,720
2023-10-05,40.8700,40.8700,40.8700,40.8700,40
2023-10-06,41.6850,41.6850,41.6850,41.6850,320
2023-10-09,42.5150,42.5150,42.5150,42.5150,330
2023-10-10,43.3650,43.3650,43.3650,43.3650,80
2023-10-11,44.2300,44.2300,44.2300,44.2300,140
2023-10-12,45.1100,45.1100,44.3000,45.1100,220
2023-10-13,46.0100,46.0100,46.0000,46.0100,3970
2023-10-16,46.9300,46.9300,46.9300,46.9300,1190
2023-10-17,47.8650,47.8650,47.8000,47.8650,350
2023-10-18,48.8200,48.8200,48.8200,48.8200,10
2023-10-19,49.7000,49.7950,49.7000,49.7000,1220
2023-10-20,50.6900,50.6900,50.6900,50.6900,510
2023-10-23,51.7000,51.7000,51.7000,51.7000,380
2023-10-25,52.7300,52.7300,52.7300,52.7300,30
2023-10-26,53.7800,53.7800,53.7800,53.7800,240
2023-10-27,54.8550,54.8550,54.8550,54.8550,160
2023-10-30,55.9500,55.9500,55.9200,55.9500,300
2023-10-31,57.0650,57.0650,57.0650,57.0650,550
2023-11-01,58.2050,58.2050,58.2050,58.2050,250
2023-11-02,59.3650,59.3650,59.3650,59.3650,270
2023-11-03,60.5500,60.5500,60.5500,60.5500,1358830
2023-11-06,61.7600,61.7600,61.7000,61.7600,90
2023-11-07,62.9950,62.9950,62.9950,62.9950,580
2023-11-08,64.2500,64.2500,64.2500,64.2500,150
2023-11-09,65.5350,65.5350,65.5300,65.5350,190
2023-11-10,66.8450,66.8450,66.8450,66.8450,320
2023-11-13,69.5400,69.5400,69.5350,69.5400,450
2023-11-15,70.9300,70.9300,70.9300,70.9300,590
2023-11-16,72.3450,72.3450,72.3450,72.3450,70
2023-11-17,73.7000,73.7000,73.7000,73.7000,160
2023-11-20,75.1700,75.1700,75.1700,75.1700,640
2023-11-21,76.6700,76.6700,76.6700,76.6700,20600
2023-11-22,78.2000,78.2000,78.0000,78.2000,260
2023-11-23,79.7500,79.7600,79.7500,79.7500,90
2023-11-24,81.3450,81.3450,81.3450,81.3450,720
2023-11-28,82.9700,82.9700,82.9700,82.9700,1460
2023-11-29,84.6250,84.6250,84.6250,84.6250,1080
2023-11-30,86.3150,86.3150,86.3150,86.3150,1100
2023-12-01,88.0400,88.0400,88.0400,88.0400,1370
2023-12-04,89.8000,89.8000,89.8000,89.8000,1690
2023-12-05,91.5950,91.5950,91.5950,91.5950,1440
2023-12-06,93.4250,93.4250,93.4250,93.4250,1380
2023-12-07,95.2900,95.2900,95.2900,95.2900,1270
2023-12-08,97.1950,97.1950,97.1950,97.1950,1960
2023-12-11,99.1350,99.1350,99.1350,99.1350,1260
2023-12-12,101.1150,101.1150,101.1150,101.1150,1650
2023-12-13,103.1350,103.1350,103.1350,103.1350,17370
2023-12-14,105.1950,105.1950,105.1950,105.1950,1190
2023-12-15,107.2950,107.2950,107.2950,107.2950,1200
2023-12-18,109.4400,109.4400,109.4400,109.4400,1670
