date,open,high,low,close,volume
2023-09-25,679.8000,680.0000,665.0000,673.9500,16561
2023-09-26,686.0000,707.6000,674.0500,694.6000,41835
2023-09-27,694.6500,708.0000,684.7500,701.9000,37766
2023-09-28,705.7000,736.8000,687.0000,694.3500,100972
2023-09-29,700.5000,717.0000,690.1000,695.4000,27817
2023-10-03,693.7500,717.0000,693.5000,700.0000,25809
2023-10-04,699.6000,708.7000,681.3500,693.8500,30030
2023-10-05,699.0500,728.5000,698.0000,728.5000,52586
2023-10-06,742.0000,764.9000,712.1000,764.3000,164663
2023-10-09,744.0000,760.9000,710.0000,718.7000,115664
2023-10-10,730.9500,744.0000,720.0000,724.0500,53701
2023-10-11,725.0000,737.8500,721.1500,724.9000,21903
2023-10-12,730.7000,758.8000,717.2000,726.5000,73083
2023-10-13,720.0000,743.0000,718.1000,722.5000,31497
2023-10-16,720.1000,736.9000,715.1500,720.2500,27184
2023-10-17,725.3000,728.0000,716.0000,719.4500,24948
2023-10-18,729.8500,729.8500,692.1500,697.6000,48261
2023-10-19,697.6000,708.9500,680.1000,685.7000,44704
2023-10-20,686.5500,693.8000,655.3000,666.1000,56335
2023-10-23,667.0000,684.4000,655.5500,658.3500,33417
2023-10-25,700.0000,700.0000,647.3000,664.4500,36751
2023-10-26,664.0000,664.1500,628.0500,651.9500,49580
2023-10-27,656.7000,782.0000,656.6500,727.1000,281216
2023-10-30,748.0000,752.8000,727.1500,732.4000,78960
2023-10-31,730.0000,849.0000,730.0000,800.0000,554260
2023-11-01,741.0000,744.0000,682.0500,689.4000,403527
2023-11-02,697.9500,707.8500,641.0000,650.5000,126356
2023-11-03,657.1000,697.7000,652.7500,664.5000,91406
2023-11-06,682.0000,683.0500,670.0000,673.7500,22935
2023-11-07,684.0000,684.0000,668.0000,671.1500,19945
2023-11-08,669.0000,677.8000,660.0000,663.3500,17819
2023-11-09,668.5500,668.5500,656.0000,656.9500,16536
2023-11-10,656.9500,675.0000,656.9500,666.5000,20017
2023-11-13,679.0000,679.0000,660.2500,666.1000,10946
2023-11-15,670.0000,677.6000,660.0000,660.7500,22301
2023-11-16,671.0000,671.0000,661.0500,662.9000,15285
2023-11-17,662.9500,671.6500,660.0000,662.0500,16538
2023-11-20,667.8000,669.0000,660.0000,660.5500,16504
2023-11-21,661.8000,670.5500,660.0000,661.5000,11720
2023-11-22,661.5500,667.9500,660.0000,660.6500,10514
2023-11-23,660.0000,664.0000,638.0500,644.8500,21360
2023-11-24,659.7500,670.0000,646.0000,663.6500,16223
2023-11-28,662.0000,662.0000,640.0000,645.7500,20751
2023-11-29,640.1500,654.0500,618.0000,622.0000,30996
2023-11-30,625.8000,639.1000,592.9500,596.4000,68681
2023-12-01,609.9500,682.0000,608.0500,662.2000,122405
2023-12-04,674.0000,691.9500,655.0000,660.8000,31418
2023-12-05,666.4000,669.0000,637.0000,638.5000,27492
2023-12-06,640.0000,651.9500,633.1000,639.2500,19075
2023-12-07,647.9000,650.8000,636.0000,645.8500,11907
2023-12-08,650.0000,652.1000,629.0000,631.7000,18964
2023-12-11,631.7000,638.9500,625.0000,629.5500,10546
2023-12-12,629.5500,647.9000,629.5500,634.5000,14018
2023-12-13,635.0000,650.0000,615.0500,646.5500,25051
2023-12-14,649.0000,649.5000,635.4500,638.0500,18612
2023-12-15,647.0000,648.3500,641.8500,644.9000,15036
2023-12-18,645.4500,658.0000,645.4000,648.4000,17663
2023-12-19,658.0000,658.0000,633.0000,639.4500,11483
2023-12-20,638.1500,645.3500,618.0000,622.6500,19633
2023-12-21,625.0000,634.8000,617.2000,626.2000,17961
2023-12-22,634.9000,642.0500,621.0000,630.1500,11650
2023-12-26,641.9500,641.9500,614.9500,623.3500,15205
2023-12-27,620.4500,639.0000,617.5500,623.8500,8745
2023-12-28,623.8500,630.8500,605.4500,616.8000,12858
2023-12-29,626.9500,626.9500,617.0000,619.8500,8569
2024-01-01,623.0000,666.0000,617.1000,639.8000,47907
2024-01-02,645.0500,674.0000,638.0500,666.2000,58199
2024-01-03,677.0000,678.0000,655.2500,658.6500,16289
2024-01-04,658.6500,663.4000,635.4000,646.7000,20914
2024-01-05,655.0000,661.9000,641.0000,647.6500,25637
2024-01-08,647.6500,663.2000,643.2000,647.6000,13943
2024-01-09,649.0000,649.0000,635.4000,641.6500,15259
2024-01-10,641.5000,690.0000,635.0500,685.6000,151440
2024-01-11,700.0000,713.8500,676.5000,685.3000,81315
2024-01-12,690.0000,700.0000,679.9000,694.4500,35094
2024-01-15,708.0000,708.0000,684.5500,689.0000,18377
2024-01-16,697.0000,701.1500,636.5500,656.9500,37312
2024-01-17,659.4000,703.3500,640.0000,691.0000,38002
2024-01-18,693.0000,693.0000,662.1000,676.0500,17542
2024-01-19,688.9000,708.0000,663.4000,671.7500,56304
2024-01-23,684.8500,686.0000,623.9000,633.9500,35040
2024-01-24,643.9000,655.9500,637.1500,653.9000,18645
2024-01-25,653.9000,685.0000,653.9000,661.1500,19410
2024-01-29,672.8500,676.8000,647.0500,652.2500,21073
2024-01-30,652.2500,663.8000,641.5500,645.7000,15947
2024-01-31,656.2000,661.0000,642.0500,652.7000,12808
2024-02-01,675.0000,675.0000,650.1000,662.2000,16390
