date,open,high,low,close,volume
2023-09-25,238.9250,239.0000,230.5000,231.7000,28024
2023-09-26,231.6500,231.7000,225.0000,227.2250,52586
2023-09-27,225.0000,229.9250,224.9500,228.7500,28170
2023-09-28,229.0000,230.4000,222.7500,225.9000,29786
2023-09-29,225.5000,230.0000,225.0250,227.0750,45824
2023-10-03,227.4750,230.0000,225.1000,227.1250,39002
2023-10-04,228.6750,228.6750,220.0000,223.1250,58124
2023-10-05,223.4500,224.8000,218.1250,221.3500,42636
2023-10-06,222.5000,224.4000,220.6250,222.3250,29768
2023-10-09,216.1000,217.5000,211.2250,211.3500,133114
2023-10-10,206.0250,221.4500,206.0250,215.5500,53476
2023-10-11,218.6750,226.3250,218.0000,226.3250,32108
2023-10-12,237.5000,237.6250,237.0000,237.6250,27002
2023-10-13,244.6250,249.5000,237.5000,240.7750,113326
2023-10-16,240.7750,246.7500,237.0000,238.5000,50436
2023-10-17,242.3000,242.7000,237.5000,238.9250,30172
2023-10-18,238.9250,238.9250,230.5000,233.8000,39944
2023-10-19,227.5750,237.0000,227.5750,235.6000,34848
2023-10-20,235.4750,236.9750,230.5000,234.0750,33822
2023-10-23,233.9750,234.0000,222.3750,223.1750,58016
2023-10-25,223.1750,226.8750,212.0250,218.0500,54502
2023-10-26,216.6000,221.5000,207.1500,217.7500,73530
2023-10-27,217.3750,228.6250,216.9750,228.2000,39886
2023-10-30,233.0000,233.0000,222.5500,225.8000,27316
2023-10-31,229.2500,229.2500,220.0000,222.9750,22390
2023-11-01,223.2000,226.2250,220.0000,221.0500,20572
2023-11-02,222.5000,227.3500,220.0000,221.2000,27094
2023-11-03,221.2750,232.1000,221.2000,225.8250,29124
2023-11-06,229.2250,229.5000,225.5000,227.9500,35144
2023-11-07,229.5000,230.0000,221.0000,224.0500,38568
2023-11-08,226.5000,230.0000,222.5000,227.5250,31698
2023-11-09,228.5000,229.9500,221.0000,223.6250,55100
2023-11-10,212.4500,212.4500,212.4500,212.4500,34976
2023-11-13,191.7500,211.4500,191.7500,194.9750,400070
2023-11-15,197.0750,204.7000,197.0750,204.7000,85040
2023-11-16,213.4750,214.9250,208.9750,214.9250,95602
2023-11-17,221.4000,221.4750,209.4750,211.9250,105138
2023-11-20,212.7000,212.7000,205.0000,207.6500,68786
2023-11-21,210.0000,210.0000,200.0000,203.4250,83982
2023-11-22,204.9500,204.9500,195.8500,198.6000,90854
2023-11-23,201.4500,203.8500,199.5000,201.2750,43214
2023-11-24,201.5000,204.6750,198.4500,200.2000,52036
2023-11-28,207.4750,207.4750,200.1500,201.0500,49854
2023-11-29,202.9500,202.9500,197.5000,200.7000,44178
2023-11-30,200.7000,204.8000,197.5000,198.6500,54950
2023-12-01,197.5250,204.0000,197.5000,202.1750,90940
2023-12-04,211.4500,212.2750,207.5250,211.7250,190098
2023-12-05,212.5000,218.5000,207.7750,213.9750,96706
2023-12-06,214.5250,216.2500,209.0250,210.1500,56842
2023-12-07,207.5250,217.5000,207.5250,209.5500,57892
2023-12-08,213.9750,214.0000,207.5500,209.3750,41800
2023-12-11,213.5000,213.5000,209.0000,211.0250,57730
2023-12-12,212.5000,212.5000,209.9750,210.1750,38360
2023-12-13,212.0000,213.4750,208.0000,209.3750,42300
2023-12-14,210.5250,212.5000,205.5000,207.7000,55892
2023-12-15,207.7250,219.5000,207.7250,212.9500,101316
2023-12-18,212.9250,215.0000,210.0500,211.6000,44808
2023-12-19,211.6000,215.5000,210.0250,211.4750,39024
2023-12-20,214.8500,214.8500,204.6250,205.5750,61098
2023-12-21,203.0000,209.4750,203.0000,205.1500,58722
2023-12-22,211.4750,225.6500,209.2750,225.6500,272206
2023-12-26,237.5000,237.5000,226.0000,231.0750,195272
2023-12-27,234.0000,237.5000,221.7750,224.7000,109930
2023-12-28,227.3500,229.9750,214.5000,220.1000,94294
2023-12-29,220.1000,225.0000,213.1500,216.6500,71866
2024-01-01,219.9750,238.3000,218.6750,238.1750,248496
2024-01-02,241.5000,246.5000,239.0500,243.7750,195550
2024-01-03,249.8750,250.5000,233.0250,240.5500,153118
2024-01-04,240.9750,242.2000,235.2750,238.6250,64502
2024-01-05,238.5000,242.2500,236.9750,241.7750,96964
2024-01-08,243.7500,247.0000,240.0000,241.3000,62840
2024-01-09,242.4500,244.1500,237.5000,238.6250,87530
2024-01-10,241.0000,241.5250,222.5750,234.2250,118556
2024-01-11,241.5000,241.5000,231.5000,233.5250,143466
2024-01-12,236.0000,236.0000,226.5250,229.9750,113674
2024-01-15,229.9750,229.9750,229.9750,229.9750,0
2024-01-16,227.5500,231.4750,224.0250,226.4000,47864
2024-01-17,222.5000,225.8250,220.0500,221.6250,53266
2024-01-18,221.6250,225.7250,213.0250,224.1750,60398
2024-01-19,225.9500,232.0000,218.4500,219.4000,72954
2024-01-23,217.5000,219.9000,207.5500,209.7250,127918
2024-01-24,210.2500,217.4750,208.0000,210.2500,94776
2024-01-25,210.2750,213.0000,209.0000,209.8250,45706
