date,open,high,low,close,volume
2025-08-20,347.7000,357.0000,341.5000,344.8500,355763
2025-08-21,345.6500,347.6000,335.1500,336.6000,160186
2025-08-22,337.9500,342.5500,330.0000,336.9500,123609
2025-08-25,338.8500,340.8000,329.0000,332.2500,129762
2025-08-26,330.1000,336.2500,324.2000,334.4500,138455
2025-08-28,334.4500,340.0000,325.8500,332.2000,154408
2025-08-29,332.5000,341.0000,326.5000,338.1500,259066
2025-09-01,342.0000,342.0000,331.2500,333.5000,156441
2025-09-02,336.8500,339.8500,332.0000,334.5000,135683
2025-09-03,337.0000,339.9500,332.1000,337.0500,100446
2025-09-04,337.1000,338.8000,326.8000,329.0500,207289
2025-09-05,330.0000,330.2500,322.6500,325.2500,151757
2025-09-08,325.2500,328.0000,318.0000,319.1500,221298
2025-09-09,323.9000,323.9000,317.6500,319.4000,153740
2025-09-10,321.8500,321.8500,315.0000,316.5000,345000
2025-09-11,316.0000,319.6500,302.0500,305.0500,462892
2025-09-12,307.8000,323.0000,306.0000,314.8000,745669
2025-09-15,312.5500,316.2500,285.0000,315.1000,2168037
2025-09-16,312.0000,312.0000,301.1000,303.1500,582476
2025-09-17,308.0000,319.0000,302.2000,314.9500,1227681
2025-09-18,317.0000,324.3000,310.3000,320.8000,1001598
2025-09-19,324.7000,324.7000,312.2000,317.7500,916219
2025-09-22,319.9500,328.8000,316.0000,323.9000,1445087
2025-09-23,327.5000,332.3500,320.5000,329.8500,1103962
2025-09-24,329.8500,330.0000,309.0000,314.1000,726736
2025-09-25,310.3500,316.0000,304.8500,306.4500,982461
2025-09-26,312.4500,316.2000,305.3500,308.6000,675066
2025-09-29,310.8000,310.8000,295.2500,296.1500,324082
2025-09-30,296.5500,311.0000,294.7500,304.7500,1029342
2025-10-01,307.8000,308.8000,298.0000,300.0000,210186
2025-10-03,300.0000,302.1500,296.3000,298.1000,182240
2025-10-06,298.0000,299.7000,290.0000,290.6500,510923
2025-10-07,290.5000,302.9500,287.9000,296.4000,629752
2025-10-08,305.9500,315.0000,299.0000,304.9500,1588312
2025-10-09,317.0000,335.8500,307.5000,312.9500,5810127
2025-10-10,314.0000,316.4500,306.7500,314.2000,571369
2025-10-13,311.9000,312.4000,301.0000,303.5500,381036
2025-10-14,303.0000,307.2500,299.0500,301.4000,579221
2025-10-15,304.0000,305.0500,298.3500,300.4000,306908
2025-10-16,299.2000,302.8500,296.0000,298.5500,337815
2025-10-17,298.8500,300.0500,293.0000,294.7000,269176
2025-10-20,297.0000,298.0500,290.0000,294.6500,232163
2025-10-21,296.9500,298.8000,292.6000,294.7000,183764
2025-10-23,295.0000,305.9500,295.0000,303.0000,343704
2025-10-24,305.9000,305.9000,296.0000,298.6500,134202
2025-10-27,298.9000,299.0000,295.2000,297.4500,94554
2025-10-28,299.6000,304.9000,296.8000,299.5500,379712
2025-10-29,297.3000,301.4500,294.0000,295.6500,158373
2025-10-30,296.0500,303.0000,294.3000,299.8000,289921
2025-10-31,300.1000,300.2000,296.0000,299.4500,161894
2025-11-03,301.6000,301.6000,293.0000,293.5000,127303
2025-11-04,295.9000,295.9000,290.2500,292.1500,141550
2025-11-06,294.0000,294.0000,269.6500,272.4000,844647
2025-11-07,272.4000,286.0000,268.5500,283.5500,420115
2025-11-10,297.0000,306.4500,277.5000,302.7500,576985
2025-11-11,305.0000,307.0000,294.0000,303.3000,434970
2025-11-12,305.0500,315.0000,295.0000,306.9000,884756
2025-11-13,309.6000,309.6000,300.1500,301.3500,189139
