date,open,high,low,close,volume
2023-09-18,239.1000,241.4500,237.5000,238.7500,14696
2023-09-20,237.5000,242.5000,236.1250,241.2000,29786
2023-09-21,239.5000,244.5000,236.0000,237.0500,32352
2023-09-22,236.0500,238.7250,236.0500,238.1000,14862
2023-09-25,237.3750,238.2500,234.5000,236.3500,16862
2023-09-26,237.1000,239.1250,235.1250,235.9000,14582
2023-09-27,236.0750,238.1500,235.5000,237.2750,9978
2023-09-28,237.0500,238.2250,234.8500,235.3250,14404
2023-09-29,236.4000,236.5000,230.1000,231.8500,21474
2023-10-03,233.0250,244.0000,233.0250,241.4250,84836
2023-10-04,242.9250,243.9000,236.5500,239.5000,45006
2023-10-05,240.7000,243.9750,238.6250,241.5500,23382
2023-10-06,243.4500,250.9250,241.6000,246.7250,79264
2023-10-09,246.4250,246.4250,238.0000,239.1250,45248
2023-10-10,240.0750,242.5000,238.5500,239.5500,24570
2023-10-11,238.8500,241.1250,234.5000,239.5750,51044
2023-10-12,239.5750,242.3250,238.0000,239.7750,28934
2023-10-13,239.4000,240.8750,237.8500,238.9000,25320
2023-10-16,238.7000,241.3500,237.5000,240.1750,25324
2023-10-17,240.9250,241.8500,236.3250,237.8750,46130
2023-10-18,238.6750,239.8250,236.5250,237.3000,13546
2023-10-19,235.5250,237.5500,233.8000,236.3250,26486
2023-10-20,234.2500,237.0000,233.0250,233.8500,28432
2023-10-23,233.5000,234.5000,223.8500,225.4250,35630
2023-10-25,225.6500,229.0000,220.5000,226.8500,30844
2023-10-26,226.9500,226.9500,206.9000,219.2750,70896
2023-10-27,219.0000,228.6750,217.5000,224.8500,18096
2023-10-30,226.7500,226.7500,220.5250,223.2000,37550
2023-10-31,224.3250,228.9500,221.0000,223.5750,20516
2023-11-01,224.6750,225.0000,222.5000,223.6000,15654
2023-11-02,224.7250,227.9250,222.8500,227.5250,26238
2023-11-03,224.5000,224.7750,217.5000,220.5750,86960
2023-11-06,220.5750,223.5000,217.5500,218.7750,56918
2023-11-07,220.5000,221.6750,217.0000,218.0000,50692
2023-11-08,219.1000,222.5750,218.1750,219.0500,42896
2023-11-09,220.1250,220.1500,216.0000,218.2750,28468
2023-11-10,219.3500,219.3500,215.0000,215.9000,45202
2023-11-13,222.4500,222.4500,215.9000,218.8000,45716
2023-11-15,220.1000,221.4500,217.0000,217.7750,38902
2023-11-16,218.8500,218.8500,215.5250,217.6750,39894
2023-11-17,218.4250,231.0000,217.5000,223.7250,51020
2023-11-20,227.4500,230.0250,222.5250,228.2500,205090
2023-11-21,230.9750,230.9750,220.0000,220.3750,110876
2023-11-22,221.3500,221.3500,215.0500,216.6250,57864
2023-11-23,217.5000,217.9750,214.0000,216.3750,22830
2023-11-24,217.4250,219.8250,215.3250,216.8500,53074
2023-11-28,217.4750,222.4000,216.7750,219.6000,49348
2023-11-29,220.5000,223.0000,217.0000,221.9250,68168
2023-11-30,221.9250,221.9750,217.9500,219.1750,31456
2023-12-01,219.7750,221.0250,218.7750,220.0750,58176
2023-12-04,222.2000,223.2500,219.0000,220.3000,39120
2023-12-05,221.9250,225.4250,218.2250,221.0500,113116
2023-12-06,222.1750,231.9500,221.2000,227.4500,134032
2023-12-07,228.6000,239.0000,227.6250,235.8250,174970
2023-12-08,240.0000,242.2250,235.8000,238.6000,134032
2023-12-11,241.5000,242.9250,233.7000,235.3500,97806
2023-12-12,236.6000,238.5000,235.0000,235.9750,91924
2023-12-13,237.0000,238.5000,233.6250,236.9500,73724
2023-12-14,238.1500,238.8500,228.1000,231.9000,105106
2023-12-15,233.0750,234.3500,226.0500,228.7000,50378
2023-12-18,229.1750,231.2750,228.8500,230.2750,42014
2023-12-19,231.4500,231.7750,228.3750,230.9000,37340
2023-12-20,230.9750,232.9750,224.0000,225.1500,115072
2023-12-21,225.1500,229.9750,218.0000,224.5250,65870
2023-12-22,225.3000,231.8500,224.6250,228.5250,81180
