date,open,high,low,close,volume
2023-09-22,890.0000,895.3000,833.3000,843.8500,5309
2023-09-25,832.0000,859.0000,825.0500,833.1500,5284
2023-09-26,843.3000,844.9000,825.0000,826.5000,516
2023-09-27,830.4000,867.8000,816.0000,866.8000,5702
2023-09-28,889.0000,897.7000,865.0000,880.7000,4264
2023-09-29,905.0000,924.7000,842.0000,901.1000,19266
2023-10-03,902.0000,909.9000,864.9000,876.1000,8238
2023-10-04,892.6500,909.9000,878.4000,894.0000,7438
2023-10-05,902.8000,938.7000,899.6000,938.7000,19160
2023-10-06,984.9500,985.6000,964.7000,985.6000,18692
2023-10-09,996.0000,1108.0000,996.0000,1091.2000,179929
2023-10-10,1092.0000,1179.0000,1092.0000,1165.1500,179273
2023-10-11,1178.0000,1276.9500,1140.0500,1218.2000,95912
2023-10-12,1218.2000,1264.0000,1218.0000,1246.1000,20440
2023-10-13,1215.0000,1463.6500,1215.0000,1416.3000,105791
2023-10-16,1448.0000,1472.8500,1335.5000,1389.4500,40977
2023-10-17,1412.0000,1528.3500,1326.5500,1528.3500,122553
2023-10-18,1618.8000,1680.0000,1549.0000,1629.3500,112916
2023-10-19,1638.8000,1639.9500,1560.6000,1585.3000,21936
2023-10-20,1583.9500,1604.6000,1506.0500,1506.0500,54739
2023-10-23,1470.0000,1559.9000,1430.7500,1430.7500,29255
2023-10-25,1440.9500,1469.6000,1359.2500,1401.3000,25261
2023-10-26,1400.0000,1429.9500,1331.2500,1400.4000,24427
2023-10-27,1432.4000,1461.0000,1340.0000,1356.4500,17414
2023-10-30,1357.0000,1492.0500,1323.0000,1479.3500,33406
2023-10-31,1499.6000,1538.6500,1436.1000,1448.0500,34848
2023-11-01,1475.0000,1520.0000,1436.0500,1444.6500,21897
2023-11-02,1487.9500,1487.9500,1420.0000,1440.1500,7054
2023-11-03,1449.5000,1450.0000,1355.2500,1373.2500,12452
2023-11-06,1439.0000,1449.0000,1379.0000,1384.0500,12660
2023-11-07,1391.6500,1510.0000,1390.0000,1483.8500,12283
2023-11-08,1499.0000,1513.0000,1450.0000,1473.3500,12901
2023-11-09,1496.9500,1548.0000,1408.0000,1420.6000,35235
