date,open,high,low,close,volume
2023-09-22,164.2500,165.1500,161.3000,163.2500,141013
2023-09-25,163.0000,164.7500,162.0000,163.2000,79537
2023-09-26,163.2000,164.8000,161.0000,162.0500,76191
2023-09-27,161.6500,167.9000,161.0000,164.4000,368997
2023-09-28,166.0000,173.0000,163.7500,169.4000,449818
2023-09-29,171.5000,176.0000,167.6000,172.5000,364399
2023-10-03,171.0500,181.0000,169.0000,175.6000,392741
2023-10-04,175.0000,180.4000,172.1000,173.2500,464412
2023-10-05,174.9000,194.1000,174.9000,191.2000,2376230
2023-10-06,192.9000,193.1000,185.3000,187.8000,505729
2023-10-09,185.8500,185.8500,175.7500,178.1500,440832
2023-10-10,180.1500,193.0000,180.1500,185.0000,724661
2023-10-11,188.0000,191.0000,182.5500,184.5000,300715
2023-10-12,185.9000,188.0000,183.1500,185.9000,195505
2023-10-13,185.0000,194.3500,182.2000,184.6000,545176
2023-10-16,185.7000,187.1000,182.1500,182.9000,194087
2023-10-17,184.3000,186.8000,182.3500,183.1500,204750
2023-10-18,183.0500,186.3000,178.9500,180.0500,208154
2023-10-19,180.0000,181.4500,176.3000,179.5500,178719
2023-10-20,180.2500,183.8000,175.2000,175.8000,191211
2023-10-23,177.6500,179.2000,158.4500,161.6500,547257
2023-10-25,164.9500,168.4000,155.2000,158.5000,380418
2023-10-26,158.3500,163.5000,154.2000,162.7500,334661
2023-10-27,163.3000,167.3000,163.1000,165.6000,162724
2023-10-30,165.5000,166.1500,162.2500,164.2000,96370
2023-10-31,164.8500,166.6500,161.5000,162.5500,146970
2023-11-01,163.3500,165.5500,161.0500,162.4500,77023
2023-11-02,163.0500,172.0000,163.0500,169.6000,207865
2023-11-03,170.7000,174.0000,168.0500,171.5000,290139
2023-11-06,171.0000,172.2000,167.5500,171.0500,197731
2023-11-07,172.6500,176.6000,169.3000,171.9500,262907
2023-11-08,173.6500,176.1000,160.1000,162.1500,660606
2023-11-09,163.7500,166.4000,154.4000,154.9000,734679
2023-11-10,154.9000,157.4500,150.3500,152.8000,340294
2023-11-13,155.0000,155.1000,151.4000,152.3500,237041
2023-11-15,153.8500,158.0500,152.0500,155.0000,326197
2023-11-16,155.0000,156.4500,151.7000,152.8000,214204
2023-11-17,152.9500,156.3500,152.9500,153.9500,171733
2023-11-20,154.9500,155.4000,151.1000,151.7500,168459
2023-11-21,152.8000,154.0500,150.0000,150.6500,155325
2023-11-22,150.0000,154.9000,149.9500,151.9000,140510
2023-11-23,152.7000,154.3000,151.2500,152.2500,128282
2023-11-24,151.7000,153.9000,151.5000,152.4000,132682
2023-11-28,153.0000,153.9000,151.3500,151.9000,159012
2023-11-29,152.9500,153.3500,150.0500,151.2500,139904
2023-11-30,152.0000,152.3000,150.3000,151.2000,104377
2023-12-01,152.3000,153.9000,151.1000,151.9500,144892
2023-12-04,154.3500,154.8000,149.0000,149.3000,326851
2023-12-05,149.9000,152.6500,149.2000,151.6000,171932
2023-12-06,152.1500,153.6500,150.8000,152.5000,148261
2023-12-07,151.8000,156.8000,151.1000,155.7500,237780
2023-12-08,155.7500,156.4000,152.2500,152.7500,115881
2023-12-11,152.7500,154.3000,150.0000,150.8000,172020
2023-12-12,151.8000,153.4000,148.6000,149.2000,214557
2023-12-13,150.0000,150.4000,147.8000,148.2000,136658
2023-12-14,149.3000,150.2000,147.5500,147.9500,126203
2023-12-15,149.0000,153.1000,148.1000,151.0500,425701
2023-12-18,151.7000,152.6000,150.0000,150.5500,143048
2023-12-19,151.2500,151.2500,148.8000,149.9500,110928
2023-12-20,149.2500,151.4500,144.5000,145.6500,217598
2023-12-21,144.2500,149.5500,143.9500,148.5500,120869
2023-12-22,149.7000,149.7000,147.1500,147.8000,107604
2023-12-26,147.8000,148.4500,146.4500,147.6500,80399
2023-12-27,149.0000,149.0000,146.0000,148.1000,77510
2023-12-28,148.1500,152.3000,146.2000,149.2000,163795
2023-12-29,149.2000,149.9000,147.6500,147.8500,86497
2024-01-01,147.8500,153.7000,147.5000,151.3500,203656
2024-01-02,152.4500,153.3000,148.6500,150.0500,186857
2024-01-03,149.9000,151.2000,148.6500,149.1500,126682
2024-01-04,150.0000,152.6000,148.6000,151.7000,178830
2024-01-05,151.9500,152.5000,150.1500,151.0000,176531
2024-01-08,151.0000,152.0500,149.0000,149.9000,155414
2024-01-09,151.0000,152.7000,148.0000,149.0000,140944
2024-01-10,148.1000,150.1000,148.0000,148.3500,149514
2024-01-11,149.1500,152.7000,148.0000,149.6500,214181
2024-01-12,149.5000,160.1000,149.0000,159.0000,1187085
2024-01-15,159.0000,159.0000,159.0000,159.0000,0
2024-01-16,165.0000,169.5000,158.1000,160.8000,971037
2024-01-17,159.3500,163.8000,157.2000,162.1000,540591
2024-01-18,162.9000,170.8000,157.9000,168.5000,812428
2024-01-19,169.8500,171.4000,165.2000,166.5000,330023
2024-01-23,173.5000,175.1000,161.8000,162.7500,514043
2024-01-24,163.1000,166.5000,159.7500,164.6000,215413
2024-01-25,165.2500,170.4000,162.6500,167.5000,310238
2024-01-29,168.8500,170.0000,164.0500,165.6500,172654
2024-01-30,165.9500,168.4500,163.0500,163.5500,143142
2024-01-31,164.8000,165.2000,160.0500,160.7000,177043
2024-02-01,161.8500,165.8000,159.9500,164.3500,215767
2024-02-02,165.5000,167.7500,162.0000,162.6500,194144
2024-02-05,160.0000,163.0000,158.4000,159.7000,222227
2024-02-06,160.0000,162.6000,156.4500,159.9500,170192
2024-02-07,159.9000,167.5500,159.3000,164.3000,435641
2024-02-08,167.0000,168.8500,162.0500,163.4000,245756
2024-02-09,164.2000,164.6000,156.5500,159.7500,222792
2024-02-12,159.7500,161.4500,153.0000,153.7000,212239
2024-02-13,153.0000,157.9500,147.1000,148.5500,329552
2024-02-14,148.0000,151.0500,144.5000,148.7500,240682
2024-02-15,149.5000,151.6500,148.5000,149.0000,88739
2024-02-16,151.0000,156.5000,150.4000,153.2000,267030
2024-02-19,153.6500,154.6500,151.1000,152.5000,100954
2024-02-20,153.3000,161.4000,152.7500,158.1000,382010
2024-02-21,159.6000,159.7000,154.2000,155.1000,106358
2024-02-22,155.5000,155.9000,151.3500,152.2500,118298
2024-02-23,153.6000,163.3000,153.0000,157.7500,407264
2024-02-26,159.2500,163.4000,157.0500,159.9000,241426
2024-02-27,162.0000,162.3000,157.0000,158.7500,182043
2024-02-28,158.0000,161.7500,155.0500,157.4500,266379
2024-02-29,157.5000,157.5000,153.8000,154.6000,99085
2024-03-01,154.6000,158.9500,154.5500,155.2500,119293
2024-03-04,154.1000,156.1000,151.0000,152.4500,135331
2024-03-05,156.5500,156.5500,150.1500,151.4000,110411
2024-03-06,151.0000,153.0000,148.2500,150.5000,182307
2024-03-07,150.5000,153.3500,150.0500,150.6500,60226
2024-03-11,150.5000,151.4000,146.2000,146.7000,108793
2024-03-12,147.4000,148.7500,141.6000,146.5000,248092
2024-03-13,143.6500,147.0000,129.3000,132.0000,344524
2024-03-14,131.0000,139.4500,131.0000,136.4000,332637
2024-03-15,135.0500,142.9000,135.0500,138.4500,237362
2024-03-18,138.0500,142.7500,138.0500,140.2000,191818
2024-03-19,140.8000,142.9500,139.1500,140.2000,150847
2024-03-20,140.4000,142.2000,139.2500,140.0500,174916
2024-03-21,142.1500,143.8000,139.5000,140.2000,206737
2024-03-22,140.0000,142.7000,138.0000,139.1500,195609
2024-03-26,140.0000,146.4000,140.0000,141.7500,287999
2024-03-27,140.5000,141.8000,135.6500,136.5500,277852
2024-03-28,137.2000,139.2500,131.0500,133.2500,289491
2024-04-01,136.9000,144.0500,136.2000,142.9000,252939
2024-04-02,144.0000,146.5000,142.4500,145.8500,87058
2024-04-03,146.3000,151.2500,146.0000,149.7500,194993
2024-04-04,150.9000,152.5000,146.5000,148.1500,159025
2024-04-05,148.4500,153.0000,146.4000,152.0000,205213
2024-04-08,152.9500,153.7000,149.4500,151.0000,128702
2024-04-09,151.9000,152.2500,148.2500,149.0000,91931
2024-04-10,150.5000,150.5000,146.5000,147.1500,106496
2024-04-12,146.9000,148.6000,145.3500,147.3500,75182
2024-04-15,145.0000,146.9500,142.5500,145.0500,101187
2024-04-16,143.0000,149.4500,142.0500,148.3500,86074
2024-04-18,150.9500,167.8500,150.9500,164.0500,2539087
2024-04-19,160.4000,176.1500,158.1500,171.2000,2223986
2024-04-22,173.0000,175.4000,169.2000,170.1000,522695
2024-04-23,170.1000,176.5000,170.1000,173.4000,607237
2024-04-24,173.3500,177.5000,171.4000,173.1500,313286
2024-04-25,175.5000,175.5000,168.7000,169.6000,243060
2024-04-26,172.0500,172.1000,165.4500,166.9500,147184
2024-04-29,167.3500,169.9000,165.0000,165.9000,206932
2024-04-30,166.9000,170.5000,165.6500,166.6000,138854
2024-05-02,167.7000,171.0000,165.5500,167.3500,163402
2024-05-03,169.9000,170.7000,165.0000,168.5000,155335
2024-05-06,165.5500,168.5000,161.4500,163.0500,144186
2024-05-07,163.1500,164.9500,158.5500,160.9000,152502
2024-05-08,159.3000,162.9500,159.0000,160.0000,89333
2024-05-09,160.8000,160.9500,157.9000,159.2500,94880
2024-05-10,159.9500,159.9500,155.9000,158.1500,63655
2024-05-13,158.9500,159.6000,153.0000,155.5000,150610
2024-05-14,155.3000,161.1000,155.3000,158.8000,62283
2024-05-15,158.8000,160.9000,157.2500,158.6500,40311
2024-05-16,158.0500,162.2500,156.1000,159.1000,109286
2024-05-17,156.7000,164.6000,156.7000,163.7500,144929
2024-05-21,166.4000,167.2000,160.1000,160.7500,83213
2024-05-22,161.6000,161.7500,158.1500,159.9500,123586
2024-05-23,160.7500,166.1000,159.0000,159.9000,149195
2024-05-24,160.7000,163.8500,156.7000,157.6500,136869
2024-05-27,158.0000,159.3500,154.0500,154.7500,123846
