date,open,high,low,close,volume
2026-08-18,16.7300,17.2500,16.7300,17.1300,649218
2026-08-19,17.1300,17.2400,16.8100,16.8500,591137
2026-08-20,16.9700,17.2200,16.7000,16.7900,1793355
2026-08-21,16.7900,16.9500,15.6100,15.7000,2851572
2026-08-24,15.7600,16.5500,15.0000,15.1900,2688396
2026-08-25,15.2000,15.4800,13.7000,13.7600,4559258
2026-08-26,13.8800,14.2700,12.3900,12.3900,8073193
2026-08-27,12.6400,12.6400,11.7800,11.7800,3843227
2026-08-28,11.2000,11.2000,11.2000,11.2000,1116613
2026-08-31,10.6400,10.6400,10.6400,10.6400,689853
2026-09-01,10.1100,11.1700,10.1100,10.1100,15340431
2026-09-02,9.6100,9.6100,9.6100,9.6100,809638
2026-09-03,9.1300,9.1300,9.1300,9.1300,616110
2026-09-04,8.6800,8.6800,8.6800,8.6800,1122582
2026-09-07,8.2500,8.9100,8.2500,8.2500,4027390
2026-09-08,7.8400,7.8400,7.8400,7.8400,1895127
2026-09-09,7.4500,7.4500,7.4500,7.4500,660044
2026-09-10,7.0800,7.8200,7.0800,7.8000,33059819
2026-09-11,7.9700,8.1900,7.9600,8.1800,13024169
2026-09-14,8.1800,8.1800,8.1800,8.1800,0
2026-09-15,8.4800,8.5800,8.3600,8.5700,12249273
2026-09-16,8.8300,8.9000,8.1500,8.1500,2872021
2026-09-17,7.7500,7.7500,7.7500,7.7500,642682
2026-09-18,7.3700,8.1300,7.3700,7.9900,15604333
