date,open,high,low,close,volume
2025-07-01,486.0000,534.6000,486.0000,534.6000,16209672
2025-07-02,556.0000,563.3000,495.6500,525.6000,8415078
2025-07-03,525.5000,578.1500,518.8000,576.3000,6752785
2025-07-04,582.0500,586.8000,545.7000,562.3000,2634779
2025-07-07,556.3000,588.0000,539.1000,566.8500,2301711
2025-07-08,570.0000,623.5000,563.5500,604.7000,3290356
2025-07-09,625.0000,632.4000,589.5500,594.3500,3098978
2025-07-10,595.9000,626.1500,595.2500,613.3000,1480149
2025-07-11,613.0000,620.0000,592.4500,604.3000,961155
2025-07-14,598.4000,637.7000,562.6000,569.9000,3879879
2025-07-15,573.8000,583.9500,555.7500,559.3500,989769
2025-07-16,563.9000,574.9500,555.0000,570.5500,1121347
2025-07-17,574.0000,574.9500,564.0000,566.3500,477574
2025-07-18,569.2000,569.2000,549.2500,550.8000,441153
2025-07-21,553.3000,603.2500,551.0500,585.0500,1441589
2025-07-22,595.0000,598.4000,563.4000,572.3000,683709
2025-07-23,576.0000,582.9500,565.0000,569.6000,625998
2025-07-24,568.0500,572.5000,556.0000,558.4500,270773
2025-07-25,559.9000,566.4500,554.6000,563.0000,485827
2025-07-28,563.0000,582.4000,542.7000,564.6000,1111136
2025-07-29,563.8500,573.5500,556.4000,566.9500,669371
2025-07-30,569.8000,594.4500,560.0500,564.3500,858320
2025-07-31,562.0000,586.8000,558.3500,577.6500,491938
2025-08-01,578.9500,585.9000,558.2000,562.3000,162664
2025-08-04,563.9000,567.8000,553.1000,556.3000,142457
2025-08-05,560.0000,600.1500,531.3000,577.2000,1131221
2025-08-06,559.0000,567.0000,536.7000,543.1000,1102593
2025-08-07,541.0000,541.9000,510.2000,529.2500,771515
2025-08-08,535.0000,536.7000,516.5500,521.2500,267962
2025-08-11,521.2500,522.0000,504.5000,506.2000,380121
2025-08-12,510.0000,526.4000,504.1500,518.1500,542009
2025-08-13,520.6000,520.7000,509.0000,511.8000,420832
2025-08-14,510.0000,512.9500,496.6000,499.2500,235228
2025-08-18,510.0000,510.0500,487.6000,490.3000,272841
2025-08-19,490.3000,515.4000,489.0000,512.9500,966590
2025-08-20,512.0000,514.0500,502.7500,503.9500,148115
2025-08-21,505.0000,518.7500,502.2000,513.7500,256671
2025-08-22,513.0000,534.5000,505.4000,527.4000,406985
2025-08-25,527.4000,534.0000,516.0000,528.7000,303710
2025-08-26,528.7000,538.7000,507.4000,529.8000,369333
2025-08-28,528.5000,533.5000,514.1000,525.5000,581901
2025-08-29,520.5500,525.0000,510.7000,517.4000,231660
2025-09-01,513.3000,520.0000,513.3000,516.5500,136890
2025-09-02,515.2000,524.8000,514.0000,517.8000,97241
2025-09-03,513.2000,517.6000,508.6000,512.1000,97134
2025-09-04,515.2000,541.6000,505.7000,527.4500,352888
2025-09-05,526.0000,529.0000,514.8000,523.5000,138329
2025-09-08,520.0500,549.8000,517.0000,538.2500,926602
2025-09-09,540.9000,556.5000,540.9000,552.9500,765228
2025-09-10,555.0000,555.5000,543.0500,551.2000,419774
2025-09-11,551.9500,554.7000,545.3000,551.9000,237600
2025-09-12,558.6000,559.4000,547.0000,550.5500,289862
2025-09-15,551.0000,559.8000,545.5500,547.9000,176184
2025-09-16,548.0500,550.5500,541.3000,544.6500,248172
2025-09-17,546.7000,548.6000,541.0000,543.1000,112191
2025-09-18,547.7500,547.7500,534.0500,536.8500,80860
2025-09-19,540.0000,540.9500,525.0000,527.3000,123765
2025-09-22,536.2000,536.2000,518.0000,518.7500,97403
2025-09-23,517.5000,522.5000,512.9000,514.7000,68185
2025-09-24,511.9500,520.7000,508.0500,510.8500,75290
2025-09-25,507.2000,516.5000,494.5000,497.0500,152054
2025-09-26,497.0000,500.0500,485.0000,487.0000,127739
2025-09-29,493.6000,502.0000,477.3000,479.2500,134640
2025-09-30,480.0000,484.2000,467.0000,469.7000,103009
2025-10-01,469.9000,476.0000,467.0000,469.3500,146219
2025-10-03,480.0000,480.0000,468.0000,469.2000,218619
2025-10-06,469.9000,473.0000,451.0500,459.8000,326518
2025-10-07,462.9500,462.9500,433.0000,435.9000,385336
2025-10-08,439.0000,451.5500,435.1000,444.6500,199658
2025-10-09,447.6000,448.0000,432.9500,434.1500,138087
2025-10-10,435.4000,448.9500,430.3500,445.5000,614436
2025-10-13,447.0000,462.3500,442.4000,453.7500,227210
2025-10-14,460.0000,470.3000,448.0000,453.1500,182081
2025-10-15,453.1500,454.9000,439.0500,443.4500,174229
2025-10-16,443.2500,469.9500,443.2500,461.5000,217309
2025-10-17,464.0000,466.2000,454.7500,458.9500,149982
2025-10-20,466.0000,466.0000,447.8000,449.4500,97305
2025-10-21,454.5000,463.9500,451.4500,461.3000,46928
2025-10-23,470.0000,470.0000,452.0500,455.2000,69497
2025-10-24,458.0000,458.5500,442.0000,443.4000,88748
2025-10-27,446.4000,459.4500,443.3000,455.3500,145296
2025-10-28,455.3500,457.9500,444.3500,446.7500,83265
2025-10-29,451.7000,456.7000,445.5000,454.0500,112167
2025-10-30,455.9500,473.5500,452.5000,465.0000,203289
2025-10-31,467.4000,467.4000,453.0000,463.0000,122797
2025-11-03,463.0000,467.8500,455.0000,464.6500,67490
2025-11-04,464.6500,464.6500,450.0000,458.0500,105261
2025-11-06,458.0000,465.0000,452.3000,460.4000,76804
2025-11-07,456.2000,469.0000,449.0500,463.6000,99008
2025-11-10,468.0000,472.0000,446.0000,452.9000,144817
2025-11-11,448.3000,461.9500,435.0000,445.1500,160497
2025-11-12,444.9000,451.9000,439.9500,442.2500,71183
2025-11-13,442.0000,450.9000,436.0000,437.3000,634615
2025-11-14,436.5000,444.7500,436.5000,440.6500,268478
