date,open,high,low,close,volume
2023-09-18,555.3000,558.0000,546.4500,549.8000,430441
2023-09-20,549.7500,551.7000,533.2000,542.6500,334226
2023-09-21,545.4000,545.4000,521.2500,524.9000,241268
2023-09-22,525.0000,529.3500,512.3500,517.2500,165545
2023-09-25,518.0500,535.0000,512.0500,514.9500,469425
2023-09-26,515.9500,526.7000,515.0000,519.8500,235719
2023-09-27,520.9500,524.3500,509.6000,512.0000,199060
2023-09-28,512.9500,517.3000,507.8500,512.7000,1057804
2023-09-29,525.0000,548.9500,516.3000,538.4500,2698010
2023-10-03,538.9000,544.9000,531.7000,534.6500,332164
2023-10-04,534.9000,553.0500,530.1500,538.5000,556601
2023-10-05,540.7000,543.9500,527.1000,530.2500,302251
2023-10-06,530.3500,534.7500,523.3000,526.8500,201476
2023-10-09,525.5500,525.5500,501.5500,507.1500,246108
2023-10-10,507.0000,523.6000,505.5500,516.9500,342458
2023-10-11,518.0000,526.8500,518.0000,519.8500,357192
2023-10-12,523.2500,534.7500,513.2000,518.1500,462689
2023-10-13,516.0000,519.3500,509.0000,509.9500,268645
2023-10-16,512.0000,514.3500,496.1500,499.6500,376751
2023-10-17,507.0000,514.9500,499.0500,500.3500,506494
2023-10-18,502.0000,509.6500,496.8000,503.2500,338324
2023-10-19,502.7000,508.3000,499.1500,504.9000,187472
2023-10-20,508.3500,521.2500,504.2500,509.7500,563202
2023-10-23,511.0000,516.7000,489.3500,497.0500,365569
2023-10-25,497.0000,514.9500,497.0000,510.4500,497796
2023-10-26,509.0000,509.0000,495.1500,498.5000,265351
2023-10-27,498.9500,512.5000,498.9500,504.8500,124817
2023-10-30,504.8500,514.4500,502.0000,507.8000,161213
2023-10-31,509.9000,516.4500,507.9000,509.9000,272123
2023-11-01,509.9000,519.7500,507.2500,511.6000,226042
2023-11-02,513.0000,516.9000,509.0000,511.2000,538039
2023-11-03,512.3000,522.0000,506.1000,508.8000,426479
2023-11-06,509.0000,523.8000,509.0000,518.8000,281684
2023-11-07,529.0000,545.2500,506.8500,512.0000,658870
2023-11-08,513.4000,515.9500,503.2000,510.6000,433244
2023-11-09,510.0000,521.8000,506.1000,518.8500,212264
2023-11-10,518.9000,520.2000,510.5000,513.0500,136261
2023-11-13,517.8500,517.8500,507.2000,510.1000,244416
2023-11-15,512.5000,512.5000,502.7000,504.1500,308463
2023-11-16,504.6000,508.2000,500.1000,501.0000,359134
2023-11-17,501.0000,502.8000,486.0000,492.3000,385172
2023-11-20,494.4000,499.3500,489.0000,491.9500,249343
2023-11-21,492.4000,498.3000,491.9500,494.1500,139050
2023-11-22,497.4000,497.8000,490.6000,492.5000,704848
2023-11-23,495.8500,497.9500,492.0000,495.0000,771991
2023-11-24,496.4000,510.9000,495.0000,503.7000,666729
2023-11-28,504.0000,508.0000,496.1000,499.7500,293417
2023-11-29,500.0000,505.5000,495.8000,500.7000,978275
2023-11-30,502.0000,508.0000,498.4500,506.1500,243273
2023-12-01,507.5000,517.6500,503.6000,515.8000,578929
2023-12-04,519.5000,520.0000,504.0000,509.1500,756182
2023-12-05,512.4500,519.0000,509.2500,509.8000,585426
2023-12-06,509.7000,513.4000,499.0000,500.5000,286677
2023-12-07,505.0000,507.3500,492.1500,501.2000,1204085
2023-12-08,504.0000,504.6000,496.3000,497.9500,756989
2023-12-11,498.9500,510.0000,494.2500,507.7500,401284
2023-12-12,509.9000,509.9000,494.5500,495.3500,296688
2023-12-13,495.3500,506.0000,495.3500,503.6500,241429
2023-12-14,508.0000,508.3000,499.9500,503.9000,782064
2023-12-15,506.4000,511.1500,495.9000,498.4500,475889
2023-12-18,500.8000,500.8000,494.0500,495.0500,271432
2023-12-19,497.4000,508.5000,493.0000,500.0500,588084
2023-12-20,502.6000,513.9000,494.1000,497.8500,511757
2023-12-21,492.1500,499.9000,490.0000,493.9000,243276
2023-12-22,496.0000,500.9500,492.3500,494.7500,257331
2023-12-26,497.5000,513.0000,493.4000,502.6000,856701
2023-12-27,504.7500,505.0000,495.2500,499.1500,288965
2023-12-28,501.0000,543.8000,496.0000,533.0000,2497121
2023-12-29,533.0000,575.0000,526.8500,563.7500,4641172
2024-01-01,569.9000,588.6000,567.3500,572.7000,2442680
2024-01-02,572.0000,574.4000,553.5000,564.2000,997994
2024-01-03,560.1000,574.3500,538.1000,544.0500,1190793
2024-01-04,550.0000,569.1500,550.0000,559.3000,1030036
2024-01-05,562.2500,569.2000,557.5500,564.8000,605066
2024-01-08,565.0000,568.3500,552.0000,554.7500,602310
2024-01-09,558.0000,559.1500,545.9000,551.4500,316217
2024-01-10,551.9000,554.5500,540.5500,548.3500,444249
2024-01-11,548.9000,554.1000,537.0000,539.2500,460172
2024-01-12,545.5000,545.5000,524.0000,524.7500,686812
2024-01-15,529.1500,539.5500,520.5500,535.2500,512118
2024-01-16,536.2000,541.8500,525.8000,527.6500,639895
2024-01-17,528.1000,532.0000,512.5000,514.7500,603094
2024-01-18,517.6000,517.6000,504.3500,508.6000,706123
2024-01-19,510.5000,518.4500,498.0000,500.4000,700541
