date,open,high,low,close,volume
2023-09-25,82.1500,83.0000,77.3500,78.5000,93399
2023-09-26,79.8000,80.7500,79.2000,80.0000,23847
2023-09-27,79.5500,80.5500,78.5000,78.8500,38493
2023-09-28,81.1500,81.4000,79.1000,80.0000,37912
2023-09-29,81.7000,83.0000,80.1000,82.0500,46618
2023-10-03,84.5000,84.7000,81.3000,81.8500,30502
2023-10-04,81.9000,82.0000,79.1500,79.8500,47348
2023-10-05,80.0000,82.7000,78.6000,79.4500,101960
2023-10-06,81.5500,81.5500,76.0500,77.5000,67847
2023-10-09,77.4000,77.5000,73.2000,74.8500,46259
2023-10-10,75.3000,79.8500,75.1500,78.5500,88987
2023-10-11,78.6500,81.0000,77.0000,78.5500,49922
2023-10-12,79.5000,79.5000,78.1500,78.9000,24455
2023-10-13,78.0000,79.5000,77.0000,78.3000,36988
2023-10-16,78.3000,82.5000,77.5500,79.3500,69073
2023-10-17,79.0000,82.9000,79.0000,79.8000,42101
2023-10-18,79.5000,80.5500,77.0000,77.4000,65906
2023-10-19,78.6000,78.6000,74.9500,76.6000,68894
2023-10-20,76.4000,91.9000,76.4000,91.9000,1643977
2023-10-23,93.0000,93.7000,83.1000,84.2500,751165
2023-10-25,87.0500,90.4500,79.5000,82.5000,220601
2023-10-26,80.2000,89.9500,79.0000,86.0500,380829
2023-10-27,86.4500,91.6500,84.0000,84.7000,245097
2023-10-30,85.0000,93.8500,81.5500,88.1000,609508
2023-10-31,88.2000,91.0500,87.0000,88.6000,193780
2023-11-01,88.9000,88.9000,84.1000,84.5500,105857
2023-11-02,86.3500,90.4000,82.8500,83.8000,180135
2023-11-03,85.0000,88.1000,81.5500,84.1000,129787
2023-11-06,85.5000,86.5000,84.3000,85.1500,60768
2023-11-07,85.9500,85.9500,83.2000,84.2000,44153
2023-11-08,84.2000,89.9000,84.2000,87.8500,136394
2023-11-09,88.9000,92.2500,86.0500,89.6000,275495
2023-11-10,86.1000,89.0000,86.1000,86.7000,49193
2023-11-13,89.0000,89.0000,85.5500,86.6000,29004
2023-11-15,87.8000,88.2500,81.1500,84.3000,118066
2023-11-16,84.5000,87.4000,83.5000,84.6000,75781
2023-11-17,84.5000,85.6500,83.0500,83.8500,52368
2023-11-20,85.0000,85.0000,84.2000,84.5000,22824
2023-11-21,85.0000,101.4000,84.5500,101.4000,2033859
2023-11-22,105.7000,105.7000,97.5000,100.0500,1283658
2023-11-23,100.0500,115.0000,100.0500,110.9000,1693316
2023-11-24,111.7000,114.3000,107.7000,110.3500,431104
2023-11-28,110.5500,117.8000,108.9500,112.4500,617179
2023-11-29,113.3500,115.0000,109.9000,111.6000,217077
2023-11-30,110.5000,111.5000,107.0500,107.8500,155167
2023-12-01,109.0000,123.0000,108.9500,121.2000,1007681
2023-12-04,123.4000,145.4000,121.5000,138.7500,2735446
2023-12-05,139.7000,152.1500,136.7000,138.8000,1884429
2023-12-06,138.9000,140.6500,130.1000,132.5500,514874
2023-12-07,132.5500,148.8500,130.8000,144.7000,1042792
2023-12-08,146.4000,150.5000,138.0000,140.9500,412199
2023-12-11,140.9500,146.4500,135.5000,136.8000,212235
2023-12-12,138.2000,138.8000,132.0000,133.6500,160420
2023-12-13,135.0000,142.0000,133.9000,137.2500,305749
2023-12-14,138.9500,145.9000,135.2500,143.3000,458775
2023-12-15,144.4500,144.4500,135.6500,137.6000,223330
2023-12-18,137.6000,138.9000,135.3000,137.0000,99710
2023-12-19,138.1000,139.7500,133.6500,134.7500,155701
2023-12-20,136.7500,138.4500,121.3000,122.2500,331694
2023-12-21,123.0000,132.3000,118.0500,127.9000,228292
2023-12-22,128.9000,131.2000,122.4000,124.2500,84938
2023-12-26,124.0000,130.0000,118.0500,118.5000,42121
2023-12-27,118.0000,122.0000,112.6000,114.8000,62278
2023-12-28,115.7000,115.8000,110.5000,111.7500,58268
2023-12-29,112.8500,112.8500,107.6500,109.2000,71114
2024-01-01,108.0500,114.6500,108.0500,114.6500,45004
2024-01-02,118.0000,120.3500,115.0500,120.3500,115509
2024-01-03,123.0000,125.6500,120.0000,124.6500,70669
2024-01-04,125.8000,128.0000,123.6000,127.1500,115628
2024-01-05,127.1500,129.0000,122.4000,124.2000,72344
2024-01-08,126.0000,126.0000,120.5000,121.4500,53593
2024-01-09,126.0000,126.0000,120.0000,120.6000,39035
