date,open,high,low,close,volume
2023-09-25,152.0000,154.8500,148.3000,150.8000,26172
2023-09-26,150.8500,153.2000,150.3500,152.2000,21937
2023-09-27,153.2000,155.4500,149.7000,153.5000,53742
2023-09-28,153.9500,160.0000,153.8000,156.3500,135696
2023-09-29,157.1000,160.5000,156.7000,158.4500,59270
2023-10-03,161.3500,164.8000,158.0000,161.2000,278526
2023-10-04,160.1000,164.2500,159.8000,162.0500,69422
2023-10-05,164.9000,186.0000,162.0000,181.5500,1275308
2023-10-06,181.1000,181.5500,176.1000,176.7500,187344
2023-10-09,173.4000,174.4000,168.0000,171.1500,105299
2023-10-10,175.0000,188.4000,174.3500,178.6500,477654
2023-10-11,181.3000,183.7000,178.6000,180.8500,122145
2023-10-12,180.8500,185.2000,178.8000,179.4500,135224
2023-10-13,180.8500,188.0000,178.0000,186.8500,187540
2023-10-16,185.0000,197.4000,185.0000,191.5500,375607
2023-10-17,193.6000,197.9000,189.0000,192.7500,122127
2023-10-18,191.0000,194.4500,182.8500,186.9500,128538
2023-10-19,184.1500,191.0000,184.1500,189.9000,91730
2023-10-20,190.9000,190.9000,186.1500,186.6500,48200
2023-10-23,186.0000,187.0500,171.7500,174.5500,95705
2023-10-25,174.5500,182.4500,170.6000,174.2000,112446
2023-10-26,174.3000,177.0000,166.9000,172.2000,104904
2023-10-27,172.8500,180.4000,172.8000,174.7000,52233
2023-10-30,174.7000,176.9500,172.0500,175.3000,22692
2023-10-31,176.2000,178.9500,170.5000,172.1500,54113
2023-11-01,173.0000,174.3000,169.0000,170.4500,14333
2023-11-02,171.9000,180.8500,171.1500,177.6000,48125
2023-11-03,177.1000,179.8000,174.8500,175.7000,29999
2023-11-06,176.2000,179.4000,173.3000,174.6000,27507
2023-11-07,177.4000,177.4000,169.8000,171.3000,57256
2023-11-08,172.0000,181.0000,171.0500,176.4500,83204
2023-11-09,182.0000,187.0000,177.4000,184.3000,135751
2023-11-10,185.0000,189.0000,183.1000,186.3000,66702
2023-11-13,187.0000,188.7000,180.3000,182.5500,64858
2023-11-15,183.0500,189.9500,183.0500,186.8500,93749
2023-11-16,186.8500,189.0000,180.6000,182.1000,35980
2023-11-17,183.9000,186.2500,181.3000,184.3000,57382
2023-11-20,186.8500,195.7000,186.4500,190.3000,240370
2023-11-21,191.3000,194.4000,189.0000,191.0500,59745
2023-11-22,191.9000,191.9000,184.2000,189.5000,58658
2023-11-23,190.0000,194.4000,188.4500,189.4500,109627
2023-11-24,192.3000,197.9000,191.3500,192.7000,133603
2023-11-28,194.8000,194.8000,189.0500,190.4000,46888
2023-11-29,191.0000,191.7500,188.4500,190.0500,30983
2023-11-30,191.0000,193.3000,189.2500,190.6500,43173
2023-12-01,191.0000,193.4000,184.0000,185.7000,92539
2023-12-04,187.3000,189.3500,184.0000,184.4500,43418
2023-12-05,186.9500,213.0000,183.8000,204.6000,2032448
2023-12-06,206.5000,206.5000,200.6000,201.3500,187788
2023-12-07,202.0000,203.6000,195.9000,202.0500,91122
2023-12-08,202.2000,206.4000,199.9500,201.7500,117895
2023-12-11,203.3000,206.9500,202.0500,204.5500,91691
2023-12-12,204.0000,208.2500,198.1500,199.5000,183553
2023-12-13,201.5000,201.5000,194.8500,197.3500,83628
2023-12-14,199.9000,200.9000,195.4000,196.3500,42971
2023-12-15,198.9000,200.0000,195.0000,195.6000,37811
2023-12-18,193.4000,197.8500,193.0000,195.1500,38526
2023-12-19,196.0500,196.7000,188.0000,188.2500,91703
2023-12-20,188.5000,193.2000,174.9500,177.3500,139991
2023-12-21,174.8500,182.2000,174.8500,181.0500,60486
2023-12-22,183.7500,189.0000,183.0000,188.2500,95593
2023-12-26,188.2500,191.4500,184.5500,187.3500,29929
2023-12-27,190.0000,190.5000,182.0000,183.7000,40307
2023-12-28,184.0000,186.0000,180.5000,183.1500,88513
2023-12-29,183.2000,184.5000,181.6000,182.5500,33936
2024-01-01,185.2000,186.2000,182.3000,183.9000,58816
2024-01-02,183.9000,189.7500,181.3000,187.3000,82898
2024-01-03,188.2500,188.2500,183.9000,186.8000,121250
2024-01-04,184.2000,189.7500,184.0000,184.4000,51439
2024-01-05,184.6000,193.5000,183.7000,188.0500,128970
2024-01-08,189.9500,213.3000,189.5500,208.7500,669834
2024-01-09,210.0000,211.3000,196.7000,199.4500,268512
2024-01-10,201.5000,231.4500,201.5000,222.2000,2207700
2024-01-11,223.0000,230.0000,216.7500,225.3000,517004
2024-01-12,225.8000,238.0500,225.8000,231.5000,563460
2024-01-15,235.4500,250.7000,226.1000,247.0000,688595
2024-01-16,249.8000,249.8000,230.6000,237.3500,341377
2024-01-17,233.0500,259.7000,230.6000,244.7000,919791
2024-01-18,246.8000,254.5000,236.7000,241.4500,276404
2024-01-19,243.9500,252.2500,242.0000,244.5500,183470
2024-01-23,242.0500,245.2500,223.4000,226.6500,202241
2024-01-24,225.5000,247.7500,221.7000,242.9500,277982
2024-01-25,245.2000,254.6000,242.0500,246.9000,176423
2024-01-29,255.0000,257.0000,247.2000,248.1000,210384
2024-01-30,250.0000,251.1000,240.0000,240.6500,108282
2024-01-31,240.0000,250.3000,240.0000,243.1000,117502
2024-02-01,249.0000,251.9500,239.8000,245.1000,172215
2024-02-02,247.9500,251.5000,240.5000,241.0500,122746
2024-02-05,241.0500,288.0000,241.0500,283.9000,1824333
2024-02-06,289.4000,292.2500,277.1500,282.6500,672255
2024-02-07,285.6500,318.7000,284.4000,291.7500,2024956
2024-02-08,293.8000,302.9500,280.6000,298.6000,647377
2024-02-09,300.0000,300.4000,277.2500,289.1000,497974
2024-02-12,290.9000,292.9000,254.4000,260.6500,275086
2024-02-13,260.0000,265.3500,244.4500,261.8000,221199
2024-02-14,272.5500,314.1500,271.3000,307.0000,2695035
2024-02-15,306.9000,309.0000,296.5000,302.3500,597274
2024-02-16,304.6000,315.6000,301.2500,307.9500,621908
2024-02-19,310.5000,314.1000,303.8500,309.0000,238287
2024-02-20,311.0500,343.7000,304.4000,340.3500,1600308
2024-02-21,340.8000,350.9500,332.3500,334.3000,887018
2024-02-22,337.0000,339.9000,324.0000,336.2000,210178
2024-02-23,338.2000,344.7500,335.2500,340.1500,147002
2024-02-26,344.5000,347.6500,337.0000,346.2000,175953
2024-02-27,346.2000,358.8000,330.7500,332.6500,227483
2024-02-28,333.3500,345.9500,320.1000,321.3000,232056
2024-02-29,321.0000,333.0000,315.5000,329.1500,138010
2024-03-01,335.7500,357.9000,334.1500,340.4000,344394
2024-03-04,348.7000,350.0000,330.2500,331.9500,123858
2024-03-05,331.6000,337.5000,322.5000,325.0000,137491
2024-03-06,328.8000,332.8000,309.9500,312.3500,214584
2024-03-07,319.9500,327.8000,315.2000,319.3500,174072
2024-03-11,319.2500,321.3500,300.4500,307.7500,196525
2024-03-12,310.5000,314.0000,290.0500,293.3500,198169
2024-03-13,295.0000,300.9500,264.0500,268.6000,214733
2024-03-14,276.6500,283.7000,266.9000,275.2000,238017
2024-03-15,275.2000,290.0000,273.7000,278.2500,142908
2024-03-18,280.1500,298.6500,270.0000,274.2500,293875
2024-03-19,274.8000,286.6500,270.0500,271.7000,143173
2024-03-20,274.6000,280.7000,265.8000,274.2500,131595
2024-03-21,280.0000,285.5000,275.4000,278.3000,108091
2024-03-22,279.0000,288.7000,273.8000,282.7500,123009
2024-03-26,285.5000,296.8000,272.6500,274.6000,332788
2024-03-27,274.6000,278.9500,261.2500,265.5000,217902
2024-03-28,265.5000,271.7500,256.0000,260.1500,130052
2024-04-01,262.5000,278.0000,262.5000,277.5500,83445
2024-04-02,278.0000,278.8000,273.3000,277.8500,75464
2024-04-03,277.7000,278.0000,272.7000,275.9500,79407
2024-04-04,277.0000,288.2000,275.1000,281.8500,145717
