date,open,high,low,close,volume
2023-09-25,14.3000,14.4000,14.3000,14.3000,102614
2023-09-26,14.5000,14.5500,14.5000,14.5000,75830
2023-09-27,14.5500,14.5500,14.5500,14.5500,66431
2023-09-28,14.5000,14.5500,14.5000,14.5000,49174
2023-09-29,14.2500,14.3500,14.2500,14.2500,26570
2023-10-03,14.9500,14.9500,13.7500,14.6000,222532
2023-10-04,14.5000,15.3000,14.1000,15.3000,485748
2023-10-05,16.0500,16.0500,16.0500,16.0500,95047
2023-10-06,16.8500,16.8500,16.8500,16.8500,92285
2023-10-09,17.6500,17.6500,17.5000,17.6500,523218
2023-10-10,18.4000,18.5000,17.8000,18.5000,648982
2023-10-11,19.4000,19.4000,19.4000,19.4000,247464
2023-10-12,19.0500,19.0500,19.0500,19.0500,159586
2023-10-13,18.7000,18.7000,18.7000,18.7000,61286
2023-10-16,18.3500,18.3500,18.3500,18.3500,66613
2023-10-17,18.0000,18.0000,18.0000,18.0000,43560
2023-10-18,17.6500,17.6500,17.6500,17.6500,61758
2023-10-19,17.3000,17.3000,17.3000,17.3000,20591
2023-10-20,16.9500,16.9500,16.9500,16.9500,17818
2023-10-23,16.6500,16.6500,16.6500,16.6500,17569
2023-10-25,16.3500,16.3500,16.3500,16.3500,14325
2023-10-26,16.0500,16.0500,16.0500,16.0500,13745
2023-10-27,15.7500,15.7500,15.7500,15.7500,21651
2023-10-30,15.4500,15.4500,15.4500,15.4500,51258
2023-10-31,15.1500,15.1500,15.1500,15.1500,13760
2023-11-01,14.8500,14.8500,14.8500,14.8500,25553
2023-11-02,14.5500,14.5500,14.5500,14.5500,40614
2023-11-03,14.8000,14.8000,14.2500,14.8000,246799
2023-11-06,15.0500,15.0500,15.0500,15.0500,35798
2023-11-07,15.3500,15.3500,15.3500,15.3500,18856
2023-11-08,15.6500,15.6500,15.0500,15.6500,407684
2023-11-09,15.8500,15.8500,15.3500,15.8500,346498
2023-11-10,16.1500,16.1500,16.0000,16.1500,536270
2023-11-13,16.7500,16.7500,16.7500,16.7500,99630
2023-11-15,17.0500,17.0500,17.0500,17.0500,101036
