date,open,high,low,close,volume
2023-09-26,93.8000,96.2000,93.0000,93.9500,136481
2023-09-27,94.5000,94.7000,93.3500,94.0500,180329
2023-09-28,94.8000,94.8000,93.0000,93.3500,185301
2023-09-29,93.2500,95.0000,93.2000,94.1000,62803
2023-10-03,93.8000,94.4500,93.0000,93.2500,52514
2023-10-04,93.4000,93.7500,92.6000,93.1000,58407
2023-10-05,93.7000,96.3000,92.9000,95.3000,283600
2023-10-06,95.5000,99.8000,95.2000,97.3000,462727
2023-10-09,96.3000,96.3000,92.5500,92.9500,154104
2023-10-10,94.5000,95.9000,93.1000,93.6500,159077
2023-10-11,95.2000,95.2000,93.5000,94.1500,91785
2023-10-12,94.1000,95.2500,93.7500,94.5500,63065
2023-10-13,94.5500,94.9000,93.0000,93.4000,76129
2023-10-16,93.4000,94.1000,92.8500,93.3500,65202
2023-10-17,95.2000,95.5500,93.5500,93.8500,76465
2023-10-18,95.0000,95.0000,93.2000,93.8000,78558
2023-10-19,93.6000,94.4000,93.1000,93.5500,56950
2023-10-20,93.5500,95.1000,93.5000,94.2000,87672
2023-10-23,95.0000,96.0000,89.7000,90.2000,87560
2023-10-25,90.4000,92.0000,88.5000,89.6500,100532
2023-10-26,90.0000,90.9000,87.5000,89.7000,82172
2023-10-27,90.0000,92.9500,90.0000,90.6500,57412
2023-10-30,90.0000,92.9500,89.4000,91.4000,56203
2023-10-31,92.6500,92.6500,90.0000,91.5000,72872
2023-11-01,91.4500,92.9500,90.4000,91.1500,46727
2023-11-02,91.2500,92.4000,90.5500,91.1000,35105
2023-11-03,91.5000,92.3000,91.0000,91.5000,52386
2023-11-06,91.5000,93.4000,90.6500,91.0000,96730
2023-11-07,90.5500,92.9000,87.3000,87.8500,188537
2023-11-08,86.0000,88.6000,86.0000,87.4500,93701
2023-11-09,86.5000,88.1500,86.5000,86.9000,76588
2023-11-10,87.6500,88.0000,86.4000,86.6000,57933
2023-11-13,86.6500,87.1000,86.0000,86.5500,52333
2023-11-15,87.2000,87.7500,86.0000,86.3500,74120
2023-11-16,86.9500,87.0000,85.0000,86.0000,82486
2023-11-17,87.0000,87.1000,86.0500,86.6500,45645
2023-11-20,87.0000,87.4500,85.0000,85.3500,80556
2023-11-21,86.4000,86.5000,85.0000,85.3000,47366
2023-11-22,85.4000,85.9500,82.3000,82.9500,146881
2023-11-23,83.7500,85.0000,81.9000,82.2000,169782
2023-11-24,82.2500,83.3000,82.1000,82.2500,86330
2023-11-28,82.3000,84.0000,82.0000,83.4500,99288
2023-11-29,83.5000,94.9500,83.5000,92.3500,1507409
2023-11-30,93.6000,93.6000,90.1500,90.7500,313961
2023-12-01,91.6500,91.6500,89.5000,90.0000,134246
2023-12-04,90.5000,92.4000,88.9500,89.3500,114254
2023-12-05,93.6000,93.8000,89.3000,90.2000,395136
2023-12-06,90.2000,94.3000,90.1500,90.5500,294927
2023-12-07,90.5500,91.0000,89.1000,89.7000,110590
2023-12-08,90.5000,94.0000,89.5000,91.2000,316648
2023-12-11,92.4000,92.4000,90.0000,90.2500,87426
2023-12-12,90.8000,91.4500,89.5000,89.8500,76276
2023-12-13,90.0000,90.7000,89.5000,89.7000,62441
2023-12-14,90.7000,90.7000,88.3000,88.6000,97373
2023-12-15,89.3000,90.3500,87.9500,88.7000,130519
2023-12-18,88.8000,90.5000,88.0000,89.0000,123716
2023-12-19,90.2500,90.2500,88.4000,89.2000,50649
2023-12-20,89.3000,89.8000,86.5000,86.9500,97993
2023-12-21,87.3000,88.1000,86.1000,87.4500,60999
2023-12-22,88.0000,89.9500,86.8500,88.3000,153770
2023-12-26,89.2000,89.2000,87.0500,87.5000,46491
2023-12-27,88.0000,90.8500,87.5000,88.4000,155885
2023-12-28,89.2000,89.2000,87.8500,88.0000,55323
2023-12-29,88.9000,89.3000,87.7500,88.8000,81735
2024-01-01,94.9000,97.1500,90.9000,95.2000,1005005
2024-01-02,95.9500,97.2500,93.2500,95.9000,455472
2024-01-03,95.3000,99.7500,95.3000,98.1000,475548
2024-01-04,98.4000,99.4500,97.0500,97.6000,211888
2024-01-05,98.3000,98.5500,96.0500,96.5500,161875
2024-01-08,97.0000,98.0000,95.7500,96.8000,140184
2024-01-09,96.8000,97.9500,96.1000,96.7500,162211
2024-01-10,97.5000,99.0000,96.0000,96.6500,180597
2024-01-11,96.6500,98.0000,94.4000,95.9000,244874
2024-01-12,95.5000,106.8000,95.4000,102.3500,1411765
2024-01-15,103.1500,104.5000,99.9000,100.4000,339591
2024-01-16,100.1000,106.4500,100.1000,102.5000,578499
2024-01-17,101.3000,104.1000,99.9000,100.8000,220252
2024-01-18,100.0000,101.6000,97.0500,100.4500,175016
2024-01-19,101.0000,102.0000,99.1000,99.4000,147795
2024-01-23,100.5000,101.4000,96.1000,96.6000,212847
2024-01-24,97.3500,100.0000,94.8000,97.4000,173850
2024-01-25,98.2000,98.3000,95.1000,96.4500,96499
2024-01-29,97.9000,97.9000,95.0000,95.4000,93722
2024-01-30,96.2000,96.5500,94.6500,94.9000,124831
2024-01-31,95.7000,99.4500,94.9500,95.8500,225094
2024-02-01,96.2500,97.0000,95.0000,95.7500,121195
2024-02-02,96.5000,98.7500,95.6500,96.4000,192972
2024-02-05,97.1500,97.1500,93.5000,93.8000,136489
2024-02-06,93.8000,95.9000,93.0000,93.7500,142022
2024-02-07,93.9000,97.8000,93.6000,94.3000,271286
2024-02-08,94.4000,96.0000,93.1500,93.5500,214548
2024-02-09,93.5500,94.8500,89.9000,91.0500,224700
2024-02-12,92.5000,92.9500,87.2000,88.1000,152920
2024-02-13,89.3500,90.9500,85.6000,89.5500,105369
2024-02-14,89.5500,91.5000,88.0000,89.5500,80134
2024-02-15,93.4500,103.3000,89.0500,98.1500,2813016
2024-02-16,97.5500,100.9000,94.0500,94.9000,686398
2024-02-19,95.8500,105.7000,94.5000,102.5500,1450472
2024-02-20,103.3500,103.3500,99.1000,99.7500,318145
2024-02-21,100.0000,105.1000,100.0000,102.7000,1120534
2024-02-22,103.5000,103.5000,99.0000,99.8500,276808
2024-02-23,100.0000,102.0000,98.3500,98.5000,282986
2024-02-26,98.9500,99.6000,95.9000,96.4500,176285
2024-02-27,97.0000,110.9000,96.6000,105.6500,3067449
2024-02-28,107.2000,108.9500,101.9500,103.5000,805388
2024-02-29,103.3500,104.8500,100.2000,101.4500,362801
2024-03-01,102.6500,108.4000,102.5000,104.2000,430290
2024-03-04,105.0000,106.5000,101.1500,103.6000,374850
2024-03-05,103.6000,103.6000,99.3000,99.9500,228233
2024-03-06,99.0000,100.5500,96.0000,97.5000,181952
2024-03-07,98.0000,101.8000,96.6000,98.0500,172910
2024-03-11,97.8500,97.8500,94.0000,94.5500,138130
2024-03-12,94.5500,96.8000,90.4000,91.1500,184785
2024-03-13,92.0000,92.1000,85.5000,86.4500,237600
2024-03-14,87.9500,92.0000,86.8500,89.9500,177817
2024-03-15,90.3500,91.3500,88.6500,89.5000,120181
2024-03-18,89.2000,92.0000,89.2000,90.3500,149244
2024-03-19,91.0000,91.0000,88.5500,89.0000,62729
2024-03-20,89.0000,89.8000,87.4000,87.7500,70872
2024-03-21,88.0000,93.8000,88.0000,89.7500,280176
2024-03-22,89.1000,94.0000,89.1000,91.8500,367052
2024-03-26,91.8500,93.2000,88.1500,88.4000,213723
2024-03-27,88.9500,90.4500,85.7000,86.1000,206863
2024-03-28,86.2000,91.3000,84.6000,84.9500,680068
2024-04-01,85.2500,95.9000,85.2500,94.4000,513168
2024-04-02,93.6000,96.4000,93.0500,94.9500,166887
2024-04-03,94.9500,98.0500,94.0500,96.7500,207073
2024-04-04,97.7000,99.2000,95.7000,98.5500,166966
2024-04-05,97.5500,99.5000,97.0000,97.3000,120481
2024-04-08,97.3000,98.2000,95.5000,95.8500,120411
