date,open,high,low,close,volume
2024-03-05,265.0000,274.5000,219.0000,224.9500,35267228
2024-03-06,231.1500,248.7500,229.3000,246.4500,12718290
2024-03-07,250.0000,257.6500,235.2500,238.2000,5254269
2024-03-11,238.0000,240.6000,215.0000,216.7500,3905751
2024-03-12,216.7000,216.7000,196.1500,199.2500,4688051
2024-03-13,204.9500,205.7500,169.4000,177.0500,4597737
2024-03-14,177.0500,212.4500,177.0500,212.4500,5017347
2024-03-15,214.0000,239.9000,213.0500,227.7500,7630330
2024-03-18,230.7000,235.9500,218.4000,224.3500,1958442
2024-03-19,221.9000,223.6000,211.0500,214.1500,920810
2024-03-20,216.4000,232.9500,216.4000,229.1500,2460207
2024-03-21,239.1500,239.4000,219.1500,224.7500,3318094
2024-03-22,220.7500,222.4500,212.5500,214.5500,1153097
2024-03-26,214.5500,220.9500,202.3000,204.2000,1008718
2024-03-27,205.9500,213.0000,201.3500,205.3000,1090306
2024-03-28,205.8000,209.5000,195.5000,197.3500,802683
2024-04-01,200.2500,205.0000,197.5000,201.7000,616438
2024-04-02,204.5500,211.4500,202.3000,208.8500,574328
2024-04-03,208.0000,211.4500,201.5000,203.8000,1185902
2024-04-04,206.8000,209.9000,204.3000,207.9000,809598
2024-04-05,207.9000,227.6500,206.1000,224.2000,2849350
2024-04-08,226.2000,232.7000,221.3000,230.6500,1411488
2024-04-09,231.9000,231.9000,218.5000,219.9000,942104
2024-04-10,220.8000,225.0000,218.0500,219.8500,524608
2024-04-12,218.4500,250.8500,215.9500,241.9000,5977945
2024-04-15,234.0000,253.5500,226.1000,238.2500,4461851
2024-04-16,236.8000,266.4000,235.0500,258.9000,5324662
2024-04-18,266.1500,308.6500,265.1000,294.9000,16151712
2024-04-19,286.7000,303.9500,284.0500,291.8000,7772647
2024-04-22,289.0500,290.0000,262.7500,278.7000,3804127
2024-04-23,281.9500,304.0000,280.0000,288.3000,3820316
2024-04-24,291.7500,294.4000,282.0000,283.8000,1095176
2024-04-25,282.9500,288.0000,275.4000,278.0000,808406
2024-04-26,278.0000,292.1500,275.1000,278.8500,1370415
2024-04-29,282.9500,314.0000,282.3000,303.7000,5517035
2024-04-30,306.9500,313.0000,296.0500,299.4500,2195158
2024-05-02,300.5000,301.8500,291.0000,291.8500,971758
2024-05-03,294.7000,299.0000,286.0000,291.6500,888397
2024-05-06,293.0000,294.9000,275.2000,278.6000,1102551
2024-05-07,280.0000,280.1500,265.0000,268.2500,1087575
2024-05-08,269.0000,286.1500,266.5500,277.6500,1028557
2024-05-09,278.7000,280.0000,257.8000,260.7000,1299966
2024-05-10,263.0000,267.0000,252.3500,260.6500,808537
2024-05-13,261.0000,263.9000,248.9000,254.7500,632508
2024-05-14,258.8500,280.5000,257.0500,277.5500,1559667
2024-05-15,284.4000,288.0000,273.2000,281.6000,820624
2024-05-16,283.4000,283.9500,275.0000,277.9000,394655
2024-05-17,279.4500,289.5000,278.8000,284.5500,980168
2024-05-21,285.9000,286.0000,269.1500,274.5500,816046
2024-05-22,276.0500,282.8000,269.6000,273.5000,479802
2024-05-23,274.0000,279.0000,271.0000,273.1500,330576
2024-05-24,273.6000,275.9500,264.0000,266.5500,655882
2024-05-27,267.9500,273.0000,255.0500,259.5000,1024287
2024-05-28,261.0000,264.2500,253.4500,256.4000,597573
2024-05-29,265.8000,284.0000,265.1500,269.5000,3676800
2024-05-30,272.2000,322.0000,271.8000,315.1000,15632379
2024-05-31,317.4000,346.7000,308.3500,313.3000,12424724
2024-06-03,336.2000,337.9500,301.2500,303.1500,3234941
2024-06-04,299.0000,301.9500,252.0500,276.3000,3557605
2024-06-05,280.0000,303.0000,268.0000,297.9000,2554935
2024-06-06,300.8000,317.3500,297.2000,303.4000,2761500
2024-06-07,303.4000,310.6000,301.5500,304.1000,2162736
2024-06-10,310.0000,325.0000,305.5000,312.0500,2397309
2024-06-11,314.0000,321.5000,310.5500,316.6500,1291618
2024-06-12,317.8000,330.0000,317.8000,322.1500,2334727
2024-06-13,326.0000,329.2500,312.7000,315.9500,1058252
2024-06-14,316.0000,326.8000,313.0000,319.0500,1447492
2024-06-18,322.0000,339.8500,319.3000,329.8000,3337311
2024-06-19,338.0000,361.7000,324.4500,351.4500,7593244
2024-06-20,353.9500,400.0000,350.9500,387.9500,7290882
2024-06-21,391.7000,424.2000,382.0000,405.1500,8716547
2024-06-24,394.9500,461.5000,387.5000,446.2500,11813059
2024-06-25,446.0000,452.0000,417.1000,430.5500,3735883
2024-06-26,432.3000,432.3000,406.5000,414.1000,1458585
2024-06-27,414.8000,452.0000,414.3500,435.3000,3762987
2024-06-28,440.0000,459.7000,432.1000,454.0000,2637904
2024-07-01,456.7000,507.4000,454.2000,500.3000,3832670
2024-07-02,504.0000,530.0000,493.0000,518.8500,3803531
2024-07-03,523.9000,529.9000,511.7000,515.2000,1344810
2024-07-04,518.3000,519.0000,484.1000,490.9500,1888175
2024-07-05,491.9500,504.9500,482.1000,486.2000,1133817
2024-07-08,491.0000,493.4500,440.1000,456.3000,2080269
2024-07-09,458.8000,482.0000,457.0000,466.7000,1220116
2024-07-10,468.6000,475.2500,432.9500,455.7000,1330252
2024-07-11,457.0000,468.0000,450.1000,451.5500,671142
2024-07-12,453.4000,457.9000,428.0000,445.0500,957770
2024-07-15,462.0000,481.9500,450.0000,469.5500,1917981
2024-07-16,469.5000,485.0000,461.0000,463.3500,328677
2024-07-18,461.0000,462.0000,441.0000,442.8500,356066
2024-07-19,443.0000,450.0000,422.0500,432.7000,283152
2024-07-22,426.0000,450.0000,415.1000,437.4500,236739
2024-07-23,439.0000,449.9000,415.6000,438.4500,294826
2024-07-24,434.0000,449.0000,424.9000,443.6000,727544
2024-07-25,440.0000,440.0000,427.0000,434.6000,657195
2024-07-26,439.9000,456.3000,434.6000,456.3000,404435
2024-07-29,460.0000,479.0000,458.9500,472.7500,437959
2024-07-30,475.0000,475.0000,449.2500,456.7500,246838
2024-07-31,457.8500,463.0000,442.0500,446.6500,206489
2024-08-01,449.8500,460.0000,442.5000,449.7500,152997
2024-08-02,439.0000,451.2000,436.1500,443.9500,153183
2024-08-05,425.1500,440.0000,421.7500,421.7500,392287
2024-08-06,402.0000,430.0000,400.7000,400.7000,463165
2024-08-07,398.0000,409.0000,380.7000,389.4000,597388
2024-08-08,389.8000,408.8500,380.0000,406.8000,599264
2024-08-09,410.1000,427.1000,410.1000,423.8500,350284
2024-08-12,422.0000,425.0000,402.7000,410.7500,213263
2024-08-13,405.0000,412.5000,392.0000,395.6000,215867
2024-08-14,401.5000,405.0000,390.6000,399.6500,146449
2024-08-16,407.0000,409.6500,392.6500,394.1500,220605
2024-08-19,400.1500,406.0000,400.0000,402.8500,220265
2024-08-20,408.9500,410.0000,400.0000,402.1000,182997
2024-08-21,405.0000,405.0000,392.0000,394.8500,293072
2024-08-22,399.9500,404.4500,396.8000,399.9500,134036
2024-08-23,400.0000,403.0000,395.0500,401.3000,136831
2024-08-26,402.0000,403.9500,391.5000,393.5000,218635
2024-08-27,400.9500,403.0000,392.0000,393.3500,202706
2024-08-28,399.8000,401.0000,388.0000,392.5500,190516
2024-08-29,394.8000,394.8000,381.8000,383.0000,196751
2024-08-30,386.0000,389.9000,380.0000,385.5500,152486
2024-09-02,389.9500,391.2000,366.3000,366.3000,392870
2024-09-03,364.9000,384.6000,348.0000,378.5000,2563625
2024-09-04,365.0000,370.0000,359.6000,359.6000,498733
2024-09-05,351.0000,360.0000,346.0000,349.5500,490203
2024-09-06,349.0000,358.5000,344.5000,348.5500,339221
2024-09-09,349.5500,350.0000,331.1500,331.3000,392220
2024-09-10,331.8500,347.8500,331.8500,347.8500,251705
2024-09-11,355.0000,365.2000,348.0000,350.1000,485027
2024-09-12,361.0000,365.5000,354.1000,355.6500,245117
2024-09-13,357.0000,360.0000,344.1500,346.5500,277149
2024-09-16,351.7000,351.7000,329.2500,338.1000,532898
2024-09-17,337.0000,338.9000,331.0000,336.3000,287831
2024-09-18,336.0000,338.0000,327.0000,329.3000,250596
2024-09-19,332.8000,335.6500,313.6500,322.4000,448666
2024-09-20,325.8000,337.9000,320.0000,327.7000,311667
2024-09-23,333.0000,338.0000,328.9000,332.2000,306994
2024-09-24,335.0000,337.7000,323.0000,324.5000,230635
2024-09-25,328.2000,330.0000,319.0000,319.9500,322934
2024-09-26,324.0000,324.9500,319.0000,320.8500,183760
2024-09-27,323.4000,325.0000,315.0000,317.3500,200154
2024-09-30,318.0000,319.9000,309.5500,313.8500,278647
2024-10-01,319.7500,324.8000,310.5000,311.5000,236038
2024-10-03,309.0500,319.4500,305.0000,310.4000,254091
2024-10-04,312.9000,319.0000,307.5000,308.6000,371498
2024-10-07,316.0000,316.0000,293.9000,298.4500,681754
2024-10-08,295.0000,313.3500,295.0000,313.3500,617683
2024-10-09,319.6500,329.0000,318.7000,329.0000,270424
2024-10-10,336.8000,345.4500,321.8500,331.7500,879179
2024-10-11,334.3500,334.4000,325.0000,327.0000,225197
2024-10-14,331.5000,339.9000,327.5000,333.5500,531684
2024-10-15,337.0000,338.9000,333.6000,336.9500,295674
2024-10-16,336.3000,348.5000,336.3000,345.3000,492105
2024-10-17,347.8000,349.0000,333.0000,334.7000,349245
2024-10-18,334.0000,334.0000,321.0000,325.9000,308003
2024-10-21,327.8000,328.6500,311.0000,315.1500,268880
2024-10-22,315.1500,319.8000,301.1000,302.5500,318314
2024-10-23,302.4500,317.6500,297.3000,317.6500,216725
2024-10-24,323.9500,328.4000,309.2000,313.6000,210356
2024-10-25,313.8500,316.2000,300.0000,312.1000,274878
2024-10-28,312.8500,314.7000,297.0000,304.9000,329652
2024-10-29,308.3500,312.9500,304.0000,305.3500,201493
2024-10-30,307.7000,314.7000,304.6000,306.6500,260507
2024-10-31,307.9500,311.8500,304.0000,309.2500,268994
2024-11-01,314.8000,324.7000,313.5500,324.4500,296992
2024-11-04,324.4000,340.0000,315.1000,332.6000,829358
2024-11-05,336.2000,345.5500,335.4500,343.8000,652716
2024-11-06,348.9000,360.9500,346.0000,356.3000,1646306
2024-11-07,360.0000,374.1000,358.1000,368.6500,1886669
2024-11-08,373.8500,375.0000,352.0000,354.0500,773863
2024-11-11,350.3000,365.0000,342.0000,350.3000,627189
2024-11-12,352.9500,359.9500,335.8000,339.3000,323283
2024-11-13,333.0000,338.9500,322.3500,322.7000,483261
2024-11-14,306.6000,306.6000,306.6000,306.6000,125369
2024-11-18,291.3000,291.3000,291.3000,291.3000,123883
2024-11-19,276.7500,286.7500,276.7500,276.7500,2359793
2024-11-21,265.0000,271.7000,262.9500,262.9500,822924
2024-11-22,260.0500,274.0000,257.3500,270.6500,679468
2024-11-25,278.0000,279.5000,263.0000,264.4500,399371
2024-11-26,267.7000,271.8500,262.6000,268.6500,284629
2024-11-27,271.8000,271.8000,265.3000,267.4000,324433
2024-11-28,269.0000,280.7500,268.5000,280.7500,548829
2024-11-29,286.4000,289.4500,276.4000,277.5000,398129
2024-12-02,274.6500,284.0000,270.7500,279.4500,361436
2024-12-03,281.9500,293.4000,279.6500,288.8000,454209
2024-12-04,294.9000,295.3500,288.0000,289.8500,272425
2024-12-05,289.9500,292.2000,285.0000,286.9000,245671
2024-12-06,287.1000,290.6000,279.3500,284.8500,350028
2024-12-09,288.9500,290.3500,280.4000,282.9500,291500
2024-12-10,282.1000,285.0000,275.0000,277.5500,293114
2024-12-11,277.6000,284.4000,275.0000,277.0000,289572
2024-12-12,277.0000,279.4500,274.0000,274.4500,179667
2024-12-13,274.0000,278.6000,268.7000,274.3500,281289
2024-12-16,277.4500,281.7000,268.0000,270.7000,441911
2024-12-17,271.9000,276.8000,270.3000,272.2000,209479
2024-12-18,275.0000,275.7000,264.0000,266.4500,372585
2024-12-19,264.0000,273.0000,261.6000,268.7500,285445
2024-12-20,272.9000,272.9000,261.0000,262.1000,229253
2024-12-23,262.2000,264.5000,254.1000,255.0000,262862
2024-12-24,255.9500,267.0000,254.7500,260.9500,205418
2024-12-26,262.4500,267.6000,254.2500,256.4000,255745
2024-12-27,257.4000,258.4000,254.0000,254.2000,142626
2024-12-30,254.2000,256.9000,245.2000,247.8000,265148
2024-12-31,246.4000,251.4500,242.4000,247.3000,321686
2025-01-01,247.0000,253.8000,244.0000,251.4700,216540
2025-01-02,252.0500,255.7600,248.6100,251.1200,282845
2025-01-03,253.0000,261.5100,251.7000,252.7500,326944
2025-01-06,256.0000,258.0000,240.1100,240.1100,353438
2025-01-07,242.4500,243.2500,236.2100,238.1900,260386
2025-01-08,248.8000,250.0900,248.0000,250.0900,75147
2025-01-09,262.5900,262.5900,262.5900,262.5900,52292
2025-01-10,275.7100,275.7100,251.9000,256.0100,1306835
2025-01-13,254.0000,254.0000,243.2000,243.2000,241606
2025-01-14,242.0200,247.7500,238.0800,239.9600,314226
2025-01-15,245.9000,245.9000,235.0000,237.1900,238528
2025-01-16,242.0000,246.2700,236.1000,236.9500,248115
2025-01-17,238.0000,248.7900,232.0000,248.7800,723369
2025-01-20,251.4000,254.5000,243.1200,248.3900,360838
2025-01-21,249.8000,255.1900,243.4700,244.6800,243554
2025-01-22,245.0500,245.9000,232.4400,239.5200,277373
2025-01-23,237.7000,240.0200,231.0000,232.3800,239882
2025-01-24,233.9700,243.9900,226.6300,243.9900,440661
2025-01-27,245.0000,249.5000,231.7900,238.2900,1091534
2025-01-28,238.2900,247.6800,229.0000,236.6100,520977
