date,open,high,low,close,volume
2023-09-25,47.1000,47.3500,45.9000,46.6000,646855
2023-09-26,46.4500,47.7500,46.0000,47.1000,457362
2023-09-27,47.0000,47.7000,46.5500,47.0500,362423
2023-09-28,46.6500,48.1500,45.5500,46.4000,2008419
2023-09-29,46.7000,48.0000,46.4000,47.3000,1646097
2023-10-03,47.9000,53.4000,47.6000,51.9500,5462730
2023-10-04,52.1500,54.6500,52.0000,53.0500,6124400
2023-10-05,53.6500,55.0000,52.8000,53.8000,3475141
2023-10-06,53.7500,54.2000,51.2000,51.6500,2309491
2023-10-09,51.6000,51.6000,49.8000,50.2500,1183916
2023-10-10,50.7500,52.7500,50.0500,50.2000,1007948
2023-10-11,50.4500,51.3000,49.7500,50.0000,617782
2023-10-12,50.0000,52.3000,49.8500,51.2000,972102
2023-10-13,51.1000,51.9000,50.6000,50.9500,401068
2023-10-16,51.3500,51.7500,49.2000,49.7500,504738
2023-10-17,50.1500,50.8000,49.5500,49.8500,429800
2023-10-18,50.2500,50.4000,49.2500,49.5500,337919
2023-10-19,49.2500,51.2500,48.7500,50.3500,1001469
2023-10-20,50.9500,53.4500,50.3000,51.6500,3546078
2023-10-23,51.6500,52.6000,47.1000,47.9000,2749049
2023-10-25,47.9000,49.0000,46.0000,47.3000,1954489
2023-10-26,47.2500,47.4000,45.2000,47.0500,1615603
2023-10-27,47.0500,49.2000,47.0500,48.0500,1192634
2023-10-30,48.2500,49.0000,47.8500,48.3000,665622
2023-10-31,48.3000,50.5000,47.4000,47.9000,1142019
2023-11-01,47.6500,50.0000,47.6500,49.6000,1419569
2023-11-02,49.4500,51.1000,46.4000,46.6000,2066471
2023-11-03,47.2500,47.2500,45.4000,45.6000,1149334
2023-11-06,46.2500,47.3500,45.8000,46.9000,671956
2023-11-07,46.9500,49.9500,46.9500,49.2500,1849829
2023-11-08,49.2000,49.7000,47.3500,47.9500,613353
2023-11-09,48.3000,48.5500,46.6000,47.4000,505768
2023-11-10,47.0000,48.2000,47.0000,47.7000,444427
2023-11-13,48.5000,48.8000,47.0500,47.2500,446947
2023-11-15,47.4000,49.2000,47.1000,48.3500,702659
2023-11-16,48.6500,55.2000,48.5000,53.0000,10708020
2023-11-17,53.7000,53.9000,52.1000,52.6000,1505994
2023-11-20,52.6000,53.8000,51.7500,52.1000,551486
2023-11-21,52.1000,52.7000,51.1000,51.4500,645996
2023-11-22,51.4500,53.6500,50.4500,51.5500,1199648
2023-11-23,51.3500,52.2500,50.5000,50.7500,594894
2023-11-24,50.9000,52.4000,50.5000,50.8500,627383
2023-11-28,50.8500,51.3500,50.1000,50.3000,471286
2023-11-29,50.3000,50.8500,49.2000,49.5000,495579
2023-11-30,50.2500,50.5000,48.9500,49.1000,529743
2023-12-01,49.5000,50.2000,48.8000,48.9500,335461
2023-12-04,50.0000,50.2000,48.7500,49.6000,518825
2023-12-05,49.6500,50.4500,48.5000,49.1000,593588
2023-12-06,49.5500,49.7500,48.2500,48.5000,493774
2023-12-07,48.5000,49.0000,47.6000,48.4000,604390
2023-12-08,48.4000,49.0000,48.0000,48.2500,447701
2023-12-11,48.6000,48.7000,47.7000,48.3000,357214
2023-12-12,48.3000,49.1000,48.1000,48.1500,376862
2023-12-13,48.4000,48.6000,47.9000,48.3500,271818
2023-12-14,48.7000,49.0500,47.9000,48.1000,512924
2023-12-15,48.1500,48.5000,47.8000,48.0000,314838
2023-12-18,48.0000,49.3500,46.8500,48.3000,873911
2023-12-19,49.0000,49.1500,48.0500,48.5000,446850
2023-12-20,48.8000,51.3000,46.6000,47.1000,3092807
2023-12-21,46.6000,48.1000,46.1500,47.5000,577071
2023-12-22,47.5000,48.4500,47.4000,47.9000,314652
2023-12-26,48.0000,48.4500,47.9000,48.0500,415013
2023-12-27,48.0500,48.5000,47.6000,48.2500,417248
2023-12-28,48.5000,48.7500,47.7500,48.1000,321472
2023-12-29,48.4500,50.5000,44.9500,49.1500,1244505
2024-01-01,49.3500,49.6000,48.5500,48.9500,467077
2024-01-02,49.2000,50.4500,48.2000,49.3000,3223798
2024-01-03,48.9000,51.5000,48.6500,50.6000,4005025
2024-01-04,51.9000,52.3000,50.6000,51.0000,3817239
2024-01-05,51.4500,52.0000,49.7500,50.2500,3435540
2024-01-08,51.0000,53.7000,50.8000,51.8000,4770668
2024-01-09,52.5500,55.9500,51.5000,52.5500,11755695
2024-01-10,52.8000,53.3500,50.5500,51.5500,4366686
2024-01-11,51.9500,54.0000,50.8000,51.2500,6744573
2024-01-12,51.5000,53.8500,50.8000,51.1500,7408650
2024-01-15,51.5000,54.4500,50.1500,53.0000,10105984
2024-01-16,53.8000,55.0000,52.1000,52.6500,5788029
2024-01-17,52.0000,54.8500,51.5500,53.7000,4096777
2024-01-18,53.9500,54.6000,51.7500,53.7500,2429313
2024-01-19,54.4000,59.3500,53.8500,57.4500,22994821
2024-01-23,61.6000,61.6000,57.2000,58.0500,9247087
2024-01-24,58.5000,61.0000,58.5000,60.0000,4336019
2024-01-25,60.5000,62.7500,60.0000,61.2500,4480079
2024-01-29,61.9500,63.0000,60.7000,61.0000,3399322
2024-01-30,61.4000,64.4500,60.7000,62.0500,5316402
2024-01-31,62.3000,64.6000,61.6000,61.9500,4840905
2024-02-01,62.4500,63.6000,61.8500,62.1000,6095981
2024-02-02,62.6000,65.6000,62.5000,62.9500,8565772
2024-02-05,63.4500,64.3000,60.1000,60.5500,3006436
2024-02-06,60.9500,62.2000,60.3500,61.8000,1840376
2024-02-07,62.9500,63.5000,60.3500,61.0000,3067898
2024-02-08,61.5000,65.1000,61.1500,64.4500,11682351
2024-02-09,65.1000,65.9000,60.7500,63.1000,7185261
2024-02-12,65.0000,65.0000,60.1500,61.5500,5728140
2024-02-13,62.0000,62.3000,59.4000,59.8000,2716208
2024-02-14,58.5000,65.0000,58.5000,63.9500,7083535
2024-02-15,64.8000,69.1000,64.1000,67.0500,13933960
2024-02-16,67.4500,69.8000,66.2000,66.5500,7514707
2024-02-19,67.0000,68.2000,64.6000,66.7500,4141700
2024-02-20,67.0000,71.0000,66.3000,70.6000,6766791
2024-02-21,71.1500,73.0000,68.0500,68.7000,6487280
2024-02-22,69.4500,69.9000,66.5000,68.6500,2869031
2024-02-23,69.1000,69.9500,68.0000,68.9500,2354024
2024-02-26,69.4500,72.4000,69.4500,71.2000,5766857
2024-02-27,70.4000,72.5000,69.0500,69.6000,4240853
2024-02-28,73.0000,78.0000,70.2500,71.7500,21233235
2024-02-29,71.9000,74.2000,70.6500,73.2000,6750668
2024-03-01,73.0000,74.3000,71.8500,72.3000,3292016
2024-03-04,72.3500,73.2500,69.0500,69.6500,2826529
2024-03-05,69.6500,71.0000,66.9000,67.4000,2582984
2024-03-06,67.1000,67.9500,63.7000,65.4500,4162569
2024-03-07,65.1500,68.1000,64.9000,66.4000,1854310
2024-03-11,66.7000,67.2000,61.3500,61.9000,2858672
2024-03-12,62.1000,63.2000,58.8500,59.3500,4299769
2024-03-13,59.0000,60.2000,50.6000,52.6500,4586688
2024-03-14,52.0000,56.2500,49.7000,55.3000,4231638
2024-03-15,54.9500,57.8500,53.5500,54.1500,3911789
2024-03-18,54.5000,62.2500,54.5000,59.8000,7131756
2024-03-19,59.8000,61.7500,57.5500,58.2500,3993710
2024-03-20,58.2000,60.0000,56.1000,58.2500,1787821
2024-03-21,58.9000,62.8500,58.3500,60.7500,4646991
2024-03-22,60.8000,62.4000,60.8000,61.6500,2002308
2024-03-26,61.5000,61.7500,58.9000,59.1500,1447252
2024-03-27,59.4000,60.2500,58.1500,59.2000,1937516
2024-03-28,59.4500,60.6000,56.1500,58.5500,1679279
2024-04-01,59.0000,61.7500,59.0000,61.6000,1847398
2024-04-02,61.4500,62.7000,60.7000,61.7500,1617673
2024-04-03,62.0000,64.7500,61.7500,63.4000,3045946
2024-04-04,63.7000,66.2500,62.6500,65.5000,4032585
2024-04-05,65.9500,66.9000,64.5500,65.8500,2276546
2024-04-08,65.2500,66.2000,61.7000,62.0500,3128452
2024-04-09,62.6000,64.0500,61.6000,62.1000,2572071
2024-04-10,62.3000,62.7500,60.9000,61.4000,1298854
2024-04-12,61.0000,61.4000,59.0500,59.6000,1535636
2024-04-15,57.2500,59.0000,56.3500,58.4500,1709811
2024-04-16,58.0000,60.5500,58.0000,59.7500,1367892
2024-04-18,60.0000,60.7500,57.3500,57.8000,1920192
2024-04-19,56.9500,58.7500,56.0000,57.9000,1925659
2024-04-22,58.5000,59.8000,58.1500,58.8000,1293357
2024-04-23,59.0000,64.6000,59.0000,62.1000,8028690
2024-04-24,64.9500,65.0000,63.2000,63.9500,4154734
2024-04-25,63.8500,64.3500,63.1500,63.8500,1601255
2024-04-26,64.1000,64.4000,63.1500,63.2500,1636531
2024-04-29,63.4000,64.1500,62.5500,62.9000,1375027
2024-04-30,63.2000,66.5000,63.0500,63.6000,4470531
2024-05-02,63.4500,64.2000,61.1500,61.4000,1291461
2024-05-03,61.5000,61.9000,59.8000,61.2500,1516875
2024-05-06,61.2500,61.5000,58.8000,59.2000,1239487
2024-05-07,59.3500,59.3500,57.4500,58.3500,1041971
2024-05-08,57.6500,58.6000,57.0000,57.4000,1170127
2024-05-09,57.5000,58.4500,54.8000,55.0500,1534374
2024-05-10,55.4000,56.8500,55.1000,56.5500,912691
2024-05-13,56.9000,57.0000,54.6000,55.3000,964544
2024-05-14,55.6000,56.3500,55.2500,55.6500,810227
2024-05-15,56.2500,57.1000,55.9500,56.0500,818779
2024-05-16,56.3500,57.5000,56.3500,56.8500,777368
2024-05-17,57.2500,58.6500,54.3500,55.7500,2210516
2024-05-21,56.6000,56.9000,55.4500,56.2500,1002924
2024-05-22,56.4000,57.4000,55.4000,55.9000,1149618
2024-05-23,55.9000,56.3000,55.5000,55.6500,755447
2024-05-24,55.1000,55.8000,55.0000,55.1000,467331
2024-05-27,55.1500,56.6000,54.7000,55.9000,766789
2024-05-28,55.9000,56.3000,54.3000,54.5500,550721
2024-05-29,54.1500,54.7500,53.8000,54.0000,421458
2024-05-30,54.4500,54.4500,53.1000,53.2500,409268
2024-05-31,53.7500,53.7500,52.4000,52.9000,485091
2024-06-03,56.0000,56.0000,52.8500,54.2500,1345615
2024-06-04,54.5000,54.5500,48.0000,50.8500,1731684
2024-06-05,51.5000,52.5000,48.7500,50.8000,1135263
2024-06-06,51.3500,53.6000,51.3000,52.3500,1091583
2024-06-07,52.9500,55.6000,52.3500,53.8500,2238623
2024-06-10,54.2500,55.4000,53.5300,53.6900,1720568
2024-06-11,53.7600,54.6500,53.1000,53.4900,1159691
2024-06-12,53.8900,55.8100,53.8300,54.3900,2762714
2024-06-13,55.0000,56.2000,54.0100,54.2500,1836139
2024-06-14,54.3500,55.5900,54.3500,54.8800,1046334
2024-06-18,55.1000,55.3700,53.7900,54.2200,1301274
2024-06-19,54.4300,54.8800,53.1500,53.6000,1501296
2024-06-20,53.6000,55.6700,53.6000,55.0000,1750654
2024-06-21,54.9900,59.5000,54.8400,58.1600,8916391
2024-06-24,58.1600,58.4000,56.4700,57.4200,2034152
2024-06-25,57.6300,61.0200,57.6300,58.4100,7225226
2024-06-26,58.7600,60.4500,58.0100,59.8000,2920011
2024-06-27,60.0000,60.6400,57.2300,57.8600,2006955
2024-06-28,58.1000,58.5400,57.2600,57.7600,1471235
2024-07-01,57.7500,60.1800,57.0600,58.8500,2444748
2024-07-02,58.9900,59.7500,57.5000,57.9200,1174040
2024-07-03,58.1500,58.6700,57.3200,57.5400,1272248
2024-07-04,57.5400,58.2100,57.2100,57.5200,974143
2024-07-05,57.5200,57.7400,56.0000,56.0700,1534747
2024-07-08,56.2000,56.5400,54.9000,55.7300,1428378
2024-07-09,55.5500,56.5000,55.5500,55.7200,782276
2024-07-10,55.9800,59.2000,55.5400,58.0100,4878212
2024-07-11,58.2400,58.4500,56.9500,57.0200,1034763
2024-07-12,57.1900,58.7000,55.4100,55.6100,1024884
2024-07-15,56.0000,58.2000,55.2500,57.1700,1574896
2024-07-16,57.1700,59.5600,57.1700,59.2500,3509419
2024-07-18,59.8000,60.6900,57.3700,57.6500,3157459
2024-07-19,57.5500,57.5500,54.5000,54.9000,1442112
2024-07-22,54.9000,60.7500,54.3000,59.0900,11687946
2024-07-23,60.9100,61.7500,54.1000,58.1300,4694865
2024-07-24,57.9100,60.2500,57.6800,58.7400,2279358
2024-07-25,58.1500,61.0000,57.8600,59.2400,2225665
2024-07-26,59.5000,60.7700,59.0900,59.5200,3267400
2024-07-29,60.1100,64.2500,59.0500,62.7700,11806916
2024-07-30,63.0000,63.7000,62.2900,62.6100,2955854
2024-07-31,63.0000,63.5400,61.5700,61.9300,2459359
2024-08-01,62.2000,62.6400,59.1000,59.4200,2051218
2024-08-02,58.5000,60.7500,58.0500,59.3500,2115815
2024-08-05,56.5500,62.4000,56.5500,61.7000,5597150
2024-08-06,62.0000,65.9000,61.2000,62.2300,11958198
2024-08-07,64.1000,65.0000,62.1400,64.7300,3941490
2024-08-08,64.6700,65.2500,61.4100,62.3000,2761490
2024-08-09,62.7000,62.7900,60.5000,61.1400,3153744
2024-08-12,61.6000,61.7500,59.7500,60.1200,1613397
2024-08-13,61.0100,61.0100,57.0500,57.4900,2051696
2024-08-14,57.9500,58.3300,56.0100,56.3600,1549131
2024-08-16,57.2000,59.4500,57.0100,58.8000,1277537
2024-08-19,59.2500,59.7500,57.2200,57.5900,1117631
2024-08-20,57.7400,58.7100,57.5500,57.9200,1073012
2024-08-21,58.0000,59.2000,57.7200,58.3400,1244690
2024-08-22,58.5800,61.9400,58.5000,61.2900,2931348
2024-08-23,61.3300,67.9500,61.0600,65.7100,20083553
2024-08-26,68.0100,70.3500,65.5300,66.1600,14582983
2024-08-27,66.4800,66.5000,64.3100,64.8200,3546914
2024-08-28,64.9500,67.1700,64.6600,65.7400,4255926
2024-08-29,65.8500,65.8500,61.8000,64.8100,4309583
2024-08-30,65.3000,65.9000,63.2000,63.4500,2163897
2024-09-02,63.9000,64.4500,62.2000,62.4700,2206787
2024-09-03,62.6500,63.1000,61.8000,62.0400,1242154
2024-09-04,61.0000,63.2700,61.0000,62.8600,1535325
2024-09-05,63.4500,63.9900,62.2500,63.1000,1668250
2024-09-06,63.0000,65.6000,62.8000,63.2600,5842088
2024-09-09,63.4800,64.9000,61.8300,64.5200,2884159
2024-09-10,64.9100,66.6600,64.5200,64.7900,2977665
