date,open,high,low,close,volume
2023-12-01,501.0000,514.4000,450.9000,450.9000,12732683
2023-12-04,405.8500,416.7500,405.8500,405.8500,2892319
2023-12-05,407.0000,425.9500,388.0000,391.3000,7342926
2023-12-06,396.0500,397.3000,375.0000,382.6500,2142570
2023-12-07,382.1000,389.7500,375.2000,376.8500,1309649
2023-12-08,380.0000,381.6000,371.2500,372.9500,1096571
2023-12-11,376.0000,393.1000,366.1500,381.1000,2603914
2023-12-12,384.2500,394.0000,383.0000,388.7000,1444834
2023-12-13,396.1500,397.0000,383.0000,383.9500,967911
2023-12-14,386.0000,388.7000,378.0500,381.0000,861533
2023-12-15,381.8500,383.6500,372.0000,373.0000,360524
2023-12-18,374.9500,374.9500,368.0000,370.2000,520785
2023-12-19,372.0000,374.9500,368.0000,371.0000,577202
2023-12-20,374.5500,381.8500,355.0500,360.5500,927952
2023-12-21,359.2000,361.5000,346.0000,349.9500,614271
2023-12-22,353.7500,364.8500,350.5500,360.8500,740677
2023-12-26,360.9500,361.9000,352.4500,357.1000,374882
2023-12-27,358.4500,364.8500,354.5000,361.8000,423942
2023-12-28,362.8000,362.8000,355.0000,355.8000,238722
2023-12-29,357.0000,357.5000,346.1500,348.6500,583593
2024-01-01,349.0000,351.0500,346.6500,347.0500,201254
2024-01-02,348.1000,349.5000,342.0000,343.2000,599164
2024-01-03,343.3000,357.3000,340.1500,351.9000,521755
2024-01-04,351.9000,357.5000,350.0000,352.5500,479206
2024-01-05,353.9000,362.9000,352.0000,361.5000,746664
2024-01-08,362.0000,368.0000,358.3500,364.9500,531843
2024-01-09,366.0000,367.2000,352.8500,354.2500,624090
2024-01-10,355.0000,362.0000,347.7000,349.2500,489008
2024-01-11,351.5000,355.6500,349.9500,352.9000,251051
2024-01-12,355.0000,357.0000,349.5000,351.6500,174099
2024-01-15,351.6500,351.6500,351.6500,351.6500,0
2024-01-16,350.0000,351.0000,342.3500,346.0500,214681
2024-01-17,344.0000,346.0000,340.0000,341.0500,189685
2024-01-18,341.0500,343.3500,331.0500,335.4000,208301
2024-01-19,337.9000,339.0000,330.3500,331.2000,262322
2024-01-23,341.9500,341.9500,325.8500,328.3500,249951
2024-01-24,329.9500,330.0000,322.5000,324.7000,239962
2024-01-25,324.6500,326.4500,321.1000,322.2500,169500
2024-01-29,326.8500,328.0000,321.0000,324.2500,129515
2024-01-30,324.9000,336.0000,322.0000,334.1000,299185
2024-01-31,334.1000,336.0000,327.0000,329.3500,155091
2024-02-01,330.0000,330.9000,323.7500,327.0500,100686
2024-02-02,327.0500,329.5500,322.6000,323.9000,108176
2024-02-05,327.9000,327.9000,317.0500,318.2000,161113
2024-02-06,321.0500,323.0000,316.0000,321.0500,123023
2024-02-07,319.2000,332.9000,319.2000,329.5500,255518
2024-02-08,331.0000,332.6500,323.3500,326.0500,107422
2024-02-09,326.5500,329.0000,318.3000,322.8000,103721
