date,open,high,low,close,volume
2023-09-18,696.1000,696.1000,678.5500,681.0000,7533
2023-09-20,677.8500,688.4500,671.0000,673.9500,4902
2023-09-21,675.0500,705.9000,671.0000,691.0000,11372
2023-09-22,701.3500,701.6000,675.0000,681.2000,3657
2023-09-25,684.3000,689.3500,676.1000,682.5000,4252
2023-09-26,683.0000,685.5500,676.0000,679.9500,6854
2023-09-27,675.2500,683.9000,665.1000,668.5500,10056
2023-09-28,674.0000,682.8000,661.3000,673.3000,15865
2023-09-29,662.2000,691.6500,662.1000,685.4500,13518
2023-10-03,697.9000,700.0000,676.0000,686.1000,11321
2023-10-04,695.2000,695.2000,676.1000,679.4000,4692
2023-10-05,683.5000,692.9500,672.1000,679.6000,7105
2023-10-06,679.9500,705.0000,679.9500,694.9500,8660
2023-10-09,693.0000,693.0000,675.4500,683.5500,4881
2023-10-10,685.3000,695.0000,683.5500,692.4500,1585
2023-10-11,692.0000,705.0000,692.0000,703.1000,5748
2023-10-12,712.0000,742.0000,705.4000,727.5000,38330
2023-10-13,716.0000,754.9000,715.0000,738.1500,34926
2023-10-16,739.0500,751.1500,724.0500,736.4000,9464
2023-10-17,744.6000,744.6000,723.0000,725.7000,6664
2023-10-18,735.3000,743.7000,727.1000,738.3000,9092
2023-10-19,738.4500,775.1000,736.8500,745.3500,58472
2023-10-20,745.0000,754.0000,724.6000,728.8500,9840
2023-10-23,732.0000,737.3500,676.0000,696.6500,17396
2023-10-25,696.6500,713.4000,666.6000,673.9000,12094
2023-10-26,673.8500,691.0000,662.0500,684.7000,7728
2023-10-27,689.0000,705.2000,689.0000,698.3000,5839
2023-10-30,698.3000,750.7500,689.1000,729.0000,27877
2023-10-31,729.5000,766.0000,729.5000,737.9000,32592
2023-11-01,753.0000,759.5000,732.0000,746.3000,11957
2023-11-02,701.0500,731.5000,691.2500,727.2500,45944
2023-11-03,727.2500,735.3500,718.1000,721.4500,9718
2023-11-06,727.0000,727.0000,696.2500,701.2000,8427
2023-11-07,695.1000,710.0000,695.1000,701.5500,7021
2023-11-08,712.0500,715.9500,680.0000,690.1000,14164
2023-11-09,698.8000,702.7000,680.0000,681.8500,9389
2023-11-10,682.8000,700.1000,680.0000,690.9000,9957
2023-11-13,688.0000,698.5000,687.0500,690.9000,3295
2023-11-15,691.1000,697.0000,687.6000,690.4500,2845
2023-11-16,699.6500,702.1000,688.0000,691.3500,3646
2023-11-17,691.4500,695.9500,680.0500,681.9500,6814
2023-11-20,681.0500,689.0000,675.0500,677.3500,5241
2023-11-21,677.3500,691.4500,670.0000,680.2500,8642
2023-11-22,683.3500,695.9500,670.5500,675.2000,7017
2023-11-23,679.9000,684.2000,673.9500,676.2000,2461
2023-11-24,678.1500,683.9000,673.1000,675.4000,4505
2023-11-28,673.0000,679.9000,668.0000,670.8500,5551
2023-11-29,672.1000,727.0000,672.1000,687.1000,53462
2023-11-30,690.0000,699.9500,666.9000,673.0000,17478
2023-12-01,678.7000,684.9500,669.0000,670.4000,8992
2023-12-04,680.0000,686.2000,669.0500,673.7000,10642
2023-12-05,674.4000,679.3500,670.0500,673.0000,4067
2023-12-06,680.0000,722.0000,671.0000,678.4500,86547
2023-12-07,688.6500,688.6500,677.0000,682.8000,7168
2023-12-08,683.8000,688.9000,677.0000,679.3500,5896
2023-12-11,689.4500,689.4500,677.5500,681.2000,5348
2023-12-12,689.0000,689.0000,675.0500,677.6500,3476
2023-12-13,677.6500,715.2500,671.3500,692.7000,22028
2023-12-14,703.1000,710.0000,685.1000,689.6500,7703
2023-12-15,698.8500,698.8500,687.0500,687.6000,2156
2023-12-18,696.7000,700.0000,688.0000,691.8000,2790
2023-12-19,692.6500,752.0000,692.6500,740.3500,134119
2023-12-20,744.8500,745.4000,701.0000,710.5500,23055
2023-12-21,725.0000,747.0000,708.6000,735.6500,10799
2023-12-22,735.6500,742.0000,722.4500,739.4500,9754
2023-12-26,740.0000,795.0000,730.0500,763.1000,121721
2023-12-27,774.5500,774.5500,736.8500,742.7500,22623
2023-12-28,742.7500,750.0000,718.0000,728.7500,20887
2023-12-29,728.7500,736.9500,725.0000,728.9500,10248
2024-01-01,735.4500,738.2500,722.5000,725.9000,6490
2024-01-02,725.9000,730.0000,713.5500,716.1000,6328
2024-01-03,717.0000,731.2500,715.1500,730.0000,4715
2024-01-04,737.3000,739.0000,728.0500,732.9500,3821
2024-01-05,725.0500,733.9500,722.0000,723.5000,3741
2024-01-08,723.5000,780.0000,717.8000,761.4500,72503
2024-01-09,769.0000,775.0500,752.0000,762.1000,21641
2024-01-10,760.0000,766.7500,752.4000,754.2000,6519
2024-01-11,755.6000,762.0000,741.2000,746.9000,5993
2024-01-12,756.2500,775.5000,738.1000,763.2000,22217
2024-01-15,770.0000,778.9500,757.0500,767.5500,10682
2024-01-16,767.5500,769.8000,749.6000,757.1500,6201
2024-01-17,750.0000,755.2000,740.0000,744.1500,6534
2024-01-18,744.1500,744.1500,694.1500,717.3000,36633
2024-01-19,717.9500,733.1500,717.9500,724.0500,6695
2024-01-23,738.9500,842.4000,719.2000,764.1500,432400
2024-01-24,776.0000,865.0000,772.5000,830.9000,298352
2024-01-25,835.8000,835.8000,784.5500,803.0500,47858
2024-01-29,811.3000,818.9000,783.1500,802.8500,31870
2024-01-30,800.0000,804.9500,786.5000,790.8500,15349
2024-01-31,797.9500,797.9500,783.1000,793.3500,12678
2024-02-01,801.0000,845.0000,796.6000,803.1500,59097
2024-02-02,811.9000,825.0000,793.5500,800.1000,12693
2024-02-05,790.0000,802.3500,781.5000,787.9000,15005
2024-02-06,780.0000,785.3500,765.0000,773.3000,10793
2024-02-07,775.0000,829.0000,775.0000,819.5000,19485
2024-02-08,820.0000,844.0000,810.1000,827.9000,54148
2024-02-09,828.5000,836.1000,796.0500,802.2000,9293
2024-02-12,790.0000,935.0000,764.1000,825.8500,448296
2024-02-13,831.0000,831.0000,788.6500,803.7000,51891
2024-02-14,793.6000,825.0000,793.6000,820.7500,15094
2024-02-15,825.0000,875.0000,814.5500,852.6500,60759
2024-02-16,856.0000,856.0000,825.0000,828.6500,11586
2024-02-19,830.0000,871.3500,811.0500,835.6000,65933
2024-02-20,848.1500,849.9000,827.0000,829.0500,7307
2024-02-21,839.0000,839.2500,813.0500,818.5000,7538
2024-02-22,828.7500,828.7500,813.3000,815.4500,4554
2024-02-23,815.4500,835.0000,815.4500,825.5500,14494
2024-02-26,830.0000,830.3000,807.3000,813.8000,6570
2024-02-27,810.0000,820.4500,801.0500,806.2000,11246
2024-02-28,816.4500,860.0000,792.0000,817.1500,30454
2024-02-29,825.4000,834.0000,798.7500,804.2500,10596
2024-03-01,805.5500,809.8500,798.1000,801.8500,2913
2024-03-04,804.3500,821.3500,790.0500,792.6500,9725
2024-03-05,785.0000,800.0000,785.0000,791.0500,5140
2024-03-06,785.0000,792.8500,747.5500,753.3500,22154
2024-03-07,764.6500,766.4500,750.0000,753.0500,5989
2024-03-11,762.0000,762.0000,690.9500,708.6500,22019
2024-03-12,705.0000,717.5000,692.2000,702.1000,16274
2024-03-13,710.6500,712.6500,658.4000,683.9000,19342
2024-03-14,683.9000,747.0000,667.0000,724.8500,10689
2024-03-15,730.0000,740.0000,701.1000,728.0500,5037
2024-03-18,727.6500,728.8000,714.7500,719.4000,2961
2024-03-19,708.6000,723.5000,701.0000,706.0000,4111
2024-03-20,714.6500,800.0000,706.2000,752.1000,60142
2024-03-21,757.3500,757.3500,736.9500,741.5000,5964
2024-03-22,735.0000,749.0000,732.8500,742.5500,4123
2024-03-26,730.2500,785.0000,727.0000,739.6000,25690
2024-03-27,749.0000,752.4500,729.0000,733.8500,5889
2024-03-28,723.0000,753.0000,723.0000,732.7000,8617
2024-04-01,737.7500,775.0000,727.0500,751.6500,14524
2024-04-02,755.6000,772.0000,754.7500,759.1000,5335
2024-04-03,760.0000,772.0000,753.0500,765.9500,4596
2024-04-04,770.0000,770.0000,757.0000,760.1500,4864
2024-04-05,760.1500,768.5500,756.1000,761.5500,2629
2024-04-08,770.0000,770.0000,759.0500,760.9000,2628
2024-04-09,770.0000,770.0000,758.0500,764.2500,2546
2024-04-10,764.4000,769.9500,750.4500,763.0500,3787
2024-04-12,762.3500,763.4500,742.6000,748.3500,2217
2024-04-15,744.7000,744.7000,721.4500,736.8500,3927
2024-04-16,740.7000,746.1000,735.0000,739.3000,2761
2024-04-18,742.9500,748.4500,730.5500,733.9000,3618
2024-04-19,733.4000,745.2000,720.0000,732.7500,2790
2024-04-22,736.6000,766.9500,736.5500,761.2000,5949
2024-04-23,770.0000,791.9500,768.0500,778.8500,7928
2024-04-24,778.8500,794.0000,778.0000,787.9000,7157
2024-04-25,792.0000,820.0000,778.8500,806.7000,11940
2024-04-26,819.5000,878.0000,807.0500,861.7000,189103
2024-04-29,861.0000,868.2000,841.0000,857.3000,18928
2024-04-30,867.9000,867.9000,837.5000,846.4000,10983
2024-05-02,847.7000,866.8000,835.0000,844.2000,11705
2024-05-03,835.3000,852.0000,821.1500,832.7000,9568
2024-05-06,832.7000,895.0000,820.8000,843.5500,36193
2024-05-07,846.6500,847.6500,823.2500,828.4500,4930
2024-05-08,830.0000,841.0000,812.0000,819.5500,4391
2024-05-09,819.5500,829.0500,800.0000,806.6000,3708
2024-05-10,811.2500,829.0000,800.9500,819.6500,2612
2024-05-13,822.7000,880.0000,803.0000,824.4500,34046
2024-05-14,824.4500,835.7500,815.9500,824.4000,3434
2024-05-15,824.0000,832.9500,814.6000,823.0000,5376
2024-05-16,830.0000,859.0000,826.0000,853.2500,8816
2024-05-17,845.5000,864.1500,823.4500,856.0500,12004
2024-05-21,846.6000,846.6000,835.0000,839.3000,3746
2024-05-22,836.7000,841.9500,830.4000,834.4000,2223
2024-05-23,834.4000,859.0000,825.0000,855.4500,10466
2024-05-24,855.0000,855.0000,805.0000,812.6000,13809
2024-05-27,813.0000,858.9500,806.1000,810.4000,23774
2024-05-28,819.0000,827.4500,808.0000,812.2500,3131
2024-05-29,812.0000,825.0000,786.9500,797.5500,7503
2024-05-30,797.5500,802.3000,768.4500,779.6500,17256
2024-05-31,779.9500,788.9500,736.0000,742.6000,23302
2024-06-03,785.0000,788.9500,734.5000,736.7000,18714
2024-06-04,743.0000,750.4500,683.0000,721.5000,16587
2024-06-05,721.5500,748.2000,705.7500,742.7500,6063
2024-06-06,744.4000,772.0000,744.1000,763.4000,6666
2024-06-07,766.1500,817.3000,752.9500,771.0500,23346
2024-06-10,782.6000,786.1500,770.5000,779.1500,3686
2024-06-11,783.3000,792.5500,780.5000,782.6500,3894
2024-06-12,789.0000,799.0000,773.3500,783.4500,7443
2024-06-13,783.4500,793.3500,778.0000,791.8500,3050
2024-06-14,791.5000,815.0000,784.7500,806.0000,7102
2024-06-18,816.0500,818.4000,800.0000,811.5500,5344
2024-06-19,809.3000,810.0000,781.5000,787.9500,8783
2024-06-20,786.0000,801.8500,779.0500,798.3500,4654
2024-06-21,808.2000,808.6500,790.0000,799.1500,4112
2024-06-24,788.0000,799.0500,783.7500,788.6500,4318
2024-06-25,797.0000,805.0000,791.0500,792.6500,3541
2024-06-26,799.0000,802.7000,793.0000,797.9000,2419
2024-06-27,804.0000,804.0000,774.6000,779.4500,5116
2024-06-28,783.6000,800.4000,781.0500,793.8500,3295
2024-07-01,790.0000,843.0000,790.0000,823.9000,42398
2024-07-02,830.0000,839.9000,805.0000,811.1000,6787
2024-07-03,813.0000,817.9500,803.0000,813.8000,5057
2024-07-04,817.9500,824.0500,806.7500,818.1500,5672
2024-07-05,822.5000,834.7500,820.0000,831.0500,9533
2024-07-08,838.9000,849.0000,821.6000,836.9000,10099
2024-07-09,838.7000,838.7000,816.1000,822.6500,4877
2024-07-10,827.0000,829.4000,807.1000,812.1000,5595
2024-07-11,822.2500,822.2500,804.1000,805.9500,2490
2024-07-12,809.0000,815.9000,807.4500,812.1000,1991
2024-07-15,804.7000,816.4000,801.2500,804.5000,4759
2024-07-16,805.9500,814.7500,801.2500,804.5000,1882
2024-07-18,800.2500,808.6500,790.2500,795.0500,3151
2024-07-19,801.0000,824.9000,781.0000,810.3000,10293
2024-07-22,810.3000,814.6000,793.2000,796.7500,5852
2024-07-23,800.0500,802.0000,782.0500,794.7000,3859
2024-07-24,795.0000,811.9000,789.0500,796.7500,4697
2024-07-25,790.0000,806.8500,789.9500,796.9000,5079
2024-07-26,797.3500,823.3500,796.0500,816.2500,9244
2024-07-29,820.5000,826.4000,815.2000,819.4500,7237
2024-07-30,823.8000,844.5000,817.9500,832.8500,15295
2024-07-31,841.5500,842.7000,824.9500,834.7000,4980
2024-08-01,838.8000,845.0000,821.0500,827.5500,13555
2024-08-02,827.5500,865.9000,808.8000,854.7500,20375
2024-08-05,835.2500,835.2500,790.3500,802.4000,13106
2024-08-06,802.4000,819.3000,802.4000,811.6500,3030
2024-08-07,814.1000,815.9000,803.0000,808.7500,2250
2024-08-08,808.2500,812.0000,791.0000,796.2500,3312
2024-08-09,799.9000,815.5000,789.9500,804.5500,10146
2024-08-12,804.3500,806.0500,770.0000,795.0000,3328
2024-08-13,772.1500,796.0000,772.1500,784.4500,3703
2024-08-14,777.3000,799.0000,777.3000,790.0000,12325
2024-08-16,794.2000,794.2000,778.1500,781.7500,3521
2024-08-19,785.9000,789.8500,770.0000,784.7000,4988
2024-08-20,788.8000,792.9000,775.0000,777.5000,6108
2024-08-21,778.0500,793.0000,778.0000,789.3500,2809
2024-08-22,792.0500,806.9500,785.0000,797.0000,6419
2024-08-23,804.7000,804.7000,781.3500,786.1500,3479
2024-08-26,796.0000,796.0000,777.5500,785.2500,2686
2024-08-27,780.2000,802.0000,780.2000,793.8500,1744
2024-08-28,793.8500,798.9000,780.0000,782.6500,3154
2024-08-29,784.3000,786.0000,775.5000,781.5000,1546
2024-08-30,785.4000,793.4500,780.0500,781.0000,3050
2024-09-02,785.1000,785.8000,770.0500,775.2500,7582
2024-09-03,784.9000,784.9000,775.0000,777.3000,2084
2024-09-04,775.0000,784.0000,773.0000,780.4500,1261
2024-09-05,775.0500,784.0000,775.0500,781.0500,1431
2024-09-06,783.4000,784.5000,766.0500,776.2000,3028
2024-09-09,785.9500,786.3000,750.0000,766.1500,5335
2024-09-10,766.2000,775.6000,765.0500,768.6500,1655
2024-09-11,772.7000,778.3000,769.0000,770.2500,2101
2024-09-12,774.2500,780.2500,770.4000,772.8000,2820
