date,open,high,low,close,volume
2025-09-29,296.0500,308.7000,291.6500,294.3000,5493770
2025-09-30,290.0000,299.7000,280.3500,285.1000,934074
2025-10-01,283.0000,290.4000,280.7000,282.3000,319891
2025-10-03,282.0000,298.9000,280.1000,290.0500,655196
2025-10-06,290.0500,309.9500,286.4500,305.5500,957172
2025-10-07,305.0000,306.9000,288.8000,292.3000,411916
2025-10-08,290.4000,298.9500,286.8500,295.1500,344257
2025-10-09,294.0000,302.8500,290.2000,293.7500,297458
2025-10-10,292.9500,307.4000,292.2500,302.6000,449091
2025-10-13,302.2500,303.1000,290.2500,294.1500,320519
2025-10-14,294.1500,296.0000,281.1500,283.0000,224915
2025-10-15,285.0000,288.7000,281.4000,286.7500,169874
2025-10-16,287.7000,294.4000,283.5000,285.4500,470786
2025-10-17,286.0000,295.0000,285.0000,288.3500,386008
2025-10-20,288.9000,289.9500,282.8500,284.5500,610397
2025-10-21,289.8500,292.0000,280.0000,281.3000,273717
2025-10-23,282.7000,287.0000,282.0000,282.9000,238593
2025-10-24,283.0000,284.9500,279.1500,283.8500,464899
2025-10-27,283.0000,286.2000,277.5000,278.7500,293345
2025-10-28,280.0000,284.2000,278.1000,283.4000,83704
2025-10-29,281.0500,285.5000,280.0000,282.4000,119130
2025-10-30,282.3000,294.3000,281.9500,291.8000,405683
2025-10-31,291.8000,293.9500,281.8000,284.5000,196006
2025-11-03,284.5000,287.4500,281.1000,282.3000,114354
2025-11-04,282.3000,283.5000,271.1500,274.4000,149568
2025-11-06,274.4000,276.5000,261.0000,262.9000,141948
2025-11-07,263.0500,280.8000,250.1000,276.8500,686373
2025-11-10,276.4000,292.4500,274.4000,288.6000,384678
2025-11-11,285.6000,287.9000,279.9500,282.0500,113717
2025-11-12,285.0000,285.9500,281.0500,284.4000,79133
2025-11-13,287.8000,295.6500,283.1500,293.3000,187110
2025-11-14,290.0000,291.7000,286.6000,288.9500,66312
2025-11-17,287.5000,290.9500,280.2000,283.6000,77268
2025-11-18,283.5000,285.5500,275.3000,276.4500,81854
2025-11-19,277.1000,278.8000,272.0500,272.7000,65425
2025-11-20,272.7000,278.0000,270.1000,271.5000,49142
2025-11-21,270.8000,274.9500,269.0500,272.4000,35546
2025-11-24,272.0000,273.5500,252.4000,256.2500,149136
2025-11-25,259.0000,274.7500,256.3500,269.4500,250749
2025-11-26,269.7000,272.9000,265.9000,270.0500,69447
2025-11-27,271.3500,280.1500,264.5000,274.9000,113684
2025-11-28,270.8500,279.5000,270.8000,273.3500,81947
2025-12-01,272.0000,274.5000,265.8500,267.8000,33060
2025-12-02,269.9500,269.9500,253.6000,257.1500,74482
2025-12-03,257.9000,260.0000,250.1000,250.8500,50445
2025-12-04,250.9500,251.4500,239.7000,243.4500,210342
2025-12-05,241.0000,243.0000,238.5000,240.6500,51518
2025-12-08,240.6500,250.7500,228.4000,247.2000,185318
2025-12-09,247.2000,247.2000,237.2000,240.8500,93029
2025-12-10,240.0000,242.1000,233.0500,235.8500,41699
2025-12-11,234.4000,237.1000,232.0000,235.5500,26023
2025-12-12,236.0000,247.0000,235.6500,239.1000,152581
2025-12-15,242.0000,242.0500,235.0000,235.4000,42807
2025-12-16,237.7000,237.7000,233.0000,234.2000,28152
2025-12-17,236.5500,238.0500,232.8000,233.7000,32212
