date,open,high,low,close,volume
2023-09-25,121.4500,129.5000,121.0500,127.5000,20275
2023-09-26,129.6500,130.2500,125.2000,125.6000,8925
2023-09-27,124.9500,125.9500,122.2500,123.4500,7496
2023-09-28,123.4500,125.2000,119.9500,120.5500,29487
2023-09-29,124.7000,124.7000,120.0000,120.6500,6595
2023-10-03,122.2000,122.3000,117.9500,118.8000,10444
2023-10-04,120.8500,121.3000,115.0500,116.5500,5719
2023-10-05,119.0000,123.9500,116.4500,122.4000,13319
2023-10-06,123.4500,128.4500,117.3500,118.2000,53748
2023-10-09,118.5000,124.8500,113.2000,114.5000,35578
2023-10-10,116.5500,119.5500,116.1000,118.7000,6131
2023-10-11,119.9000,120.4000,117.6000,118.4000,3935
2023-10-12,120.7500,120.7500,118.5000,118.7000,2421
2023-10-13,121.2500,121.2500,118.2500,119.5000,3417
2023-10-16,119.5000,123.2500,118.9500,121.5500,10964
2023-10-17,122.7500,122.7500,115.9500,119.1000,26909
2023-10-18,120.0500,122.5500,118.1500,120.5500,10164
2023-10-19,119.3500,120.4500,118.6500,119.4000,2660
2023-10-20,117.0000,120.0000,116.5500,117.7000,10146
2023-10-23,119.6500,127.0000,113.0500,114.4500,129594
2023-10-25,117.2000,117.2500,109.7500,111.4000,13717
2023-10-26,112.6500,113.4500,108.3500,109.4500,11734
2023-10-27,110.0000,119.8000,110.0000,117.7000,19792
2023-10-30,114.2000,121.3500,114.2000,119.8500,15051
2023-10-31,117.7500,122.3500,117.7500,118.7500,12803
2023-11-01,117.7500,120.0000,116.0000,116.1500,5798
2023-11-02,117.7500,118.9000,116.1500,118.0500,2432
2023-11-03,121.9000,121.9000,118.0000,118.9500,5912
2023-11-06,118.5500,121.8000,118.0000,119.3000,9987
2023-11-07,118.3000,119.0000,115.3500,117.9500,4349
2023-11-08,117.4000,122.9500,116.3500,120.6500,12913
2023-11-09,121.8000,124.0500,120.2500,121.3000,11455
2023-11-10,119.5500,121.8000,119.5000,120.4500,16258
2023-11-13,125.0000,133.9000,125.0000,127.1000,68749
2023-11-15,128.9500,131.4500,123.6000,124.8500,14994
2023-11-16,125.0000,127.8000,117.9000,121.8000,19996
2023-11-17,123.1000,123.1000,119.5500,121.1000,12727
