date,open,high,low,close,volume
2023-09-20,28.9000,29.3000,28.9000,28.9000,42070
2023-09-21,28.3250,28.3250,28.3250,28.3250,54280
2023-09-22,27.7600,27.7600,27.7600,27.7600,45170
2023-09-25,28.0050,28.0050,27.8000,28.0050,121090
2023-09-26,28.5650,28.5650,28.5650,28.5650,61500
2023-09-27,29.0400,29.0800,29.0000,29.0400,64170
2023-09-28,29.6200,29.6200,29.6200,29.6200,97510
2023-09-29,30.2100,30.2100,30.2100,30.2100,54620
2023-10-03,30.8100,30.8100,30.8100,30.8100,62630
2023-10-04,31.4250,31.4250,31.4150,31.4250,43220
2023-10-05,32.0500,32.0500,32.0500,32.0500,52260
2023-10-06,32.6000,32.6900,32.6000,32.6000,93180
2023-10-09,32.3000,32.3000,30.9700,31.3350,216810
2023-10-10,31.6350,32.9000,31.6350,32.9000,218390
2023-10-11,34.2000,34.5450,33.1600,34.5450,442410
2023-10-12,35.5000,36.2700,35.5000,36.2700,190700
2023-10-13,37.4050,38.0800,37.4050,38.0800,219280
2023-10-16,39.9350,39.9800,36.1800,38.7050,670400
2023-10-17,39.8000,39.9450,37.1000,38.6000,343650
2023-10-18,37.8300,37.8300,37.8300,37.8300,45940
2023-10-19,37.0750,37.0750,37.0750,37.0750,34240
2023-10-20,36.3350,36.3350,36.3350,36.3350,106980
2023-10-23,37.0500,37.0500,36.5000,37.0500,5074
2023-10-25,36.3250,37.0500,36.3250,36.3250,58978
2023-10-26,35.6000,35.7500,35.6000,35.6000,78776
2023-10-27,36.3000,36.3000,35.5000,36.3000,153342
2023-10-30,37.0250,37.0250,37.0250,37.0250,163990
2023-10-31,37.7500,37.7500,37.7500,37.7500,25120
2023-11-01,38.5000,38.5000,38.5000,38.5000,21592
2023-11-02,39.2500,39.2500,39.2500,39.2500,57476
2023-11-03,40.0250,40.0250,40.0250,40.0250,98128
2023-11-06,40.8000,40.8250,40.8000,40.8000,178606
2023-11-07,41.3750,41.6000,41.3750,41.3750,171068
2023-11-08,40.6000,41.3500,40.6000,40.6000,62314
2023-11-09,39.8000,39.8000,39.8000,39.8000,66946
2023-11-10,39.8500,39.8500,39.2500,39.8500,98918
2023-11-13,41.4250,41.4250,41.4250,41.4250,60482
2023-11-15,42.0000,42.2500,42.0000,42.0000,96540
2023-11-16,42.7750,42.7750,42.6250,42.7750,75998
2023-11-17,43.4750,43.6250,43.4750,43.4750,73282
2023-11-20,42.6250,43.4750,42.6250,42.6250,41720
