date,open,high,low,close,volume
2023-09-18,77.6000,77.6000,75.6000,75.8000,47602
2023-09-20,75.9600,77.5000,74.0000,76.5800,79315
2023-09-21,76.5800,77.5800,74.8000,75.7000,39790
2023-09-22,75.0200,80.5400,75.0200,76.1800,126712
2023-09-25,77.1800,78.4000,74.6000,76.0800,74460
2023-09-26,77.7800,77.7800,73.7800,75.5800,132907
2023-09-27,74.8000,76.1800,74.0800,74.3800,55405
2023-09-28,75.4000,75.5800,72.5000,73.1000,107127
2023-09-29,74.0000,76.4000,74.0000,75.6000,94750
2023-10-03,76.4000,76.9200,74.8800,76.0000,80795
2023-10-04,76.0000,76.7200,74.4800,75.6200,70212
2023-10-05,78.7000,79.8600,76.0000,78.4000,195537
2023-10-06,80.1800,80.1800,75.5000,77.5400,127580
2023-10-09,76.0200,77.4000,74.5600,75.6400,125372
2023-10-10,76.0000,77.4000,75.2200,75.6000,91025
2023-10-11,75.6600,78.0000,75.6600,77.1400,90032
2023-10-12,77.5600,77.5600,75.6000,76.5200,37225
2023-10-13,74.4200,77.9800,74.4200,77.1400,83105
2023-10-16,77.9600,79.2000,76.8000,77.5800,83532
2023-10-17,76.4000,85.6000,76.4000,82.5200,407977
2023-10-18,84.4000,85.5600,79.2200,80.2400,193585
2023-10-19,81.1600,81.1600,77.2000,78.7800,157215
2023-10-20,79.1800,79.4800,77.2000,77.7400,49385
2023-10-23,78.4000,78.9800,73.1200,73.6600,194787
2023-10-25,75.1400,77.0600,71.2000,72.3600,115380
2023-10-26,73.1800,73.9600,70.0000,72.5800,70540
2023-10-27,72.0200,76.8000,72.0200,75.6400,61735
2023-10-30,76.0000,77.6000,74.8600,76.0600,84610
2023-10-31,76.9400,79.3800,76.0600,76.3400,95587
2023-11-01,77.6000,77.8600,75.2200,75.9200,91865
2023-11-02,77.9600,77.9600,75.5800,76.0400,110982
2023-11-03,76.4400,77.9800,75.6600,76.1600,35672
2023-11-06,77.8600,82.6800,76.0200,80.9800,262887
2023-11-07,82.3600,97.1600,79.4000,91.0000,1325462
2023-11-08,98.2000,107.9200,92.0800,104.4600,1891550
2023-11-09,107.2000,110.9000,101.4800,105.0200,1066045
2023-11-10,104.8000,104.8000,99.2000,100.7600,323765
2023-11-13,103.0800,103.0800,98.4000,99.5000,169745
2023-11-15,99.2000,101.0000,93.6000,96.8200,263502
2023-11-16,99.4400,108.0000,98.2000,104.2600,574457
2023-11-17,102.8800,107.5200,101.3400,104.1600,551237
2023-11-20,105.2000,108.7000,100.9400,102.2200,285452
2023-11-21,102.2200,104.7800,100.0000,100.5400,254330
2023-11-22,100.0000,103.9600,97.9200,100.6400,249842
2023-11-23,102.6000,105.4800,101.4400,102.9000,261620
2023-11-24,103.9200,104.6000,101.2600,101.9400,162765
2023-11-28,103.3600,109.1200,101.9400,105.8600,1061070
2023-11-29,105.9200,114.7200,105.9200,113.0600,1508307
2023-11-30,131.6000,131.6000,121.6200,123.6800,2530840
2023-12-01,127.2000,127.9200,116.8000,120.0400,822392
2023-12-04,120.0400,123.7400,117.4200,118.8400,545710
2023-12-05,120.6400,129.9600,120.6400,128.5200,1420000
2023-12-06,129.2000,131.9600,122.0000,124.9000,773927
2023-12-07,123.4200,127.6000,122.4800,123.1800,258400
2023-12-08,126.0000,127.1800,121.1400,123.8000,248460
2023-12-11,127.2000,129.9600,125.2400,128.1600,528377
2023-12-12,130.6400,137.9200,128.4600,129.8800,1327855
2023-12-13,131.1400,135.3600,130.1000,132.6800,554820
