date,open,high,low,close,volume
2026-08-18,103.5000,105.5600,103.5000,104.3400,41822
2026-08-19,104.7000,107.9900,104.0000,105.4000,45032
2026-08-20,104.2000,105.9000,103.8100,104.0200,77754
2026-08-21,104.3900,104.7000,101.2200,101.9000,83489
2026-08-24,101.9000,102.4000,99.0000,99.9600,73975
2026-08-25,100.7700,100.7700,99.5000,99.5400,21837
2026-08-26,100.1000,100.5000,99.5500,99.7300,27103
2026-08-27,100.9000,101.5000,97.3500,97.6500,55385
2026-08-28,97.9000,97.9000,96.3100,96.8200,34747
2026-08-31,96.8900,97.7000,94.2100,95.4700,89338
2026-09-01,95.4700,97.0000,94.5000,95.5600,39190
2026-09-02,95.9000,95.9000,94.7000,94.8400,58303
2026-09-03,95.1000,99.0000,95.0000,96.7200,148024
2026-09-04,97.6000,101.2000,96.9000,99.2700,185644
2026-09-07,100.0000,116.3300,100.0000,113.9600,3632929
2026-09-08,115.0000,117.8000,106.7000,108.9500,634510
2026-09-09,110.7000,112.0000,108.1000,109.0300,149510
2026-09-10,109.7100,110.2900,107.3100,107.7300,76155
2026-09-11,108.2000,108.2000,103.8300,104.2900,102693
2026-09-14,104.2900,104.2900,104.2900,104.2900,0
2026-09-15,104.7900,104.8000,101.9000,102.5400,71241
2026-09-16,102.8000,102.8000,99.1000,99.8700,92404
2026-09-17,100.0000,102.0900,99.9000,101.0500,77718
2026-09-18,101.6000,103.9900,96.6900,98.4300,205527
