date,open,high,low,close,volume
2023-09-22,520.2000,535.0000,516.0000,522.4000,32900
2023-09-25,520.0000,524.3500,517.5000,519.3500,13708
2023-09-26,521.4000,528.9000,521.1000,524.1500,16792
2023-09-27,524.0500,525.6000,518.1000,519.3000,12727
2023-09-28,519.5000,523.9500,515.0000,516.1000,16228
2023-09-29,520.0000,526.0000,516.0000,518.0500,25033
2023-10-03,522.0000,527.4000,517.8000,519.7500,23431
2023-10-04,521.0000,547.8500,517.1500,532.9500,104623
2023-10-05,535.0000,543.9000,532.6500,535.2000,19542
2023-10-06,535.2000,558.4500,532.1000,550.1500,139011
2023-10-09,534.0000,543.9500,526.0000,536.6000,53194
2023-10-10,536.6000,565.0000,535.8000,547.5000,144920
2023-10-11,549.8000,569.8000,549.8000,559.8500,206214
2023-10-12,563.0000,584.4000,554.1500,560.0500,281540
2023-10-13,559.9000,566.4500,558.0500,559.6000,51854
2023-10-16,559.6000,562.2500,554.0000,557.1500,37296
2023-10-17,559.5500,567.3500,551.8000,556.0000,45719
2023-10-18,558.9000,562.9500,539.1000,542.1000,42184
2023-10-19,542.1000,554.9000,542.0500,550.2500,35216
2023-10-20,549.9000,564.9000,544.0000,554.8500,73743
2023-10-23,545.0500,545.5500,515.0000,521.5500,78002
2023-10-25,524.9500,529.9500,496.1000,514.7000,44731
2023-10-26,506.0000,509.0500,492.2500,501.5500,44543
2023-10-27,502.0000,514.9000,502.0000,508.7000,27408
2023-10-30,509.9000,513.9500,503.0000,511.2000,20244
2023-10-31,511.0000,523.0000,510.0000,512.9500,33624
2023-11-01,515.4000,517.0000,509.5000,511.2500,11899
2023-11-02,514.0000,521.7000,508.8000,511.8000,22898
2023-11-03,512.4000,520.2000,509.8500,511.3000,24423
2023-11-06,515.1500,518.8500,512.0500,514.3000,19351
2023-11-07,516.5000,522.1000,512.0500,513.9500,23696
2023-11-08,518.7000,522.3000,513.0000,514.6500,28267
2023-11-09,517.9000,520.2500,514.0000,515.1500,16280
2023-11-10,516.7000,522.4000,511.0000,514.8500,18083
2023-11-13,515.1000,532.0000,512.0500,519.2500,18780
2023-11-15,523.9500,528.5000,520.1000,522.8500,13518
2023-11-16,523.9000,529.0000,519.1500,521.4500,35276
2023-11-17,523.1500,549.8000,523.0000,536.3000,128260
2023-11-20,543.5000,545.0000,529.5000,532.2000,21884
2023-11-21,532.8000,547.0000,531.0500,535.2000,48099
2023-11-22,535.0500,537.0000,525.3000,527.7000,13231
2023-11-23,529.0000,546.9500,528.7000,537.7000,65482
2023-11-24,543.0000,543.9000,529.5000,531.3500,21478
2023-11-28,532.0000,541.6500,531.7500,532.7500,20929
2023-11-29,532.0000,577.4000,532.0000,557.6500,392044
2023-11-30,567.0000,575.0000,551.7000,558.6000,137539
2023-12-01,559.8000,569.0000,554.0000,556.9000,59956
2023-12-04,568.6500,572.0000,554.0500,560.0000,137192
2023-12-05,562.9000,562.9000,544.2500,547.3500,60708
2023-12-06,550.0000,556.2000,539.7000,541.9000,41107
2023-12-07,543.8500,552.5000,536.0500,543.2000,32703
2023-12-08,543.2000,552.1500,536.0000,538.1000,24045
2023-12-11,540.4000,547.9500,536.1000,540.9000,22377
2023-12-12,543.0000,550.0000,536.8000,538.6500,21504
2023-12-13,540.9000,542.7000,533.1000,535.3000,27470
2023-12-14,535.8000,541.2500,529.0000,530.9000,53370
