date,open,high,low,close,volume
2023-09-18,1399.0000,1399.0000,1350.0000,1361.0500,55502
2023-09-20,1350.0000,1367.3000,1321.0000,1339.3000,62783
2023-09-21,1343.9500,1345.7000,1308.0500,1318.2000,19954
2023-09-22,1310.0000,1334.7000,1273.0000,1295.7000,73605
2023-09-25,1315.1500,1324.9000,1285.0000,1288.8000,20745
2023-09-26,1280.0500,1317.8000,1269.8500,1273.7500,28674
2023-09-27,1276.9500,1299.0000,1272.2500,1280.0500,18674
2023-09-28,1292.8500,1298.9000,1264.0000,1270.5500,29146
2023-09-29,1276.2000,1283.9000,1246.3500,1268.6500,24707
2023-10-03,1260.0500,1308.6000,1260.0500,1270.6500,54192
2023-10-04,1283.3500,1290.0000,1251.0000,1271.5000,22612
2023-10-05,1284.2000,1288.0500,1243.1000,1257.1500,52754
2023-10-06,1252.0000,1297.0000,1252.0000,1292.6500,43814
2023-10-09,1272.0000,1314.4500,1240.0000,1285.1000,31784
2023-10-10,1290.3000,1319.0500,1288.1500,1295.0500,147905
2023-10-11,1314.0000,1314.0000,1295.0500,1299.3000,24449
2023-10-12,1309.0000,1328.9500,1282.8500,1288.8500,26554
2023-10-13,1288.8500,1308.9500,1288.8500,1299.4500,114337
2023-10-16,1314.0000,1317.0000,1283.0500,1289.4500,16783
2023-10-17,1302.9000,1302.9000,1276.0000,1285.6000,12780
2023-10-18,1298.1000,1298.1000,1268.1000,1278.0000,34046
2023-10-19,1270.0000,1323.7500,1268.9000,1296.6500,71720
2023-10-20,1281.3000,1319.0000,1281.3000,1311.2000,114785
2023-10-23,1311.2000,1335.0000,1290.0000,1303.3000,67783
2023-10-25,1300.1000,1319.7500,1280.0500,1299.1500,131355
2023-10-26,1310.0500,1310.0500,1254.0500,1267.7500,64326
2023-10-27,1268.8500,1301.9500,1229.9000,1257.2500,71337
2023-10-30,1270.0000,1289.5000,1240.0500,1249.6000,54647
2023-10-31,1255.0500,1273.3000,1227.5000,1239.3000,121541
2023-11-01,1230.0000,1246.9500,1214.1000,1240.4000,25852
2023-11-02,1258.9500,1259.0000,1230.6000,1248.8500,35036
2023-11-03,1252.6500,1261.0000,1238.3500,1249.0000,122535
2023-11-06,1260.0000,1268.0000,1221.9500,1244.4000,60693
2023-11-07,1255.9500,1256.0000,1238.0500,1250.8000,127629
2023-11-08,1259.0000,1279.9500,1246.3500,1251.4000,21845
2023-11-09,1251.0000,1264.0000,1223.0500,1227.6500,21091
2023-11-10,1227.6500,1249.9000,1220.7500,1238.7500,13828
2023-11-13,1267.0000,1267.0000,1221.3500,1233.8500,24986
2023-11-15,1246.0000,1253.0000,1222.5500,1230.0000,22850
2023-11-16,1230.1000,1240.0500,1197.5000,1214.0000,22356
2023-11-17,1214.1000,1246.0000,1209.0000,1231.4000,120103
2023-11-20,1243.9000,1243.9000,1219.7000,1221.6500,1868256
2023-11-21,1231.0500,1253.9500,1221.0500,1250.0500,19968
2023-11-22,1250.1500,1269.0000,1235.7000,1259.5500,35265
2023-11-23,1267.5000,1268.6000,1242.1500,1252.6500,30882
2023-11-24,1258.5000,1284.7500,1254.3500,1273.2500,59112
2023-11-28,1273.2500,1303.0000,1270.4000,1298.9000,90665
2023-11-29,1299.2500,1319.0500,1293.4000,1303.1500,34793
2023-11-30,1309.7000,1345.0000,1309.1500,1329.5500,242153
2023-12-01,1348.3500,1348.3500,1310.0000,1330.4000,31112
2023-12-04,1345.7000,1356.4000,1310.0000,1350.3500,61186
2023-12-05,1334.0000,1356.5500,1320.0000,1329.1500,42369
2023-12-06,1335.3500,1340.0000,1310.3000,1319.7000,83937
2023-12-07,1327.2000,1335.0000,1309.0000,1315.4000,18440
2023-12-08,1311.4000,1319.1500,1275.0000,1301.6000,154412
2023-12-11,1314.5000,1316.9500,1285.0000,1299.5500,113998
2023-12-12,1300.2500,1312.6000,1275.1000,1279.6000,30238
2023-12-13,1292.0000,1335.0000,1261.5500,1299.5000,56465
2023-12-14,1306.0000,1325.2500,1279.4000,1294.6000,88904
2023-12-15,1306.5000,1310.6500,1283.0000,1292.9500,99796
2023-12-18,1294.0000,1308.3500,1279.9000,1297.4500,104331
2023-12-19,1299.9000,1301.4500,1288.0500,1298.2500,69076
2023-12-20,1298.9000,1307.5000,1268.0500,1286.0500,98101
2023-12-21,1262.4500,1295.4000,1262.1000,1289.9000,31106
2023-12-22,1299.0000,1299.9000,1272.3500,1283.5500,39231
2023-12-26,1280.0000,1302.6500,1265.5000,1283.6500,50957
2023-12-27,1305.0000,1305.0000,1271.1500,1281.7500,44683
2023-12-28,1287.7000,1303.9000,1268.0000,1290.8000,33363
2023-12-29,1240.0500,1266.1500,1200.0500,1251.7000,674887
2024-01-01,1240.0500,1247.5000,1220.1000,1227.1000,103494
2024-01-02,1227.1000,1236.1500,1209.9500,1221.5500,136031
2024-01-03,1219.0000,1228.5500,1211.0500,1218.7000,105462
2024-01-04,1213.0000,1229.0000,1213.0000,1224.5500,45894
2024-01-05,1229.0000,1237.0000,1220.0500,1230.4500,71952
2024-01-08,1234.3000,1237.0000,1201.0000,1208.4500,48999
2024-01-09,1214.9000,1214.9000,1193.0500,1200.2000,37699
2024-01-10,1200.9500,1209.9500,1173.0000,1187.8500,153271
2024-01-11,1197.9500,1197.9500,1170.0000,1172.7500,210541
2024-01-12,1181.0000,1181.0000,1162.0000,1168.3000,61719
2024-01-15,1168.3000,1168.3000,1168.3000,1168.3000,0
2024-01-16,1189.0000,1198.2000,1175.9000,1180.4000,38299
2024-01-17,1190.9000,1190.9000,1126.0500,1163.7500,152729
2024-01-18,1175.9000,1181.9500,1152.0000,1159.9500,107502
2024-01-19,1155.5500,1171.8000,1150.1500,1159.9500,123861
2024-01-23,1147.0000,1165.4500,1059.4000,1130.6500,86752
2024-01-24,1133.1500,1143.0000,1106.5500,1119.9000,113293
2024-01-25,1126.6000,1126.6000,1109.3500,1116.0500,35615
2024-01-29,1115.0000,1132.5000,1105.8000,1112.9000,37333
2024-01-30,1111.0000,1116.5500,1083.0000,1087.3000,45806
2024-01-31,1097.9000,1134.8000,1085.3500,1105.7000,103462
2024-02-01,1118.2500,1118.6500,1075.5500,1094.4000,28104
2024-02-02,1094.0000,1094.7000,1063.0000,1067.8500,39902
2024-02-05,1072.0000,1075.2000,1035.0000,1045.4500,34892
2024-02-06,1047.9000,1085.5000,1045.0000,1077.0000,104332
2024-02-07,1082.0500,1195.0000,1082.0500,1154.1500,549109
2024-02-08,1165.0000,1189.1500,1136.2000,1140.4000,58418
2024-02-09,1145.1500,1264.8000,1120.0000,1176.4000,428474
2024-02-12,1200.0000,1219.9000,1142.6000,1150.9500,243442
2024-02-13,1152.2000,1200.0000,1128.1000,1195.2000,60970
2024-02-14,1192.0000,1200.1000,1173.0000,1189.5500,78509
2024-02-15,1170.0500,1206.0000,1170.0500,1196.8000,194014
2024-02-16,1197.0000,1218.8500,1173.0000,1190.4000,153358
2024-02-19,1195.6500,1196.8000,1154.9500,1176.6000,42646
2024-02-20,1188.3000,1188.3000,1130.7500,1149.1000,88116
2024-02-21,1152.3000,1172.0000,1143.1000,1167.2000,20183
2024-02-22,1168.9000,1168.9000,1141.0000,1161.1000,17430
2024-02-23,1157.7000,1168.9000,1139.2500,1144.3000,40895
2024-02-26,1144.0000,1146.6000,1125.0000,1133.3000,28356
2024-02-27,1135.0000,1142.7500,1131.1000,1137.2000,11839
2024-02-28,1134.8000,1150.9500,1134.8000,1140.6000,36301
2024-02-29,1130.0000,1166.0000,1121.7000,1130.4000,60778
2024-03-01,1136.3500,1144.4500,1129.1000,1135.2500,36022
2024-03-04,1134.0000,1143.2000,1127.2000,1134.8500,15808
2024-03-05,1140.2500,1140.7000,1113.4000,1126.4000,52940
2024-03-06,1126.4000,1126.4000,1094.5500,1099.9000,108696
2024-03-07,1099.9000,1109.9500,1082.7500,1100.0500,64534
2024-03-11,1096.1500,1105.5500,1082.9000,1095.7000,42195
2024-03-12,1099.0000,1124.9500,1095.4500,1100.4000,39768
2024-03-13,1110.0000,1110.0000,1016.1000,1029.4500,186926
2024-03-14,1026.3000,1052.3000,1025.0000,1028.4000,79132
2024-03-15,1026.0000,1043.9500,1011.4000,1024.3000,331316
2024-03-18,1028.4500,1044.5500,1013.0000,1025.5500,12376
2024-03-19,1021.9500,1045.5000,1019.9000,1031.2000,134108
2024-03-20,1031.2000,1078.0000,1004.9000,1053.5000,243970
2024-03-21,1049.5000,1081.9000,1041.2000,1064.8500,61942
2024-03-22,1065.9000,1114.0000,1046.0500,1091.1000,30708
2024-03-26,1098.3500,1167.8500,1056.3000,1121.8500,50285
2024-03-27,1120.0000,1174.0000,1083.0000,1137.8500,172031
2024-03-28,1134.7000,1246.9000,1126.0000,1205.2000,177783
2024-04-01,1208.0500,1275.0000,1195.0000,1202.2500,89520
2024-04-02,1207.8000,1218.0000,1194.1000,1200.5000,177921
