date,open,high,low,close,volume
2024-03-14,351.0000,384.8000,341.8000,362.7000,8463274
2024-03-15,373.9500,392.8500,370.1000,379.1500,1994031
2024-03-18,379.6000,384.0000,365.3000,369.1500,541965
2024-03-19,366.5500,376.5000,360.0500,373.1000,638038
2024-03-20,373.0000,377.9500,367.4500,374.8000,281157
2024-03-21,378.0000,379.9500,372.0000,374.2000,232351
2024-03-22,370.1000,374.7000,364.5000,366.0000,134790
2024-03-26,366.0000,372.5000,358.0000,362.6000,630453
2024-03-27,362.6000,364.9000,358.0500,358.8000,313306
2024-03-28,359.4500,362.0000,355.3500,357.8000,175050
2024-04-01,357.0000,364.2000,357.0000,360.4000,153088
2024-04-02,363.8000,365.6000,357.1000,358.3000,295532
2024-04-03,341.0500,357.4000,341.0500,353.4500,620438
2024-04-04,353.4500,356.4500,349.0000,349.7000,135486
2024-04-05,349.6500,354.0000,347.5000,348.1500,106851
2024-04-08,348.4500,352.0000,338.0000,339.8500,177305
2024-04-09,337.1000,339.7500,326.0000,327.3500,211302
2024-04-10,328.0500,344.0000,322.7000,337.8500,348191
2024-04-12,337.8500,338.0000,327.0000,328.1500,196285
2024-04-15,311.3000,321.8500,311.3000,318.3000,202268
2024-04-16,318.3000,328.3000,318.3000,319.1000,153913
2024-04-18,318.5000,323.2500,312.0000,313.7500,180182
2024-04-19,313.9500,319.0000,308.2000,315.0000,133659
2024-04-22,320.0000,322.0500,312.5000,313.7500,206544
2024-04-23,317.0000,319.9000,313.5000,315.0000,112557
2024-04-24,316.7000,323.0000,314.0000,314.4500,189460
2024-04-25,313.1000,328.7000,313.1000,320.2000,443105
2024-04-26,319.0000,322.2000,315.0500,317.1000,398295
2024-04-29,318.0000,326.4500,317.8000,320.4000,189333
2024-04-30,322.0000,323.4000,318.0000,319.7500,809000
2024-05-02,318.5000,325.5000,318.0500,319.2000,123258
2024-05-03,321.9500,321.9500,315.5000,317.6500,146414
2024-05-06,317.0000,324.0000,314.4500,319.3000,213047
2024-05-07,322.8000,335.1500,317.2000,334.0000,532287
2024-05-08,336.5000,345.1500,335.0000,342.2500,338078
2024-05-09,345.2500,351.0000,341.1000,344.7500,246728
2024-05-10,339.0000,345.0000,327.0500,330.2000,325673
2024-05-13,334.9500,340.0000,322.5000,329.6500,154239
2024-05-14,329.9500,345.5000,329.9500,340.7000,171342
2024-05-15,338.0500,346.0000,333.9000,335.0500,83834
2024-05-16,335.2500,344.0000,334.2000,336.6500,158379
2024-05-17,339.0000,348.0000,337.1500,344.3000,220578
2024-05-21,343.1000,344.6500,333.0500,334.7500,80621
2024-05-22,334.7500,339.9500,328.0500,334.8000,112392
2024-05-23,334.8000,335.9500,331.0000,331.7500,57652
2024-05-24,335.0000,336.0000,326.8000,329.2000,52525
2024-05-27,325.0500,332.5000,311.3000,320.1000,193036
2024-05-28,321.1500,323.8500,317.0000,318.4000,83583
2024-05-29,319.1500,321.7000,316.5000,317.9000,49703
2024-05-30,317.9000,321.7500,315.0000,319.2500,63304
2024-05-31,320.0000,322.8500,315.8000,316.5000,61312
2024-06-03,321.8500,321.9000,314.5000,319.3500,118668
2024-06-04,316.0000,316.0000,301.0500,307.6000,192552
2024-06-05,307.6000,328.9000,302.1500,322.1500,250148
2024-06-06,321.1500,329.9000,320.9000,326.7500,133153
2024-06-07,330.1500,341.7500,325.7000,336.3000,231083
2024-06-10,336.0000,336.1500,318.5000,321.4000,246972
2024-06-11,324.0000,332.0000,321.0500,323.8500,229898
2024-06-12,323.8500,328.6500,322.0500,323.1500,120866
2024-06-13,324.4000,327.0500,321.2500,322.0500,126509
2024-06-14,322.6000,326.0000,322.6000,323.9500,197015
2024-06-18,325.0000,342.4000,325.0000,337.0500,518462
2024-06-19,338.0000,339.9000,329.0000,334.2000,159104
2024-06-20,334.2000,339.0000,333.0000,336.6500,88425
2024-06-21,336.7000,361.9500,336.7000,345.6000,455246
2024-06-24,345.6000,352.6000,331.5000,341.9500,130214
2024-06-25,340.0500,345.9000,339.0000,339.1000,81925
2024-06-26,339.9500,341.0000,334.5000,335.4500,82707
2024-06-27,336.0000,339.9000,326.0000,330.3000,132495
2024-06-28,331.0000,334.0000,328.5000,329.7500,70383
2024-07-01,330.0000,331.6500,326.0000,329.2500,75312
2024-07-02,333.0000,333.3500,321.0000,323.3000,327064
2024-07-03,326.4500,332.0000,321.1000,330.5500,172864
2024-07-04,334.7000,335.0000,327.0500,329.5500,134951
2024-07-05,329.0000,330.5000,325.5000,326.6000,81935
