date,open,high,low,close,volume
2023-09-22,323.2000,338.5500,320.8000,336.8000,3802198
2023-09-25,338.8000,341.0000,330.1000,333.7500,2284760
2023-09-26,333.2500,338.3000,329.4500,336.5000,1792919
2023-09-27,335.0000,351.5000,334.2000,349.7500,6579578
2023-09-28,349.7500,350.7500,340.1000,341.8500,3518868
2023-09-29,344.9000,356.0000,343.0000,354.7500,2385607
2023-10-03,358.0000,359.9500,353.1500,356.3500,2034947
2023-10-04,356.0000,360.8500,349.0500,359.5500,3430857
2023-10-05,360.9500,361.8500,352.2000,354.3500,1335740
2023-10-06,355.5000,365.2500,352.3000,362.1000,2263674
2023-10-09,353.0000,364.7000,353.0000,355.8000,1988089
2023-10-10,356.8000,362.4000,356.5500,357.8000,782904
2023-10-11,359.8000,359.8000,352.0500,353.2000,941498
2023-10-12,353.2000,358.5000,353.2000,356.0000,576820
2023-10-13,356.0000,358.3000,352.1500,353.6000,711449
2023-10-16,355.6500,356.0000,350.8000,352.5000,642939
2023-10-17,352.5500,356.1000,351.5000,355.0000,574892
2023-10-18,355.0000,359.0000,351.0000,355.9500,724141
2023-10-19,355.9000,355.9000,350.1000,353.3500,669522
2023-10-20,354.1000,354.1000,343.0000,344.7500,931467
2023-10-23,342.0000,345.6000,330.3000,332.6000,1089917
2023-10-25,333.6500,335.0500,325.5500,329.6500,607043
2023-10-26,327.0000,329.6000,318.9500,324.4000,756435
2023-10-27,326.6500,330.2500,324.8000,326.3000,531185
2023-10-30,326.3000,327.9500,322.5000,326.0000,384027
2023-10-31,325.9500,327.4500,321.1000,325.9000,461624
2023-11-01,325.9500,340.5000,322.7500,337.4000,2349145
2023-11-02,340.6000,346.7000,338.6000,341.6500,1125070
2023-11-03,343.0000,353.5500,342.0000,351.8500,917227
2023-11-06,351.8500,353.8500,346.5500,350.7500,744222
2023-11-07,349.0000,355.5000,347.5500,354.4500,846255
2023-11-08,354.6000,366.8500,354.6000,358.0500,2962408
2023-11-09,360.9000,374.8000,353.4000,370.1000,4196966
2023-11-10,369.0000,371.9500,364.1500,366.5500,1089859
2023-11-13,369.3500,371.0000,361.1500,368.9500,760188
2023-11-15,370.0000,372.0000,364.8000,366.2500,650795
2023-11-16,365.9500,370.5000,363.9500,366.9000,575239
2023-11-17,367.0000,376.0000,366.2500,372.8500,2597809
2023-11-20,373.0000,373.9500,363.6500,367.1500,1339118
2023-11-21,368.8000,369.5500,365.6000,367.2500,687037
