date,open,high,low,close,volume
2023-09-25,167.8500,169.9500,166.8000,168.7500,284411
2023-09-26,171.0000,171.4000,167.3500,168.1000,269233
2023-09-27,168.8500,168.9500,165.2500,167.3500,120437
2023-09-28,168.7000,168.7000,161.7000,163.2500,210336
2023-09-29,163.5000,165.4500,163.5000,164.2500,63974
2023-10-03,175.0000,175.0000,166.8500,168.8000,736236
2023-10-04,170.5000,170.8500,165.3500,168.5000,267319
2023-10-05,169.8000,170.2000,166.3000,167.2000,127631
2023-10-06,168.6000,169.5000,167.0000,168.8500,109256
2023-10-09,165.2000,166.2500,161.2000,162.0000,210021
2023-10-10,163.2000,169.1000,163.2000,163.9500,607221
2023-10-11,164.8000,168.4000,164.8000,166.0000,149699
2023-10-12,167.2500,170.0000,165.4000,167.5500,118322
2023-10-13,166.0000,168.3000,165.5500,166.4000,93700
2023-10-16,167.6500,167.6500,165.4500,166.5000,64957
2023-10-17,167.3500,167.4000,162.5500,163.3000,195560
2023-10-18,163.9500,164.9500,162.7500,164.3500,80405
2023-10-19,165.9000,165.9000,162.0000,163.7500,122523
2023-10-20,163.5000,165.0000,162.4000,162.6500,65693
2023-10-23,162.8000,163.9000,154.3500,156.4000,194179
2023-10-25,157.1500,158.5500,152.6000,154.2000,128126
2023-10-26,151.0000,158.4500,148.8500,157.1000,130866
2023-10-27,157.9000,165.0000,157.5000,162.0500,172516
2023-10-30,161.7500,162.7000,159.5500,162.0000,69395
2023-10-31,161.7000,163.5000,160.9000,161.6000,62088
2023-11-01,162.0000,162.9500,158.0500,159.4000,60250
2023-11-02,161.0000,161.4000,157.6500,158.2000,99586
2023-11-03,160.0000,160.4500,157.0000,157.8500,95816
2023-11-06,159.9500,166.0000,158.1000,164.4000,228548
2023-11-07,164.4000,175.0000,160.8000,174.2000,1557854
2023-11-08,177.0000,182.9000,174.9500,180.6500,1308939
2023-11-09,182.1000,187.3000,182.0000,185.2500,947943
2023-11-10,185.0000,185.0000,182.5000,183.4500,239545
2023-11-13,190.0000,198.0000,186.6500,196.1500,583843
2023-11-15,195.0000,204.5000,194.0500,202.3500,792485
2023-11-16,205.5000,209.2000,203.8000,205.8000,609693
2023-11-17,208.3500,208.4000,199.8000,202.4000,471738
2023-11-20,202.4000,207.1500,202.4000,204.9000,290012
2023-11-21,206.0000,211.9000,205.9000,207.1000,324057
2023-11-22,208.4000,208.4000,203.6500,206.9500,200046
2023-11-23,207.5000,207.7000,202.6500,204.9000,159011
2023-11-24,205.9500,206.0000,200.3000,201.2500,128945
2023-11-28,202.3000,204.9500,198.0000,198.6000,215341
2023-11-29,198.6000,200.7500,198.0000,198.5000,107363
2023-11-30,198.0000,199.5000,196.0000,196.5500,133553
2023-12-01,196.9000,202.8000,195.6000,200.8500,603901
2023-12-04,202.0500,203.9500,199.0000,199.9500,245871
2023-12-05,201.0000,205.9000,197.5000,198.8500,311416
2023-12-06,199.9000,201.0000,195.7000,197.5000,172374
2023-12-07,196.6000,201.5000,194.1000,198.8500,554706
2023-12-08,200.4000,202.4000,198.0000,200.2500,286908
2023-12-11,201.0000,204.8500,197.6000,200.4000,307879
2023-12-12,201.4500,211.5000,201.4000,206.6500,1127984
2023-12-13,208.0500,208.2500,204.1000,204.7500,259762
2023-12-14,203.3000,208.2500,203.3000,204.9500,797657
2023-12-15,206.0000,209.0000,202.3500,204.9500,961625
2023-12-18,205.8000,221.8500,205.8000,211.3500,1418112
2023-12-19,210.0000,245.0000,209.4000,240.5000,4959466
2023-12-20,241.0000,249.7500,221.5000,223.8500,2158293
2023-12-21,225.8000,237.9500,221.1000,236.0000,1243839
2023-12-22,236.0000,236.5000,228.6500,229.8500,797870
2023-12-26,233.3000,238.0000,226.2000,228.5000,1086508
2023-12-27,230.0000,239.6500,229.2500,235.6500,1388346
2023-12-28,238.0500,248.4000,236.1000,237.5500,1616753
2023-12-29,238.7000,241.8000,234.5000,238.5000,556830
2024-01-01,240.5000,243.0000,236.0500,238.5000,409392
2024-01-02,240.4000,247.0000,234.4500,243.7500,548833
2024-01-03,245.1000,266.7000,243.3000,253.7000,3349750
2024-01-04,255.9000,267.3000,255.3500,257.3000,1083550
2024-01-05,257.3000,263.1000,252.0000,255.7500,531073
2024-01-08,255.7500,261.9500,249.7000,250.6000,467013
2024-01-09,254.0000,261.0500,252.5000,259.1000,493915
2024-01-10,258.2000,262.0000,255.0000,260.1500,373809
2024-01-11,260.1500,262.2000,251.3000,254.5500,220930
2024-01-12,257.9000,257.9000,247.0000,248.6500,363908
2024-01-15,251.0000,251.0000,244.1000,247.0000,171589
2024-01-16,247.9500,249.9000,240.0500,243.1500,216210
2024-01-17,242.8500,245.9000,235.0000,238.8000,254341
2024-01-18,240.7000,242.9500,232.1000,236.7500,284231
2024-01-19,237.1000,245.9000,236.5000,238.3500,271941
2024-01-23,241.4000,244.2000,228.2500,231.4500,236177
2024-01-24,232.4000,236.0000,228.4500,234.3000,193537
2024-01-25,235.5000,237.5500,233.2000,236.4000,96453
2024-01-29,237.8500,245.8000,236.0000,240.0000,267509
2024-01-30,241.2000,250.0000,236.0500,246.2000,447359
2024-01-31,247.5000,252.4000,244.5500,246.1500,275802
2024-02-01,246.7500,250.0000,231.6000,244.6000,732446
2024-02-02,245.8500,251.4500,237.1000,238.9500,577606
2024-02-05,240.9500,242.7500,235.6500,237.1000,169982
2024-02-06,238.9000,241.0000,235.6500,240.0000,124546
2024-02-07,240.0000,241.6000,233.8000,234.9000,167621
2024-02-08,235.1500,236.4500,230.0000,230.4500,148153
2024-02-09,231.4500,233.6500,221.0000,225.6500,203863
2024-02-12,227.8500,230.8500,217.0500,217.9500,235751
2024-02-13,217.9500,238.9500,212.1000,231.9000,436202
2024-02-14,231.9000,242.0000,229.4500,239.2500,471293
2024-02-15,240.0000,249.0000,238.0000,239.6000,301823
2024-02-16,241.0000,241.0000,232.3500,235.3000,172798
2024-02-19,236.4000,247.6000,231.9000,243.0000,340563
2024-02-20,243.3000,244.2000,234.0500,235.2000,173147
2024-02-21,236.8000,240.4500,232.1000,235.9500,274163
2024-02-22,237.1500,239.7000,232.4500,235.2500,133341
2024-02-23,238.6000,255.8000,237.6500,250.7500,1987731
2024-02-26,260.5000,280.0000,260.0000,277.5000,5483114
2024-02-27,279.6000,279.8000,270.3000,274.7000,1151438
2024-02-28,275.6500,279.4500,262.0000,264.1000,776013
2024-02-29,267.0000,270.8000,260.3000,262.9000,460024
2024-03-01,264.2500,269.5000,264.0000,267.9000,289307
2024-03-04,273.4000,277.1000,265.8000,275.3500,391514
2024-03-05,273.5500,273.5500,265.2000,269.2500,387936
2024-03-06,268.5500,268.5500,254.8000,258.5000,307955
2024-03-07,260.0000,262.0000,254.1000,256.1500,130915
2024-03-11,256.8500,258.3500,242.2000,245.3000,342259
2024-03-12,247.7500,247.7500,233.0500,238.2000,386340
2024-03-13,238.6500,241.4500,220.1000,223.4500,565187
2024-03-14,218.5500,233.3000,210.7000,228.8000,763485
2024-03-15,228.8000,233.4500,222.2000,229.1000,354420
2024-03-18,230.9000,230.9500,222.2000,225.8500,209259
2024-03-19,225.8500,229.4000,217.9500,227.0500,271094
2024-03-20,227.0500,234.2000,225.0000,226.9500,506152
2024-03-21,230.0000,234.0000,227.6000,229.0000,145604
2024-03-22,229.0500,234.0000,229.0500,232.7000,143566
2024-03-26,235.5500,238.3500,230.0000,231.6000,225315
2024-03-27,234.0500,234.4000,225.7000,231.0000,316896
2024-03-28,232.2000,233.5000,229.0000,231.2000,181784
2024-04-01,231.2500,247.2000,231.0000,243.6000,597365
2024-04-02,243.6000,246.6500,242.0000,244.9500,147718
2024-04-03,244.9500,267.6000,242.5500,265.6000,920498
