date,open,high,low,close,volume
2023-09-26,1286.7500,1353.9000,1277.0000,1298.2000,40713
2023-09-27,1310.0000,1348.7000,1287.9000,1307.3000,37931
2023-09-28,1331.0000,1382.0000,1317.0500,1370.4000,90244
2023-09-29,1379.7500,1475.0000,1371.3500,1462.2000,94574
2023-10-03,1500.0000,1500.0000,1432.9500,1472.1500,72126
2023-10-04,1480.0000,1480.1000,1411.0500,1437.1000,62196
2023-10-05,1451.4500,1525.0000,1423.0500,1481.4000,71059
2023-10-06,1481.4000,1558.9000,1462.0500,1542.6000,143807
2023-10-09,1500.0000,1634.0000,1494.0000,1505.9500,245945
2023-10-10,1507.0000,1575.9000,1507.0000,1531.5000,73713
2023-10-11,1537.1500,1579.9500,1521.0500,1540.7500,39629
2023-10-12,1540.8000,1603.0000,1528.0500,1576.6000,40889
2023-10-13,1575.0000,1585.0000,1495.0500,1522.0000,44939
2023-10-16,1525.0000,1544.1000,1515.0500,1522.6500,29040
2023-10-17,1530.0000,1540.0000,1515.2000,1526.2500,18399
2023-10-18,1537.8500,1540.1000,1372.0500,1435.7000,90779
2023-10-19,1405.5000,1481.6500,1397.0000,1422.2000,43717
2023-10-20,1415.0000,1443.6500,1377.7500,1405.3500,43553
2023-10-23,1411.9500,1411.9500,1311.0000,1334.7000,47398
2023-10-25,1332.0000,1370.0000,1270.0500,1318.4500,35825
2023-10-26,1305.1000,1417.9500,1270.0000,1397.6500,53315
2023-10-27,1417.9500,1447.0000,1367.0000,1423.3500,45035
2023-10-30,1446.0000,1446.0000,1400.0000,1408.9500,10001
2023-10-31,1424.0000,1500.7000,1395.9000,1471.0500,23688
2023-11-01,1465.0500,1537.2000,1465.0500,1493.8500,34872
2023-11-02,1493.8500,1519.9000,1470.0000,1479.5500,9769
2023-11-03,1500.0000,1509.9500,1470.0000,1478.4500,14012
2023-11-06,1509.8500,1555.1000,1495.0500,1536.6000,39389
2023-11-07,1549.9500,1555.8500,1507.1000,1516.2500,23406
2023-11-08,1538.1000,1554.9000,1515.0500,1541.1500,20816
2023-11-09,1550.0000,1584.0000,1290.9000,1350.0500,274166
2023-11-10,1362.9000,1408.7500,1334.4500,1392.7500,68572
2023-11-13,1439.0000,1445.0000,1385.0000,1400.5000,26917
2023-11-15,1410.0000,1444.0000,1410.0000,1421.5500,17484
2023-11-16,1415.0000,1490.0500,1402.0000,1442.6000,29741
2023-11-17,1449.4000,1471.0000,1425.0000,1433.3500,13902
2023-11-20,1433.4000,1470.0000,1431.0000,1452.1000,15586
2023-11-21,1478.1000,1492.1000,1430.0000,1436.5500,8966
2023-11-22,1448.5000,1451.4000,1400.0000,1405.8000,18852
2023-11-23,1400.0000,1435.0000,1400.0000,1409.7000,7555
2023-11-24,1427.0000,1427.0000,1353.8000,1392.8500,20281
2023-11-28,1415.0500,1459.0000,1415.0500,1445.7500,27352
2023-11-29,1459.9000,1465.2000,1434.4500,1440.8500,15628
2023-11-30,1453.6500,1458.4000,1404.4000,1418.6000,15024
2023-12-01,1406.0000,1437.8000,1396.9000,1408.2500,18164
2023-12-04,1422.2500,1470.0000,1409.1500,1432.0500,11742
2023-12-05,1432.0500,1510.9500,1432.0500,1453.4500,47478
2023-12-06,1453.4500,1491.9500,1419.9500,1433.4500,12591
2023-12-07,1440.4500,1472.8000,1415.0000,1423.2000,9668
2023-12-08,1443.1000,1443.1000,1401.2500,1420.0000,19861
2023-12-11,1392.0000,1419.8000,1381.0000,1401.6500,42852
2023-12-12,1401.6500,1417.8000,1381.0500,1386.8000,10748
2023-12-13,1397.0000,1400.0000,1369.8500,1381.1500,10005
2023-12-14,1365.0500,1438.8500,1365.0500,1397.5500,19756
2023-12-15,1409.0000,1415.6500,1359.3000,1370.3500,19759
2023-12-18,1365.3500,1393.8500,1355.0000,1376.3000,17866
2023-12-19,1363.0000,1400.0000,1363.0000,1374.1000,12485
2023-12-20,1380.0000,1408.9000,1320.3000,1343.1000,22177
2023-12-21,1316.6000,1352.0000,1297.5000,1325.6000,25586
2023-12-22,1338.8500,1361.9500,1319.2000,1324.5500,14530
2023-12-26,1374.3500,1454.8000,1314.8000,1428.9500,41156
2023-12-27,1434.4500,1450.0000,1398.6500,1434.8000,20847
2023-12-28,1443.9500,1453.0000,1399.9500,1417.3000,13601
2023-12-29,1414.8500,1420.0000,1395.1000,1401.9000,10104
2024-01-01,1401.9000,1442.2500,1372.7000,1390.1500,12908
2024-01-02,1390.1500,1402.9000,1358.0500,1371.9000,8986
2024-01-03,1371.9000,1400.0000,1370.0000,1386.9000,10298
2024-01-04,1411.4000,1436.0000,1390.1000,1395.8500,22826
2024-01-05,1409.7500,1420.0000,1371.1000,1386.2000,17985
2024-01-08,1440.0000,1610.0000,1425.0000,1593.4500,178215
2024-01-09,1616.0000,1631.0000,1556.0000,1574.2000,64526
2024-01-10,1580.0000,1620.3500,1580.0000,1594.6000,28223
2024-01-11,1590.0000,1622.8000,1561.0000,1570.5000,22770
2024-01-12,1600.2000,1672.0000,1554.1000,1645.4500,47678
2024-01-15,1645.4500,1645.4500,1645.4500,1645.4500,0
2024-01-16,1662.1000,1670.0000,1632.5500,1651.0000,16450
2024-01-17,1649.9500,1649.9500,1590.0000,1606.2500,17933
2024-01-18,1598.0000,1669.9500,1588.5500,1651.8000,27064
2024-01-19,1659.8000,1699.2500,1640.1000,1667.5500,20374
2024-01-23,1750.0000,1758.3500,1649.0000,1688.9000,25559
2024-01-24,1716.5500,1778.9500,1673.6000,1685.3000,40357
2024-01-25,1732.0000,1739.9500,1630.0000,1652.2000,21221
2024-01-29,1659.0000,1719.7000,1620.9000,1709.7000,29250
2024-01-30,1709.7000,1725.0000,1650.0000,1660.7000,13973
2024-01-31,1660.7500,1705.0000,1635.5000,1694.9500,15497
2024-02-01,1701.9500,1748.8500,1635.0000,1646.7500,12383
2024-02-02,1673.3000,1687.7500,1540.3000,1599.3000,60558
2024-02-05,1634.5500,1664.0000,1568.1500,1586.9500,17190
2024-02-06,1611.6500,1611.6500,1560.0500,1585.7500,7559
2024-02-07,1601.5500,1611.9000,1576.2000,1588.7500,6699
2024-02-08,1608.4000,1906.5000,1591.2500,1906.5000,335817
2024-02-09,1949.9500,2051.0000,1864.6500,1944.6500,234048
2024-02-12,1945.0000,1993.4500,1823.0000,1851.8500,120129
2024-02-13,1852.0000,1879.7500,1790.0000,1806.8500,40032
2024-02-14,1806.8500,1964.8000,1775.0500,1904.6500,79254
2024-02-15,1956.1000,2099.0000,1923.6000,2077.5000,70062
2024-02-16,2098.0000,2136.6001,2022.9000,2033.5000,32697
2024-02-19,2047.5000,2079.8501,2013.2500,2035.6000,20337
2024-02-20,2043.5000,2109.3501,2000.0000,2030.4000,15221
2024-02-21,2012.3500,2200.0000,1991.4000,2021.6000,58561
2024-02-22,2003.0000,2115.5000,2003.0000,2069.0500,29021
2024-02-23,2073.5000,2148.8501,2034.0000,2136.6499,54071
2024-02-26,2169.8999,2191.1001,2023.1000,2058.2000,31946
2024-02-27,2058.2000,2094.8501,1901.0500,1921.8000,50414
2024-02-28,1942.0000,1958.8000,1861.8000,1898.5500,47462
2024-02-29,1890.2500,1920.0000,1871.1500,1903.3500,21916
2024-03-01,1915.5500,1975.0000,1915.0000,1920.5000,15627
2024-03-04,1924.7000,1924.7000,1840.0000,1863.3500,45617
2024-03-05,1870.6000,1877.9000,1800.0000,1830.6000,25235
2024-03-06,1800.0000,1849.8000,1715.0000,1776.3000,50332
2024-03-07,1775.0000,1802.0000,1736.4000,1766.3500,40873
2024-03-11,1766.3500,1766.3500,1668.1000,1691.0000,27686
2024-03-12,1714.9500,1747.0000,1657.0000,1669.5000,45913
2024-03-13,1740.0000,1740.0000,1575.7500,1602.4500,60108
2024-03-14,1590.0000,1723.3000,1563.2500,1694.9000,52541
2024-03-15,1694.9500,1711.7500,1628.9000,1645.4000,30205
2024-03-18,1645.3000,1717.0000,1640.0000,1703.3000,23460
2024-03-19,1703.6000,1717.8000,1665.2500,1678.3500,15467
2024-03-20,1688.2500,1717.1000,1602.3500,1641.0500,35124
2024-03-21,1605.0000,1720.0000,1605.0000,1678.3500,20051
2024-03-22,1640.0500,1798.0000,1640.0500,1774.4000,48164
2024-03-26,1779.8000,1800.0000,1685.1500,1716.2500,29219
2024-03-27,1747.6500,1827.6000,1716.2500,1795.0000,61788
2024-03-28,1782.2500,1800.6500,1731.0000,1748.5000,39531
2024-04-01,1755.0000,1824.4000,1755.0000,1818.5000,44957
2024-04-02,1830.0000,1855.0000,1766.0000,1783.0500,21296
2024-04-03,1815.0000,1815.0000,1757.2500,1788.9500,19086
2024-04-04,1828.0000,1828.0000,1745.0000,1754.5500,22690
2024-04-05,1751.2000,1817.3500,1678.4000,1807.8500,31908
2024-04-08,1820.0000,1833.6000,1768.0000,1777.5500,22106
2024-04-09,1795.2000,1815.5500,1751.1000,1760.9500,18736
2024-04-10,1775.0000,1800.0000,1744.6000,1777.2500,15032
2024-04-12,1777.2500,1809.7000,1736.0000,1753.2500,22030
2024-04-15,1720.0000,1753.2500,1670.0000,1719.9500,17147
2024-04-16,1719.9000,1749.9500,1705.0000,1733.5000,16199
2024-04-18,1733.5000,1764.2500,1705.0000,1713.7500,16311
2024-04-19,1670.0500,1715.0000,1650.3000,1694.0500,15740
2024-04-22,1694.0500,1713.8000,1660.6000,1690.7500,18541
2024-04-23,1695.7500,1762.2500,1684.5500,1741.0000,32618
2024-04-24,1754.8000,1790.0000,1732.7000,1765.0000,22934
2024-04-25,1780.0000,1780.0000,1760.5000,1762.0500,11615
2024-04-26,1763.0000,1788.9500,1750.0500,1751.8500,20662
2024-04-29,1755.0500,1825.9500,1750.0500,1816.1000,30564
2024-04-30,1838.0000,1852.9000,1775.7500,1788.3500,20165
2024-05-02,1788.3500,1839.5000,1788.3500,1801.8000,15732
2024-05-03,1820.0000,1820.0000,1760.5000,1775.8000,19855
2024-05-06,1780.1000,1780.1000,1633.0000,1661.5500,108540
2024-05-07,1659.5500,1690.0000,1636.3000,1682.1000,57356
2024-05-08,1672.0000,1685.8500,1563.2500,1579.6500,55968
2024-05-09,1579.6500,1587.3000,1513.2500,1570.2500,51488
2024-05-10,1562.2500,1653.8500,1554.6000,1628.3000,38984
2024-05-13,1630.0000,1664.8500,1579.3500,1645.6500,24608
2024-05-14,1643.0000,1666.0000,1630.6500,1665.2000,8652
2024-05-15,1665.2000,1688.9000,1647.3000,1674.0000,9560
2024-05-16,1658.0000,1684.6000,1640.0000,1666.3000,16913
2024-05-17,1656.0000,1678.0000,1641.5500,1664.6000,17861
2024-05-21,1641.1000,1683.9500,1641.1000,1672.7000,32194
2024-05-22,1672.7000,1674.7500,1640.0000,1662.3500,8879
2024-05-23,1659.8000,1686.4500,1591.0500,1620.4500,19826
2024-05-24,1616.1000,1655.8500,1597.9000,1647.1500,25095
2024-05-27,1648.7000,1680.0000,1581.0500,1613.2000,63495
2024-05-28,1648.7500,1649.0000,1573.0000,1583.4500,55378
2024-05-29,1605.0000,1824.8500,1553.2500,1766.6500,221306
2024-05-30,1795.0000,1833.0000,1720.0000,1797.8000,87634
2024-05-31,1801.5000,1858.2000,1766.9000,1804.1000,70985
2024-06-03,1888.0000,1898.0000,1790.0000,1801.4000,79300
2024-06-04,1781.5500,1798.0000,1551.0000,1658.0500,86846
2024-06-05,1661.0500,1765.0000,1650.1000,1733.6000,37137
2024-06-06,1764.8000,1892.0000,1753.9000,1885.3500,65212
2024-06-07,1890.0000,2082.4500,1885.9500,2070.3000,102561
2024-06-10,2097.0000,2119.8501,1955.6000,1984.8000,58967
2024-06-11,1986.0000,2175.0000,1980.6500,2128.3501,104831
2024-06-12,2123.8501,2192.0000,2123.8501,2157.6001,38084
2024-06-13,2156.0500,2186.5500,2102.0500,2130.7500,45492
2024-06-14,2150.0000,2190.0000,2136.0500,2178.7500,35854
2024-06-18,2161.0000,2185.0000,1942.4000,1998.7000,226622
2024-06-19,2001.6000,2063.6001,1963.2500,2033.4500,159266
2024-06-20,2053.7500,2072.8999,2020.1000,2038.1000,30029
2024-06-21,2020.0500,2073.8999,1990.6000,1994.4500,44004
