date,open,high,low,close,volume
2023-09-18,173.4000,175.2500,171.7500,172.2500,1420911
2023-09-20,171.6500,171.9500,169.0000,170.3500,1203896
2023-09-21,171.0000,171.6000,167.6000,168.2000,1196001
2023-09-22,169.1500,169.7000,166.0000,167.7000,1033949
2023-09-25,168.2500,177.2500,168.2500,175.9500,5535585
2023-09-26,176.6500,176.6500,172.5000,174.9000,1842504
2023-09-27,174.9500,175.0000,172.7500,173.3000,991225
2023-09-28,173.9500,174.3500,172.0500,173.2500,978205
2023-09-29,174.6000,175.5500,172.8500,173.4500,1521281
2023-10-03,173.3000,174.3000,171.8000,173.3000,875497
2023-10-04,172.4000,173.3000,169.5500,171.5000,1233487
2023-10-05,172.1000,174.7000,171.6000,172.3500,691277
2023-10-06,172.5500,173.1500,171.4500,172.7500,604950
2023-10-09,170.0000,170.0000,166.2000,167.5500,967408
2023-10-10,168.5000,173.4500,167.8000,172.6000,1115647
2023-10-11,174.6500,176.8000,173.2500,174.1500,2467464
2023-10-12,175.4000,176.9000,174.3500,175.1500,1504920
2023-10-13,174.3500,191.0000,173.8000,186.8500,19770112
2023-10-16,187.7000,214.2500,187.1500,204.9500,60017434
2023-10-17,207.4500,213.9000,205.6000,207.9000,14532672
2023-10-18,208.6000,215.5000,203.5000,206.2000,11841865
2023-10-19,204.9000,208.3000,202.5000,207.4500,5780072
2023-10-20,207.4500,212.9000,200.9500,202.8000,7091502
2023-10-23,205.0500,215.0000,188.0000,189.8000,14558060
2023-10-25,192.4000,199.9000,187.0500,193.0500,9827164
2023-10-26,191.8500,193.4500,184.7500,190.4000,4935403
2023-10-27,191.9000,196.8500,190.8000,195.0500,4264992
2023-10-30,195.5000,203.3000,190.5500,200.4500,6832027
2023-10-31,201.6000,207.3500,199.0000,200.2000,7308627
2023-11-01,201.1000,204.6000,197.3000,198.4500,2994248
2023-11-02,200.2500,201.4500,195.0000,195.8000,2801004
2023-11-03,197.3500,197.8000,193.5500,194.2500,2952330
2023-11-06,195.6000,197.6500,191.1000,192.0000,2626909
2023-11-07,192.5000,192.8000,185.0000,186.3500,3658976
2023-11-08,192.3500,193.8000,185.8000,186.6000,5608759
2023-11-09,188.0000,188.2500,181.6000,182.3000,2962413
2023-11-10,182.0000,182.9000,179.1000,180.9500,4089185
2023-11-13,183.4500,183.5000,181.0000,181.5000,1602320
2023-11-15,183.4500,184.4500,181.0000,182.0000,3363242
2023-11-16,182.1500,183.2000,179.6000,180.6500,2946908
2023-11-17,180.7000,187.7000,180.2000,185.3000,5436457
2023-11-20,185.2500,186.9000,182.6000,183.2000,1805808
2023-11-21,183.7000,184.4000,181.0000,181.3000,1674307
2023-11-22,181.9000,183.0000,179.2000,180.5000,1994325
2023-11-23,181.0500,185.2500,181.0500,182.6500,2203337
2023-11-24,183.4000,183.8500,181.2500,182.3000,1374957
2023-11-28,182.9500,187.7000,182.8500,186.2500,3891779
2023-11-29,187.9000,192.5000,186.5000,189.0000,5567465
2023-11-30,190.0000,194.9000,190.0000,193.2000,6217034
2023-12-01,194.9500,197.5000,193.1000,193.7000,4405398
2023-12-04,197.5000,219.7000,196.5000,215.3000,33489591
2023-12-05,215.9000,219.7000,210.9000,213.4000,10803382
2023-12-06,214.7000,228.2500,212.9000,224.1000,19572150
2023-12-07,226.0000,234.8500,224.3000,226.5000,9258364
2023-12-08,227.6000,231.5000,218.5000,223.0000,6226041
