date,open,high,low,close,volume
2023-09-18,946.1000,947.4500,927.7500,930.0500,266084
2023-09-20,930.9500,940.0000,922.3500,924.1000,271502
2023-09-21,924.1000,928.6500,907.2500,922.9500,710374
2023-09-22,921.1500,925.5000,910.0000,911.6000,233683
2023-09-25,914.0000,922.1000,905.0000,906.7000,213857
2023-09-26,909.9500,916.3000,901.1000,903.7000,219694
2023-09-27,901.7500,919.7000,900.4000,910.7000,215488
2023-09-28,915.0000,922.0000,871.0000,872.9500,3702726
2023-09-29,875.7000,887.0000,866.0000,874.8000,581906
2023-10-03,874.8000,879.4000,855.0000,855.9500,546879
2023-10-04,855.0000,865.7000,842.3500,852.7500,489209
2023-10-05,860.0000,866.7500,855.1000,856.5000,230160
2023-10-06,863.5000,865.8000,855.0000,856.8000,191674
2023-10-09,845.0000,847.0500,835.0500,839.5000,331041
2023-10-10,839.5000,851.9500,839.5000,847.1500,160173
2023-10-11,852.0500,870.4500,852.0500,857.4500,254457
2023-10-12,864.9500,864.9500,846.0000,847.4000,250808
2023-10-13,845.0000,850.0000,840.1000,845.6500,185533
2023-10-16,845.6500,867.5000,837.1000,858.0500,440220
2023-10-17,863.0000,866.0000,858.0000,860.7000,191983
2023-10-18,840.0000,860.0000,835.0000,836.6000,716417
2023-10-19,836.6000,838.9500,829.6500,832.1500,217809
2023-10-20,837.0000,839.7000,828.0000,829.1500,167831
2023-10-23,830.9500,831.9000,808.8000,811.3500,274952
2023-10-25,820.0000,825.2500,801.8000,816.5500,256656
2023-10-26,810.0000,816.4500,798.2000,813.5500,297809
2023-10-27,815.4500,835.0000,815.4500,832.0000,181769
2023-10-30,835.9500,838.2000,821.0500,829.0500,129688
2023-10-31,835.9500,836.0000,818.0500,819.3000,159935
2023-11-01,824.0000,824.0000,810.1000,811.5000,127574
2023-11-02,819.0000,823.5000,806.0000,811.0000,185767
2023-11-03,819.0000,821.6000,814.3500,817.1000,114496
2023-11-06,820.0000,828.7000,818.1000,824.8500,193056
2023-11-07,825.0000,854.0000,817.5000,840.9500,381073
2023-11-08,849.0000,850.0000,830.8000,834.7500,135519
2023-11-09,840.0000,840.0000,825.0000,829.4500,92446
2023-11-10,829.4000,832.0000,825.0000,825.8500,106570
2023-11-13,845.0000,846.8500,825.1500,834.6000,141938
2023-11-15,842.3000,847.0000,837.0000,840.2500,163628
2023-11-16,844.0000,875.7500,836.0000,853.7000,1713499
2023-11-17,851.8500,859.7000,844.5000,848.2500,335350
2023-11-20,848.2500,859.0000,845.2000,848.6500,215758
2023-11-21,853.9000,863.5000,841.2000,844.1500,280487
2023-11-22,845.0000,850.0000,834.0500,845.1000,217301
2023-11-23,849.4000,854.0000,835.0000,836.7500,165424
2023-11-24,839.4000,842.8500,830.3000,832.3500,129506
2023-11-28,837.5500,839.5000,829.5500,831.3500,170141
2023-11-29,836.7000,850.0000,832.0000,834.1500,282207
2023-11-30,838.0000,846.6000,832.2500,836.6500,276734
2023-12-01,844.0000,848.5000,835.6000,837.8000,185399
2023-12-04,848.9000,850.0000,837.2500,839.1000,247043
2023-12-05,840.9000,845.8000,836.0000,837.5000,292654
2023-12-06,838.0000,854.3000,837.2000,840.3500,562238
2023-12-07,842.0000,872.5000,842.0000,867.2000,1254300
2023-12-08,875.0000,899.9000,867.4000,882.7000,1489107
2023-12-11,891.7000,898.6500,875.0000,879.1000,441394
2023-12-12,882.7000,920.0000,882.0000,904.3000,2092826
2023-12-13,911.7000,922.8000,892.0000,894.6500,934044
2023-12-14,913.9000,930.0000,911.0000,913.2000,1471920
2023-12-15,920.0000,954.8500,917.0000,935.2000,2306799
2023-12-18,935.2000,953.8000,927.0000,936.4000,898252
2023-12-19,940.0000,945.0000,921.0000,925.7000,450544
2023-12-20,928.0000,947.0000,875.3000,884.8500,1053009
2023-12-21,872.1000,919.0000,867.5500,914.3000,968670
2023-12-22,919.8000,923.0000,901.8000,916.6500,429653
2023-12-26,917.9000,922.0000,903.6000,908.8000,438011
2023-12-27,913.8000,917.0000,901.0000,902.8000,355652
2023-12-28,904.9000,909.8000,896.0000,897.9000,322840
2023-12-29,902.4000,907.0000,895.0000,896.0500,339983
2024-01-01,898.5000,913.0000,898.5000,903.6500,300820
2024-01-02,908.7500,915.0000,891.1000,909.5000,400253
2024-01-03,908.0500,908.8000,897.0000,903.7500,318933
2024-01-04,907.7000,912.9500,899.0000,900.7000,297248
2024-01-05,901.9000,910.9000,895.1000,903.8000,337363
2024-01-08,905.0500,908.9000,890.0000,890.7500,285774
2024-01-09,900.0000,908.0000,893.0000,895.1500,244120
2024-01-10,895.7000,900.9000,887.0500,892.6500,272109
2024-01-11,895.0000,899.8000,888.0000,889.8500,183034
2024-01-12,899.9000,932.8000,898.7500,922.5000,1843126
2024-01-15,933.4500,961.0000,933.0000,945.3000,1791365
2024-01-16,947.0000,950.6000,922.1500,934.9000,630576
2024-01-17,929.9500,948.7000,921.0000,925.7000,710873
2024-01-18,917.0000,920.0000,872.0500,883.9500,1428402
2024-01-19,897.0000,906.2500,886.2000,889.6000,429031
2024-01-23,885.0000,890.8000,851.5000,856.3000,606846
2024-01-24,856.7500,879.9500,851.6000,867.7500,367748
2024-01-25,870.0000,880.4500,862.8000,866.5500,274434
2024-01-29,867.0000,871.0000,855.0000,856.2000,288567
2024-01-30,861.3500,870.0000,855.7500,857.4000,193613
2024-01-31,856.9000,879.9000,855.8000,876.0500,403889
2024-02-01,879.0000,879.7000,862.1000,864.2000,154158
2024-02-02,866.1500,895.5000,866.1500,873.9000,560838
2024-02-05,873.9000,875.0000,853.0500,855.8000,305996
2024-02-06,858.0000,880.0000,857.0000,869.1000,373335
2024-02-07,872.7000,878.2500,860.0000,862.3000,208599
2024-02-08,864.8500,866.0500,851.0000,852.8000,265448
2024-02-09,853.0000,858.6000,838.0000,841.9500,284473
2024-02-12,841.9500,845.2000,826.2000,829.8500,282409
2024-02-13,830.0000,838.8000,814.4000,835.6000,224751
2024-02-14,830.0000,833.0000,822.3000,827.3500,220493
2024-02-15,829.0000,852.7500,828.6500,836.4000,405956
2024-02-16,842.9500,849.0000,833.0000,836.5000,311636
2024-02-19,844.0000,846.0000,834.0000,838.4000,221042
2024-02-20,839.9500,843.8000,833.0000,834.1000,215217
2024-02-21,834.1000,837.0000,825.0000,826.0000,246730
2024-02-22,830.0000,834.9000,818.0000,822.5000,284795
2024-02-23,832.2000,858.4000,830.1500,848.6500,833280
2024-02-26,856.4500,856.6000,833.0500,834.7500,325945
2024-02-27,836.0000,888.9000,828.0000,872.6500,2803915
2024-02-28,879.7000,879.8000,840.2500,849.0500,709395
2024-02-29,849.0000,856.7500,815.9000,846.9500,380542
2024-03-01,855.1000,863.6000,847.0000,848.2500,258786
2024-03-04,856.0000,859.9500,836.8500,839.9000,202056
2024-03-05,841.9500,841.9500,825.0000,827.9000,265201
2024-03-06,829.4500,836.9500,816.0000,824.5500,289093
2024-03-07,825.0000,834.0000,825.0000,831.4000,193083
2024-03-11,835.0000,835.0000,821.0000,823.3000,229515
2024-03-12,824.0000,833.1500,804.5000,805.9000,444042
2024-03-13,807.4500,821.9500,780.2500,785.1500,529763
