date,open,high,low,close,volume
2026-08-18,59.0000,62.9900,58.0000,60.9400,2387
2026-08-19,60.5000,62.9000,59.7500,60.0000,894
2026-08-20,61.7900,62.0000,60.0500,61.9200,1183
2026-08-21,62.0000,63.9900,61.1500,61.7100,3660
2026-08-24,63.3500,63.3500,61.5000,62.0000,226
2026-08-25,62.7000,62.7000,60.6600,60.7400,250
2026-08-26,48.6000,63.4900,48.6000,58.3100,1311
2026-08-27,62.8900,62.8900,59.1000,59.5000,662
2026-08-28,61.9900,61.9900,56.4500,61.7900,479
2026-08-31,63.8000,65.0000,60.0000,60.4600,1196
2026-09-01,58.9100,61.5000,58.9100,59.9900,1424
2026-09-02,59.9900,60.0000,58.0500,59.9900,515
2026-09-03,60.0000,60.0000,59.2500,59.6600,1673
2026-09-04,59.6600,60.0000,58.2600,58.3800,115
2026-09-07,58.6200,61.1000,58.5000,60.4600,726
2026-09-08,60.5000,62.0000,57.0300,61.7900,232
2026-09-09,58.5600,61.5000,58.5600,59.3700,928
2026-09-10,62.8000,62.8000,58.6000,58.9000,533
2026-09-11,58.7000,60.0500,58.5000,59.9900,664
2026-09-15,62.8000,62.8000,59.6000,59.9900,1364
2026-09-16,65.0000,65.0000,59.0000,62.3000,1402
2026-09-17,64.7500,64.7500,60.2100,61.4900,2226
2026-09-18,61.5000,62.9300,60.6800,61.0000,788
