date,open,high,low,close,volume
2023-09-18,1362.0000,1362.0000,1315.0000,1324.2750,1426032
2023-09-20,1312.5000,1361.0000,1310.5500,1342.0250,1393160
2023-09-21,1339.4750,1365.0000,1323.7750,1338.1750,1314084
2023-09-22,1345.3000,1368.5000,1324.0000,1328.4500,1173830
2023-09-25,1328.4500,1351.5000,1323.5250,1335.5500,610708
2023-09-26,1335.9750,1365.0000,1324.6750,1330.9500,1608594
2023-09-27,1337.0000,1355.3000,1327.5000,1335.0500,2231738
2023-09-28,1335.1000,1341.0000,1281.3250,1289.3250,3433218
2023-09-29,1302.3500,1326.0000,1291.6250,1323.7250,866700
2023-10-03,1324.9750,1336.5000,1311.6750,1330.5250,939806
2023-10-04,1329.0000,1334.0000,1309.0000,1329.8250,875812
2023-10-05,1337.4500,1350.0000,1321.9500,1323.9750,631764
2023-10-06,1325.7500,1368.5000,1324.2750,1363.0750,960630
2023-10-09,1357.4500,1360.4000,1336.7000,1344.9000,824556
2023-10-10,1347.6500,1384.9750,1346.0000,1381.6500,1700342
2023-10-11,1396.0000,1399.9500,1371.0000,1373.6000,1403308
2023-10-12,1379.9500,1390.0000,1363.5000,1377.7250,2436808
2023-10-13,1391.4750,1455.0000,1388.2750,1427.7500,5301926
2023-10-16,1432.9500,1432.9500,1410.0000,1429.2500,891964
2023-10-17,1432.9500,1465.0000,1432.9500,1449.6750,1482018
2023-10-18,1451.9750,1451.9750,1427.6500,1430.8500,500464
2023-10-19,1429.0000,1440.0000,1414.4250,1433.3250,846032
2023-10-20,1430.9250,1446.5250,1426.3750,1439.5000,964020
2023-10-23,1429.0000,1444.7000,1408.9500,1414.4750,1472334
2023-10-25,1404.8750,1432.7500,1389.7000,1406.6000,1010856
2023-10-26,1400.0000,1400.0000,1347.3250,1355.5750,1165360
2023-10-27,1366.0000,1392.3500,1366.0000,1376.1000,644314
2023-10-30,1382.0000,1383.3500,1345.3000,1353.9000,782822
2023-10-31,1373.9500,1384.5000,1354.4500,1367.0000,1493156
2023-11-01,1373.7250,1388.5000,1356.5000,1361.5500,494626
2023-11-02,1371.0000,1389.7500,1362.8750,1365.1250,872670
2023-11-03,1374.9750,1383.1250,1357.6750,1377.6750,752506
2023-11-06,1385.0000,1402.2500,1379.2250,1383.9500,1028830
