date,open,high,low,close,volume
2023-09-25,1008.7500,1013.8000,1001.5500,1002.6500,20030
2023-09-26,1002.7500,1014.7500,1002.0000,1004.9500,13837
2023-09-27,1007.0000,1008.8000,1000.0000,1002.4000,13158
2023-09-28,1002.4000,1004.9500,992.0500,994.9500,55323
2023-09-29,1001.7500,1007.0000,995.2000,1004.0000,11498
2023-10-03,1004.0000,1005.6500,998.0000,999.6500,13532
2023-10-04,999.5000,1010.9000,995.2000,1000.0500,14009
2023-10-05,1001.9000,1007.9500,999.0000,1004.5500,11538
2023-10-06,1007.0500,1007.0500,997.0000,999.7000,17061
2023-10-09,999.7000,999.7000,982.6000,985.5000,24590
2023-10-10,998.0000,998.0000,983.0500,992.1000,12077
2023-10-11,994.2500,1004.0000,994.2500,996.9500,12365
2023-10-12,998.9500,1018.8500,996.9500,1001.1500,23213
2023-10-13,1000.0000,1008.9000,998.0000,999.6000,8532
2023-10-16,999.6000,1005.0000,996.1000,998.1000,13000
2023-10-17,1000.0000,1003.0000,994.7000,997.9500,9748
2023-10-18,997.9500,1001.0000,990.1000,992.6000,16198
2023-10-19,990.0000,995.8000,988.6000,993.1000,10144
2023-10-20,992.0000,996.0000,986.0000,988.5000,10507
2023-10-23,986.0000,989.9500,959.0000,963.4000,34452
2023-10-25,963.5500,971.2000,953.5000,955.7000,14640
2023-10-26,955.9500,958.1000,925.0500,939.1000,19516
2023-10-27,939.1000,968.0000,939.1000,961.6500,18263
2023-10-30,960.0000,966.4000,944.6000,947.4000,12177
2023-10-31,955.6500,959.4500,931.0000,932.9000,21114
2023-11-01,935.5000,941.6000,924.0000,932.2500,15584
2023-11-02,937.7000,949.0000,934.6000,936.8500,8089
2023-11-03,942.0000,948.7500,930.0000,936.8500,10878
2023-11-06,940.8000,950.4500,936.0000,939.4500,14211
2023-11-07,940.1000,955.0000,940.0000,950.8000,13143
2023-11-08,950.8000,957.6500,945.0500,948.9000,12334
2023-11-09,948.5000,966.8000,946.7000,957.6500,10728
2023-11-10,950.3500,951.0500,931.0000,934.6000,36017
2023-11-13,935.0500,943.0000,931.0000,932.2500,13486
2023-11-15,935.0000,939.9500,931.0000,934.6000,18976
2023-11-16,934.6000,960.0000,934.6000,949.6500,30302
2023-11-17,949.6500,980.0000,949.4500,959.6500,17340
2023-11-20,963.2500,970.0500,940.0000,942.5000,15359
2023-11-21,942.6000,964.0000,942.6000,948.1500,9639
2023-11-22,948.2500,958.0000,935.0000,942.8500,12139
2023-11-23,940.0000,948.0000,940.0000,942.6500,8449
2023-11-24,942.6500,945.0000,936.9500,939.3500,8937
2023-11-28,944.0000,953.0000,940.5000,948.0500,13136
2023-11-29,953.9000,965.0000,924.0000,955.7500,185780
2023-11-30,955.7500,1040.0000,945.0000,1006.7500,136834
2023-12-01,1025.0000,1031.0000,993.4000,1019.6500,73153
2023-12-04,1022.0000,1029.9500,1001.0000,1004.2500,31570
2023-12-05,1014.3000,1019.6500,1002.0500,1006.7000,27590
2023-12-06,1005.6000,1019.0000,1003.0000,1006.4500,30605
2023-12-07,1003.0500,1018.8000,1001.0000,1007.1500,27604
2023-12-08,1021.0000,1021.0000,993.3000,999.3000,24473
2023-12-11,1008.3000,1008.3000,984.1500,989.3000,19490
2023-12-12,989.4000,997.3000,979.0500,980.6000,16161
2023-12-13,980.7000,1000.0000,974.6500,993.7500,16164
2023-12-14,998.0000,1030.0000,993.5500,1012.3000,43021
2023-12-15,1015.0000,1020.4500,1002.2500,1006.2500,28492
2023-12-18,1007.0000,1024.0000,993.0000,1003.4000,28450
2023-12-19,1014.4500,1025.0000,995.5000,1014.9500,52681
2023-12-20,1014.9500,1020.0000,976.3000,981.8500,34310
2023-12-21,981.8500,992.4500,975.1000,983.0500,22881
2023-12-22,997.0000,999.8500,984.6000,995.0000,16950
2023-12-26,996.0000,1009.9500,993.0000,997.0000,17292
2023-12-27,1005.0000,1005.0000,990.0000,991.4000,14092
2023-12-28,992.0500,1000.0000,976.0000,986.0000,24363
2023-12-29,985.0500,999.8000,980.0000,989.6000,17223
2024-01-01,994.9500,1001.8000,992.0000,994.4000,18753
2024-01-02,994.9000,999.0000,985.0000,989.7500,18287
2024-01-03,990.0000,994.4500,983.5000,985.5000,21164
2024-01-04,983.5000,993.6500,981.7000,983.6500,29467
2024-01-05,987.2000,990.0000,981.0000,986.5500,28157
2024-01-08,990.0000,993.6000,978.0000,979.5500,16702
2024-01-09,984.4000,987.9000,975.6500,979.6500,20820
2024-01-10,984.6000,985.8500,971.0000,978.9000,16880
2024-01-11,980.0000,983.8000,970.6000,974.3500,19327
2024-01-12,979.2500,1011.1000,976.9000,997.4000,54101
2024-01-15,1001.0000,1012.4000,995.0000,999.7000,49516
2024-01-16,999.7000,1003.7000,982.6000,991.2500,25331
2024-01-17,981.3000,989.8000,969.0000,973.8000,20214
2024-01-18,970.0000,975.4500,956.6000,963.4000,17880
2024-01-19,968.2000,976.4500,954.0000,956.1500,40311
2024-01-23,960.1500,986.3500,930.0000,933.3500,65705
2024-01-24,936.0000,948.5500,935.0000,941.6000,129749
2024-01-25,946.2500,965.9000,927.4500,960.5000,65830
2024-01-29,960.5000,962.8000,950.5000,957.2000,16941
2024-01-30,959.0000,979.8000,948.0000,964.9000,30279
2024-01-31,964.9000,984.5000,959.0500,983.0500,35424
2024-02-01,988.0000,988.0000,967.2000,977.2000,18849
2024-02-02,978.8000,985.0000,955.0000,958.5000,28816
2024-02-05,960.0000,975.0000,949.5500,950.8000,21325
2024-02-06,951.0500,968.0500,950.8000,963.2000,21009
2024-02-07,968.0000,970.9500,960.0000,962.4000,14002
2024-02-08,967.0000,967.0000,951.0000,952.2500,19872
2024-02-09,952.2500,957.5000,931.3000,941.6500,17845
2024-02-12,946.3500,948.9000,920.0000,928.3500,40847
2024-02-13,928.3500,933.9500,912.0000,932.7000,15657
2024-02-14,932.7000,938.0000,925.0000,932.2500,18850
2024-02-15,935.6500,946.4000,928.2500,931.1500,29355
2024-02-16,925.0500,932.7500,921.0000,924.9000,26850
2024-02-19,930.0000,933.0000,917.7000,919.6500,29956
2024-02-20,921.7000,924.6000,915.0000,916.4000,22706
2024-02-21,917.5500,928.0000,911.1000,912.2500,24577
2024-02-22,919.0000,923.0000,907.8500,912.1500,19104
2024-02-23,910.0000,917.0000,907.7500,909.1500,30192
2024-02-26,909.1500,914.0000,905.0000,906.7000,23557
2024-02-27,908.0000,919.0000,905.0000,913.6500,23806
2024-02-28,917.9500,918.9500,900.0000,902.7000,16465
2024-02-29,904.9000,921.0000,900.3000,916.0500,26996
2024-03-01,920.0000,923.5500,908.2000,909.4000,14402
2024-03-04,914.9500,915.0000,901.0000,902.7000,11889
2024-03-05,902.7000,905.2500,897.0000,898.4500,16309
2024-03-06,897.1500,898.0000,870.0000,877.5000,35044
2024-03-07,880.0500,887.0000,865.0500,867.0500,38005
2024-03-11,869.9500,869.9500,855.0500,857.9000,21004
2024-03-12,860.0000,860.0000,840.0000,840.2000,38118
2024-03-13,840.2000,845.2500,785.0000,795.5000,60776
2024-03-14,780.0000,824.9000,780.0000,797.9000,68667
2024-03-15,795.1000,810.8000,783.0000,790.0000,44445
2024-03-18,790.0000,797.9000,785.8500,788.9500,27810
2024-03-19,788.9500,791.7500,777.7000,779.5000,32984
2024-03-20,783.9500,786.4500,766.1000,773.1000,33843
2024-03-21,785.0000,808.9000,784.5000,802.3500,75126
2024-03-22,803.8500,807.0500,791.5000,793.4000,42495
2024-03-26,793.4000,797.9500,768.0000,768.7000,88943
2024-03-27,770.5000,774.9500,718.8000,728.1500,138613
2024-03-28,730.0000,759.0000,728.3500,738.6000,125007
2024-04-01,745.0000,790.0000,745.0000,786.1000,48425
2024-04-02,786.0500,795.9000,777.6500,793.4500,35032
2024-04-03,805.3500,824.0000,793.5000,816.7000,54793
2024-04-04,825.0000,833.1000,815.7500,829.2000,27657
2024-04-05,833.0000,838.0000,818.0000,835.1500,28343
2024-04-08,835.1500,883.9000,835.1500,869.7500,86569
2024-04-09,869.7500,883.5000,863.5500,871.7500,32606
2024-04-10,880.4500,884.1000,865.0000,878.0000,29624
2024-04-12,875.0500,875.0500,863.9500,867.0000,19980
2024-04-15,864.0000,864.0000,828.0000,841.5000,19409
2024-04-16,831.0500,848.6500,831.0000,843.2000,11781
2024-04-18,845.6000,849.0000,828.0000,831.8000,12707
2024-04-19,823.6500,830.0000,816.6000,824.0500,15028
2024-04-22,840.0500,895.0000,830.9500,848.1000,94552
2024-04-23,858.7000,858.8500,848.1000,850.9000,10937
2024-04-24,850.1500,859.1500,850.1500,853.9500,7770
2024-04-25,860.0000,861.4000,849.5000,858.9000,12756
2024-04-26,858.9500,869.9500,858.9500,863.6500,13921
2024-04-29,880.0000,880.0000,860.0500,865.8000,16682
2024-04-30,871.3000,882.4500,868.5000,874.7000,30354
2024-05-02,874.9500,897.0000,868.0500,890.9500,40616
2024-05-03,899.0000,899.0000,870.0000,878.1000,17063
2024-05-06,878.1000,890.0000,860.2000,873.8500,13052
2024-05-07,874.4500,878.9500,850.0000,859.9000,13955
2024-05-08,853.3000,860.0000,846.0000,848.3000,9496
2024-05-09,850.0000,851.1000,824.6000,827.0500,8665
2024-05-10,827.1000,834.0000,818.9500,823.9500,6616
2024-05-13,831.8500,833.9500,805.1500,813.1000,17087
2024-05-14,820.8500,832.4500,814.6000,821.5500,9564
2024-05-15,821.5500,830.3000,816.5500,818.1000,8243
2024-05-16,823.0000,829.0000,819.5500,825.3500,6492
2024-05-17,827.9500,829.6000,821.0000,826.7000,9624
2024-05-21,829.0000,830.9500,812.8000,813.4000,30376
2024-05-22,828.9500,828.9500,812.0000,818.5000,16634
2024-05-23,826.2000,826.2000,817.0000,823.8000,9681
2024-05-24,825.0000,828.9500,817.5500,823.4000,10073
2024-05-27,828.9500,828.9500,814.9500,817.1000,14569
2024-05-28,820.0000,820.0000,812.0000,814.3500,6888
2024-05-29,815.2500,817.0000,807.2000,808.8000,8682
2024-05-30,808.8000,815.9000,805.0500,809.4500,10064
2024-05-31,824.9500,846.0000,813.2500,827.5000,143248
2024-06-03,840.0000,843.5000,807.9000,812.1000,39775
2024-06-04,815.8000,815.8000,761.3500,782.4500,40549
2024-06-05,799.8500,799.8500,770.0500,792.4000,21040
2024-06-06,806.8500,820.0000,801.9500,815.5000,19958
2024-06-07,815.5000,838.2000,813.2500,815.8500,36633
2024-06-10,823.9000,826.0000,810.0000,813.7000,22786
2024-06-11,820.0000,822.2500,815.6500,820.3000,14687
2024-06-12,820.6000,839.9500,820.6000,829.5000,28239
2024-06-13,836.8000,862.6000,828.5000,854.0000,104060
2024-06-14,861.0500,865.4500,850.3500,857.4000,36295
2024-06-18,865.0000,873.5500,853.6000,866.9000,40697
2024-06-19,869.6000,869.6000,850.0500,856.7000,19077
2024-06-20,856.7000,863.4000,851.5500,857.2500,16816
2024-06-21,860.0000,890.0000,860.0000,870.0500,70519
2024-06-24,850.1500,869.6000,832.0000,863.9000,145468
2024-06-25,855.2500,863.9000,849.0500,851.4500,18665
2024-06-26,858.0000,858.0000,839.8500,842.4500,11469
2024-06-27,850.4000,850.4000,838.0000,843.4000,11883
2024-06-28,843.0000,849.6500,837.3000,839.3000,12963
2024-07-01,840.0000,859.0000,839.0500,852.1000,16296
2024-07-02,860.6000,863.2000,847.0000,855.0000,20058
2024-07-03,860.0000,866.6000,838.0000,848.4500,22727
2024-07-04,850.0000,865.5000,841.5000,859.8000,139043
2024-07-05,866.4000,899.0000,863.8500,882.4500,89860
2024-07-08,889.9000,922.0000,871.9500,915.8500,116488
2024-07-09,926.1500,932.0000,909.9000,916.7000,48400
2024-07-10,916.6500,916.6500,887.0500,903.7000,33126
2024-07-11,894.6500,909.9000,894.0000,900.0500,24485
2024-07-12,901.0000,918.9000,899.7000,911.5500,32510
2024-07-15,916.6000,923.6000,900.1000,902.8500,24000
2024-07-16,911.0000,916.5000,900.1000,902.9000,41107
2024-07-18,902.9500,910.5000,887.0500,894.1000,47083
2024-07-19,894.1000,899.4500,869.9500,873.0500,32710
2024-07-22,870.0000,879.8000,852.9500,857.6000,43574
2024-07-23,862.0000,888.0000,835.1000,856.6000,78356
2024-07-24,858.0000,870.4500,824.6500,826.9500,146812
2024-07-25,827.0000,836.0000,815.2500,819.1000,40796
2024-07-26,834.9000,834.9000,820.7000,828.5500,31577
2024-07-29,835.0000,837.0500,817.1000,819.1000,70963
2024-07-30,822.0000,830.0000,807.0500,810.5500,112900
2024-07-31,818.6500,818.6500,807.1000,808.7000,57843
2024-08-01,809.8000,827.6000,809.8000,813.2000,38579
2024-08-02,811.9000,815.0000,797.0000,799.9000,346259
2024-08-05,794.9000,798.0000,776.7000,785.7000,32847
2024-08-06,786.9000,799.0000,740.5500,743.1500,198703
2024-08-07,744.9500,760.5000,735.9000,739.0000,231806
2024-08-08,749.9000,749.9000,732.6500,739.5000,175101
2024-08-09,748.0000,778.0000,739.5000,744.4500,173129
2024-08-12,740.0000,760.0500,740.0000,744.1000,49898
2024-08-13,751.1500,754.9000,722.2000,725.0500,314547
2024-08-14,735.0000,735.0000,720.7500,729.6000,299988
2024-08-16,731.0000,762.1500,721.0000,723.9000,171816
2024-08-19,724.5500,738.9500,721.0000,725.1000,95950
2024-08-20,732.0000,820.0000,722.0000,809.9000,1202781
2024-08-21,809.0000,908.5000,809.0000,894.8000,1008162
2024-08-22,911.9500,924.9000,860.6500,864.4500,390428
2024-08-23,869.9000,929.9500,847.9000,902.8000,1330138
2024-08-26,914.9000,954.7500,911.4500,926.9500,672083
2024-08-27,940.0000,941.6000,913.4500,921.3500,132822
2024-08-28,925.7000,928.1000,900.0000,903.0000,57137
2024-08-29,905.7500,932.1500,895.6000,917.7500,139037
2024-08-30,930.0000,930.0500,890.9500,912.0500,218188
2024-09-02,915.9000,920.8000,878.4500,883.9500,55736
2024-09-03,900.0000,909.9000,878.4500,903.8500,208144
2024-09-04,901.0000,909.0000,879.0000,893.0000,385418
2024-09-05,898.0000,919.4500,890.0000,893.2000,65644
2024-09-06,899.7000,903.2000,868.6000,877.2000,185076
2024-09-09,880.0000,885.2500,860.1000,872.4500,51764
2024-09-10,882.0000,918.8000,879.0000,907.6000,121502
2024-09-11,916.4000,916.4000,864.1500,873.4000,51277
2024-09-12,889.0000,889.7500,870.4500,879.4000,35937
2024-09-13,887.4500,904.4500,864.0000,898.8500,42397
2024-09-16,908.0000,908.5500,883.0000,887.2000,30895
2024-09-17,887.2000,900.0500,875.0000,878.6500,33015
2024-09-18,887.0000,949.3500,879.7500,895.5500,432328
2024-09-19,916.5500,920.0000,870.0500,906.9500,184924
2024-09-20,915.0000,920.0000,890.0500,895.1000,60732
2024-09-23,905.0000,906.3000,833.0000,844.8500,485385
2024-09-24,841.1000,848.9000,834.0000,840.4000,97002
2024-09-25,838.0000,842.9000,805.0000,816.1000,127660
2024-09-26,816.9500,834.7000,807.7000,821.5500,90348
2024-09-27,827.4000,840.0500,820.0000,826.1500,54809
2024-09-30,828.6500,828.6500,809.1500,812.7500,36506
2024-10-01,812.9000,819.9000,808.1000,814.4500,38466
2024-10-03,814.4500,820.0000,795.0000,800.1500,50816
2024-10-04,799.1000,807.0000,781.5500,792.2000,29777
2024-10-07,800.0000,802.9500,761.1000,765.1000,40493
2024-10-08,769.0000,791.0000,757.0000,788.4000,38316
2024-10-09,796.3000,803.3500,781.5500,791.9000,27663
2024-10-10,788.0000,793.9000,783.0500,786.4000,19378
2024-10-11,787.0000,793.0000,781.4000,788.0000,9672
2024-10-14,789.2000,798.0000,780.1000,783.8500,15155
2024-10-15,787.2000,794.4500,780.0000,784.8000,18120
2024-10-16,786.7500,789.4500,775.0000,779.9000,15888
2024-10-17,781.8500,800.9000,772.1000,778.9500,21651
2024-10-18,778.9500,780.8500,767.1000,774.5000,17974
2024-10-21,771.0000,779.0000,761.2500,764.4000,19773
2024-10-22,766.0000,766.0000,731.3500,738.8000,33660
2024-10-23,739.3500,759.4000,730.3000,754.4500,31183
2024-10-24,757.2000,760.3500,739.0500,745.9500,23066
2024-10-25,747.8000,760.0000,725.2000,731.5500,20897
2024-10-28,728.8000,751.0000,725.5500,739.7000,24420
2024-10-29,746.7500,782.7500,736.6000,761.5000,51659
2024-10-30,763.0000,774.0000,753.6000,767.8500,19740
2024-10-31,768.0000,792.4500,767.6000,786.9500,28511
2024-11-01,791.0000,792.0000,769.5500,783.5500,9151
2024-11-04,783.5500,783.6000,755.0500,761.4000,27864
2024-11-05,768.6500,783.6000,758.0500,769.7000,19367
2024-11-06,771.6000,788.8000,769.7000,785.0000,18052
2024-11-07,785.0000,791.9500,775.0000,781.5000,21809
2024-11-08,780.0000,782.9500,766.5000,770.9000,13177
2024-11-11,773.1500,773.7500,745.0500,750.5500,21637
2024-11-12,753.5500,775.0000,735.0500,739.5000,24992
2024-11-13,732.2000,737.0000,720.9000,723.5000,28450
2024-11-14,725.3000,730.0000,709.0000,718.9500,25133
2024-11-18,718.0000,718.0000,662.1000,667.8500,131091
2024-11-19,660.0000,663.0000,630.0000,631.6500,185877
2024-11-21,632.0000,636.1500,606.5000,616.2000,84390
2024-11-22,622.8500,628.4500,610.0000,614.8500,71226
2024-11-25,625.7500,634.0000,592.9500,599.8500,383381
2024-11-26,600.0000,654.0000,600.0000,635.0500,253621
2024-11-27,640.0000,719.6000,640.0000,702.4000,715220
2024-11-28,702.3500,704.7500,681.0000,683.6500,109684
2024-11-29,691.9000,712.0000,684.0000,691.7000,63067
2024-12-02,689.9500,714.0000,683.1000,710.9500,94539
2024-12-03,713.5000,749.9000,710.0500,714.2000,102222
2024-12-04,725.0000,738.0000,715.1500,732.5000,60626
2024-12-05,735.8000,740.0000,728.0000,730.4500,35735
2024-12-06,732.4500,744.5500,725.0500,738.7500,33011
2024-12-09,739.0000,745.7500,725.1500,728.8500,25934
2024-12-10,730.6000,732.0000,721.0000,725.3500,15926
2024-12-11,739.9000,757.0000,736.1500,741.7000,86410
2024-12-12,749.3000,749.3000,733.0000,738.5000,30208
2024-12-13,739.0000,746.9500,721.3000,730.7500,22904
2024-12-16,732.6000,732.6000,720.0000,721.7500,19616
2024-12-17,722.0000,725.5000,712.0000,716.2500,13210
2024-12-18,720.0000,720.0000,701.0000,703.9000,24700
2024-12-19,705.0000,705.0000,692.0000,699.2500,16693
2024-12-20,701.0000,709.9500,692.0000,694.3000,64664
2024-12-23,695.1000,699.8500,683.1000,689.0500,19696
2024-12-24,687.7000,695.8500,686.2500,692.3000,28573
2024-12-26,695.0000,698.8500,683.3000,689.3000,12700
2024-12-27,691.0000,691.4500,685.0000,685.8500,12167
2024-12-30,685.0000,690.9000,683.1000,683.4000,14266
2024-12-31,683.1000,718.2000,682.1000,694.8000,24753
2025-01-01,702.9500,715.4000,693.5500,708.0000,15489
2025-01-02,708.0000,713.4500,696.8500,700.5000,8715
2025-01-03,701.0000,714.4500,696.0000,697.3500,17562
2025-01-06,690.5500,698.6500,673.1000,676.0500,14578
2025-01-07,676.0500,694.0000,671.1000,680.5500,11502
2025-01-08,687.3500,700.0000,671.8500,686.9000,12978
2025-01-09,687.0000,690.5000,671.3500,675.0500,16748
2025-01-10,675.0500,678.3000,660.0000,660.5000,18327
2025-01-13,655.3000,662.3500,630.0000,634.0500,19227
2025-01-14,637.4000,650.0000,627.9500,643.1000,17449
2025-01-15,643.2000,652.5000,637.0000,641.4500,10217
2025-01-16,642.0000,669.9500,641.2000,645.6000,14723
2025-01-17,644.9500,652.9500,638.9500,642.9500,12217
2025-01-20,649.2500,653.9500,640.3000,647.7000,17551
2025-01-21,653.8000,660.0000,635.0000,639.0000,17218
2025-01-22,640.8000,642.4000,620.1000,627.9500,17508
2025-01-23,630.0000,639.4500,623.2500,628.6000,13189
2025-01-24,631.9000,645.5500,625.5500,629.6000,15208
2025-01-27,625.0000,625.7000,608.0500,611.7000,15362
2025-01-28,611.9500,617.2000,593.2000,606.6500,24331
2025-01-29,602.3000,622.4500,602.3000,613.0000,12568
2025-01-30,615.0000,626.0500,611.0000,614.1500,11021
2025-01-31,617.4000,625.0000,612.9500,621.7500,12082
2025-02-01,627.7000,630.9000,620.6000,626.9000,9008
2025-02-03,612.1000,623.4500,612.1000,615.9500,7094
2025-02-04,613.2000,623.4500,612.0500,621.8500,8733
2025-02-05,625.1000,632.8500,615.5500,621.1000,20149
2025-02-06,618.0000,632.5000,618.0000,624.0500,10414
2025-02-07,624.6000,627.2500,614.0500,615.3500,10145
2025-02-10,614.0500,615.4000,598.4000,602.9500,19266
2025-02-11,602.9500,605.8000,582.0500,584.2000,23412
2025-02-12,584.2000,587.2500,563.0500,572.2000,26453
2025-02-13,573.0000,590.0000,564.5000,566.6000,17832
2025-02-14,569.6000,622.8000,548.6000,594.0000,120843
2025-02-17,565.0500,591.1000,565.0500,578.0000,39436
2025-02-18,583.8500,591.4500,550.0000,569.0500,45024
2025-02-19,564.0000,584.9500,562.1500,579.5500,24278
2025-02-20,571.0500,586.0000,569.0000,579.7500,15535
2025-02-21,582.7000,589.8000,570.0000,574.5000,12328
2025-02-24,569.0000,570.4500,560.2500,562.5000,15904
2025-02-25,560.0000,567.0500,555.0000,558.1500,29220
