date,open,high,low,close,volume
2023-09-18,494.0000,494.0000,483.1500,484.5000,6238600
2023-09-20,482.0000,486.4000,475.2500,478.3000,5861905
2023-09-21,479.0000,486.4500,476.4000,479.5500,5146457
2023-09-22,479.0000,481.8000,471.5000,478.8500,3684720
2023-09-25,478.8000,478.8000,467.2500,469.3500,5768069
2023-09-26,468.5000,474.3000,466.2000,471.5000,4666823
2023-09-27,466.2500,475.7500,466.2500,474.9500,5656858
2023-09-28,476.0000,479.6000,464.4500,466.8500,5869780
2023-09-29,478.0000,494.5000,474.2000,492.6500,11604605
2023-10-03,483.1000,484.5500,476.6000,479.9500,4657602
2023-10-04,474.0000,477.9000,470.0000,473.4000,3302259
2023-10-05,473.4000,482.4000,468.3500,470.5500,4801287
2023-10-06,475.0000,476.4500,469.3500,472.6000,3134022
2023-10-09,472.4500,473.5000,464.6000,469.8000,2681298
2023-10-10,473.0000,484.8000,467.0000,480.6500,7863825
2023-10-11,485.6500,485.9500,480.1000,483.9000,7006735
2023-10-12,483.1000,494.0000,482.5500,484.4000,6895255
2023-10-13,479.0000,487.5000,477.5000,480.6000,4652247
2023-10-16,479.7500,486.5000,475.3000,483.4000,5043158
2023-10-17,486.5000,488.4500,480.7000,484.3500,4495043
2023-10-18,487.8000,494.8000,483.5500,485.0500,7437952
2023-10-19,478.4500,482.2500,471.0000,479.9500,6035837
2023-10-20,475.0000,479.8500,470.0000,471.7500,2777724
2023-10-23,470.8000,473.9500,455.0000,456.7000,2994345
2023-10-25,466.0000,473.0000,459.4000,461.2000,7854105
2023-10-26,456.7000,458.4500,448.7500,456.6500,6625855
2023-10-27,458.0000,464.4000,454.4500,456.1500,6193726
2023-10-30,458.7500,461.7500,454.0000,456.6500,7523779
2023-10-31,465.0000,465.0000,453.2500,459.5000,5236060
2023-11-01,458.5000,466.0000,456.0000,462.7000,4931538
2023-11-02,463.2500,475.8000,463.2500,474.2000,3933951
2023-11-03,478.9500,481.4500,474.2500,475.2000,3274345
2023-11-06,480.0000,484.8000,478.2500,481.9500,4294682
2023-11-07,482.0000,491.5000,480.3000,484.5500,5425669
2023-11-08,491.4500,491.4500,478.1500,488.0500,8220612
2023-11-09,488.8000,488.8000,483.1500,484.4500,3271496
2023-11-10,482.0500,488.2500,479.5500,481.3000,3498064
2023-11-13,482.0000,492.3500,481.1000,487.5000,4918873
2023-11-15,497.0000,513.5000,494.2000,505.4000,11674265
2023-11-16,504.0000,507.4500,497.1500,504.3000,4171759
2023-11-17,503.0500,506.4500,496.8500,497.7500,3595049
2023-11-20,500.1500,505.9500,496.5500,497.3000,4305637
2023-11-21,502.8000,510.9500,501.9000,506.8500,7154476
2023-11-22,504.9000,506.8500,498.9500,500.2500,4337970
2023-11-23,499.0000,503.0000,491.6500,501.9500,6628259
2023-11-24,504.8500,512.7500,502.5500,507.8000,5973059
2023-11-28,511.7500,518.2500,509.8000,515.6000,7804926
2023-11-29,519.0000,523.3500,513.9000,517.4500,6275280
2023-11-30,519.3000,519.7500,511.3500,515.6500,7599701
2023-12-01,520.0500,524.8000,515.3000,517.2000,4933886
2023-12-04,524.0500,526.6500,516.5500,519.2500,5985489
2023-12-05,518.3500,528.8000,515.4500,520.6500,6399021
2023-12-06,521.0000,526.9500,515.6000,523.0000,4831956
2023-12-07,521.0000,522.4000,515.1000,516.0500,4628885
