date,open,high,low,close,volume
2023-09-18,24.7200,25.9500,23.8000,25.6200,94565
2023-09-20,26.3300,26.3300,25.0000,25.0000,43895
2023-09-21,25.0000,26.0600,24.3000,24.8900,48925
2023-09-22,24.8900,25.1900,24.0200,24.7000,28360
2023-09-25,24.7000,25.6600,24.0100,24.5500,33790
2023-09-26,24.0800,25.2800,24.0800,24.7200,13315
2023-09-27,24.8000,25.9500,24.7200,25.8400,77455
2023-09-28,26.6000,26.6000,25.4200,25.7800,118485
2023-09-29,24.6400,26.5700,24.6400,26.0900,40970
2023-10-03,26.2400,26.4000,25.4600,26.1100,38280
2023-10-04,26.1200,26.4000,25.7100,26.0300,62390
2023-10-05,26.0300,26.7800,26.0300,26.5500,41540
2023-10-06,26.9700,26.9700,25.9300,26.5700,36515
2023-10-09,26.0400,26.3900,25.2400,25.3900,43405
2023-10-10,24.8900,26.0000,24.4100,25.5800,39405
2023-10-11,25.9400,26.0400,25.0700,25.9300,26375
2023-10-12,26.1000,26.1000,25.5100,25.7000,29515
2023-10-13,25.7000,26.0300,25.2000,25.7800,51085
2023-10-16,26.8000,26.8000,26.3000,26.7800,100050
2023-10-17,27.5700,27.5700,26.4800,26.7200,55430
2023-10-18,27.3800,27.6000,26.5000,27.1900,70965
2023-10-19,27.3000,27.7400,26.5100,26.6000,24030
2023-10-20,26.6000,27.1600,26.0000,26.7400,62680
2023-10-23,26.8000,26.8000,25.4100,25.5600,49485
2023-10-25,25.9900,25.9900,24.2900,24.5800,38600
2023-10-26,24.4900,25.8000,23.3500,25.7600,63640
2023-10-27,25.8000,26.4000,25.4100,25.7500,20930
2023-10-30,26.3800,26.3800,25.6400,25.9200,43860
2023-10-31,26.2100,26.6000,25.8000,26.1900,41770
2023-11-01,26.6400,26.6400,26.2000,26.2600,38400
2023-11-02,26.7900,26.7900,26.2000,26.4000,25110
2023-11-03,26.9300,26.9900,26.4000,26.7700,74420
2023-11-06,27.9700,27.9700,27.0000,27.4100,72880
2023-11-07,27.3900,27.4000,26.3100,26.7900,129865
2023-11-08,26.9600,27.8600,26.0000,27.4600,112550
2023-11-09,27.9700,28.8300,27.6000,28.6600,337830
2023-11-10,29.9000,30.0500,29.9000,30.0500,11293
2023-11-13,30.0000,30.9500,29.5000,30.3500,159828
2023-11-15,31.5500,31.6000,30.0500,31.1000,181860
2023-11-16,31.9000,31.9500,31.1000,31.6500,112748
2023-11-17,31.7000,32.1500,30.3000,31.1500,92244
2023-11-20,32.5000,36.8500,32.5000,34.4000,463593
2023-11-21,35.9000,36.4000,33.7000,35.6000,355548
2023-11-22,36.3500,36.3500,33.8500,34.6500,172927
2023-11-23,35.6000,35.6000,33.8000,34.9000,127125
2023-11-24,35.1500,38.8000,34.6500,38.0000,700968
2023-11-28,38.2000,39.6000,38.2000,38.4000,306337
2023-11-29,39.2000,39.2000,36.4500,37.0500,156814
2023-11-30,37.1500,37.5000,34.7000,36.5000,199714
2023-12-01,37.6000,38.0000,36.5000,36.9000,137802
2023-12-04,37.9500,37.9500,35.0000,36.4000,140118
2023-12-05,36.8000,36.8000,34.7500,35.1500,167240
2023-12-06,35.1500,35.6500,33.9000,34.4000,135014
2023-12-07,36.0000,37.9000,35.0000,36.9500,528584
2023-12-08,37.4000,37.4000,36.1000,36.7000,210802
2023-12-11,37.9000,37.9500,35.4500,36.7500,286371
2023-12-12,37.6500,37.6500,35.5500,36.0000,162978
2023-12-13,37.3000,37.3000,35.9500,36.2000,156150
2023-12-14,36.9500,37.2500,36.0500,36.2500,127372
2023-12-15,36.9500,37.7000,36.2500,36.7000,298912
2023-12-18,37.7000,43.1000,37.0000,40.9000,1450599
2023-12-19,42.8000,47.0000,41.1000,45.2000,2415527
2023-12-20,47.7500,53.3000,47.0000,49.0500,3022283
2023-12-21,48.2500,58.8500,45.3000,58.1500,3969284
2023-12-22,61.0000,63.9500,59.3500,63.9500,2367939
2023-12-26,64.9000,69.7000,58.3500,61.2500,2337595
2023-12-27,58.3000,58.3000,58.2000,58.2000,125206
