date,open,high,low,close,volume
2023-09-22,175.3333,177.5000,173.6667,173.9667,6728026
2023-09-25,173.3667,174.5667,170.8333,173.5667,5094865
2023-09-26,173.3333,175.8333,172.8333,173.3333,4370337
2023-09-27,173.1000,173.2000,168.6000,170.8667,6081648
2023-09-28,169.3333,171.3000,166.0667,166.4667,5850073
2023-09-29,167.8000,171.8333,166.8667,169.9667,4398093
2023-10-03,171.0000,172.7333,169.1000,169.6000,5772862
2023-10-04,170.0000,170.1000,164.7000,166.6333,7628286
2023-10-05,170.6667,174.4667,168.2000,169.0333,8985072
2023-10-06,169.3667,172.8667,168.6667,171.8333,5602408
2023-10-09,168.0667,168.6667,166.0000,167.8000,7985133
2023-10-10,167.8333,169.7000,167.4000,167.8333,1638906
2023-10-11,169.1000,170.3667,168.4000,169.4000,3530580
2023-10-12,170.3333,174.5333,170.3000,172.2667,4740789
2023-10-13,172.0333,173.2333,170.5333,170.9667,2186107
2023-10-16,169.3333,172.3333,167.4333,171.1333,3632274
2023-10-17,171.4333,177.6667,170.6000,174.4667,8071116
2023-10-18,175.1333,175.3333,170.7000,171.3000,6627409
2023-10-19,170.6667,175.3333,169.5000,174.5333,2734614
2023-10-20,173.3333,173.3333,167.1667,168.4667,6209217
2023-10-23,169.0000,169.8667,165.2000,166.1333,7104466
2023-10-25,167.8000,168.5667,162.7000,164.0333,5532331
2023-10-26,163.3333,163.3667,159.4667,161.4333,4802959
2023-10-27,161.6667,164.1000,161.0000,162.3667,2395591
2023-10-30,163.3333,165.1667,161.0667,163.9667,4989558
2023-10-31,164.9000,166.2333,163.4667,165.1333,3108583
2023-11-01,166.3333,169.7333,166.2667,167.9667,4750212
2023-11-02,169.1333,172.3333,168.2667,170.1333,4700620
2023-11-03,170.6667,173.2667,170.0000,171.7000,3553620
2023-11-06,173.2000,176.6667,172.3000,174.7333,7518147
2023-11-07,176.7333,186.8333,173.3667,185.7667,30501136
2023-11-08,188.3667,201.6000,188.0333,199.6667,37025106
2023-11-09,200.1000,203.2000,198.0667,199.3000,9674457
2023-11-10,198.6667,201.8333,197.1667,199.7000,4987359
2023-11-13,199.4000,203.1667,196.8333,202.1667,7103496
2023-11-15,203.2333,209.8000,201.1667,209.0667,13297720
2023-11-16,210.0000,217.8667,208.9000,213.5000,14447925
2023-11-17,215.3333,223.1333,205.6333,206.6667,27496918
2023-11-20,207.7000,208.5333,203.6667,204.8000,7316140
2023-11-21,206.4667,206.4667,200.2000,203.3000,8143939
2023-11-22,204.6667,209.5667,201.5333,203.6667,14970243
2023-11-23,204.6667,219.8333,203.8667,217.8000,24344445
2023-11-24,217.2333,217.3333,209.7000,213.4667,15421744
2023-11-28,219.3667,230.0000,216.7333,228.5000,39726289
2023-11-29,228.0000,234.0000,224.7000,228.3000,23548495
2023-11-30,228.0000,233.2000,224.3667,231.6000,18231517
2023-12-01,232.0667,237.5667,229.3667,230.3667,11196495
2023-12-04,236.6667,252.9667,236.6667,251.0000,44928232
2023-12-05,254.0000,261.0000,249.4333,254.3000,29843163
2023-12-06,258.0000,259.9333,249.7667,256.1667,10174219
2023-12-07,260.1667,264.0000,254.7667,255.4000,20068596
2023-12-08,256.0000,257.8667,248.7333,251.6667,8463868
2023-12-11,253.3333,254.9000,238.8000,240.5667,23689200
2023-12-12,240.6667,246.5667,237.3333,238.0667,12651369
2023-12-13,242.3333,251.8333,241.7667,250.0000,21529429
2023-12-14,251.9333,253.3333,246.3000,250.4667,9775294
2023-12-15,245.3333,261.8333,244.3667,255.9333,18928414
2023-12-18,257.3333,257.8333,251.9000,252.8667,6407295
2023-12-19,254.6000,256.6667,250.7667,253.7333,7063870
2023-12-20,256.5000,256.5000,242.0667,243.2333,11112139
2023-12-21,240.2000,252.0000,239.1333,250.4667,8472187
2023-12-22,250.4000,250.4000,242.6667,246.2000,12698515
2023-12-26,247.2667,261.3333,244.5333,256.1000,21655452
2023-12-27,256.0000,258.3000,251.3333,254.5667,19716265
2023-12-28,257.1333,290.9333,254.9000,278.4333,57375486
2023-12-29,266.6667,273.4667,264.8000,265.9333,29294128
2024-01-01,270.6667,271.0000,265.4000,266.4000,8701509
