date,open,high,low,close,volume
2023-09-25,86.4000,88.8000,84.8500,86.7000,699046
2023-09-26,86.8000,87.7000,85.5000,85.7500,338582
2023-09-27,86.3500,86.4000,83.3500,84.6500,293047
2023-09-28,84.5000,84.9000,81.0500,81.5500,1090153
2023-09-29,82.2500,84.5500,81.7000,82.3000,881854
2023-10-03,82.3000,83.8000,80.7000,81.2500,696452
2023-10-04,81.2000,83.0000,79.4500,80.5500,463888
2023-10-05,81.2000,84.3000,81.2000,83.7000,656709
2023-10-06,84.4000,84.4500,81.2000,82.1500,715843
2023-10-09,82.9000,90.1500,82.9000,84.8000,6116951
2023-10-10,85.5000,89.5000,84.1500,84.6000,2111476
2023-10-11,85.4000,88.1000,84.2000,87.5000,2288353
2023-10-12,88.0500,89.0500,86.3000,87.9000,1683042
2023-10-13,87.7500,96.7000,87.2000,95.4500,10768179
2023-10-16,97.1000,100.9500,95.5000,98.2000,8812940
2023-10-17,99.3000,101.0000,95.1000,96.2000,6031053
2023-10-18,97.4000,105.2000,97.1000,103.9000,9569228
2023-10-19,104.0500,104.7000,99.6500,101.4000,4115353
2023-10-20,102.0000,103.2000,98.1500,99.5500,2012821
2023-10-23,102.7000,103.9000,93.1000,93.6500,4276488
2023-10-25,95.6000,97.9500,91.1000,96.4000,2546178
2023-10-26,96.5500,96.9000,92.5000,95.6500,1864561
2023-10-27,96.4000,101.8500,95.6000,99.6500,2998356
2023-10-30,103.0000,104.0000,99.4000,101.4500,3445737
2023-10-31,102.0500,109.8000,102.0500,104.5000,8188906
2023-11-01,105.5000,109.7000,100.8000,101.9000,6012491
2023-11-02,104.0000,106.1500,99.0000,100.4000,5093676
2023-11-03,103.0000,104.4500,100.7500,101.9500,2043921
2023-11-06,102.7500,104.2000,101.4000,103.1500,1669952
2023-11-07,102.2000,103.5000,100.9000,101.8000,1321430
2023-11-08,102.1500,108.2500,101.7000,106.8000,4261497
2023-11-09,107.4000,111.6000,107.2500,109.2000,4241409
2023-11-10,108.2500,112.3500,108.2500,111.9500,2901154
2023-11-13,111.0000,117.3000,109.4500,114.7500,1961246
2023-11-15,116.2000,117.4000,113.2500,115.3000,2801100
2023-11-16,115.1000,118.2000,114.0000,115.2500,1856328
2023-11-17,114.8500,116.7500,114.0000,115.6500,1688566
2023-11-20,116.0000,117.8500,111.8000,115.3000,1997450
2023-11-21,115.2500,117.1500,111.8000,112.3000,1023364
2023-11-22,112.9000,113.7000,109.0000,110.7000,1309329
2023-11-23,107.4000,111.7500,107.4000,110.4000,1019595
2023-11-24,110.8000,115.7500,110.4000,111.9500,1504568
2023-11-28,111.9000,114.3500,110.1500,111.4000,780227
2023-11-29,112.2000,113.3500,107.5000,108.1000,892408
2023-11-30,108.1000,109.3000,105.1000,106.4000,808658
2023-12-01,106.8000,108.4000,103.1500,104.0500,1121139
2023-12-04,108.5000,111.3500,105.8000,109.9500,2100338
2023-12-05,111.0000,111.2000,106.0500,108.2000,953404
2023-12-06,108.6000,108.6000,105.3500,105.9500,692022
2023-12-07,106.2000,112.0000,105.1500,107.4000,1256944
2023-12-08,107.5500,108.7500,101.5000,105.0500,1208346
2023-12-11,105.9500,108.5000,104.1000,107.6000,969953
2023-12-12,107.6000,111.5000,105.9500,106.5000,941568
2023-12-13,107.1000,107.5000,104.5000,105.3000,695668
2023-12-14,106.4000,107.4500,102.1000,102.5000,1504863
2023-12-15,103.2500,105.9000,103.0000,104.2000,813151
2023-12-18,104.3000,105.0500,101.4000,102.3000,805183
2023-12-19,103.3000,104.0000,102.0000,102.3000,626188
2023-12-20,102.7500,104.3500,97.6500,98.7000,1510861
2023-12-21,98.1000,101.8000,97.9000,98.5000,1199837
2023-12-22,99.1500,103.1500,99.1000,99.9500,1146815
2023-12-26,100.3000,113.3000,100.3000,112.2500,7439722
2023-12-27,114.3500,118.1500,113.5500,114.9000,4775928
2023-12-28,115.9500,116.5000,112.1000,113.0000,1424897
2023-12-29,113.1000,118.0000,111.1000,115.0000,2689491
2024-01-01,115.7000,116.9000,114.6500,116.0000,900241
2024-01-02,116.0000,120.7500,111.9000,118.8500,3574077
2024-01-03,119.3500,124.2500,118.8000,120.0000,4719825
2024-01-04,120.7500,129.9000,120.4000,127.9000,5589081
2024-01-05,129.0000,138.2500,127.2000,136.7500,5146225
2024-01-08,136.2500,145.0000,136.2500,141.2000,7597761
2024-01-09,142.4000,144.5000,139.7500,140.8500,3171456
2024-01-10,141.5000,144.6500,136.0500,143.7500,2764165
2024-01-11,143.9500,150.7500,143.7000,149.5000,3666086
2024-01-12,152.0000,153.9000,144.0500,146.5500,3557880
2024-01-15,150.0000,151.0000,145.0000,147.2000,5523370
2024-01-16,147.9500,147.9500,136.5500,141.9000,2143940
2024-01-17,139.8500,143.9000,135.5500,139.0000,3007331
2024-01-18,137.9000,144.0000,133.4000,139.7000,1314984
2024-01-19,142.2500,149.9000,141.9000,148.5000,1647436
2024-01-23,154.0000,155.5000,143.2000,145.1500,1706875
2024-01-24,147.8000,149.9000,143.6000,146.6000,609511
2024-01-25,147.3000,152.7000,146.7500,151.4500,719245
2024-01-29,152.4000,152.7000,147.6500,148.7000,557247
2024-01-30,149.7500,151.4500,144.2000,144.8500,429381
2024-01-31,145.8000,149.0000,144.8000,145.7000,470068
2024-02-01,146.9000,147.8000,143.1000,144.1500,394004
2024-02-02,144.6000,148.0000,143.4500,144.5000,535533
2024-02-05,144.5000,152.0500,140.0000,147.7000,1068896
2024-02-06,148.9000,151.9000,146.0000,148.2500,523259
2024-02-07,149.9500,151.0000,144.6000,146.4500,483581
2024-02-08,149.0000,159.0000,147.6000,151.8500,4058728
2024-02-09,152.9000,153.0000,144.5000,147.8000,3385427
2024-02-12,148.5500,152.1500,140.2500,141.5500,1166634
2024-02-13,142.5000,143.3000,134.1500,140.2500,1138992
2024-02-14,138.0000,146.9500,136.5000,145.7000,711055
2024-02-15,147.6500,149.8000,144.0000,145.2500,927915
2024-02-16,146.1000,148.0500,143.2500,146.1500,759858
2024-02-19,147.5500,170.0000,147.5500,168.5500,11636666
2024-02-20,170.0000,170.0000,162.3500,164.5000,2395776
2024-02-21,166.3500,168.5000,156.1000,157.7000,1574784
2024-02-22,159.4000,159.4000,151.4000,156.1000,1506640
2024-02-23,156.0000,163.8000,155.9500,161.6500,2076414
2024-02-26,163.1000,165.6000,157.0500,158.6000,1232457
2024-02-27,159.1500,160.3500,153.2500,154.2500,542271
2024-02-28,155.5000,155.9500,148.8500,149.8500,716917
2024-02-29,149.5000,152.5000,147.7500,150.0000,697382
2024-03-01,150.4500,157.3000,142.5500,145.2500,2011897
2024-03-04,148.0000,148.0500,140.2000,142.5500,1240411
2024-03-05,142.5000,142.5000,138.7500,140.2500,910094
2024-03-06,139.9500,140.2000,130.4500,136.7000,1814065
2024-03-07,137.0000,139.4500,132.8000,133.5500,688966
2024-03-11,134.3500,135.0500,119.6500,126.1000,3210083
2024-03-12,126.4000,127.5500,118.9500,121.8500,1986608
2024-03-13,121.0000,124.9000,105.6500,110.1500,3298295
2024-03-14,109.0000,121.2000,108.0000,118.9500,2827384
2024-03-15,120.0000,122.2500,113.4000,119.0000,1569999
2024-03-18,114.0000,119.5000,112.3500,117.9500,2003122
2024-03-19,118.0500,122.1500,115.5000,116.3000,1408485
2024-03-20,117.0500,120.3500,114.7000,118.2500,1272942
2024-03-21,122.0000,136.8000,120.8000,130.0500,1659529
2024-03-22,128.0000,138.5000,127.6000,135.0500,1453658
2024-03-26,133.3000,134.7000,125.0000,128.2000,1317787
2024-03-27,127.0000,135.0000,125.0000,129.0500,1261806
2024-03-28,137.0000,142.9500,131.8000,139.7500,3832215
2024-04-01,143.1000,145.5000,140.4500,144.1000,1568626
2024-04-02,145.0000,145.0000,140.6000,141.7000,737008
2024-04-03,141.0500,144.5000,138.2000,141.8500,984529
2024-04-04,143.2000,146.8000,138.1000,138.7500,1956512
2024-04-05,138.7500,140.7000,136.2500,138.6000,600659
2024-04-08,139.5500,140.8000,134.6500,137.9000,618425
2024-04-09,138.6000,140.5000,136.4000,138.1500,566636
2024-04-10,138.8500,139.1000,135.5500,137.3000,498426
2024-04-12,136.5500,137.3000,133.0500,134.5500,636591
2024-04-15,126.1000,132.2000,126.1000,128.3000,893428
2024-04-16,127.9000,132.4000,127.8500,131.5000,534886
2024-04-18,132.7500,134.7500,129.7000,130.1500,436620
2024-04-19,128.0000,133.0000,126.2000,130.2000,605661
2024-04-22,135.0000,135.6000,127.2000,127.5000,715253
2024-04-23,128.2000,129.7500,128.0000,128.8000,416872
2024-04-24,129.5000,129.8000,127.2000,128.3000,549026
2024-04-25,128.5000,133.3000,128.2500,129.5500,972251
2024-04-26,129.9500,131.0000,128.4000,130.0500,333741
2024-04-29,130.9000,131.7000,128.0000,128.2500,486076
2024-04-30,128.7000,135.0000,127.6000,133.1000,1470332
2024-05-02,135.0000,136.7000,130.9500,132.5000,444453
2024-05-03,133.2500,135.9500,129.1000,135.1000,764496
2024-05-06,135.1000,135.6500,130.2500,131.1000,447164
2024-05-07,131.1000,131.3000,125.0000,126.0500,686670
2024-05-08,126.1000,129.4500,124.2500,127.8500,285293
2024-05-09,127.9000,128.6500,121.2500,122.4000,359408
2024-05-10,123.9000,128.0000,120.8000,124.5500,391849
2024-05-13,119.0000,125.4500,116.3000,125.0000,902666
2024-05-14,125.6500,129.2000,125.1500,128.1000,292421
2024-05-15,129.4000,129.8000,124.1000,124.4000,410592
2024-05-16,124.7000,125.3500,122.0000,122.7000,251107
2024-05-17,123.1000,126.0000,123.1000,125.1000,329821
2024-05-21,126.9000,127.4000,123.5500,125.5500,354556
2024-05-22,124.5000,125.8000,122.7000,124.2000,345664
2024-05-23,124.0000,128.0000,123.8000,125.8000,395637
2024-05-24,126.7500,134.5000,126.6000,131.0000,1843374
2024-05-27,131.3500,131.4000,124.4000,125.1000,699998
2024-05-28,125.5000,127.8500,124.3500,125.3000,265853
2024-05-29,124.0500,124.9500,123.2000,123.9000,163070
2024-05-30,124.3500,124.7000,121.0000,121.7000,314720
2024-05-31,122.2500,123.2000,120.1000,121.9000,257317
2024-06-03,124.6000,128.0000,122.8000,123.3500,365318
2024-06-04,123.3500,123.8000,102.8000,112.0000,1040979
2024-06-05,115.3500,116.3000,105.7500,112.5000,774295
2024-06-06,113.7000,119.7000,113.5500,117.6500,471701
2024-06-07,117.1000,128.5000,116.5500,126.9000,1358358
2024-06-10,126.9000,127.6000,123.4000,123.8400,383456
2024-06-11,123.9000,129.5000,123.2000,128.6500,868407
2024-06-12,128.5500,135.0000,126.9000,131.3200,2162109
2024-06-13,131.3200,135.5900,129.7500,130.4400,1138217
2024-06-14,130.9000,133.5000,130.5200,130.9000,618467
2024-06-18,131.4500,132.3100,130.1100,130.7500,348230
2024-06-19,130.9000,139.8000,127.5000,133.7100,4179316
2024-06-20,134.6400,141.0000,134.1000,139.0200,2286012
2024-06-21,139.3100,140.4000,135.1500,136.3000,968331
2024-06-24,135.0000,136.3000,131.0700,132.9100,518178
2024-06-25,133.4000,137.8000,132.0000,133.2500,728456
2024-06-26,133.6000,134.0000,131.4500,132.3300,417406
2024-06-27,132.0200,132.8000,127.5500,129.6900,568776
2024-06-28,130.0000,132.3700,129.0000,129.5200,306984
2024-07-01,131.4500,132.2100,129.0000,130.0400,450124
2024-07-02,130.5900,135.4900,128.9000,132.3700,1646188
2024-07-03,133.1100,135.0000,132.8900,133.1300,614169
2024-07-04,133.6900,140.9000,132.8000,137.6800,3726615
2024-07-05,138.2500,139.5000,132.0000,132.5800,1391434
2024-07-08,137.0000,137.4900,128.9400,129.6000,1494199
2024-07-09,130.1500,132.0100,128.0000,128.9200,783907
2024-07-10,130.5000,141.0000,130.2500,138.9100,6374834
2024-07-11,140.6000,143.2900,137.7200,140.8200,2309246
2024-07-12,142.1000,142.5500,136.2000,139.2500,1559923
2024-07-15,141.0000,151.3000,138.6200,145.9500,4262661
2024-07-16,148.0000,152.5000,145.0000,148.7700,2495447
2024-07-18,149.0000,159.0700,144.2000,150.9500,6440428
2024-07-19,151.6500,151.6500,144.0300,145.1000,1434014
2024-07-22,144.9900,150.8900,141.8100,146.6100,1277278
2024-07-23,146.5000,147.5000,136.1000,143.1600,1240142
2024-07-24,142.7000,149.8700,142.4200,147.5500,1216910
2024-07-25,147.4500,154.3900,145.9500,152.8100,1695654
2024-07-26,154.5000,157.5000,152.4200,153.4000,1753794
2024-07-29,154.0000,154.7200,148.4100,149.5600,745486
2024-07-30,149.0000,150.4900,147.5000,148.2100,555995
2024-07-31,148.4500,155.4800,146.8600,153.9600,2020752
2024-08-01,154.9500,157.0000,150.6000,152.2900,1210379
2024-08-02,149.9900,154.5000,148.5100,152.0000,954356
2024-08-05,148.7100,149.9800,141.1600,142.1400,1653317
2024-08-06,143.1400,146.0000,138.7000,140.6600,776380
2024-08-07,142.5000,147.8800,142.5000,145.8500,1049352
2024-08-08,147.4000,152.7900,146.5600,150.6500,1004387
