date,open,high,low,close,volume
2023-09-18,593.0000,595.0000,586.7000,587.7500,35195
2023-09-20,588.0000,590.3500,578.0000,579.6000,36710
2023-09-21,579.9500,589.9000,572.0000,579.5000,67834
2023-09-22,579.5000,582.0000,573.2500,579.0000,21971
2023-09-25,590.0000,590.0000,575.1500,582.4500,30587
2023-09-26,584.8500,587.5000,501.0000,507.9000,2634956
2023-09-27,553.0000,587.5500,542.6000,557.8000,3720719
2023-09-28,561.0000,561.0000,546.8500,548.4000,210039
2023-09-29,557.7500,566.9500,551.4500,560.9500,141198
2023-10-03,560.9500,567.9500,557.2000,558.6500,71602
2023-10-04,559.9000,559.9000,545.8000,548.4500,63528
2023-10-05,550.3000,556.4500,530.0000,538.3500,89272
2023-10-06,539.8500,546.4000,537.3000,540.7000,58141
2023-10-09,538.0000,538.3000,527.0000,529.1000,50490
2023-10-10,534.3500,535.7000,522.6500,524.6000,76895
2023-10-11,532.5000,535.8500,519.5500,523.2000,79545
2023-10-12,523.2500,530.9500,519.0000,520.7500,80158
2023-10-13,521.4000,528.4000,519.0000,521.0500,50857
2023-10-16,522.0000,524.4000,516.9000,519.3500,62555
2023-10-17,526.0000,527.7000,522.0500,524.7500,54329
2023-10-18,524.7500,568.8000,524.7500,552.9000,529083
2023-10-19,552.9000,562.3500,547.0000,555.6500,106241
2023-10-20,555.0000,555.0000,542.0000,546.3000,48117
2023-10-23,546.3000,546.3000,508.0000,513.9500,141786
2023-10-25,519.0000,527.3000,504.6500,509.8000,73717
2023-10-26,514.8000,514.8000,493.1500,498.9500,116771
2023-10-27,504.0500,522.2500,503.0000,509.2000,68184
2023-10-30,516.5000,539.1500,503.4000,525.8500,48075
2023-10-31,530.0500,541.2000,519.5000,524.3000,52788
2023-11-01,526.0000,531.7000,515.6000,519.4500,28109
2023-11-02,524.0000,525.0000,508.6500,510.4500,50428
2023-11-03,512.1000,523.0000,502.0000,505.6000,80305
2023-11-06,507.0500,527.9500,507.0500,520.9500,63437
2023-11-07,517.4000,518.0000,504.4000,510.2000,70723
2023-11-08,515.0000,520.2500,511.2000,516.2000,39121
2023-11-09,520.0000,520.0000,507.2000,510.3000,40331
2023-11-10,510.3500,514.7000,509.0000,513.2500,34655
2023-11-13,521.4000,525.9500,510.9500,523.5500,40784
2023-11-15,527.9500,529.5000,521.0000,523.2000,31253
2023-11-16,527.0000,527.0000,520.4000,524.2500,37160
2023-11-17,524.0000,527.9500,521.3000,522.6000,31148
2023-11-20,525.9500,531.7000,519.9000,522.8500,31021
2023-11-21,525.0000,525.2000,516.0500,519.1500,27571
2023-11-22,523.9500,526.0000,515.8000,523.6000,27459
2023-11-23,525.0000,525.9000,512.8500,518.0000,30446
2023-11-24,519.0500,521.8000,512.4500,516.4000,29844
2023-11-28,519.0000,550.0000,515.2500,545.7500,354163
2023-11-29,550.0000,556.0000,537.9000,542.1000,82511
2023-11-30,538.0000,543.2500,530.0000,535.6500,46925
2023-12-01,540.0000,547.5000,534.0000,541.3500,58554
2023-12-04,550.9000,550.9000,537.9000,540.4000,45150
2023-12-05,540.4000,542.7000,521.0000,536.3000,69122
2023-12-06,540.0000,548.2000,530.5500,542.4000,70277
2023-12-07,541.0000,545.0000,533.8000,537.8000,43944
2023-12-08,540.0000,544.7000,530.0000,532.8500,48910
2023-12-11,535.0000,539.8000,529.0500,531.4000,55380
2023-12-12,535.0000,544.8500,528.2000,531.5500,82766
2023-12-13,536.8000,539.9500,529.3000,533.8000,37078
2023-12-14,539.0500,542.0000,533.0000,538.7000,68312
2023-12-15,540.0000,545.0000,532.7000,536.7000,55608
2023-12-18,540.9000,542.9500,535.3500,537.7500,53355
2023-12-19,540.5000,547.9500,537.0000,538.7000,52346
2023-12-20,539.0000,553.2000,519.9500,525.0500,153206
2023-12-21,525.0500,532.0500,516.3000,526.8000,71865
2023-12-22,533.9500,538.9500,527.4000,532.0000,41686
2023-12-26,539.0000,545.0000,537.3500,540.7500,78720
2023-12-27,546.1500,546.6000,537.0000,539.8000,46301
2023-12-28,540.0500,544.5000,539.6000,542.1000,46686
2023-12-29,544.0000,544.0000,538.0000,539.9000,46646
2024-01-01,543.5000,543.5000,534.0000,537.1000,58938
2024-01-02,543.0000,543.0000,532.3000,534.4000,58625
2024-01-03,536.0000,565.3000,534.4500,557.7000,454073
2024-01-04,565.0000,571.9500,559.6000,564.6500,255286
2024-01-05,568.6500,572.8000,560.0000,566.2500,120112
2024-01-08,566.2500,569.9000,552.8500,557.9000,90326
2024-01-09,562.0000,565.2500,550.9500,555.9000,65446
2024-01-10,555.9000,558.7000,546.5000,548.1500,45874
