date,open,high,low,close,volume
2023-09-22,589.0000,624.0000,576.9000,618.8000,440892
2023-09-25,629.9500,629.9500,524.0000,568.7000,575316
2023-09-26,587.6500,609.0000,555.1500,560.7500,272237
2023-09-27,560.9000,568.0500,558.5500,565.2000,74649
2023-09-28,565.2500,574.5000,561.0000,568.4000,103007
2023-09-29,573.8500,574.0500,531.5500,535.2500,457467
2023-10-03,542.0000,547.1000,535.3000,544.9000,107191
2023-10-04,545.9000,546.7000,538.1000,541.3500,55168
2023-10-05,543.9000,546.2000,537.5000,540.0500,61307
2023-10-06,545.0000,545.0000,538.5000,540.6000,63278
2023-10-09,531.6500,540.4500,531.6500,536.1500,50257
2023-10-10,539.9000,541.2000,534.0000,537.4000,42736
2023-10-11,539.9500,546.9500,537.0000,539.7000,40240
2023-10-12,542.4500,544.9000,539.0000,539.9500,35193
2023-10-13,541.9500,542.0000,538.0000,539.7500,43514
2023-10-16,539.7500,542.4000,537.5000,538.5000,44383
2023-10-17,541.4500,549.8000,539.0000,540.3000,79655
2023-10-18,544.0000,544.0000,537.1500,539.7000,24468
2023-10-19,540.0000,540.9500,535.5500,538.8000,31744
2023-10-20,538.8000,547.0000,537.0000,538.7000,29539
2023-10-23,539.4500,539.4500,527.0000,528.4500,59446
2023-10-25,533.0000,537.7500,525.0000,529.9500,40727
2023-10-26,529.9000,529.9000,517.0000,518.4000,88381
2023-10-27,520.0500,532.4500,514.0000,523.1500,118409
2023-10-30,531.2000,532.0000,520.0000,523.2500,86660
2023-10-31,528.7000,528.7000,514.0000,516.3000,66705
2023-11-01,519.3500,519.3500,515.0500,516.2000,29640
2023-11-02,520.0000,520.0000,514.8000,517.1000,34090
2023-11-03,519.7500,524.2500,512.3500,518.2000,50966
2023-11-06,527.7000,530.0000,520.2000,522.6000,32585
2023-11-07,525.0000,527.7000,521.1000,524.3000,35054
2023-11-08,524.3500,535.0000,521.8500,530.4000,56393
2023-11-09,530.4000,543.7000,522.0500,526.4000,98158
2023-11-10,529.6000,542.0000,525.0000,531.0000,57431
2023-11-13,539.7500,545.0000,534.8500,538.3000,38110
2023-11-15,540.0000,546.9500,533.0000,537.4500,77238
2023-11-16,536.0500,541.4500,535.0000,537.4500,42635
2023-11-17,535.1000,541.1500,535.0000,538.4000,40943
2023-11-20,541.0000,542.0000,534.2500,536.6000,41473
2023-11-21,537.0000,540.3000,533.8000,536.0000,40097
2023-11-22,535.0000,538.1000,529.8500,531.8500,43336
2023-11-23,539.9500,539.9500,530.9500,531.9000,27042
2023-11-24,535.0000,550.0000,532.0500,541.3500,85390
2023-11-28,541.3500,545.0000,524.0000,534.6000,66695
2023-11-29,537.9000,540.0000,533.1500,535.5000,34244
2023-11-30,537.9000,540.0000,530.0500,533.6500,78832
2023-12-01,535.0000,543.6500,535.0000,538.9000,34400
2023-12-04,542.0000,545.6500,535.0000,539.7500,62617
2023-12-05,542.0000,565.8500,539.0500,555.1500,171841
2023-12-06,558.0000,559.9500,545.2000,546.7500,57681
2023-12-07,554.3000,554.3000,543.2500,546.8000,49634
2023-12-08,540.0000,551.0000,540.0000,546.7000,43088
2023-12-11,549.9500,549.9500,544.0000,547.9500,38313
2023-12-12,545.9500,560.0000,545.9500,553.0500,59314
2023-12-13,555.0000,584.0000,549.3000,568.4000,324553
