date,open,high,low,close,volume
2026-08-18,101.0000,104.0000,100.9000,101.7800,1931
2026-08-19,104.0000,104.0500,99.0000,99.0100,1402
2026-08-20,104.0000,104.0000,101.0000,101.0000,381
2026-08-21,99.0500,103.4900,96.0000,99.8600,3631
2026-08-24,99.8600,103.0000,99.8600,100.0500,652
2026-08-25,100.1600,100.1600,99.0000,100.0000,3672
2026-08-26,102.9900,102.9900,99.0000,102.4900,2963
2026-08-27,101.9800,101.9800,91.0000,99.8600,314
2026-08-28,102.8500,102.8500,99.9000,99.9000,22
2026-08-31,102.9900,102.9900,99.9000,102.6700,830
2026-09-01,102.6500,102.6800,97.8000,100.0500,1116
2026-09-02,100.0500,102.7800,100.0000,102.0000,395
2026-09-03,101.9500,101.9500,99.0000,100.7500,788
2026-09-04,99.0000,102.0000,99.0000,101.3600,434
2026-09-07,101.8600,101.8600,98.5000,100.9800,278
2026-09-08,101.9800,101.9800,96.0000,100.6200,878
2026-09-09,102.5000,102.5000,98.1100,99.9500,784
2026-09-10,101.5500,102.0000,98.3200,99.3200,1274
2026-09-11,99.3200,100.9500,98.0000,100.8400,957
2026-09-15,100.1000,101.0000,95.9900,96.3800,1212
2026-09-16,96.8600,100.0000,96.1000,100.0000,68
2026-09-17,101.9000,101.9000,96.0000,97.5000,1654
2026-09-18,97.5500,101.2500,96.1000,97.1900,1604
2026-09-21,97.2000,101.2500,97.2000,99.9900,714
2026-09-22,92.0100,100.9500,92.0100,99.8500,332
