date,open,high,low,close,volume
2023-09-26,233.8000,238.5000,229.9500,232.9500,247658
2023-09-27,233.0000,235.9000,228.5000,232.0000,189856
2023-09-28,232.4500,234.5000,228.2500,229.6500,114477
2023-09-29,230.6000,231.2500,220.5000,223.4500,442168
2023-10-03,226.6000,229.0000,217.0500,218.7500,399765
2023-10-04,219.0000,226.1000,218.5000,221.3000,363168
2023-10-05,223.0000,225.0000,219.0000,222.5500,144706
2023-10-06,223.0000,231.8500,221.1000,227.6500,365652
2023-10-09,226.9000,226.9000,221.0000,223.8500,160173
2023-10-10,225.0000,231.5000,225.0000,230.8500,256458
2023-10-11,231.5000,240.0000,230.0000,236.9500,1539826
2023-10-12,239.0000,245.9000,238.6000,241.5000,469786
2023-10-13,242.0500,251.4000,241.5000,245.5000,1107738
2023-10-16,246.4500,246.4500,241.0000,244.9500,298898
2023-10-17,246.1000,250.0000,245.1500,246.9500,268223
2023-10-18,248.0000,250.9000,245.4000,246.7500,443598
2023-10-19,245.9500,248.0000,241.8000,243.6000,234895
2023-10-20,242.9500,248.0000,241.2500,242.7500,217436
2023-10-23,243.9000,245.6000,220.2500,227.1000,373385
2023-10-25,230.0000,236.0000,215.2000,227.0500,669073
2023-10-26,227.0000,244.7000,216.0000,240.7500,1029821
2023-10-27,244.0000,274.7000,240.0000,264.7000,7551551
2023-10-30,268.2000,284.8500,264.2000,281.4000,3240080
2023-10-31,277.0000,289.1000,277.0000,284.6000,1232172
2023-11-01,283.2000,292.7000,273.5500,276.3000,1375973
2023-11-02,278.7000,282.0000,268.0000,280.2500,574846
2023-11-03,286.8500,293.9500,280.6000,282.6500,1375482
2023-11-06,288.0000,292.0000,279.0000,280.1000,664977
2023-11-07,298.0000,302.8000,287.4000,294.9500,3074100
2023-11-08,294.9500,298.7000,290.6500,292.3000,482414
2023-11-09,290.6000,291.8000,283.6500,287.2000,229199
2023-11-10,289.6000,295.3000,288.3500,293.1500,728714
2023-11-13,295.5000,299.3500,290.6000,295.5000,477797
2023-11-15,297.9500,300.0000,291.6500,294.8000,349574
2023-11-16,295.8000,298.0000,284.0000,287.5500,486738
2023-11-17,288.5000,291.8500,283.0000,289.5000,430975
2023-11-20,291.9000,293.6000,271.4000,272.4500,996663
2023-11-21,274.4500,278.3500,270.8000,272.3500,406349
2023-11-22,273.0000,291.5000,271.1500,282.5000,1743413
2023-11-23,283.5000,290.9000,282.6000,290.0500,636954
2023-11-24,291.1000,312.7000,291.1000,304.4000,3567196
2023-11-28,306.3500,316.5000,306.0000,308.3000,1239971
2023-11-29,308.3000,319.6500,305.1500,309.7000,907270
2023-11-30,310.0000,310.0000,303.2000,309.3500,377057
2023-12-01,309.3500,313.9500,303.2000,306.6000,399451
2023-12-04,311.9000,313.7500,300.0500,301.2500,571136
2023-12-05,302.4500,319.6500,302.4500,312.0000,1291814
2023-12-06,313.9000,314.7000,302.0000,304.5000,434587
2023-12-07,305.7000,310.1000,302.1500,303.0500,280313
2023-12-08,303.5000,310.7000,295.1000,296.8000,577103
2023-12-11,298.0500,303.6000,292.9500,299.4000,423758
2023-12-12,299.4000,301.5000,291.2000,295.3000,379874
2023-12-13,296.4000,300.0000,292.6000,297.1500,453324
2023-12-14,297.4000,300.9500,294.0000,296.2500,399254
2023-12-15,297.0000,300.3500,292.6000,293.9500,260898
2023-12-18,293.0000,295.9500,287.9500,291.0500,362680
2023-12-19,292.5000,295.0000,286.0000,293.3000,342085
2023-12-20,295.0000,304.5000,270.0000,281.4000,676408
2023-12-21,278.3500,293.0000,276.3000,286.5000,402894
2023-12-22,289.0000,295.0000,289.0000,293.1500,276787
2023-12-26,296.9000,299.0000,293.4500,295.3500,373154
2023-12-27,295.3500,299.9000,288.1500,298.0000,487002
2023-12-28,297.0500,308.5000,292.6000,307.0000,686726
2023-12-29,307.5000,309.2500,303.0000,307.8500,403544
2024-01-01,308.5000,310.5000,295.0000,299.3500,357148
2024-01-02,298.0500,299.5000,288.0500,292.6000,314261
2024-01-03,292.6000,295.6500,289.3000,292.2500,282364
2024-01-04,294.2000,297.9000,289.0000,291.3500,277586
2024-01-05,291.0000,295.3500,286.2000,289.2000,310127
2024-01-08,290.7000,294.2500,287.8000,290.3000,256024
2024-01-09,292.5000,304.9500,289.0000,301.5500,676274
2024-01-10,307.0000,318.0000,295.9500,298.1000,2108440
2024-01-11,300.5000,304.6000,295.0000,296.5000,538192
2024-01-12,296.5000,298.4000,292.1000,293.1000,268243
2024-01-15,292.0000,292.9000,285.4500,286.9000,326637
2024-01-16,286.9000,288.9500,279.1500,280.8000,501661
2024-01-17,280.0000,284.3500,275.0000,276.5500,284389
2024-01-18,277.9000,282.1000,267.2500,279.4000,333691
2024-01-19,281.4500,283.4500,276.0000,277.3500,238948
2024-01-23,281.9000,285.0000,262.7000,268.3000,465437
2024-01-24,270.5000,276.5000,264.0000,275.2000,280924
2024-01-25,275.5000,279.9500,273.4000,276.5500,145705
2024-01-29,280.0000,285.0500,277.0000,282.6500,253842
2024-01-30,282.9500,283.3500,271.5000,273.9500,609881
2024-01-31,273.5000,282.4500,272.1000,278.1500,320147
2024-02-01,278.1500,279.4000,267.1000,268.9500,268360
2024-02-02,271.4000,274.8500,269.2000,272.9000,230344
2024-02-05,272.0000,275.3500,255.4500,258.6000,448880
2024-02-06,258.7000,269.5000,258.7000,262.5500,318303
2024-02-07,263.3500,277.0000,263.3500,271.3500,473809
2024-02-08,271.3500,273.4000,258.7000,261.6500,417921
2024-02-09,261.1000,266.6500,257.7000,260.6000,359937
2024-02-12,261.0000,272.8500,258.0000,269.5500,782935
2024-02-13,272.0000,275.0000,263.1500,268.0000,448556
2024-02-14,268.0000,274.4000,267.5000,268.4000,266153
2024-02-15,269.9500,277.8000,268.5000,273.4000,360192
2024-02-16,274.1500,276.9000,272.5000,274.6000,271378
2024-02-19,273.0000,276.1500,271.0500,274.8000,181535
2024-02-20,275.3500,294.4500,274.8000,291.7500,1288633
2024-02-21,296.7000,315.4000,294.5500,304.2000,3009601
2024-02-22,305.5000,309.3500,297.7500,305.3500,724021
2024-02-23,308.0000,327.3000,307.1000,323.9000,6375568
2024-02-26,327.5000,364.7500,327.0000,351.8500,9096513
2024-02-27,351.9500,354.3000,340.0500,341.6000,1677048
2024-02-28,341.6000,349.8500,332.0500,337.2000,887641
2024-02-29,337.2000,345.0000,325.9000,339.5500,568068
2024-03-01,340.2000,347.9500,333.0000,340.0000,842411
2024-03-04,340.0000,346.4500,323.5000,326.6000,527761
2024-03-05,323.0500,330.8500,320.0000,321.1000,337860
2024-03-06,321.0000,321.7500,288.9500,306.2500,933718
2024-03-07,306.9500,319.0500,306.6500,318.0000,272376
2024-03-11,320.9500,336.3500,302.6500,307.9000,617407
2024-03-12,307.9500,320.2000,303.9500,313.9500,501426
2024-03-13,321.0000,329.0000,290.0000,294.8000,1021466
2024-03-14,294.7500,324.9000,289.8000,320.4500,545169
2024-03-15,325.0000,332.0000,310.0000,326.9500,477753
2024-03-18,330.8500,334.9500,318.1500,322.8500,319636
2024-03-19,322.0000,325.0000,311.8500,319.9000,241366
2024-03-20,314.1000,318.8000,305.1500,306.7500,264396
2024-03-21,317.2500,319.0000,309.8500,314.4000,169419
2024-03-22,314.9000,326.8000,314.5000,324.3000,228854
2024-03-26,322.9000,349.9500,321.0000,346.9500,860972
2024-03-27,349.9000,358.8500,344.2500,356.9000,727228
2024-03-28,359.0000,360.0000,341.0500,354.1000,1373875
2024-04-01,359.0000,361.1500,338.0000,343.4500,1042658
2024-04-02,343.5500,355.5000,343.5500,349.3500,340588
2024-04-03,341.7000,355.5000,339.2500,345.6000,341378
2024-04-04,347.9500,379.9000,344.0000,374.4000,1440308
2024-04-05,378.0000,385.9000,366.1500,383.4500,1508130
2024-04-08,387.0000,394.0000,373.1500,381.1000,1060757
2024-04-09,383.8000,388.0000,372.0500,382.2000,558790
2024-04-10,388.0000,389.9000,382.0000,385.0500,352572
2024-04-12,385.0500,390.0000,380.1000,382.7000,664420
2024-04-15,355.4000,379.1500,352.0000,376.1000,485561
2024-04-16,371.2500,377.7000,365.7500,368.7000,197527
2024-04-18,368.9000,377.7500,365.2000,372.6500,264112
2024-04-19,365.0500,377.4500,365.0500,374.7500,217952
2024-04-22,377.7500,390.0000,375.0500,384.9000,304910
2024-04-23,385.5000,389.8000,376.9000,381.9000,240101
2024-04-24,381.9000,402.5000,381.0500,399.0000,1260226
2024-04-25,397.9000,400.0000,390.0000,398.2500,300261
2024-04-26,400.0000,404.0000,385.8000,397.6000,355065
2024-04-29,398.0000,405.0000,393.1000,397.7500,188727
2024-04-30,397.5500,405.0000,389.0000,392.7000,357668
2024-05-02,391.8000,393.7000,375.2500,376.9500,318249
2024-05-03,377.8500,401.4500,368.5500,398.7000,572660
2024-05-06,397.0000,400.7000,378.0000,389.2000,527246
