date,open,high,low,close,volume
2023-09-25,940.0000,946.9500,925.0000,927.3000,90307
2023-09-26,933.0000,933.0000,916.0000,917.4000,122604
2023-09-27,921.9500,925.6500,885.8000,891.9000,231152
2023-09-28,894.5000,908.0000,894.5000,898.3500,140320
2023-09-29,904.0000,916.1000,895.3500,898.5000,131045
2023-10-03,899.3500,900.9500,860.0000,862.6000,300984
2023-10-04,860.0000,864.7500,850.1500,859.7000,191381
2023-10-05,872.6500,874.0000,851.0000,856.5000,151731
2023-10-06,859.8000,864.0000,813.9500,823.4000,384685
2023-10-09,828.0000,828.9500,780.0500,785.4500,526548
2023-10-10,790.0000,796.0000,776.4000,779.7000,564919
2023-10-11,788.0000,839.8000,785.0500,807.3500,906194
2023-10-12,816.0000,821.9000,797.0000,799.3500,310114
2023-10-13,798.0000,803.3500,785.0000,798.3500,273477
2023-10-16,801.0000,814.7500,794.9500,799.8000,235801
2023-10-17,806.7000,811.7000,794.5000,799.2000,162415
2023-10-18,804.0000,807.0500,785.7000,787.4000,193482
2023-10-19,781.0500,802.4500,778.0500,793.8500,180086
2023-10-20,792.4000,846.5500,791.6000,833.0500,796660
2023-10-23,840.4000,840.4000,787.0500,791.2000,356905
2023-10-25,791.2000,808.2500,772.1000,780.5500,219030
2023-10-26,780.0500,794.4000,773.4000,780.2000,495162
2023-10-27,785.7000,824.4500,784.8500,800.2500,227559
2023-10-30,802.0000,805.9500,787.0500,793.8000,116502
2023-10-31,797.9000,808.9500,790.6500,799.3000,205820
2023-11-01,802.0500,820.8500,782.0000,784.8500,252893
2023-11-02,791.8000,797.3500,788.0000,790.4000,96866
2023-11-03,799.9000,805.0000,787.0500,790.4000,89817
2023-11-06,799.6500,841.0000,788.7000,836.7000,343594
2023-11-07,844.8000,888.8000,844.7500,873.5000,530108
2023-11-08,785.0500,827.2000,785.0500,808.4000,755213
2023-11-09,807.8000,819.1500,793.7000,804.2000,270637
2023-11-10,804.0000,821.8500,799.4500,808.6500,114303
2023-11-13,815.9000,815.9000,806.1000,808.4500,61939
2023-11-15,813.6000,819.6500,809.0000,814.4000,85197
2023-11-16,815.0000,815.0500,804.0000,805.3000,83729
2023-11-17,804.0000,810.9500,802.0000,808.0500,55315
2023-11-20,808.9500,812.8500,786.0000,789.9500,147016
2023-11-21,791.9000,794.5000,758.0000,769.1500,250446
2023-11-22,765.9000,802.8500,758.5500,782.0500,289197
2023-11-23,780.2500,786.5000,772.0000,773.7000,143482
2023-11-24,774.4000,779.7000,768.7000,773.2000,77050
2023-11-28,775.2000,787.0500,773.2000,775.0000,93821
2023-11-29,778.7000,806.9500,776.2500,793.8000,187579
2023-11-30,795.0000,803.6000,780.5000,782.4500,136676
2023-12-01,792.0000,795.6000,781.1000,784.9000,90797
2023-12-04,794.9000,798.3000,786.1500,788.0500,81160
2023-12-05,794.0000,797.2000,785.0500,791.5500,85397
2023-12-06,791.5500,812.1000,784.0000,793.5500,233776
2023-12-07,794.7000,818.9500,786.0500,802.4500,242346
2023-12-08,806.9000,818.1500,798.7000,802.9500,160593
2023-12-11,800.0000,813.2000,798.1500,799.9500,142231
2023-12-12,802.9500,806.0000,788.1000,790.9500,128288
2023-12-13,792.0000,801.9500,788.5000,789.6500,82650
2023-12-14,792.0000,814.9500,792.0000,804.1000,163055
2023-12-15,805.7500,811.0000,796.0000,798.4000,133954
2023-12-18,800.0000,838.3000,800.0000,821.1500,298268
2023-12-19,826.6500,868.0000,818.5500,853.1500,565070
2023-12-20,853.5000,876.0000,800.0000,810.5500,399173
2023-12-21,805.0000,828.9500,794.9500,826.3000,108419
2023-12-22,827.0500,846.9500,818.5500,829.1500,117176
2023-12-26,838.6000,838.6000,813.0000,820.0500,75022
2023-12-27,823.9500,852.0000,820.1000,833.8500,159519
2023-12-28,839.2000,842.7500,822.9000,824.0000,68343
2023-12-29,825.0000,836.0000,818.0500,830.1500,71932
2024-01-01,834.9500,843.9500,830.0000,833.7500,50042
2024-01-02,834.0000,842.2000,826.1500,838.0500,115424
2024-01-03,838.0000,848.4000,834.0500,837.7000,121953
2024-01-04,838.0500,863.4000,832.0000,834.8000,173491
2024-01-05,843.7000,843.7000,826.4000,830.6000,119519
2024-01-08,830.6000,836.6500,796.0000,797.4500,386985
2024-01-09,803.5000,804.0500,789.0500,790.1000,167284
2024-01-10,790.0000,791.4500,782.9000,785.1500,131450
2024-01-11,793.8500,793.9000,779.5000,782.0500,146405
2024-01-12,785.0000,786.9500,781.0000,783.8000,149180
