date,open,high,low,close,volume
2023-09-22,38.0000,39.0000,36.5500,38.0500,284333
2023-09-25,38.1000,38.9000,36.1500,37.2000,92663
2023-09-26,36.5500,37.0000,35.4000,35.6500,114420
2023-09-27,35.6500,36.9000,35.4000,36.3000,124479
2023-09-28,36.4500,37.7000,36.4500,36.7500,106527
2023-09-29,37.5000,37.5000,36.0500,37.3000,75834
2023-10-03,37.3000,37.9500,36.6500,37.3500,68179
2023-10-04,37.4500,37.8500,36.0000,36.3000,122648
2023-10-05,36.4000,36.8500,35.5000,35.8000,48868
2023-10-06,36.0000,36.6000,34.5000,35.7500,29904
2023-10-09,34.2500,35.3000,34.2500,34.2500,47408
2023-10-10,33.0000,34.6000,32.5500,34.1000,84489
2023-10-11,34.1000,34.6000,33.9000,34.0500,82098
2023-10-12,34.4500,35.1500,33.7500,34.2000,60826
2023-10-13,32.6000,34.9000,32.6000,33.5500,109722
2023-10-16,33.1500,35.2000,33.1500,34.9500,106805
2023-10-17,36.5500,36.6500,35.0000,35.8000,126631
2023-10-18,35.8000,36.0500,34.2000,34.9000,87368
2023-10-19,35.3500,35.3500,33.2500,34.5000,68676
2023-10-20,34.6000,35.1500,33.7000,34.0500,34881
2023-10-23,33.8000,34.0500,32.3500,32.3500,79166
2023-10-25,31.8000,32.8000,30.8000,31.0000,62469
2023-10-26,31.0000,31.0000,29.4500,30.5500,77283
2023-10-27,30.5500,32.0500,30.5500,32.0500,35766
2023-10-30,33.3000,33.3000,31.7000,32.4500,26546
2023-10-31,33.1500,33.7500,32.2000,32.3500,14614
2023-11-01,33.3000,33.3000,31.9000,32.5500,12515
2023-11-02,33.0000,33.2000,32.0000,32.7500,18663
2023-11-03,33.1000,33.1000,31.9000,32.4500,22109
2023-11-06,33.4500,33.4500,32.5000,32.5500,28706
2023-11-07,33.2500,33.3000,32.6000,32.9500,19403
2023-11-08,32.8000,33.2500,32.1000,32.7000,27622
2023-11-09,32.5000,33.8000,32.3500,32.8000,41162
2023-11-10,33.9000,34.0000,32.8000,33.2000,30426
2023-11-13,33.8000,33.8000,32.6000,33.7000,69499
2023-11-15,33.7500,33.7500,33.1000,33.6500,39358
2023-11-16,33.8500,33.8500,33.1000,33.2500,33158
2023-11-17,33.2000,33.7000,32.7500,32.9500,29423
2023-11-20,32.9500,32.9500,32.3500,32.6000,38573
2023-11-21,32.8000,33.5000,31.5500,33.0500,23178
2023-11-22,33.1000,33.4500,32.0000,32.9500,37094
2023-11-23,33.3000,33.3000,31.8000,32.3500,27099
2023-11-24,32.3500,32.9000,31.9000,32.1500,61530
2023-11-28,32.1500,33.0000,32.0000,32.5500,27033
2023-11-29,32.8500,32.8500,32.0000,32.1500,31265
2023-11-30,32.0000,32.6000,31.0000,31.4000,49620
2023-12-01,31.8000,32.0000,31.4000,31.5500,18226
2023-12-04,31.5500,32.9500,31.5500,32.1000,47661
2023-12-05,32.4500,32.7000,31.8500,32.3500,48122
2023-12-06,32.0500,32.6500,32.0500,32.4000,71413
2023-12-07,32.4000,33.5000,32.4000,33.1500,44944
2023-12-08,32.8000,33.9500,32.8000,33.8000,75037
2023-12-11,33.9000,35.4000,33.7000,35.0500,148754
2023-12-12,35.5500,35.7000,34.8000,35.0500,185867
2023-12-13,35.4000,35.7500,34.5000,35.5000,91938
2023-12-14,35.9500,36.3500,35.1000,35.4500,64103
2023-12-15,35.2000,35.9000,35.1000,35.4500,73587
2023-12-18,35.7500,37.0000,35.5000,36.6500,177821
2023-12-19,36.5500,38.1000,36.5500,37.6000,214115
2023-12-20,38.0000,38.5000,36.0000,36.6000,252530
2023-12-21,36.0500,38.4000,35.2500,38.3000,399922
2023-12-22,38.5500,40.2000,38.0500,40.1500,329483
2023-12-26,41.4500,42.0500,38.6000,39.3500,690649
2023-12-27,39.5000,40.4500,36.6500,37.2500,311482
2023-12-28,37.8500,39.1000,36.9500,37.6500,285173
2023-12-29,38.7000,39.3500,36.7000,38.0000,382162
2024-01-01,38.0000,40.0000,37.6000,39.1000,449107
2024-01-02,39.7000,40.0000,37.4500,38.1500,113270
2024-01-03,38.1500,38.8000,37.3000,38.0000,139775
2024-01-04,38.5500,40.4000,38.0000,39.7000,392781
2024-01-05,40.1000,40.7000,38.7500,39.5000,325780
2024-01-08,39.5000,39.9000,38.5500,38.8000,128060
2024-01-09,38.8000,45.8000,38.5500,43.4000,4208500
2024-01-10,44.3000,45.8000,42.6500,44.0500,2037561
2024-01-11,44.6000,45.7000,44.0500,45.0000,736480
2024-01-12,45.5000,46.4000,42.5000,43.2500,584593
2024-01-15,43.8000,43.9000,42.0500,42.8500,416684
2024-01-16,43.1500,43.5000,40.4000,40.8500,368048
2024-01-17,40.2500,43.0000,39.9000,41.4500,387421
2024-01-18,42.9000,43.1000,40.4000,41.8000,242111
2024-01-19,42.2500,42.9500,41.8000,42.1000,175655
2024-01-23,44.6500,45.7500,41.7000,41.9500,609201
2024-01-24,42.7000,45.4500,41.5000,43.7500,740202
2024-01-25,43.9500,44.9000,43.0500,43.3000,474119
2024-01-29,43.7000,51.9500,43.4500,51.9500,7618129
2024-01-30,53.9000,54.6500,49.2500,50.0500,3131419
2024-01-31,50.4500,52.4000,49.0000,49.4500,1040257
2024-02-01,49.4500,51.6000,47.6000,51.0500,1341015
2024-02-02,51.8000,52.2000,49.0500,49.8500,1014947
2024-02-05,50.2500,55.4000,49.8500,51.9000,2866989
2024-02-06,52.4000,60.6500,51.4500,59.1000,3866153
2024-02-07,58.4000,58.5500,55.4500,57.4500,1793867
2024-02-08,57.4500,58.0000,53.6000,54.2500,1237697
2024-02-09,54.4500,56.1000,52.0000,54.3000,744869
2024-02-12,54.8500,54.9000,47.2000,48.2000,467874
2024-02-13,48.2000,49.9500,47.0000,48.7500,570886
2024-02-14,48.5500,51.3500,47.5000,50.3000,346400
2024-02-15,50.9500,53.9000,50.9000,52.5500,722022
2024-02-16,52.9000,53.3000,51.2500,51.4500,308816
2024-02-19,51.8000,53.1000,51.5000,52.0500,193889
2024-02-20,52.0500,52.4500,51.0000,51.1500,141539
2024-02-21,51.2000,52.2000,49.0000,49.4000,277897
2024-02-22,49.3500,49.7000,48.0000,49.3500,185560
2024-02-23,49.8000,50.7000,49.0000,49.1500,175910
2024-02-26,49.5000,51.8000,48.8000,51.0500,516781
2024-02-27,51.5500,51.7500,49.4500,49.7000,149117
2024-02-28,49.7000,50.1500,47.1500,47.6500,157725
2024-02-29,48.3500,48.3500,46.1500,47.6000,157736
2024-03-01,48.2500,48.8500,47.8000,48.1000,125495
2024-03-04,48.7500,48.9500,46.8000,47.0000,117639
2024-03-05,47.3500,56.4000,47.0000,56.3000,6181218
2024-03-06,54.5000,54.9000,49.5000,50.0000,2160505
2024-03-07,50.2500,50.8500,49.0000,49.2000,471440
2024-03-11,49.3000,49.7500,46.1000,46.3500,390522
2024-03-12,46.7500,46.9000,43.8500,44.1500,342019
2024-03-13,44.3000,44.9500,39.2500,40.0500,431845
2024-03-14,39.5000,45.6000,39.5000,44.8000,588358
2024-03-15,45.4500,45.7500,42.0000,43.9500,233929
2024-03-18,43.4500,44.5000,42.3000,42.5500,110529
2024-03-19,41.6000,43.2000,41.1000,41.3500,111751
2024-03-20,41.6000,42.6000,39.9500,40.2000,149466
2024-03-21,41.1000,43.5000,41.1000,42.8000,178060
2024-03-22,43.0000,44.2000,42.5500,43.4000,102013
2024-03-26,43.4000,44.2000,42.6000,42.8500,131939
2024-03-27,42.5500,43.9500,42.1500,42.5000,111775
2024-03-28,42.6000,44.6500,42.5500,43.1500,246348
2024-04-01,43.2000,45.3000,43.2000,44.3500,194060
2024-04-02,44.3500,46.9000,44.3500,45.6500,223542
2024-04-03,45.7000,50.0000,44.8000,49.1500,509864
2024-04-04,50.0000,51.2500,49.5000,50.5500,362747
2024-04-05,50.5500,51.4000,49.8500,50.5500,199136
2024-04-08,50.0500,50.5000,48.2000,49.0000,133984
2024-04-09,48.6000,50.7000,47.3000,48.2000,191246
2024-04-10,48.9000,49.8000,48.2000,48.7500,155680
2024-04-12,48.0000,51.9500,47.1000,50.8000,665172
2024-04-15,49.3000,49.6000,47.2000,47.6500,291782
2024-04-16,47.5000,49.9000,47.2000,47.5500,165888
2024-04-18,48.7500,49.9500,47.8000,48.0500,112750
2024-04-19,46.6000,48.1000,45.5500,47.3000,254038
2024-04-22,48.0000,49.3000,47.5500,48.7500,258878
2024-04-23,50.6000,50.8000,48.1500,48.9500,393882
2024-04-24,49.3000,50.1000,48.2500,48.5000,150944
2024-04-25,49.2500,55.8000,48.5500,52.6500,4249867
2024-04-26,52.8500,54.0000,51.5000,52.0500,673833
2024-04-29,52.9500,52.9500,50.8500,51.8500,491283
2024-04-30,52.5000,52.6000,51.3000,51.9000,269481
2024-05-02,52.7000,52.9000,50.1500,50.3500,243617
2024-05-03,51.5000,51.6000,49.0000,49.8000,225660
2024-05-06,50.0000,50.4500,48.1000,48.6500,249119
2024-05-07,48.8000,49.3000,47.0000,47.4000,130836
