date,open,high,low,close,volume
2023-09-18,269.0000,273.4500,255.1500,256.9500,9930
2023-09-20,263.0000,263.7000,254.8500,257.4500,5672
2023-09-21,257.3500,259.6000,255.3500,256.3000,6402
2023-09-22,256.6500,262.4000,253.0000,256.5000,4341
2023-09-25,263.0000,263.0000,256.9000,257.1000,4921
2023-09-26,259.8500,260.0000,254.6000,255.3000,4053
2023-09-27,259.7500,263.9500,251.9500,258.1000,8854
2023-09-28,259.7000,261.9500,251.9500,252.9000,7808
2023-09-29,253.0000,264.0500,252.0500,262.9500,9409
2023-10-03,263.9500,268.5500,255.1000,256.7000,10313
2023-10-04,256.7000,259.9000,246.2000,248.4500,8576
2023-10-05,253.9500,256.4500,251.8500,253.8000,8821
2023-10-06,254.9500,257.0000,247.0500,249.5500,8652
2023-10-09,251.0000,251.0000,242.0500,243.7000,3731
2023-10-10,244.0500,265.6000,243.0000,250.7000,118320
2023-10-11,254.0000,254.0000,247.0000,250.3500,14722
2023-10-12,254.0000,259.0000,250.5000,254.0000,32160
2023-10-13,257.4000,257.4000,247.3000,251.4500,10617
2023-10-16,251.0000,251.8500,248.0000,249.2000,4696
2023-10-17,252.8500,254.0000,248.6500,252.5000,7263
2023-10-18,251.9000,252.7000,245.2000,247.8000,3733
2023-10-19,248.1500,250.8000,245.2000,246.5500,1762
2023-10-20,249.9000,252.9000,241.8500,245.9500,4045
2023-10-23,249.8500,249.9000,235.0000,237.7000,8339
2023-10-25,232.0000,240.4500,231.0000,231.8000,12804
2023-10-26,233.2000,235.4500,227.0000,229.6000,7696
2023-10-27,231.9500,238.0500,229.6000,232.9500,5858
2023-10-30,232.9000,234.9500,229.8000,230.0500,1669
2023-10-31,231.9000,234.4000,223.7000,226.5500,4426
2023-11-01,230.9500,231.0000,226.3000,227.6500,2647
2023-11-02,230.0000,232.9000,226.4000,228.2500,4231
2023-11-03,230.9500,231.8500,226.4000,227.5000,5300
2023-11-06,227.4500,238.9500,227.4500,235.7000,5663
2023-11-07,232.9000,235.0000,230.0000,230.7000,3237
2023-11-08,231.9500,234.9000,230.1000,233.6000,2007
2023-11-09,231.1500,240.0000,231.0000,237.9000,2768
2023-11-10,239.9000,239.9000,231.3000,235.1000,3526
2023-11-13,246.9500,255.0000,243.0000,246.8500,17574
2023-11-15,249.0000,257.0000,249.0000,252.6000,8807
2023-11-16,252.6500,259.0000,243.9000,250.4000,14870
2023-11-17,250.0000,252.0500,247.1000,249.1500,8849
2023-11-20,247.0000,253.4000,247.0000,248.7000,5590
2023-11-21,250.0000,252.9000,245.0500,245.4500,9125
2023-11-22,249.3500,252.0000,243.7500,248.6500,7657
2023-11-23,249.8500,259.0000,248.5500,252.9500,38426
2023-11-24,258.5500,267.5000,255.2500,264.9500,62083
2023-11-28,280.0000,283.9000,253.0000,256.6500,143916
2023-11-29,256.3000,258.0000,250.0000,252.0500,20482
2023-11-30,253.4000,254.9000,248.5500,253.0000,10983
2023-12-01,254.0000,256.6000,248.4500,251.5000,7971
2023-12-04,252.8000,254.8500,251.8500,252.3500,7443
2023-12-05,253.7000,253.7000,240.0000,242.9500,25445
2023-12-06,244.2000,248.7500,244.2000,246.2000,4816
