date,open,high,low,close,volume
2026-08-18,640.0000,640.0000,572.0000,585.5000,3563
2026-08-19,585.5000,601.0000,560.0000,587.3500,3093
2026-08-20,587.5500,594.5500,585.2000,590.4000,769
2026-08-21,609.7000,609.7000,589.9000,600.8500,2565
2026-08-24,595.0000,598.9000,575.2000,597.9000,1273
2026-08-25,599.9000,657.0000,582.0000,627.8500,17940
2026-08-26,624.7500,635.0000,607.0000,624.0000,1718
2026-08-27,607.0000,635.0000,607.0000,610.8500,1758
2026-08-28,611.0000,634.9500,608.0000,617.8500,1353
2026-08-31,639.0000,639.0000,592.3500,606.1000,1374
2026-09-01,610.0000,624.0000,600.0500,607.4500,3222
2026-09-02,615.0000,619.0000,590.3000,597.5500,2412
2026-09-03,587.0500,657.0000,587.0500,628.7000,13764
2026-09-04,636.0000,640.0000,615.1000,625.5500,3809
2026-09-07,639.0000,645.0000,630.0500,636.3500,4721
2026-09-08,649.8500,649.8500,624.9000,627.4000,2468
2026-09-09,630.0000,632.0000,615.5000,623.4500,2754
2026-09-10,654.0000,654.0000,616.1000,620.4500,2599
2026-09-11,617.0000,620.0000,603.0000,613.8500,3375
2026-09-14,613.8500,613.8500,613.8500,613.8500,0
2026-09-15,644.0000,644.0000,596.0000,611.7000,3603
2026-09-16,614.7500,625.0000,555.0000,606.5500,9015
2026-09-17,600.0000,666.9000,600.0000,643.1500,28600
2026-09-18,643.1500,668.0000,602.0000,620.0000,13991
2026-09-21,641.2000,641.2000,612.1000,614.6000,3491
2026-09-22,625.0000,640.0000,601.6500,607.2000,3087
2026-09-23,610.3500,622.4000,605.2500,614.9000,2170
2026-09-24,619.8500,634.8000,565.2500,614.0000,13353
