date,open,high,low,close,volume
2023-09-25,719.6500,734.0000,714.0000,728.5000,563077
2023-09-26,729.5000,739.7000,715.0000,717.4000,456443
2023-09-27,717.0000,724.0000,707.0000,718.0500,163774
2023-09-28,719.2500,731.7000,708.5500,712.8000,266458
2023-09-29,716.0000,719.5000,702.7000,706.3000,193800
2023-10-03,706.6000,714.9500,698.0500,701.3000,138448
2023-10-04,700.5000,700.9000,682.0000,689.9000,226541
2023-10-05,690.2500,708.0000,690.2500,706.4000,185834
2023-10-06,707.8500,714.7500,693.0000,697.1000,164230
2023-10-09,695.0500,708.9500,676.1000,687.9000,254974
2023-10-10,693.2000,705.0000,686.1000,687.9500,168073
2023-10-11,692.7000,704.8000,686.1000,688.1500,541405
2023-10-12,691.8000,703.9000,690.0500,693.2000,186061
2023-10-13,685.0000,692.5500,671.0000,676.6000,389203
2023-10-16,675.0500,692.1500,666.0000,671.2500,320617
2023-10-17,674.7500,681.0000,658.0000,670.7500,666083
2023-10-18,674.5500,709.0000,673.9500,693.7000,1391045
2023-10-19,695.0000,697.4000,681.6000,684.8500,192052
2023-10-20,689.8000,696.9500,671.0500,675.0500,296963
2023-10-23,671.0000,679.1500,627.2500,635.8000,516687
2023-10-25,639.0000,651.0000,628.6000,644.4500,304375
2023-10-26,639.9500,662.9000,625.0000,658.3500,336125
2023-10-27,669.0000,670.7500,640.0500,644.1500,441117
2023-10-30,630.0000,695.5000,630.0000,679.4500,1769726
2023-10-31,682.0500,712.9500,674.9500,679.3000,957057
2023-11-01,682.5000,693.5000,660.9500,664.3500,319800
2023-11-02,671.0000,677.0000,649.0000,651.8500,269768
2023-11-03,656.9000,666.3500,646.5000,658.1000,238714
2023-11-06,661.0000,671.7500,655.0000,665.8000,262718
2023-11-07,666.0000,671.5500,655.1500,664.3000,212759
2023-11-08,669.0500,671.2000,657.2000,662.9500,172619
2023-11-09,664.8000,684.0000,662.0000,665.3000,499797
2023-11-10,658.2000,670.0000,658.2000,661.2500,114297
2023-11-13,670.9500,672.2500,663.8500,667.5500,83520
2023-11-15,675.0000,695.0000,673.8000,689.9000,467428
2023-11-16,693.0000,701.8000,688.0500,694.8500,290698
2023-11-17,696.0000,701.0000,685.5000,689.6500,209147
2023-11-20,688.0500,697.9000,683.5000,687.1500,155142
2023-11-21,690.2500,707.0000,688.2000,699.6000,283521
2023-11-22,703.0000,705.4500,693.0000,701.5500,179876
2023-11-23,704.0000,718.9500,695.0000,696.1000,359308
2023-11-24,699.0000,716.8500,698.9000,710.2000,321698
2023-11-28,711.2000,723.9000,700.0000,701.9000,265133
2023-11-29,704.9500,711.6000,695.0500,697.8500,192139
2023-11-30,699.9500,745.7500,698.5000,734.4500,1964070
2023-12-01,750.0000,781.9000,740.2500,745.0500,1679577
2023-12-04,751.3000,779.5000,746.1000,754.1500,915340
2023-12-05,756.0000,763.9500,740.0000,746.6500,274282
2023-12-06,748.5000,766.1000,744.9000,750.2500,381954
2023-12-07,755.9500,757.9000,743.0000,745.8500,220235
2023-12-08,747.8500,760.0000,737.0500,748.5500,403996
2023-12-11,750.3000,790.0000,750.3000,779.6500,1465172
2023-12-12,782.9500,799.4500,772.0000,777.6500,614697
2023-12-13,782.9000,804.7000,771.0000,777.8000,663931
2023-12-14,785.6000,798.4500,775.9500,778.3500,361359
2023-12-15,783.0000,817.0000,783.0000,800.3500,1299192
2023-12-18,800.0000,814.1500,795.8000,799.7000,603183
2023-12-19,804.6500,806.1000,791.7500,798.1000,173848
2023-12-20,801.0000,809.7500,761.1000,770.9500,343190
2023-12-21,758.9000,779.8000,748.2500,776.2500,220655
2023-12-22,780.9000,814.7000,780.9000,811.7000,887892
2023-12-26,813.0000,829.9000,806.3500,823.8500,523146
2023-12-27,824.5000,842.0000,821.5500,834.3500,435572
2023-12-28,840.5000,842.7000,822.0500,834.8500,302795
2023-12-29,833.0000,843.9500,827.0000,836.6000,219437
2024-01-01,835.0000,837.0000,826.0000,829.0500,111419
2024-01-02,833.5000,841.0500,799.3000,819.1500,732411
2024-01-03,818.0000,844.0000,815.0000,826.8000,568706
2024-01-04,828.0000,846.8000,817.0000,818.6000,236926
2024-01-05,824.1000,827.3500,814.0000,822.5000,207583
2024-01-08,822.5000,825.0000,800.0000,807.5500,196374
2024-01-09,814.9000,827.0000,812.1500,823.5500,160460
2024-01-10,824.0000,830.9000,806.0000,811.7000,215352
2024-01-11,814.0000,821.6000,807.0000,808.6500,202474
2024-01-12,815.5000,837.4500,814.0000,816.7000,604755
2024-01-15,823.0000,840.0000,819.9500,831.3500,359406
2024-01-16,834.0000,857.9500,831.0000,853.8000,892118
