date,open,high,low,close,volume
2023-11-29,50.0000,60.0000,50.0000,60.0000,579810954
2023-11-30,64.3000,68.9000,60.5500,65.3000,391471914
2023-12-01,67.0000,68.4000,62.3000,62.7500,144125388
2023-12-04,64.9000,65.9000,63.1500,64.5500,59388902
2023-12-05,64.9000,65.0000,62.8500,63.0500,36397214
2023-12-06,63.5000,64.9500,61.5000,64.1500,47249714
2023-12-07,64.1500,64.8500,63.4500,64.2000,23388127
2023-12-08,64.2000,73.7000,64.2000,70.8500,232352550
2023-12-11,74.0000,85.0000,73.4000,85.0000,193564938
2023-12-12,94.0000,102.0000,92.5500,101.8500,352556081
2023-12-13,104.6000,112.0000,98.9000,112.0000,200767357
2023-12-14,121.3000,123.2000,113.8000,120.3000,233953872
2023-12-15,120.4000,121.0000,108.3000,108.3000,107529568
2023-12-18,102.0000,114.2000,98.3000,110.7500,167648627
2023-12-19,113.0000,116.2000,111.3500,112.4500,47989953
2023-12-20,114.0000,114.7000,103.3000,104.9500,54934849
2023-12-21,102.0000,111.2500,100.0000,109.9000,50301973
2023-12-22,111.3000,111.8000,108.2500,109.8500,25157149
2023-12-26,103.8500,105.7500,100.3500,101.9500,98548301
2023-12-27,104.0000,104.3500,97.3500,99.8000,55795339
2023-12-28,99.8500,100.7000,95.5500,97.3000,51912306
2023-12-29,97.5000,105.6500,96.0000,102.8000,85731200
2024-01-01,103.3500,107.5500,102.1000,104.6500,49275011
2024-01-02,105.3000,105.4000,101.7500,103.5000,23688907
2024-01-03,103.5000,103.5500,100.2000,101.8000,24148229
2024-01-04,102.7000,106.2500,102.4500,104.4000,37518306
2024-01-05,105.0000,107.2500,104.0000,105.1000,32759854
2024-01-08,105.8000,106.3000,103.1500,103.9000,22377695
2024-01-09,104.7000,104.8500,102.6000,103.3000,14941191
2024-01-10,103.5000,103.8000,101.2000,102.8000,14828774
2024-01-11,103.4000,106.4000,103.0000,103.4000,19177567
2024-01-12,104.3000,112.5000,103.8000,110.7500,82669666
2024-01-15,110.7500,110.7500,110.7500,110.7500,0
2024-01-16,125.0000,127.4000,116.7500,119.5000,109786020
2024-01-17,118.5500,125.6000,114.3000,124.2000,81578431
2024-01-18,125.0000,126.4000,116.0000,123.0500,55701971
2024-01-19,124.2000,135.3500,123.7000,135.3500,111113228
2024-01-23,156.2500,156.2500,144.1000,154.0500,120793026
2024-01-24,157.5000,161.7500,148.5500,161.7500,73799763
2024-01-25,167.0000,169.8000,166.0000,169.8000,9149447
2024-01-29,177.8000,178.2500,175.9000,178.2500,7515722
2024-01-30,184.8000,187.1500,169.4000,173.1500,100689188
2024-01-31,174.9000,181.8000,169.6000,181.8000,51527355
2024-02-01,183.0000,190.8500,177.8000,185.8000,119539925
2024-02-02,191.4000,195.0500,186.3000,195.0500,59779078
2024-02-05,203.9000,204.8000,193.2000,204.8000,27925173
2024-02-06,214.8000,214.8000,198.0500,209.4500,71926776
2024-02-07,213.1500,213.1500,199.0000,199.0000,40621079
2024-02-08,190.0000,191.9500,189.0500,189.0500,8349479
2024-02-09,179.6000,179.6000,179.6000,179.6000,4080213
2024-02-12,170.6500,170.6500,170.6500,170.6500,3358365
2024-02-13,162.1500,162.1500,162.1500,162.1500,2750096
2024-02-14,154.0500,170.2500,154.0500,168.6500,53059961
2024-02-15,177.0500,177.0500,177.0500,177.0500,5249920
2024-02-16,175.0000,185.7000,171.3500,177.9500,74074391
2024-02-19,179.0000,182.3000,173.7000,178.3500,24033651
2024-02-20,179.6500,179.8000,174.2500,175.0500,12824200
2024-02-21,172.4500,176.3000,166.3000,166.3000,30569754
2024-02-22,167.0000,171.5000,160.0000,167.8000,27560147
2024-02-23,160.6000,162.0500,159.4500,159.4500,15227080
2024-02-26,151.5000,151.5000,151.5000,151.5000,7605436
2024-02-27,146.6000,159.0500,146.6000,154.9000,154589413
2024-02-28,156.8000,158.5000,148.1000,149.2500,30930219
2024-02-29,149.7500,152.6000,141.8000,150.0500,62619592
2024-03-01,153.4500,157.5500,150.8500,157.2500,24614814
2024-03-04,160.8000,160.8000,152.8500,152.9000,20299727
2024-03-05,151.0000,154.2500,146.0000,146.8000,22487081
2024-03-06,147.2000,149.6000,140.0000,141.7500,28753729
2024-03-07,142.0500,148.8000,140.1500,147.9500,22757080
2024-03-11,148.9000,148.9000,140.8000,141.1000,17124387
2024-03-12,143.5000,143.5000,134.0500,134.0500,32417965
2024-03-13,133.7500,136.5000,127.3500,127.3500,33355997
2024-03-14,122.5500,133.4000,121.0500,132.3000,64900398
2024-03-15,130.0000,133.4000,126.7000,128.7500,22010436
2024-03-18,129.5500,135.0000,127.8000,133.1500,20658376
2024-03-19,132.0000,132.8000,128.6500,129.3500,12511667
2024-03-20,128.0000,129.9000,124.4000,125.8000,14062942
2024-03-21,127.2500,132.0500,126.5000,132.0500,19716558
2024-03-22,133.7000,138.6500,132.2000,138.6500,22898920
2024-03-26,141.4000,144.4500,139.3500,140.7500,21428828
2024-03-27,142.9000,144.4000,135.0000,136.0000,23110828
2024-03-28,138.2500,139.5000,135.5000,135.9000,13307678
2024-04-01,138.0000,142.6500,137.7000,142.6500,15806364
2024-04-02,146.4500,149.7500,146.4500,149.7500,10211472
2024-04-03,148.8500,157.2000,147.1000,157.2000,26027259
2024-04-04,163.8500,165.0500,154.5000,158.3500,54231026
2024-04-05,162.0000,181.1500,161.0000,176.4500,142812761
2024-04-08,182.0000,183.6500,170.8500,174.3000,59008202
2024-04-09,175.2000,175.2000,166.7000,169.2500,34261082
2024-04-10,169.4500,170.4500,165.0000,166.4000,18676248
2024-04-12,165.4000,173.0000,164.2500,167.2000,27576778
2024-04-15,160.3000,163.1000,153.2500,158.6000,44926047
2024-04-16,156.0000,163.5000,155.5000,160.0500,22634141
2024-04-18,164.0000,169.7000,162.5000,163.1500,30562725
2024-04-19,160.0000,162.9500,157.1500,160.7000,20720974
2024-04-22,179.0000,179.0000,169.2500,170.5000,62935305
2024-04-23,172.5000,172.5000,167.5000,167.9500,26323408
2024-04-24,168.5500,170.9500,165.6500,166.6000,21484168
2024-04-25,166.5000,170.4000,165.4000,167.2500,17047847
2024-04-26,168.4000,174.6500,166.8000,170.6500,40701192
2024-04-29,187.1000,192.2000,180.1000,181.4000,103326709
2024-04-30,182.7000,184.3000,177.4500,178.2500,31699020
2024-05-02,179.4500,184.4500,176.2500,181.4000,32180611
2024-05-03,182.8000,183.7000,177.7000,179.6500,18860176
2024-05-06,178.8000,178.8000,167.5500,172.2500,35683685
2024-05-07,172.2500,173.8500,166.2000,167.7000,18264182
2024-05-08,165.6500,174.0000,165.1000,170.9000,20738689
2024-05-09,171.4500,171.9500,163.7500,164.8000,12181730
2024-05-10,166.0000,167.4000,160.5500,164.7000,13237010
2024-05-13,165.0000,165.2000,158.7000,163.1000,12640558
2024-05-14,164.5000,174.7500,164.0000,173.1500,20644658
2024-05-15,175.0000,175.9000,171.1000,172.0000,14330210
2024-05-16,173.9500,174.2500,170.5000,171.1500,11865626
2024-05-17,171.9500,178.5000,170.7000,174.9500,26994094
2024-05-21,177.0000,184.8000,174.6000,183.6500,47989916
2024-05-22,186.0000,193.1500,182.5500,188.8500,73020031
2024-05-23,189.2000,194.6000,187.2000,189.0500,40572853
2024-05-24,189.7000,194.4500,184.2000,185.5500,33110360
2024-05-27,190.5000,196.8000,190.5000,193.3000,46470616
2024-05-28,194.8000,196.2000,182.3500,184.9000,38059308
2024-05-29,183.0000,186.3000,178.5000,185.2500,23919211
2024-05-30,185.0000,185.8000,180.8500,181.3000,15258803
2024-05-31,182.5000,186.0000,176.1000,184.8000,24117438
2024-06-03,200.0000,200.2500,189.4000,191.9000,45427419
2024-06-04,190.0000,190.0000,154.0000,167.4500,87754131
2024-06-05,168.0000,174.7000,155.0000,172.7000,43855047
2024-06-06,176.5000,182.0000,175.7500,178.3000,22320317
2024-06-07,178.6500,182.5000,174.8500,180.8500,19795848
2024-06-10,182.2500,182.7000,178.0000,178.5500,14840898
2024-06-11,180.7000,183.0000,178.6000,180.2300,16956779
2024-06-12,180.4500,186.1400,179.9200,182.5800,20214465
2024-06-13,183.5000,184.0000,179.2600,180.0600,12309733
