date,open,high,low,close,volume
2023-09-18,143.1500,144.0000,139.4500,140.8500,80719
2023-09-20,141.8000,150.0000,138.6000,147.6000,211282
2023-09-21,147.5000,147.6000,140.0000,141.2500,21531
2023-09-22,142.3500,143.9500,137.1500,139.0000,21520
2023-09-25,140.1000,149.8500,138.2000,147.4000,91410
2023-09-26,148.3000,152.8000,144.3000,146.3000,68206
2023-09-27,147.4000,147.4000,141.0000,142.3000,22561
2023-09-28,144.1500,144.4500,139.8500,140.9500,23684
2023-09-29,143.0500,143.6000,140.5500,142.4000,9106
2023-10-03,142.4000,146.6000,141.2000,142.9500,17465
2023-10-04,147.0000,147.0000,138.8500,139.9500,12664
2023-10-05,140.5500,142.1500,134.6000,135.1000,38147
2023-10-06,138.5000,138.5000,133.0000,133.4500,44940
2023-10-09,132.0500,134.5000,129.0000,130.8000,45133
2023-10-10,133.0500,133.5500,130.5000,131.0000,35967
2023-10-11,131.0000,133.4000,130.4500,131.5000,33630
2023-10-12,132.8000,134.5000,131.0500,133.4500,27720
2023-10-13,133.8000,136.1000,131.6500,132.7500,30087
2023-10-16,135.8500,135.8500,131.6000,132.9500,7491
2023-10-17,135.5500,135.5500,129.6500,129.9500,16714
2023-10-18,133.7500,134.3500,131.0000,132.4000,23625
2023-10-19,134.0000,134.0000,130.4000,132.2000,7770
2023-10-20,133.9000,133.9000,128.2500,129.0500,11182
2023-10-23,128.3000,129.6000,123.0000,124.6500,13961
2023-10-25,121.4000,143.9500,121.4000,126.6000,225839
2023-10-26,128.0000,128.0000,112.2000,123.2500,117897
2023-10-27,124.7500,132.1500,124.7500,128.8000,23667
2023-10-30,125.6000,130.6500,125.6000,126.4000,8396
2023-10-31,128.4000,128.4000,120.7500,121.5000,58679
2023-11-01,123.0000,123.5000,119.7000,120.2500,11412
2023-11-02,124.0500,127.8000,121.1000,125.2000,114938
2023-11-03,126.8500,128.6000,123.6000,125.6000,24912
2023-11-06,127.0000,127.0000,119.1000,120.1500,69829
2023-11-07,121.0000,123.4500,119.7000,121.5000,29863
2023-11-08,123.4500,123.4500,121.0000,121.7500,6917
2023-11-09,124.0000,129.4000,121.0000,126.5500,63670
2023-11-10,123.1500,126.4500,123.1500,123.8000,9822
2023-11-13,127.0000,127.0000,125.1000,125.8000,8853
2023-11-15,126.6000,129.4000,125.8000,128.0000,12604
2023-11-16,128.5000,128.9000,125.0500,127.1500,11877
2023-11-17,128.0000,128.7000,124.4500,125.2500,11515
