date,open,high,low,close,volume
2023-09-25,426.6678,428.3047,422.0939,426.1863,6005673
2023-09-26,427.1492,428.0158,423.3938,426.0418,5533023
2023-09-27,426.0418,433.1193,422.5272,432.4934,10894817
2023-09-28,433.2637,433.2637,423.2975,424.4049,10610213
2023-09-29,425.6086,429.0750,422.9124,427.9195,8474326
2023-10-03,424.6456,426.4752,422.9605,423.4420,7770032
2023-10-04,423.4420,425.3197,417.2312,419.9273,13912656
2023-10-05,423.6827,424.1642,418.9163,419.8792,10416552
2023-10-06,421.6124,427.1492,420.4569,425.7530,8742804
2023-10-09,424.5975,426.7640,421.0347,424.1160,5827256
2023-10-10,424.1160,428.3528,424.1160,427.9195,5207891
2023-10-11,430.6157,432.7823,428.3047,431.6268,7946195
2023-10-12,432.9749,435.7191,429.6046,433.9859,12227957
2023-10-13,433.1674,435.0451,430.4231,431.7231,7926432
2023-10-16,431.3860,434.2748,429.6528,432.3008,4377288
2023-10-17,433.1193,437.6450,432.3489,436.6339,7203352
2023-10-18,437.4042,441.2078,434.2748,434.9007,7160492
2023-10-19,433.0711,438.0302,430.2787,433.6970,9830006
2023-10-20,428.4973,432.3489,421.1310,422.0457,13521824
2023-10-23,421.7569,423.6346,417.0386,419.7347,7555671
2023-10-25,420.6977,421.7569,411.2130,416.6534,11308597
2023-10-26,413.6202,420.4088,413.6202,418.2422,19525305
2023-10-27,418.2422,420.6014,416.1720,417.6645,13638258
2023-10-30,418.4348,420.9384,412.4648,414.4869,7911426
2023-10-31,414.0536,417.2793,412.0314,412.5129,8952141
2023-11-01,414.0536,415.1128,409.7204,412.2240,8297973
2023-11-02,414.1017,416.6534,412.7536,415.1609,8465990
2023-11-03,416.7497,418.2904,415.1128,417.1830,14334179
2023-11-06,417.4238,420.6014,416.5090,419.2051,7589690
2023-11-07,418.7719,418.7719,416.1238,416.6534,5321353
2023-11-08,417.0867,421.2754,416.2682,420.7458,7248663
2023-11-09,421.5643,421.7569,417.8089,418.2904,8085620
2023-11-10,418.2904,421.7569,416.4608,420.3607,4236307
2023-11-13,422.1420,422.1420,418.8681,419.8311,3888975
2023-11-15,421.8532,426.0900,421.2754,425.5604,7722827
2023-11-16,425.5604,428.0158,421.3717,422.3828,11276031
2023-11-17,422.9605,425.1271,422.0457,422.9605,6911592
2023-11-20,423.5383,423.9716,418.3867,420.6014,4502356
2023-11-21,420.9384,423.0087,419.3496,420.0718,6228803
2023-11-22,420.7940,424.0679,418.6755,423.3938,5074887
2023-11-23,424.5975,425.8493,421.9976,424.0197,6611803
2023-11-24,424.6456,425.8493,420.6495,421.5643,7084608
2023-11-28,421.7569,422.7198,418.7719,419.1089,9082513
2023-11-29,419.8311,422.2383,418.0497,420.9865,14316126
2023-11-30,420.5051,422.1902,418.3867,419.6385,15710110
2023-12-01,421.6606,434.2266,421.1791,433.1193,20081576
2023-12-04,438.1264,439.4745,434.2748,437.2117,13293194
2023-12-05,438.1264,440.8226,433.4081,434.9969,12603697
2023-12-06,437.0672,447.2741,435.3340,446.0705,21203900
2023-12-07,447.5149,447.5630,440.4374,441.1115,11746535
2023-12-08,442.8929,444.4817,431.8675,432.4934,19386851
2023-12-11,434.7562,436.7784,432.6378,435.6710,6854157
2023-12-12,437.3561,442.9410,435.5747,436.2969,10549319
2023-12-13,439.3782,441.8336,436.2969,438.7523,11718443
2023-12-14,442.9410,443.9039,432.7823,443.0373,14924265
