date,open,high,low,close,volume
2023-09-18,272.0000,277.9700,266.4000,267.8400,13530
2023-09-20,267.4000,269.4600,262.0000,265.0900,14470
2023-09-21,261.4000,268.8000,261.4000,265.9300,11920
2023-09-22,265.1600,265.1600,260.0000,261.6100,28045
2023-09-25,262.4000,267.7700,262.0100,266.2800,7485
2023-09-26,276.4000,276.4000,268.8100,273.3400,21000
2023-09-27,275.6000,275.6000,264.4200,270.3500,18605
2023-09-28,273.7100,274.7900,267.3000,268.9100,13445
2023-09-29,268.2200,273.2000,267.6100,269.0700,11215
2023-10-03,269.3900,276.0000,266.0300,269.9800,18695
2023-10-04,273.9500,276.2000,269.6800,273.5800,17275
2023-10-05,270.2200,289.9600,270.2200,288.8600,52995
2023-10-06,290.0000,306.7200,282.0000,300.8200,311530
2023-10-09,296.0000,299.9800,282.4000,287.8600,46060
2023-10-10,290.0000,300.5800,290.0000,296.8900,90775
2023-10-11,297.7800,300.0000,284.2000,287.3100,36120
2023-10-12,292.5200,299.6000,291.7700,294.8900,31635
2023-10-13,297.4900,300.0000,293.2200,295.8500,18060
2023-10-16,296.9600,300.0000,293.6100,299.1000,27155
2023-10-17,299.8000,300.2400,297.2000,299.3200,61450
2023-10-18,299.3200,300.0000,292.0100,295.8000,15305
2023-10-19,292.0200,294.9800,286.8800,287.8400,33450
2023-10-20,288.1600,294.6400,275.4900,277.4000,45220
2023-10-23,282.0000,282.9500,266.0000,267.4700,43415
2023-10-25,267.4700,272.3800,258.5000,263.2500,34715
2023-10-26,261.6000,274.8000,250.2000,267.4900,69415
2023-10-27,273.8000,281.9800,270.0200,274.2800,24050
2023-10-30,280.0000,280.0000,270.4000,271.5100,4475
2023-10-31,271.6500,274.0000,270.0100,272.7500,5690
2023-11-01,268.6600,280.0000,267.6100,276.8100,10820
2023-11-02,279.6500,282.0000,271.6800,275.8700,11955
2023-11-03,279.6000,284.1800,277.9900,280.8800,33975
2023-11-06,285.9800,288.8000,277.9100,280.4800,54895
2023-11-07,275.2000,280.2800,274.9700,276.7900,26720
2023-11-08,285.0000,285.0000,261.0000,271.8100,24665
2023-11-09,271.8100,279.9600,271.8100,275.5500,21245
2023-11-10,274.8000,277.5900,269.0100,270.4200,19305
2023-11-13,277.8300,278.0000,265.0000,267.8200,41835
2023-11-15,276.8000,276.8000,260.0000,265.7400,18035
2023-11-16,266.0600,272.9900,264.8500,265.2500,50535
2023-11-17,265.3600,269.1700,262.2000,264.3400,25570
2023-11-20,264.0000,268.3800,261.7600,264.8700,16905
2023-11-21,268.1200,270.2000,263.0000,265.1900,46560
2023-11-22,263.2000,268.3800,263.2000,264.8400,12580
2023-11-23,264.7800,266.2800,262.6000,263.2400,27405
2023-11-24,265.2100,265.2100,262.2000,262.7700,8215
2023-11-28,262.7700,264.7600,262.4000,262.8000,6145
2023-11-29,267.0000,267.0000,261.8000,262.0300,6470
2023-11-30,262.0000,266.0000,258.9000,261.2600,25150
2023-12-01,266.0000,283.3100,258.0900,278.3200,88670
2023-12-04,289.5800,300.8000,283.1600,296.6500,145315
2023-12-05,303.8900,303.8900,294.0200,298.9200,74370
2023-12-06,301.6000,302.0000,289.9200,298.6100,36290
2023-12-07,294.2000,295.6200,292.3300,294.0400,11760
2023-12-08,297.9900,300.0900,295.0200,297.7500,134160
2023-12-11,308.0000,308.0000,294.5200,297.5300,67890
2023-12-12,300.2000,306.0000,297.4000,299.2900,95470
2023-12-13,300.0800,302.1900,294.0000,295.0700,16235
2023-12-14,297.5900,300.3200,295.2000,297.0800,48400
2023-12-15,296.0000,297.0000,290.8200,292.4500,24680
2023-12-18,292.4500,295.7700,287.4500,289.0500,27900
2023-12-19,290.1800,290.1800,284.2000,284.7800,34775
2023-12-20,283.8000,286.5300,279.6000,280.0100,30110
2023-12-21,278.9000,300.8200,274.0200,299.3900,81885
2023-12-22,299.3900,310.0000,296.0000,304.2400,133260
2023-12-26,309.9600,325.4000,308.6000,317.3500,261915
2023-12-27,320.9600,322.9900,310.4200,314.5700,81525
2023-12-28,317.7200,317.7200,312.5900,314.8500,42265
2023-12-29,314.8500,315.0000,310.7700,312.8800,30450
2024-01-01,312.8800,312.8800,308.4400,312.4500,34270
2024-01-02,312.0000,315.0100,310.0600,313.8000,31835
2024-01-03,317.5700,319.0200,302.0000,305.4900,68605
2024-01-04,304.2000,310.0000,304.0200,304.8900,16615
2024-01-05,305.2600,309.0000,299.8300,304.2600,98045
2024-01-08,304.2000,313.9900,304.2000,310.1500,114865
2024-01-09,311.7000,313.2500,306.9200,309.2200,55315
2024-01-10,309.2000,310.3000,294.6200,302.3100,93455
2024-01-11,303.3100,307.6100,296.4600,299.2300,52990
2024-01-12,299.5900,302.4400,293.0800,295.7700,38230
2024-01-15,296.0100,309.8000,294.9100,306.9500,90010
2024-01-16,310.8200,354.0000,307.6900,334.5500,779240
2024-01-17,351.9800,356.0000,332.0000,334.7800,1074600
2024-01-18,336.2000,341.4300,327.6700,335.1800,195955
2024-01-19,335.4200,350.0000,335.4200,339.5900,303140
2024-01-23,369.6000,369.6000,345.0000,348.7400,205420
2024-01-24,349.9600,351.6000,344.5600,349.9100,104970
2024-01-25,350.0000,356.0000,347.4000,350.4900,76260
2024-01-29,357.9900,357.9900,343.8100,345.1300,132245
2024-01-30,348.0000,352.1500,330.2000,348.2800,93520
2024-01-31,350.0000,371.0000,346.7700,360.6200,509660
2024-02-01,361.6000,364.0000,355.0300,356.7700,119145
2024-02-02,359.9900,367.2200,357.0000,361.1700,322240
2024-02-05,379.9000,383.5800,344.8700,350.2200,322990
2024-02-06,355.8000,357.4100,346.4200,348.9000,87885
2024-02-07,355.9600,356.9100,350.1000,351.8600,53790
2024-02-08,352.8600,359.4200,347.8000,349.2400,56960
2024-02-09,350.0000,352.8900,337.0000,341.8300,53705
2024-02-12,349.8000,352.3700,334.0100,337.6900,80505
2024-02-13,341.2000,344.4000,326.3600,339.5900,128840
2024-02-14,343.6000,343.6000,335.8900,337.7500,67510
