date,open,high,low,close,volume
2023-09-22,106.9000,109.5500,104.7000,106.8500,256430
2023-09-25,107.6500,110.3000,106.9500,107.6500,167597
2023-09-26,108.4000,110.8000,106.0000,106.5500,151726
2023-09-27,107.2000,116.5000,106.6500,110.9000,1086376
2023-09-28,111.4500,111.4500,108.1000,108.5000,151346
2023-09-29,109.6000,110.7000,107.5000,108.5000,120870
2023-10-03,108.0000,111.0000,107.0000,107.9500,131161
2023-10-04,107.9000,112.7000,107.2000,108.6500,226434
2023-10-05,109.5000,112.2000,108.1500,108.6500,109391
2023-10-06,109.0500,113.3500,109.0000,109.4000,108268
2023-10-09,108.0000,108.6500,101.1000,102.4000,172736
2023-10-10,102.5500,104.9000,102.5500,103.6500,66041
2023-10-11,104.4500,106.0000,103.5000,103.9500,51811
2023-10-12,104.6000,106.4500,104.1000,104.6000,56451
2023-10-13,104.6000,105.3500,103.0000,103.4000,54159
2023-10-16,104.3000,105.3000,103.5000,103.7000,59146
2023-10-17,103.9000,109.3500,103.9000,104.8500,201040
2023-10-18,106.9000,108.0500,102.8000,103.1000,159937
2023-10-19,102.6000,103.6000,102.0000,103.0500,58621
2023-10-20,103.1000,104.7000,100.5000,101.3000,96839
2023-10-23,102.2500,102.2500,93.3000,94.0500,190243
2023-10-25,95.0000,96.2500,91.7000,93.9500,83824
2023-10-26,94.0500,94.1000,90.1000,93.4500,61617
2023-10-27,93.4500,98.0000,93.4500,97.5000,53758
2023-10-30,97.7000,98.8500,96.0000,97.5000,34167
2023-10-31,98.1000,98.8000,97.2500,97.5500,27068
2023-11-01,97.4000,98.9500,95.8500,96.6000,29938
2023-11-02,98.1000,99.7500,97.0000,98.5500,46591
2023-11-03,98.7000,99.7500,97.3500,98.0500,41818
2023-11-06,99.1000,101.9500,98.9000,99.9500,126649
2023-11-07,100.5000,100.5000,99.0000,100.0500,24294
2023-11-08,100.1000,101.0500,97.5500,98.4500,71551
2023-11-09,99.0000,99.8000,97.5500,97.7500,39173
2023-11-10,97.8000,98.3000,95.5500,96.5500,37537
2023-11-13,95.3500,97.5000,95.3500,95.9500,32428
2023-11-15,96.5500,97.4500,95.1000,96.7000,33714
2023-11-16,98.0000,101.1500,97.6500,98.4000,180522
2023-11-17,98.4000,101.0500,98.1500,99.4500,117428
2023-11-20,99.9000,100.8500,98.4500,98.8500,82846
2023-11-21,100.7000,100.7000,99.0500,99.5500,26689
2023-11-22,100.3000,101.2500,99.1000,100.7500,316714
2023-11-23,102.0000,103.3000,100.8000,101.1000,105892
2023-11-24,101.0000,101.9500,98.0000,98.7500,66328
2023-11-28,98.7500,100.3000,97.8500,99.2500,74530
2023-11-29,99.7000,100.8500,98.5500,98.9000,56389
2023-11-30,98.8500,99.5000,98.1500,98.7000,29056
2023-12-01,100.5000,109.0000,100.1500,105.2500,531033
2023-12-04,106.5000,106.5000,103.5000,104.7000,116139
2023-12-05,105.0000,105.8000,102.3000,102.6000,98690
2023-12-06,104.1500,107.0000,102.6000,103.3500,149902
2023-12-07,103.3000,103.9500,101.3000,102.3000,68398
2023-12-08,103.2000,103.5000,100.1000,100.8500,77060
2023-12-11,101.9000,103.9500,101.3500,101.9500,78059
2023-12-12,102.9000,104.3000,101.7000,102.0000,59197
2023-12-13,103.0000,106.9500,102.2500,105.2000,167843
2023-12-14,105.0000,107.9000,102.9000,105.7000,342350
2023-12-15,106.1000,108.8500,105.5500,106.9000,216606
2023-12-18,107.0000,109.7000,106.5000,107.3500,124264
2023-12-19,107.3500,111.2500,106.5000,109.2000,621594
2023-12-20,109.9000,112.0500,101.9500,102.8500,480378
2023-12-21,102.1500,109.4500,101.2000,106.5500,431826
2023-12-22,106.3500,114.0000,106.3500,110.8500,1415636
2023-12-26,111.9000,115.5000,109.5000,110.5500,426336
2023-12-27,111.4000,111.4500,106.9500,107.2500,269455
2023-12-28,108.0500,108.2000,105.7500,106.1000,122954
2023-12-29,106.6000,109.4000,105.2000,106.4000,226169
2024-01-01,106.9500,111.5000,106.5000,110.1500,209208
2024-01-02,110.8500,112.5000,108.5000,110.0000,184905
2024-01-03,109.1000,110.1500,106.3500,107.0000,109918
2024-01-04,107.9500,109.4000,107.6500,108.2500,95320
2024-01-05,108.1000,115.0000,107.7000,110.7000,605187
2024-01-08,111.0000,111.5000,107.9500,108.1500,124105
2024-01-09,109.0000,110.4000,107.3000,107.7500,118947
2024-01-10,107.7500,114.2000,106.8000,112.2500,298069
2024-01-11,112.4500,117.0000,111.6000,113.3000,450645
2024-01-12,113.9500,126.0000,112.5000,120.9000,1936438
2024-01-15,121.7000,121.8500,116.8000,118.5500,341264
2024-01-16,119.0000,119.5000,113.7500,115.4500,253010
2024-01-17,114.4500,114.9000,111.1000,112.0000,168632
2024-01-18,112.6000,115.0000,110.0500,113.6000,168395
2024-01-19,114.9500,116.5000,113.4000,115.2500,118801
2024-01-23,114.7500,115.3500,109.0000,109.5500,92120
2024-01-24,109.1000,112.9000,109.1000,112.2000,71335
2024-01-25,113.8500,114.7500,112.5000,113.2500,69051
2024-01-29,113.3000,129.0000,113.3000,124.5000,1572653
2024-01-30,124.9500,125.9000,122.0000,122.3000,227058
2024-01-31,121.6000,125.0000,119.3500,120.2500,193866
2024-02-01,118.5000,122.2500,118.5000,120.1500,174184
2024-02-02,121.9500,122.0000,117.1500,118.3000,138454
2024-02-05,120.0500,122.8000,117.2000,118.1000,225408
2024-02-06,118.1000,123.7500,118.1000,118.8500,499907
2024-02-07,120.5000,122.7500,120.0000,121.8500,238907
2024-02-08,122.5000,125.0000,117.7000,118.3000,328159
2024-02-09,120.0500,120.3500,112.6000,117.6000,208723
2024-02-12,115.0000,118.0000,111.0000,112.6500,168506
2024-02-13,112.2000,114.7500,107.3000,108.0500,252569
2024-02-14,106.6500,118.8000,106.6000,117.6500,189955
2024-02-15,117.6500,120.9000,117.0000,117.6500,105276
2024-02-16,119.3000,126.8500,118.4500,124.1500,979218
2024-02-19,125.1000,127.2000,121.6500,123.0500,270930
2024-02-20,123.8500,125.0000,121.4000,123.1500,238895
2024-02-21,124.0000,129.7000,121.5000,122.3000,762300
2024-02-22,122.9000,126.8000,120.7000,124.0500,238515
