date,open,high,low,close,volume
2023-09-25,448.0000,448.0000,436.0000,438.4000,10043
2023-09-26,440.0000,440.0000,420.0000,429.1000,6796
2023-09-27,429.1000,429.9500,410.0000,413.0500,18050
2023-09-28,416.0000,430.8500,416.0000,423.0500,9582
2023-09-29,427.0000,440.0000,412.0000,415.7000,26427
2023-10-03,415.7000,426.1000,402.0000,411.3500,15177
2023-10-04,431.4500,431.9000,431.0000,431.9000,24742
2023-10-05,453.4500,453.4500,453.4500,453.4500,12378
2023-10-06,476.1000,476.1000,476.1000,476.1000,16800
2023-10-09,499.9000,499.9000,486.3000,499.9000,124382
2023-10-10,496.0000,505.0000,478.0000,482.1500,65030
2023-10-11,494.2500,494.2500,463.0500,469.3000,28145
2023-10-12,469.3000,479.9000,450.0000,459.6000,24006
2023-10-13,460.9500,460.9500,438.0000,445.7000,25846
2023-10-16,445.7000,466.0000,433.0000,465.6000,45503
2023-10-17,483.0000,484.9500,469.0000,470.9000,40808
2023-10-18,462.8000,469.9000,449.0000,462.6500,25329
2023-10-19,453.1000,468.0000,450.1000,460.5000,10033
2023-10-20,483.5000,483.5000,470.0000,483.5000,47405
2023-10-23,494.0000,506.0000,465.0000,475.0000,40503
2023-10-25,479.8000,490.0000,459.0000,473.1500,117891
2023-10-26,455.1000,485.0000,449.5000,467.2000,22094
2023-10-27,479.0000,479.0000,455.2000,469.8500,12955
2023-10-30,489.0000,493.3000,471.0000,493.2000,40960
2023-10-31,503.0000,509.0000,483.0000,488.0500,25932
2023-11-01,488.0500,490.0000,465.5500,471.2500,10049
2023-11-02,478.0500,485.0000,465.1000,478.4500,7759
2023-11-03,475.0000,484.0000,462.0500,481.7000,10772
2023-11-06,483.8000,488.0000,470.0000,479.0000,18038
2023-11-07,470.1000,493.3000,470.1000,479.7000,11982
2023-11-08,479.7000,490.0000,473.1000,483.9500,13553
2023-11-09,475.0500,508.1000,475.0500,508.1000,49722
2023-11-10,533.5000,533.5000,533.5000,533.5000,16371
2023-11-13,588.0500,588.0500,533.5500,544.5000,102360
2023-11-15,545.0000,558.7000,520.0000,541.3000,39870
2023-11-16,557.0000,560.0000,535.0000,557.1000,46666
2023-11-17,557.1000,584.9500,545.3000,584.7000,125016
2023-11-20,604.6500,604.6500,570.0000,579.3000,45565
2023-11-21,583.0000,595.0000,555.5500,562.8000,24072
2023-11-22,559.9500,590.0000,541.0000,581.4000,113679
2023-11-23,598.9500,598.9500,561.2500,580.7500,51607
2023-11-24,581.1500,594.9500,568.3500,582.0000,42990
2023-11-28,575.0000,587.0000,564.0000,569.0000,18791
2023-11-29,579.0000,585.0000,546.2500,555.2500,20941
2023-11-30,557.0000,565.0000,541.3500,549.3000,8210
