date,open,high,low,close,volume
2023-09-25,3155.1499,3159.9500,3106.3501,3144.1499,106152
2023-09-26,3143.0000,3203.5000,3135.3000,3156.8999,79704
2023-09-27,3144.0000,3214.9500,3144.0000,3204.8999,84599
2023-09-28,3204.8999,3215.2500,3130.5500,3145.3000,66111
2023-09-29,3145.0000,3203.0500,3139.0500,3179.4500,34846
2023-10-03,3196.1499,3206.9500,3159.4500,3192.5500,35845
2023-10-04,3178.7000,3197.3501,3128.5500,3149.5500,35636
2023-10-05,3149.0000,3185.0000,3120.8501,3135.7000,29354
2023-10-06,3135.7000,3165.0000,3126.7000,3161.0500,42460
2023-10-09,3161.0000,3161.0000,3071.0000,3088.9500,41386
2023-10-10,3091.4500,3146.9500,3091.4500,3143.4500,36216
2023-10-11,3143.4500,3242.8000,3143.4500,3185.8999,77855
2023-10-12,3185.8999,3274.0000,3185.8999,3265.1001,115779
2023-10-13,3263.0000,3273.0000,3220.8999,3250.0500,51500
2023-10-16,3230.1001,3311.0000,3216.5000,3226.1499,100468
2023-10-17,3259.8999,3295.0000,3217.0000,3290.1499,66561
2023-10-18,3302.9500,3328.9500,3213.0500,3288.8999,128399
2023-10-19,3252.0000,3369.7500,3249.4500,3345.1001,222860
2023-10-20,3345.0000,3363.6001,3295.0000,3301.6499,146649
2023-10-23,3301.6499,3339.8999,3149.1499,3175.1001,62665
2023-10-25,3191.8000,3215.9500,3076.5500,3093.0500,58556
2023-10-26,3063.0500,3108.0000,3052.6499,3080.2500,71404
2023-10-27,3098.8501,3118.1499,3061.8999,3076.1001,32163
2023-10-30,3090.0000,3114.9500,3065.0000,3081.9500,190425
2023-10-31,3081.9500,3165.0000,3076.1001,3154.0000,53900
2023-11-01,3150.0000,3150.0000,3080.0000,3087.9500,23229
2023-11-02,3093.7000,3155.0500,3093.0000,3113.3000,39612
2023-11-03,3136.0000,3164.5000,3115.0000,3131.6499,106173
2023-11-06,3300.9500,3444.0000,3231.2000,3402.9500,1228213
2023-11-07,3403.0000,3439.3501,3335.1499,3364.9500,220173
2023-11-08,3376.3000,3495.0000,3376.3000,3438.7000,316998
2023-11-09,3454.0500,3479.0000,3356.5500,3390.3999,347577
2023-11-10,3390.3999,3471.0000,3369.1001,3463.5000,133511
2023-11-13,3485.7000,3485.7000,3413.1499,3424.1499,68575
2023-11-15,3430.0000,3484.7500,3430.0000,3456.0500,62968
2023-11-16,3457.0000,3498.7500,3443.3000,3480.9500,84887
2023-11-17,3470.9500,3515.3999,3455.0500,3509.1499,93666
2023-11-20,3509.1499,3555.0000,3489.6499,3502.2500,154987
2023-11-21,3495.0000,3553.7500,3490.0000,3526.8000,151321
2023-11-22,3529.0000,3530.0000,3484.0000,3507.2000,74250
2023-11-23,3507.0000,3547.0000,3473.8999,3529.0000,75744
2023-11-24,3535.3501,3558.5500,3500.0500,3528.0500,56182
2023-11-28,3549.9500,3578.5000,3522.0500,3571.0000,95989
2023-11-29,3608.9500,3608.9500,3525.0500,3544.9500,71969
2023-11-30,3550.0000,3670.0000,3547.2000,3643.5500,203923
2023-12-01,3643.5500,3675.0000,3615.0000,3661.5000,77566
2023-12-04,3666.2000,3705.0000,3630.0000,3674.0500,191898
2023-12-05,3699.0000,3800.0000,3674.1001,3769.4500,234799
2023-12-06,3784.0000,3800.0000,3751.8999,3780.3501,97825
2023-12-07,3780.3501,3850.0000,3771.2500,3794.5000,175432
2023-12-08,3807.5000,3833.8000,3730.0000,3798.0500,84397
2023-12-11,3799.7500,3850.0000,3785.8000,3840.7500,92070
2023-12-12,3865.0000,3910.7500,3823.3000,3841.3000,167747
2023-12-13,3835.0000,3881.9500,3792.2500,3871.6001,125800
2023-12-14,3895.0000,3949.1001,3878.0000,3920.3000,95558
2023-12-15,3935.0000,3996.0000,3887.3501,3921.8501,176549
2023-12-18,3921.8501,3955.0000,3900.3999,3927.8501,23300
2023-12-19,3927.8501,3970.5500,3875.0000,3934.1499,111329
2023-12-20,3934.1499,3978.6001,3750.0000,3771.5500,59065
2023-12-21,3760.8999,3864.1001,3715.3999,3837.2500,122303
2023-12-22,3849.5000,3858.6001,3774.3000,3782.2000,32692
2023-12-26,3780.0000,3808.9500,3735.0000,3765.3999,86485
2023-12-27,3767.0000,3906.7500,3762.5000,3777.0500,201992
2023-12-28,3788.1499,3808.9500,3764.0000,3775.5500,71002
2023-12-29,3795.0000,3809.9500,3764.4500,3788.2500,51083
2024-01-01,3788.2500,3865.0000,3776.5000,3827.2000,118855
2024-01-02,3845.0000,3864.9500,3740.0000,3851.3999,96592
2024-01-03,3850.0000,3893.0000,3829.0000,3847.2500,36876
2024-01-04,3847.2500,3932.0500,3822.8000,3900.0000,69306
2024-01-05,3915.0000,3950.3000,3894.1001,3930.6001,44675
2024-01-08,3954.9500,4040.0000,3898.3501,4007.1001,136123
2024-01-09,4041.3000,4079.9500,3995.4500,4029.2000,167588
2024-01-10,4029.2000,4074.8501,3996.0000,4052.9500,95936
2024-01-11,4077.0000,4078.0000,4024.6001,4045.5500,49277
2024-01-12,4045.5500,4071.7500,4028.0500,4047.9500,96568
2024-01-15,4031.0000,4097.2500,4018.0000,4076.8000,85342
2024-01-16,4122.0000,4140.9502,4081.0000,4130.0000,148785
2024-01-17,4083.2000,4130.0000,4025.2500,4035.6001,82923
2024-01-18,4035.6001,4055.5500,3949.8999,3994.0000,133513
2024-01-19,4044.0000,4069.5500,4012.6001,4053.2500,108210
2024-01-23,4020.0000,4111.5000,3933.2500,3948.1499,486197
2024-01-24,4050.0000,4154.8501,3990.1001,4138.0000,475953
2024-01-25,4175.0000,4240.0000,4097.2500,4167.4502,218617
2024-01-29,4275.0000,4333.0000,4205.0000,4306.2002,312673
2024-01-30,4330.0000,4418.2500,4308.0498,4330.9502,234056
2024-01-31,4330.9502,4410.0000,4330.9502,4363.3999,211081
2024-02-01,4403.8501,4441.1001,4360.0000,4406.8999,239930
2024-02-02,4437.8501,4468.0498,4355.0000,4366.2002,131550
2024-02-05,4366.3999,4406.2500,4292.7500,4317.2998,87366
2024-02-06,4350.0000,4403.9502,4317.2998,4339.6001,144256
2024-02-07,4341.0000,4395.0000,4300.0000,4341.7002,89413
2024-02-08,4360.0000,4368.7002,4202.5000,4214.0000,66828
2024-02-09,4257.5000,4257.5000,4133.2998,4231.2500,100175
2024-02-12,4250.0000,4287.4502,4196.2002,4234.7998,79254
2024-02-13,4234.7998,4277.3501,4155.0000,4231.4502,88384
2024-02-14,4215.0000,4247.4502,4156.8501,4190.6001,102024
2024-02-15,4230.0000,4235.0000,4096.0000,4139.1499,168681
2024-02-16,4140.0000,4256.0000,4140.0000,4210.8999,169086
2024-02-19,4249.9502,4249.9502,4181.0000,4206.1001,150672
2024-02-20,4206.1001,4218.4502,4146.8999,4201.7002,79921
2024-02-21,4226.8501,4294.0000,4204.6001,4249.8501,196563
2024-02-22,4269.7998,4294.0000,4205.0000,4275.8999,106154
2024-02-23,4289.9502,4354.7998,4280.0000,4343.6499,100334
2024-02-26,4370.0000,4410.0000,4343.6499,4396.0000,123152
2024-02-27,4439.0000,4550.0000,4413.6499,4503.0000,273435
2024-02-28,4510.0498,4528.2500,4396.0000,4446.7002,289665
2024-02-29,4446.7002,4550.0000,4422.0000,4514.8999,163545
2024-03-01,4534.0498,4555.0000,4489.7998,4501.0000,87589
2024-03-04,4552.3501,4552.3501,4445.1001,4463.8999,63872
2024-03-05,4491.0498,4494.6001,4385.1499,4400.8501,95696
2024-03-06,4384.0498,4395.0000,4268.0000,4296.8999,93008
2024-03-07,4265.8999,4328.0000,4251.0000,4262.6001,92455
2024-03-11,4262.6001,4262.6001,4200.0000,4219.9502,120001
2024-03-12,4275.0000,4309.5000,4151.6001,4161.9502,229393
2024-03-13,4171.9502,4198.6499,4051.0500,4086.2000,258244
2024-03-14,4090.0000,4109.9502,4041.3000,4090.7000,110644
2024-03-15,4122.1499,4122.1499,4010.0500,4070.1499,112930
2024-03-18,4097.7500,4114.9502,4049.0000,4064.8501,112610
2024-03-19,4067.5500,4080.0000,3981.3000,4006.4500,64769
2024-03-20,4048.1001,4050.0000,3976.6499,4025.0000,92987
2024-03-21,4051.8999,4115.0000,4001.0500,4107.2500,252524
2024-03-22,4127.0000,4142.0000,4083.0500,4103.6001,89162
2024-03-26,4104.2998,4110.0000,4025.0000,4046.0000,220694
2024-03-27,4050.0000,4109.3501,4042.8501,4054.3000,101513
2024-03-28,4075.0000,4109.0000,4060.0500,4076.1499,127715
2024-04-01,4107.0000,4293.7998,4095.6001,4283.1001,244709
2024-04-02,4359.8999,4359.8999,4237.5498,4330.2002,104691
2024-04-03,4350.0000,4359.4502,4300.0000,4338.1001,48371
2024-04-04,4375.0000,4375.7002,4333.0498,4354.2002,67212
2024-04-05,4305.0000,4408.3501,4305.0000,4358.7998,161343
2024-04-08,4385.1499,4410.4502,4349.8999,4390.7500,141647
2024-04-09,4390.7500,4410.0000,4301.7500,4321.6499,133340
2024-04-10,4348.6499,4376.0000,4321.2002,4330.7002,101337
2024-04-12,4341.0000,4356.8501,4260.8999,4280.7500,90990
2024-04-15,4235.1001,4295.0000,4200.5000,4240.3999,55942
2024-04-16,4239.8501,4242.3999,4170.0000,4203.1499,160498
2024-04-18,4203.1499,4250.7998,4106.2998,4124.1499,230465
2024-04-19,4124.1499,4175.7500,4041.0500,4151.5000,198809
2024-04-22,4154.8999,4154.8999,4001.0000,4078.1001,459557
2024-04-23,4114.8501,4150.0000,4082.5500,4141.3999,98713
2024-04-24,4161.7002,4225.4502,4146.2002,4175.2500,277248
2024-04-25,4150.0000,4152.0498,4000.0500,4031.5500,363377
2024-04-26,4012.0000,4108.0000,3996.1001,4072.6001,189724
2024-04-29,4073.0000,4094.8501,4013.7500,4058.3999,82816
2024-04-30,4058.3999,4075.9500,3990.9500,3999.5000,122790
2024-05-02,4007.8501,4023.0000,3928.0000,3936.3501,127646
2024-05-03,3940.0000,4008.9500,3926.7000,3977.3999,211149
2024-05-06,3980.0000,4010.0000,3952.8999,3987.8000,166213
2024-05-07,3989.9500,4008.0000,3880.0000,3910.5500,166829
2024-05-08,3910.0000,3957.8501,3872.3999,3946.8501,78813
2024-05-09,3921.0000,3939.0000,3836.4500,3863.7000,268457
2024-05-10,3900.0000,3900.0000,3785.0000,3840.8999,361039
2024-05-13,3868.8999,4083.9500,3852.0000,3933.9500,399715
2024-05-14,3958.0000,3958.0000,3860.0000,3921.7000,308225
2024-05-15,3913.7500,3931.1499,3790.1001,3889.8501,261447
2024-05-16,3889.0500,3930.0000,3805.3000,3848.2500,231449
2024-05-17,3871.7500,3912.3501,3828.0000,3896.7000,111455
2024-05-21,3898.8501,3907.9500,3859.8999,3889.9500,175990
2024-05-22,3920.0000,4003.9500,3893.5500,3967.1499,246617
2024-05-23,3969.9500,3994.0000,3855.3000,3967.7500,149633
2024-05-24,3994.0000,4066.0000,3975.0000,3990.4500,250072
2024-05-27,4022.0000,4029.5500,3970.0000,3991.4500,80708
2024-05-28,4004.9500,4049.0000,3970.0000,3990.8501,102586
2024-05-29,3988.1001,4002.9500,3926.1001,3939.3000,58888
2024-05-30,3935.5500,4048.0000,3872.0000,3903.1499,88797
2024-05-31,3881.2500,3935.5500,3851.1499,3872.2500,203877
2024-06-03,4002.2500,4067.7500,3952.1499,4025.9500,207013
2024-06-04,4040.0000,4050.0000,3642.0000,3860.3999,238514
2024-06-05,3899.0000,4038.8000,3841.0500,3918.8501,155651
2024-06-06,3918.3000,4027.7500,3900.9500,4013.0000,318655
2024-06-07,4025.0000,4201.3999,4014.3501,4187.1001,304838
2024-06-10,4243.0000,4310.0000,4157.1499,4229.6499,172085
2024-06-11,4230.1001,4275.9502,4191.7998,4205.0498,94440
2024-06-12,4100.1499,4270.0000,4100.1499,4248.5498,161505
2024-06-13,4278.0000,4297.4502,4206.2002,4241.9502,121325
2024-06-14,4232.0000,4365.0000,4211.4502,4326.7002,199121
2024-06-18,4354.5498,4428.7998,4312.6499,4408.0000,202431
2024-06-19,4428.0000,4445.8999,4289.7002,4304.1499,101163
2024-06-20,4341.3999,4366.9502,4297.2002,4321.5000,161005
2024-06-21,4309.7002,4337.9502,4212.4502,4259.8999,685320
2024-06-24,4259.0000,4280.0000,4152.0000,4223.3501,106690
2024-06-25,4243.1499,4342.0000,4243.1499,4333.8501,118763
2024-06-26,4333.8501,4507.9502,4323.0000,4400.2500,495157
2024-06-27,4408.9502,4599.9502,4400.2500,4508.2002,448220
2024-06-28,4540.0000,4540.0000,4373.2002,4389.0000,104131
2024-07-01,4405.0000,4511.6499,4394.1499,4469.2002,57338
2024-07-02,4478.1001,4511.2002,4324.1001,4335.7500,118946
2024-07-03,4374.0000,4380.0000,4270.0000,4306.2500,69011
2024-07-04,4306.2998,4334.9502,4179.0000,4291.2998,159601
2024-07-05,4266.0000,4280.0000,4190.0000,4217.8501,67107
2024-07-08,4227.2002,4243.3999,4175.1001,4216.7500,189686
2024-07-09,4220.0000,4270.1001,4188.7998,4252.8501,82102
2024-07-10,4279.2002,4399.0000,4220.5498,4390.0000,250455
2024-07-11,4420.0000,4420.0000,4330.1001,4341.6499,82771
2024-07-12,4341.6499,4370.5498,4291.2998,4339.3999,55756
2024-07-15,4367.5498,4397.7002,4324.0000,4342.1499,65072
2024-07-16,4347.5000,4438.0000,4324.7998,4414.6499,119215
2024-07-18,4414.6499,4440.8501,4354.7002,4372.5498,84434
2024-07-19,4312.1499,4392.7002,4252.5498,4284.5498,102578
2024-07-22,4300.8501,4484.7002,4257.7998,4471.9502,456135
2024-07-23,4517.9502,4517.9502,4334.6499,4480.3999,270852
2024-07-24,4480.3999,4527.2500,4410.0000,4460.7500,83640
2024-07-25,4450.0000,4500.0000,4338.7998,4401.9502,171871
2024-07-26,4420.0000,4464.7002,4370.5000,4387.6499,83627
2024-07-29,4414.1499,4511.8501,4370.1001,4390.3999,84301
2024-07-30,4385.0000,4529.6001,4315.0000,4506.6001,146685
2024-07-31,4524.9502,4590.0000,4400.0000,4416.9502,126772
2024-08-01,4448.1499,4460.0000,4350.0000,4421.7998,150948
2024-08-02,4420.0000,4420.0000,4246.2002,4284.6001,98277
2024-08-05,4253.7002,4268.9502,4148.2002,4204.9502,127019
2024-08-06,4211.0000,4282.9502,4211.0000,4238.6001,158167
2024-08-07,4242.0000,4325.0000,4240.0498,4295.6001,103401
2024-08-08,4285.0000,4306.3501,4180.5000,4237.2998,197993
2024-08-09,4268.2002,4281.0000,4206.7998,4240.2002,44557
2024-08-12,4244.7500,4250.0000,4190.0000,4236.7500,33334
2024-08-13,4210.0000,4225.7998,4140.0000,4172.2002,45681
2024-08-14,4170.0000,4170.0000,4085.5000,4107.2002,56724
2024-08-16,4122.0000,4250.0000,4103.1499,4239.9502,78661
2024-08-19,4248.1499,4339.3501,4217.8999,4312.6499,85215
2024-08-20,4326.7002,4346.2002,4257.1499,4302.3999,44747
2024-08-21,4280.0000,4307.2500,4248.7002,4300.1001,189255
2024-08-22,4300.1499,4440.0498,4285.3501,4401.0000,181276
2024-08-23,4400.8999,4418.4502,4324.0000,4393.3501,166312
2024-08-26,4400.0000,4464.0000,4387.3999,4445.6499,72885
2024-08-27,4431.1499,4515.0000,4431.1001,4497.7998,109114
2024-08-28,4499.9502,4575.0000,4411.6001,4424.5498,175302
2024-08-29,4424.5498,4469.0000,4373.7998,4445.2998,140669
2024-08-30,4419.7998,4476.8501,4315.0000,4453.8999,57504
2024-09-02,4452.8999,4528.0000,4452.8999,4481.9502,64128
2024-09-03,4485.1001,4670.7998,4465.0000,4647.7998,191570
2024-09-04,4645.0000,4694.0000,4574.0498,4670.2002,303921
2024-09-05,4694.4502,4805.0000,4655.0000,4700.5498,386178
2024-09-06,4669.7998,4734.1499,4629.2500,4697.9502,150248
2024-09-09,4680.0000,4830.0000,4642.7002,4807.7500,184620
2024-09-10,4838.0498,4895.5000,4649.6001,4689.3999,322393
2024-09-11,4729.3999,4739.6001,4582.3501,4599.5498,115825
2024-09-12,4550.0000,4705.0000,4550.0000,4675.3501,101989
2024-09-13,4665.5000,4795.0000,4665.5000,4766.3999,193357
2024-09-16,4752.0498,4884.2500,4743.7998,4812.7500,106316
2024-09-17,4835.0000,4835.0000,4759.8501,4778.4502,61107
2024-09-18,4778.4502,4805.8999,4605.0000,4632.0498,116088
2024-09-19,4660.1001,4711.7998,4581.3501,4626.3501,112145
2024-09-20,4657.6001,4750.0000,4618.7998,4632.7002,244971
2024-09-23,4665.0000,4799.0000,4650.0000,4783.0498,165184
2024-09-24,4806.5000,4825.8501,4732.5000,4746.7002,147960
2024-09-25,4766.3501,4775.3501,4638.5000,4647.1001,187759
2024-09-26,4664.0000,4664.0000,4568.0000,4582.2002,250559
2024-09-27,4601.0000,4696.7002,4536.2002,4636.2500,246941
2024-09-30,4644.9502,4677.0000,4611.0000,4643.2998,69192
2024-10-01,4652.4502,4658.6499,4601.0000,4621.5498,36812
2024-10-03,4581.0498,4620.0000,4525.7998,4567.8501,44539
2024-10-04,4550.0000,4613.6499,4467.5000,4565.5498,104767
2024-10-07,4570.0000,4616.4502,4348.7998,4366.7998,54072
2024-10-08,4351.7002,4450.0000,4330.0000,4441.5498,44281
2024-10-09,4467.5000,4467.5000,4314.5498,4330.1001,86080
2024-10-10,4373.3999,4383.9502,4240.0000,4256.6001,80253
2024-10-11,4261.5498,4290.3501,4222.0000,4238.7500,54626
2024-10-14,4245.0000,4330.6499,4163.1499,4293.7002,410555
2024-10-15,4334.0000,4335.0000,4253.5000,4323.6499,51802
2024-10-16,4312.0000,4356.1499,4293.1499,4347.8999,88429
2024-10-17,4354.0000,4354.0000,4257.1001,4291.5498,92674
2024-10-18,4265.0000,4319.0000,4227.5498,4302.7002,84948
2024-10-21,4275.0000,4309.9502,4201.0000,4208.3999,32634
2024-10-22,4210.0000,4276.3999,4165.0000,4205.2002,71281
2024-10-23,4195.8999,4264.3999,4168.0000,4226.7500,91468
2024-10-24,4168.5498,4261.8501,4168.5498,4193.7002,49629
2024-10-25,4250.0000,4250.0000,4090.0000,4105.0000,170414
2024-10-28,3999.0000,4281.2500,3989.9500,4254.8999,203227
2024-10-29,4272.5498,4360.0000,4246.6499,4350.4502,103364
2024-10-30,4344.0000,4348.2998,4296.0498,4335.7002,62100
2024-10-31,4324.1499,4352.2998,4276.2998,4322.2998,78115
2024-11-01,4350.0000,4350.0000,4320.0498,4345.2500,6892
2024-11-04,4325.1001,4335.9502,4249.0000,4273.2998,49128
2024-11-05,4195.0000,4267.3999,4086.0000,4122.9502,273851
