date,open,high,low,close,volume
2023-09-26,634.9000,639.4000,631.2000,634.0500,449762
2023-09-27,636.0000,642.5500,635.0000,636.7000,217720
2023-09-28,637.0500,647.9500,637.0500,642.8000,146240
2023-09-29,644.0000,648.6500,635.0000,645.4500,337509
2023-10-03,646.0000,663.0000,640.6000,658.8000,335029
2023-10-04,658.8000,663.5500,643.7500,650.7500,247925
2023-10-05,653.0000,676.1500,651.1000,670.1500,370282
2023-10-06,670.0000,676.4500,663.0000,675.3000,248222
2023-10-09,682.7000,684.4500,663.6500,668.8500,316978
2023-10-10,672.0000,675.9500,664.2000,668.6000,359186
2023-10-11,674.5000,679.0000,670.0000,675.3000,178671
2023-10-12,679.8000,683.5500,676.0000,677.5500,117075
2023-10-13,678.0000,682.9500,673.2500,678.8500,149052
2023-10-16,681.0000,686.1500,672.1000,674.6000,160859
2023-10-17,676.0000,688.0000,672.1000,683.4500,186189
2023-10-18,685.0000,687.0000,676.0000,677.7000,237625
2023-10-19,678.8000,682.0000,666.4000,675.6000,155858
2023-10-20,675.6000,684.0000,670.8000,677.6500,709058
2023-10-23,680.0000,683.4500,657.0500,661.3500,213089
2023-10-25,662.9000,671.3500,657.1000,659.4500,114600
2023-10-26,658.0000,665.0000,649.5500,654.7000,162544
2023-10-27,655.0000,690.0000,655.0000,680.4500,322636
2023-10-30,680.4500,701.0000,668.4000,693.4500,313002
2023-10-31,700.0000,702.0000,677.2000,686.5500,159143
2023-11-01,690.0000,690.5000,670.0000,672.8500,54799
2023-11-02,673.1000,682.9500,670.6500,674.2000,88532
2023-11-03,714.8500,775.0000,701.9500,744.8500,4398784
2023-11-06,764.7500,802.0000,742.2500,794.2500,2320714
2023-11-07,785.0000,794.0500,759.0000,773.6000,773946
2023-11-08,773.0000,779.0000,760.0000,764.8000,313439
2023-11-09,765.9500,786.0000,756.0000,780.3000,427707
2023-11-10,781.0500,796.9500,761.1000,777.3500,291419
2023-11-13,787.9500,789.1000,777.1000,783.5000,134310
2023-11-15,781.5000,833.5000,780.0000,807.7500,1120467
2023-11-16,801.9000,809.4000,790.6500,797.7000,321847
2023-11-17,795.0000,815.0000,792.0500,812.6000,213466
2023-11-20,812.6000,815.9000,797.7000,812.4000,183242
2023-11-21,816.0000,823.8000,801.0000,804.9500,193222
2023-11-22,804.9500,809.0500,780.0500,792.0500,289091
2023-11-23,793.9500,795.8000,778.6500,787.4500,217271
2023-11-24,793.8500,795.0000,780.0000,789.6500,83362
2023-11-28,789.6500,803.4500,785.0000,791.1000,201773
2023-11-29,796.9000,796.9000,780.1000,782.4500,94722
2023-11-30,786.4000,825.2000,773.4500,816.5000,573622
2023-12-01,820.5500,834.0000,808.5000,813.7500,189488
2023-12-04,830.0000,831.7000,819.4000,825.6000,113592
2023-12-05,827.0500,893.7000,817.5500,876.9500,1580098
2023-12-06,880.0000,882.7500,866.5500,876.6500,281032
2023-12-07,876.9000,899.5000,868.0500,896.0500,291205
2023-12-08,895.0000,895.0000,873.5500,877.9000,135600
2023-12-11,879.9000,891.0000,875.0500,884.9500,104014
2023-12-12,884.9500,898.0000,864.6500,868.5500,135010
2023-12-13,870.0000,888.3500,868.5500,880.1000,182820
2023-12-14,889.7000,915.6000,881.1000,886.3000,345588
2023-12-15,886.3000,903.9000,886.3000,896.1500,142351
2023-12-18,896.0000,899.1000,877.0000,878.9000,68726
2023-12-19,883.2000,889.4500,858.5000,861.4500,101362
2023-12-20,869.9500,877.9500,832.4500,839.9000,136475
2023-12-21,835.0000,865.9500,821.1500,858.3000,76956
2023-12-22,864.0000,874.2000,856.0000,870.0500,77564
2023-12-26,866.0000,894.0500,865.1000,885.5500,185536
2023-12-27,886.0000,903.0000,877.0000,900.0000,233919
2023-12-28,903.0000,909.9000,886.7500,903.7000,207505
2023-12-29,903.0000,907.5000,883.2000,899.4000,254764
2024-01-01,905.2000,915.0000,891.3500,904.8000,140374
2024-01-02,902.0000,902.0000,877.0500,890.7000,103489
2024-01-03,894.9500,895.5000,877.4500,881.2500,72251
2024-01-04,882.1500,898.4500,878.9000,894.2000,61206
2024-01-05,908.0000,909.9000,873.0000,877.3500,127396
2024-01-08,881.4000,884.8500,865.4000,868.6000,62802
2024-01-09,870.0000,891.4500,837.3500,842.1500,128176
2024-01-10,843.0000,852.9500,833.0000,841.9500,72651
2024-01-11,843.0000,886.0000,839.8500,873.9000,706605
2024-01-12,895.0000,904.9000,868.0000,870.0000,596532
2024-01-15,871.8500,889.9000,868.0000,875.6000,179570
2024-01-16,884.0000,884.0000,865.3000,874.8500,447830
2024-01-17,869.8000,875.4000,826.0000,849.3500,139039
2024-01-18,846.1000,869.3500,845.9500,862.1500,145520
2024-01-19,866.5500,880.0000,865.0000,873.5500,154017
2024-01-23,898.2000,901.7000,862.5000,865.8000,398094
2024-01-24,875.1500,890.2500,860.0000,883.0500,254486
2024-01-25,887.3000,970.0000,882.3000,930.9000,1764622
2024-01-29,940.8000,954.4500,915.5500,937.1000,431223
2024-01-30,948.0000,948.0000,895.6000,900.8500,486202
2024-01-31,904.4000,943.0000,902.0500,935.8500,289751
2024-02-01,937.9500,941.3500,920.0500,929.8500,83587
2024-02-02,943.1000,944.9000,910.0000,919.5000,113810
2024-02-05,924.9000,942.2500,913.2500,928.3000,173309
2024-02-06,945.0000,945.0000,910.2500,920.8500,117872
2024-02-07,920.9000,938.3000,918.0000,925.5000,109358
2024-02-08,927.7500,940.0000,902.8500,917.3000,143233
2024-02-09,940.0000,999.9000,902.1000,935.9500,2989566
2024-02-12,939.8000,974.9500,897.6000,906.9000,793137
2024-02-13,913.0000,918.2500,880.3500,886.0500,269930
2024-02-14,892.0000,925.9500,880.2000,913.1500,517161
2024-02-15,917.7000,924.9500,903.0000,912.0500,148568
2024-02-16,921.2000,975.1000,916.3500,963.7500,1036903
2024-02-19,968.7000,973.5500,950.5000,963.3500,187491
2024-02-20,968.0000,968.0000,938.6500,942.0000,194847
2024-02-21,948.0000,975.0000,944.5000,959.1000,394230
2024-02-22,967.3000,968.7000,932.1000,938.6000,225868
2024-02-23,943.3000,960.0000,930.1000,944.0500,145760
2024-02-26,941.0500,950.1000,927.0000,932.6500,88316
2024-02-27,931.0000,953.6000,928.0000,943.9000,163449
2024-02-28,943.8000,946.8500,895.0000,906.7500,255332
2024-02-29,906.9500,929.0000,902.5500,918.9000,384742
2024-03-01,937.8500,950.0000,921.6000,941.7500,183729
2024-03-04,949.9500,952.4500,929.0000,943.0500,144234
2024-03-05,948.8500,959.0000,933.5500,953.2000,236285
2024-03-06,952.6500,952.6500,892.1000,899.9000,219112
2024-03-07,904.9000,914.5000,885.0000,892.3000,146875
2024-03-11,892.3000,910.8000,883.0000,895.8500,94223
2024-03-12,899.9500,901.5000,848.0000,859.1500,206643
2024-03-13,858.4500,864.7000,775.0000,795.2000,245387
2024-03-14,772.1500,829.7000,772.1500,822.6500,213677
2024-03-15,822.0500,836.7500,808.0000,824.9500,108881
2024-03-18,820.0000,826.0000,804.9000,823.8500,96849
2024-03-19,823.2000,826.0000,806.1000,822.4500,101567
2024-03-20,826.6000,836.9500,808.9000,821.5000,154144
2024-03-21,827.0000,841.9500,820.0500,839.7500,168455
2024-03-22,835.7500,858.4000,832.0000,855.9000,169334
2024-03-26,856.0000,863.9500,841.9000,861.4000,125978
2024-03-27,863.9500,870.9500,851.2000,867.5000,141670
2024-03-28,871.0000,879.7000,861.0500,875.7000,127654
2024-04-01,880.0000,884.7000,877.0000,883.5000,50593
2024-04-02,875.2000,897.4500,875.2000,889.3000,139572
2024-04-03,889.0000,899.9500,875.0000,879.3500,139606
2024-04-04,883.6000,889.9500,868.4000,869.9000,157689
2024-04-05,869.0000,874.5000,838.0000,844.5500,330429
2024-04-08,856.5500,859.9000,820.0000,820.5500,306081
2024-04-09,821.0500,834.8500,805.3500,808.0500,238050
2024-04-10,822.0000,822.7000,796.2500,799.6500,313161
2024-04-12,798.9000,813.7000,792.2000,796.1500,303422
2024-04-15,793.7000,811.9000,775.0000,808.4000,232508
2024-04-16,807.0000,822.5000,801.3500,813.1500,362500
2024-04-18,815.9000,825.0000,803.4000,807.7000,97005
2024-04-19,799.0000,807.0000,790.9500,800.0000,126698
2024-04-22,804.0000,810.0000,791.0500,797.7500,116458
2024-04-23,799.0000,805.5000,781.3500,782.5000,221861
2024-04-24,786.4500,807.6000,786.4500,802.2000,155611
2024-04-25,803.0000,808.0000,795.0500,798.1000,91905
2024-04-26,798.1500,799.0000,789.0000,794.2500,80768
2024-04-29,797.0000,803.0000,790.7500,794.4000,78431
2024-04-30,795.8000,803.9500,794.3500,796.0500,139955
2024-05-02,796.1000,802.9500,787.3000,789.5000,97553
2024-05-03,793.0000,798.9500,783.2000,797.2000,120430
2024-05-06,800.0000,806.9000,790.0000,797.0500,142368
2024-05-07,801.5000,802.0000,782.0000,794.2000,292101
2024-05-08,794.2000,797.8500,784.9500,791.1500,74221
2024-05-09,795.6500,795.6500,765.0000,771.9500,78308
2024-05-10,771.9000,780.9000,764.1500,775.6500,112091
2024-05-13,775.6500,782.5500,751.0000,759.6500,127011
2024-05-14,761.8000,769.9500,757.3000,767.3000,83406
2024-05-15,768.1000,781.0000,767.3000,777.2500,75169
2024-05-16,782.0000,782.3000,771.0000,777.2000,54793
2024-05-17,779.6000,784.9500,777.5500,781.9000,53774
2024-05-21,778.3500,795.2500,771.0500,793.3000,122632
2024-05-22,797.0000,797.5000,785.1500,796.3500,77382
